heuristic,model,graph,seed,k,influence,seed_set,n_nodes,community,fairness,budget,time
CELF,WC,gnutella_di,0,0,0.01818066359739641,1.0,0.00015875535799333228,0.6250285339764463,0.1674453888423023,0.964152352501867,0.19999999999999996
CELF,WC,gnutella_di,0,1,0.033068741070011114,0.99,0.00031751071598666456,0.7284018415989968,0.1674453888423023,0.9566840926064227,0.0
CELF,WC,gnutella_di,0,2,0.044376885219876164,0.98,0.0004762660739799968,0.7667911881922534,0.21153624427227113,0.9507094846900672,0.0
CELF,WC,gnutella_di,0,3,0.054561041435148436,0.97,0.0006350214319733291,0.7898325667339589,0.2123539234586267,0.9432412247946228,0.0
CELF,WC,gnutella_di,0,4,0.06403714875377044,0.96,0.0007937767899666614,0.798868966181156,0.25144314337698015,0.9357729648991785,0.0
CELF,WC,gnutella_di,0,5,0.07402921098587077,0.95,0.0009525321479599936,0.7924862712372887,0.28707430432066305,0.9290515309932785,0.0
CELF,WC,gnutella_di,0,6,0.08428956977297984,0.94,0.001111287505953326,0.8152510822057918,0.32042448515430355,0.9215832710978342,0.0
CELF,WC,gnutella_di,0,7,0.0941165264327671,0.93,0.0012700428639466582,0.8334181624998233,0.34926938519783535,0.9141150112023898,0.0
CELF,WC,gnutella_di,0,8,0.10362120971582792,0.92,0.0014287982219399905,0.8470880408869926,0.34896188214132495,0.9066467513069455,0.0
CELF,WC,gnutella_di,0,9,0.11343864105413556,0.91,0.0015875535799333227,0.845852567075088,0.345839912798824,0.8991784914115011,0.0
CELF,WC,gnutella_di,0,10,0.12228448960152405,0.9,0.001746308937926655,0.8517484591723521,0.3454102234964308,0.8917102315160568,0.0
CELF,WC,gnutella_di,0,11,0.1309477694872202,0.89,0.0019050642959199872,0.856565405916421,0.34389446530527323,0.8842419716206124,0.0
CELF,WC,gnutella_di,0,12,0.13588664867439276,0.88,0.0020638196539133195,0.8586973352206817,0.3733977357294732,0.876773711725168,0.0
CELF,WC,gnutella_di,0,13,0.14828385458009208,0.87,0.002222575011906652,0.871918757845228,0.4031283861693936,0.8693054518297236,0.0
CELF,WC,gnutella_di,0,14,0.15354341959041118,0.86,0.002381330369899984,0.871524601959561,0.4319221431205321,0.8655713218820015,0.0
CELF,WC,gnutella_di,0,15,0.1593268772821083,0.85,0.0025400857278933165,0.8765567478958483,0.4592536688216543,0.8581030619865572,0.0
CELF,WC,gnutella_di,0,16,0.1680076202571837,0.84,0.0026988410858866485,0.8800018354214267,0.4861250891571596,0.8230022404779687,0.0
CELF,WC,gnutella_di,0,17,0.17473725988252103,0.83,0.002857596443879981,0.8799646537076167,0.5139038502141549,0.8155339805825242,0.0
CELF,WC,gnutella_di,0,18,0.1787791712970313,0.82,0.0030163518018733134,0.8797319420576111,0.5426464188207583,0.8080657206870799,0.0
CELF,WC,gnutella_di,0,19,0.18461660581044612,0.81,0.0031751071598666455,0.8792900347128473,0.5691987562540233,0.8005974607916355,0.0
CELF,WC,gnutella_di,0,20,0.19308461660581044,0.8,0.003333862517859978,0.8807654813069501,0.5683239375205165,0.7938760268857357,0.0
CELF,WC,gnutella_di,0,21,0.19970630258771235,0.79,0.00349261787585331,0.8848122440633566,0.5636657168384542,0.7864077669902912,0.0
CELF,WC,gnutella_di,0,22,0.20594697571043022,0.78,0.0036513732338466424,0.8875116291001038,0.5563671882419834,0.7789395070948469,0.0
CELF,WC,gnutella_di,0,23,0.21022702016193046,0.77,0.0038101285918399745,0.8894491604082586,0.5574047255302257,0.7580283793876027,0.0
CELF,WC,gnutella_di,0,24,0.21482298777583744,0.76,0.003968883949833307,0.8910124112858355,0.5528388203748498,0.7505601194921583,0.0
CELF,WC,gnutella_di,0,25,0.22204000635021434,0.75,0.004127639307826639,0.8968367189663723,0.5521135902117487,0.7378640776699029,0.0
CELF,WC,gnutella_di,0,26,0.22400381012859183,0.74,0.004286394665819971,0.8983614189540209,0.5516222446134629,0.7303958177744585,0.0
CELF,WC,gnutella_di,0,27,0.231809811081124,0.73,0.004445150023813304,0.8988429922352716,0.5534690401359269,0.7229275578790142,0.0
CELF,WC,gnutella_di,0,28,0.23823781552627402,0.72,0.004603905381806636,0.9089088980798586,0.5595392658384227,0.7162061239731143,0.0
CELF,WC,gnutella_di,0,29,0.24261470074615019,0.71,0.004762660739799968,0.9063680908284086,0.5886362193324948,0.7087378640776699,0.0
CELF,WC,gnutella_di,0,30,0.24633433878393396,0.7,0.004921416097793301,0.9072162818122076,0.5941742463269424,0.7012696041822255,0.0
CELF,WC,gnutella_di,0,31,0.2507763137005874,0.69,0.005080171455786633,0.910393070389875,0.5897541271665898,0.6938013442867812,0.0
CELF,WC,gnutella_di,0,32,0.2551484362597238,0.68,0.005238926813779965,0.9111011404016354,0.5902753475451201,0.6870799103808812,0.0
CELF,WC,gnutella_di,0,33,0.2607477377361486,0.67,0.005397682171773297,0.90644788055358,0.6197765058579354,0.6796116504854368,0.0
CELF,WC,gnutella_di,0,34,0.2612827432925861,0.66,0.00555643752976663,0.9093362404613091,0.6175399322211937,0.6721433905899925,0.0
CELF,WC,gnutella_di,0,35,0.26457056675662805,0.65,0.005715192887759962,0.9062782301600021,0.613079394955317,0.6646751306945482,0.0
CELF,WC,gnutella_di,0,36,0.2717097952055882,0.64,0.005873948245753294,0.9069138012807497,0.6185552352239841,0.6572068707991038,0.0
CELF,WC,gnutella_di,0,37,0.2766502619463407,0.63,0.006032703603746627,0.909000490331883,0.60925504736509,0.6497386109036595,0.0
CELF,WC,gnutella_di,0,38,0.27939672963962536,0.62,0.006191458961739959,0.9086665021262907,0.6073113514822417,0.6310679611650485,0.0
CELF,WC,gnutella_di,0,39,0.28456739164946815,0.61,0.006350214319733291,0.9109827195694605,0.6031500059598,0.6168782673637043,0.0
CELF,WC,gnutella_di,0,40,0.28872678202889346,0.6,0.006508969677726623,0.9126965933912511,0.6038458352742357,0.6094100074682599,0.0
CELF,WC,gnutella_di,0,41,0.29333862517859977,0.59,0.006667725035719956,0.9104856594610466,0.6057873044899854,0.5840179238237491,0.0
CELF,WC,gnutella_di,0,42,0.29645499285600885,0.58,0.006826480393713288,0.909846441481544,0.6289570461793592,0.5765496639283048,0.0
CELF,WC,gnutella_di,0,43,0.3050833465629465,0.57,0.00698523575170662,0.9126692163723551,0.6601251233807295,0.5690814040328603,0.0
CELF,WC,gnutella_di,0,44,0.3082394030798539,0.56,0.007143991109699952,0.9127978331512514,0.6631904422375221,0.5623599701269604,0.0
CELF,WC,gnutella_di,0,45,0.31263375138910937,0.55,0.007302746467693285,0.9126924064723259,0.6695908095799008,0.5571321882001494,0.0
CELF,WC,gnutella_di,0,46,0.31266391490712814,0.54,0.007461501825686617,0.9116609503600945,0.6706025597116005,0.549663928304705,0.0
CELF,WC,gnutella_di,0,47,0.32174472138434673,0.53,0.007620257183679949,0.9139325325313331,0.6683229800828427,0.5421956684092606,0.0
CELF,WC,gnutella_di,0,48,0.3219257024924591,0.52,0.007779012541673282,0.9129350958517605,0.6754623936750733,0.5362210604929052,0.0
CELF,WC,gnutella_di,0,49,0.32892363867280516,0.51,0.007937767899666614,0.9148253697727978,0.6718054076385045,0.5287528005974608,0.0
CELF,WC,gnutella_di,0,50,0.3287696459755517,0.5,0.008096523257659947,0.915415299438299,0.6723974521085421,0.5212845407020164,0.0
CELF,WC,gnutella_di,0,51,0.33571043022702013,0.49,0.008255278615653278,0.9165493758961324,0.7048593589735401,0.513816280806572,0.0
CELF,WC,gnutella_di,0,52,0.33615970789014127,0.48,0.00841403397364661,0.9166263239557948,0.7075507308314012,0.5063480209111277,0.0
CELF,WC,gnutella_di,0,53,0.3414970630258771,0.47,0.008572789331639942,0.9204126451273574,0.7026236701935547,0.4988797610156833,0.0
CELF,WC,gnutella_di,0,54,0.3413144943641848,0.46,0.008731544689633275,0.9196440205665435,0.7029547934856035,0.4929051530993278,0.0
CELF,WC,gnutella_di,0,55,0.3433211620892205,0.45,0.008890300047626608,0.9215646062448746,0.7052187667598626,0.4854368932038835,0.0
CELF,WC,gnutella_di,0,56,0.3447166216859819,0.44,0.009049055405619939,0.9219528955956927,0.7044585777723953,0.4779686333084391,0.0
CELF,WC,gnutella_di,0,57,0.348618828385458,0.43,0.009207810763613272,0.9216968581496982,0.7020862099501222,0.47124719940253923,0.0
CELF,WC,gnutella_di,0,58,0.3528464835688204,0.42,0.009366566121606605,0.9236793673887785,0.6969068542316206,0.4637789395070948,0.0
CELF,WC,gnutella_di,0,59,0.3509255437371011,0.41,0.009525321479599936,0.9218207424880321,0.6971633123818082,0.4563106796116505,0.0
