heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,lastfm_un,0,0,0.01361096537250787,0.0031952250651582823,0.002279093389318692,0.013301503988107454,0.0027221930745015732
CELF,WC,lastfm_un,0,1,0.025205548268625394,0.008122247082667351,0.005330394677924113,0.024461271087650338,0.005041109653725078
CELF,WC,lastfm_un,0,2,0.03544644543546695,0.013183029289334314,0.008858648640372165,0.03402907648983473,0.005041109653725078
CELF,WC,lastfm_un,0,3,0.046944202518363065,0.01884235083853124,0.013390238115413908,0.04450821612830335,0.005041109653725078
CELF,WC,lastfm_un,0,4,0.0558050629590766,0.024880155442453283,0.017661476195612445,0.05244628736592676,0.005041109653725078
CELF,WC,lastfm_un,0,5,0.06319796694648479,0.028710186322835705,0.020010305100982805,0.058934036376698154,0.005041109653725078
CELF,WC,lastfm_un,0,6,0.06971410020986359,0.0340032600629534,0.023796267044644912,0.06450591355892092,0.005041109653725078
CELF,WC,lastfm_un,0,7,0.07827854144805878,0.03942999133410875,0.026883400071392977,0.07165134114364277,0.005041109653725078
CELF,WC,lastfm_un,0,8,0.08343966421825813,0.04234896074774612,0.02865694556425361,0.07587708206590452,0.005041109653725078
CELF,WC,lastfm_un,0,9,0.09021333945435467,0.048152168561549795,0.03312354128447,0.08131779573064846,0.005041109653725078
CELF,WC,lastfm_un,0,10,0.09630108866736622,0.05162762559009648,0.03570529479814509,0.08610892515831978,0.005041109653725078
CELF,WC,lastfm_un,0,11,0.09710773871983211,0.052377445291281105,0.03600663302692966,0.0867334386250466,0.005041109653725078
CELF,WC,lastfm_un,0,12,0.1026354407135362,0.056530513589444054,0.038469440309284855,0.09093501219062568,0.005041109653725078
CELF,WC,lastfm_un,0,13,0.10726273609653725,0.060937854817696535,0.04311277844357315,0.094408658077904,0.005041109653725078
CELF,WC,lastfm_un,0,14,0.1122136017838405,0.06474514601148647,0.04694126112165373,0.09809027007665519,0.005041109653725078
CELF,WC,lastfm_un,0,15,0.11254138247639035,0.06562574266099877,0.047236282625966734,0.09833063401845445,0.005041109653725078
CELF,WC,lastfm_un,0,16,0.11724820304302204,0.06840580617105259,0.04923942709712117,0.10174589268910723,0.005041109653725078
CELF,WC,lastfm_un,0,17,0.11774354669464848,0.07000161539371041,0.04945018363134733,0.10210052327414072,0.005041109653725078
CELF,WC,lastfm_un,0,18,0.12008609653725077,0.07139685175946825,0.05051001771453989,0.10375435795329663,0.005041109653725078
CELF,WC,lastfm_un,0,19,0.12180192812172087,0.07242543904958341,0.0512415033622068,0.10494555267540426,0.005041109653725078
CELF,WC,lastfm_un,0,20,0.12307789874081847,0.07318651866018507,0.05178362794576093,0.1058140396680711,0.005041109653725078
CELF,WC,lastfm_un,0,21,0.12804233997901365,0.07621437012568359,0.05389668226262019,0.10915415569256699,0.005041109653725078
