n_nodes,influence,obj,nodes
0.54,0.01,0.4,"[2817, 641, 6532, 2951, 3851, 8331, 654, 782, 6800, 4503, 8218, 2589, 926, 8096, 2209, 1824, 2598, 6695, 5800, 5932, 3887, 7216, 1463, 312, 1721, 5694, 6207, 5701, 4167, 585, 6613, 6615, 3166, 7647, 4704, 2526, 6115, 3429, 2149, 3687, 359, 7271, 4458, 5873, 2290, 498, 2162]"
0.86,0.0,0.6,"[806, 7976, 7624, 874, 528, 1744, 6990, 2676, 4789, 630, 5174, 4214, 8052, 891, 8061]"
0.99,0.0,0.8,"[5641, 167]"
0.94,0.0,0.6,"[4549, 8346, 8202, 6379, 77, 2831, 1563]"
0.9,0.0,0.6,"[1413, 3079, 1033, 4620, 6413, 8205, 1549, 1296, 654, 1437, 1449]"
0.88,0.0,0.6,"[646, 1286, 776, 2831, 7056, 3568, 7504, 3476, 6517, 4280, 410, 316, 2578]"
0.95,0.0,1.0,"[3905, 3182, 7056, 2839, 4509, 6814]"
0.77,0.0,0.6,"[6915, 2949, 6413, 8205, 654, 1296, 8595, 5909, 7321, 4773, 1064, 5161, 5418, 4139, 8489, 4525, 2608, 4400, 4913, 5169, 7347, 5427, 5557, 1738]"
0.65,0.01,0.4,"[4097, 7180, 141, 1567, 1830, 1708, 6189, 7341, 1711, 5808, 1329, 7730, 2868, 2232, 5945, 8252, 573, 4801, 1857, 8132, 7492, 4169, 2762, 8268, 3916, 8396, 1618, 5715, 2923, 3699, 6900, 4725, 3958, 4341, 7161, 1018]"
0.97,0.0,0.8,"[5858, 1166, 4658, 5790]"
0.86,0.0,0.4,"[35, 6309, 2214, 7303, 5675, 7820, 2060, 2705, 8420, 4660, 6709, 792, 3609, 8221, 1566]"
0.96,0.0,0.8,"[7943, 4873, 1166, 315, 7672]"
0.94,0.0,1.0,"[7943, 4873, 6417, 7763, 5273, 5402, 6941]"
0.95,0.0,0.8,"[3905, 5853, 6151, 5063, 10, 3182]"
1.0,0.0,1.0,[389]
0.91,0.0,0.6,"[6915, 2949, 8205, 6413, 654, 1296, 8595, 5402, 6941, 402]"
0.81,0.01,0.4,"[7303, 919, 6295, 4512, 673, 3618, 35, 6309, 2214, 5675, 4660, 6709, 6196, 3512, 1332, 1250, 8035, 8420, 2930, 2427]"
0.76,0.01,0.4,"[515, 2822, 2312, 7304, 8202, 1039, 5522, 789, 154, 669, 798, 6686, 2720, 801, 5669, 7334, 1319, 6440, 1194, 6963, 3146, 77, 6379, 497, 1362]"
0.88,0.0,0.8,"[5696, 1825, 1602, 1987, 3683, 8070, 5863, 744, 743, 3018, 1035, 6540, 649]"
