n_nodes,influence,nodes
0.00023153507756425097,0.0,"[32, 4489]"
0.00011576753878212549,0.0,[4484]
0.0009261403102570039,0.01,"[32, 1, 4484, 132, 4489, 1068, 173, 1026]"
0.0006946052326927529,0.01,"[32, 1, 4489, 8458, 75, 173]"
0.002546885853206761,0.01,"[1, 4484, 132, 4489, 1556, 24, 32, 2729, 1068, 173, 428, 429, 4925, 1473, 582, 200, 713, 201, 3656, 75, 4814, 7002]"
0.0005788376939106274,0.0,"[1, 4484, 8, 4489, 8458]"
0.0008103727714748784,0.01,"[32, 1, 1026, 4484, 4489, 1068, 173]"
0.00046307015512850195,0.0,"[1, 4489, 75, 173]"
0.009956008335262792,0.03,"[1, 1026, 5656, 24, 32, 1068, 582, 3656, 75, 1103, 80, 1133, 132, 2729, 173, 3763, 5312, 4289, 200, 713, 714, 8396, 7893, 2779, 732, 231, 235, 237, 2333, 799, 3362, 1314, 296, 3884, 5423, 1331, 6452, 1333, 4917, 1339, 4925, 6480, 3940, 2408, 873, 1905, 6004, 4468, 6009, 6010, 4484, 1414, 4489, 5513, 5006, 2963, 7571, 5011, 6551, 3483, 5022, 5030, 5545, 428, 429, 2990, 3506, 4531, 2996, 6070, 5048, 7609, 3002, 6075, 7101, 4030, 7108, 1988, 4551, 983, 480, 5089, 484, 2028, 4081, 6474]"
0.005093771706413522,0.02,"[1, 1026, 4484, 132, 4489, 5656, 24, 32, 2729, 1068, 173, 428, 5423, 429, 942, 3763, 1339, 5052, 4925, 446, 5312, 4417, 582, 200, 3656, 714, 713, 75, 2763, 8396, 8521, 2127, 6480, 732, 3940, 231, 2408, 871, 235, 237, 1905, 6004, 1274, 1149]"
0.009840240796480666,0.03,"[1, 1026, 5656, 24, 32, 1068, 582, 3656, 75, 1103, 80, 1133, 132, 2729, 173, 3763, 5312, 4289, 200, 713, 714, 8396, 7893, 2779, 732, 231, 235, 237, 2333, 799, 3362, 1314, 296, 3884, 5423, 1331, 6452, 1333, 4917, 1339, 4925, 6474, 6480, 3940, 2408, 873, 1905, 6004, 4468, 6009, 6010, 4484, 1414, 4489, 5513, 5006, 2963, 7571, 5011, 3483, 5022, 5030, 5545, 428, 429, 2990, 3506, 4531, 2996, 6070, 5048, 7609, 3002, 6075, 7101, 4030, 7108, 1988, 4551, 983, 480, 5089, 484, 2028, 4081]"
0.004862236628849271,0.02,"[1, 1026, 4484, 132, 4489, 5656, 24, 32, 2729, 1068, 173, 428, 5423, 429, 3763, 1339, 5052, 4925, 446, 959, 5312, 4417, 582, 200, 3656, 714, 713, 75, 2763, 8396, 8521, 2127, 6480, 3940, 231, 2408, 871, 235, 237, 1905, 6004, 1274]"
0.004746469090067145,0.02,"[1, 1026, 4484, 132, 4489, 5656, 24, 32, 2729, 1068, 173, 428, 5423, 429, 942, 3763, 1339, 5052, 4925, 446, 5312, 4417, 582, 200, 3656, 714, 713, 8396, 75, 8521, 1103, 80, 6480, 7893, 2779, 732, 3940, 231, 2408, 1905, 6004]"
0.005788376939106275,0.02,"[1, 1026, 4484, 132, 4489, 5656, 2128, 32, 2729, 1068, 173, 428, 5423, 429, 942, 3763, 1339, 5052, 4925, 446, 5312, 4417, 582, 200, 3656, 714, 713, 75, 2763, 8396, 8521, 2127, 6480, 2768, 80, 1874, 732, 3940, 231, 2408, 871, 873, 235, 108, 237, 1905, 6004, 4468, 6010, 8447]"
0.0010419078490391295,0.01,"[32, 1, 4484, 132, 4489, 2729, 1068, 429, 1556]"
0.003936096318592266,0.02,"[1, 1026, 4484, 132, 4489, 5656, 24, 32, 2729, 1068, 173, 428, 5423, 429, 942, 3763, 4661, 1850, 1339, 5052, 4925, 446, 959, 5312, 4417, 582, 3656, 200, 713, 75, 714, 2763, 5471, 87]"
