n_nodes,influence,nodes
4,39.82,"[1, 386, 8452, 4495]"
3,35.51,"[1, 386, 1326]"
1,12.67,[1]
86,232.37,"[1, 14, 4114, 24, 31, 1568, 1570, 2598, 40, 2108, 5693, 1601, 76, 1102, 142, 3215, 3227, 1694, 3744, 165, 1703, 2737, 1203, 3253, 2742, 8393, 6349, 8462, 1819, 285, 2849, 289, 290, 2342, 1326, 3376, 312, 2886, 8523, 3410, 363, 1391, 370, 4479, 386, 2946, 902, 3464, 4488, 7050, 7563, 4492, 3468, 4495, 1423, 3984, 2449, 1937, 7057, 3473, 8085, 5519, 5018, 6554, 924, 2460, 5037, 1966, 4526, 942, 433, 5041, 947, 7601, 1973, 6582, 2486, 440, 1976, 1468, 1480, 2009, 2021, 3066, 1019, 3850]"
7,63.88,"[1, 386, 8452, 76, 4495, 150, 2742, 24]"
2,25.01,"[1, 1326]"
9,71.67,"[1, 386, 8452, 201, 165, 1703, 40, 76, 4495, 1694]"
28,126.59,"[386, 8452, 4492, 3724, 14, 4495, 8463, 4114, 24, 5785, 6554, 3227, 2460, 1694, 3744, 290, 35, 8483, 165, 1703, 40, 433, 947, 7356, 703, 6730, 76, 5749]"
7,58.44,"[1, 386, 8452, 165, 163, 40, 24]"
31,137.36,"[1, 386, 3724, 14, 4495, 8462, 8463, 4114, 1424, 150, 24, 3227, 2460, 285, 2078, 1694, 289, 1570, 290, 165, 1703, 40, 433, 947, 7356, 703, 1352, 6730, 76, 5749, 4469]"
65,214.78,"[1, 386, 8452, 4492, 14, 3215, 1423, 4495, 8463, 4114, 1424, 150, 24, 3227, 2460, 285, 2078, 1694, 31, 2849, 1570, 289, 290, 165, 2342, 1703, 40, 8616, 170, 3116, 1454, 1966, 3376, 4526, 942, 1203, 433, 3253, 2742, 5041, 312, 947, 1973, 320, 1728, 2881, 1862, 76, 1102, 2009, 7132, 988, 861, 2021, 2024, 5481, 363, 6636, 1391, 880, 1392, 370, 1907, 2934, 197]"
5,44.74,"[386, 8452, 4492, 14, 24]"
