seed_set,spread,seed,communities,fairness,budget,time
"[6935, 5016, 3350, 1199, 600, 596, 163, 86, 54, 38]",0.019222042139384117,0.91,0.4496803881016038,0.32345498841135556,0.9113338473400154,0.0
"[8026, 7573, 7059, 6935, 6384, 6382, 6304, 5564, 4770, 4351, 4313, 4020, 3930, 3838, 3371, 3350, 3178, 2999, 2465, 2346, 1873, 1777, 1754, 1442, 1068, 881, 867, 863, 807, 600, 566, 437, 422, 293, 277, 270, 163, 86, 54, 38]",0.04521185459597129,0.61,0.6044411733909105,0.5313927325471994,0.8121305576972501,0.0
"[8631, 6978, 6935, 6852, 6304, 6229, 5849, 4770, 4313, 4020, 3371, 3350, 2920, 2346, 1873, 1872, 1754, 1676, 1199, 1084, 1068, 904, 889, 867, 807, 600, 566, 437, 293, 270, 163, 141, 86, 54, 52, 38, 14]",0.046414679323917574,0.64,0.600961604754545,0.5356466762864531,0.7938833204831663,0.0
"[8026, 7381, 7351, 6935, 6464, 6384, 6382, 5949, 5595, 5465, 4452, 4313, 4032, 4020, 3930, 3552, 3371, 3178, 2782, 2662, 2655, 2526, 2465, 2410, 2346, 2180, 1873, 1857, 1777, 1754, 1442, 1087, 1068, 881, 867, 863, 614, 607, 600, 570, 566, 446, 437, 422, 293, 277, 270, 163, 86, 54, 38]",0.05566566334799722,0.5,0.6081271897438314,0.5431903423280647,0.7625289128758674,0.0
"[8631, 8198, 7573, 6978, 6935, 6852, 6304, 6229, 5849, 4391, 4313, 3371, 3350, 2920, 2346, 2180, 1873, 1872, 1754, 1442, 1084, 1068, 889, 867, 807, 600, 566, 437, 422, 293, 277, 270, 163, 86, 54, 38]",0.04504399166473721,0.65,0.6015514940764092,0.5415351445659232,0.8036494474428167,0.0
"[8026, 7559, 6690, 6229, 5949, 5849, 4817, 4428, 4313, 4020, 3903, 3552, 3371, 3350, 2782, 2180, 1873, 1872, 1869, 1857, 1754, 1442, 1231, 1217, 1084, 1068, 867, 863, 807, 754, 600, 596, 566, 437, 422, 346, 293, 277, 270, 209, 163, 86, 54, 38]",0.05203982403334105,0.57,0.5999274651748143,0.5683724379136176,0.7676689796967361,0.0
"[7559, 6690, 5849, 4313, 4020, 3555, 3552, 3371, 3350, 2920, 2180, 1873, 1872, 1754, 1442, 1084, 1068, 889, 867, 807, 600, 566, 437, 422, 293, 277, 163, 86, 54, 38]",0.04382611715674924,0.71,0.5777345381904571,0.4747272898585293,0.8036494474428167,0.0
"[8631, 6978, 6935, 6304, 6229, 5849, 4770, 4313, 4020, 3371, 3350, 3337, 2920, 2346, 2180, 1873, 1872, 1754, 1199, 1084, 1068, 889, 867, 807, 600, 566, 437, 354, 293, 270, 163, 86, 54, 38]",0.04244153739291503,0.67,0.5962202000884009,0.5334891599288618,0.8154716011308147,0.0
"[6690, 6304, 5849, 4808, 4313, 4020, 3555, 3552, 3371, 3350, 2920, 1873, 1872, 1754, 1442, 1084, 1068, 889, 867, 807, 600, 566, 437, 422, 293, 277, 163, 86, 54, 38]",0.042783051632322294,0.71,0.5808913529962446,0.4779203735862797,0.8100745309689026,0.0
"[6690, 5906, 5849, 4313, 4020, 3555, 3552, 3371, 2920, 1873, 1872, 1754, 1199, 1084, 1068, 889, 867, 807, 600, 596, 566, 437, 422, 293, 163, 86, 54, 38]",0.040805742069923594,0.73,0.5607639222190364,0.49250944558757304,0.8195836545875097,0.0
"[8631, 8183, 7559, 6978, 6229, 6092, 5849, 5589, 5422, 4727, 4313, 4020, 3794, 3786, 3552, 3371, 3350, 2920, 2768, 2180, 1873, 1872, 1869, 1754, 1199, 1145, 1084, 1068, 867, 600, 596, 588, 584, 566, 468, 437, 293, 277, 270, 179, 163, 86, 54, 52, 38]",0.05068302847881454,0.56,0.6038926332952377,0.5544708865817098,0.7774351066563865,0.0
"[8631, 8026, 7606, 7573, 7089, 7086, 7059, 6935, 6600, 6539, 6229, 6078, 5949, 5849, 5577, 5564, 5060, 4892, 4817, 4351, 4313, 4036, 4032, 4020, 3903, 3502, 3350, 2999, 2782, 2504, 1990, 1986, 1963, 1956, 1955, 1922, 1873, 1872, 1869, 1857, 1777, 1442, 1231, 1217, 1199, 1068, 962, 958, 867, 863, 754, 600, 596, 566, 447, 446, 437, 431, 422, 346, 288, 277, 270, 209, 163, 154, 141, 86, 54, 38, 12]",0.06819286871961101,0.3,0.6211711847760646,0.5817231632248567,0.707787201233616,0.0
[163],0.0031095160916878905,1.0,0.23780379218669057,0.1674453888423022,0.9861218195836546,0.19999999999999996
"[7559, 6229, 4313, 3552, 3350, 3158, 2180, 1754, 600, 293, 270, 163, 86, 38]",0.02190206066219032,0.87,0.48633554152667857,0.3705376698813624,0.9056797738370599,0.0
"[8631, 7181, 6978, 6229, 5849, 4892, 4486, 4313, 4020, 3371, 2920, 2683, 2465, 2346, 1873, 1872, 1754, 1442, 1199, 1084, 1068, 889, 867, 807, 600, 566, 437, 354, 277, 163, 154, 86, 54, 38, 25]",0.04586246816392684,0.66,0.5972194886729993,0.5512228617726767,0.7928553071189925,0.0
"[7559, 4313, 3552, 3350, 3158, 2180, 1754, 600, 293, 270, 163, 86, 38]",0.021801342903449872,0.88,0.47989285231775636,0.35601198123290523,0.9072217938833205,0.0
"[8631, 6229, 5849, 4313, 3371, 3350, 2920, 2346, 2180, 1873, 1872, 1754, 1199, 1084, 1068, 889, 867, 807, 600, 566, 437, 422, 354, 293, 163, 86, 54, 38]",0.039699004399166474,0.73,0.5679614016322609,0.4955152646957197,0.822153687997944,0.0
"[6690, 6304, 5849, 4808, 4313, 4020, 3555, 3552, 3371, 3350, 2920, 1873, 1754, 1442, 1084, 1068, 889, 867, 807, 600, 566, 437, 422, 293, 277, 163, 86, 54, 38]",0.040883306320907614,0.72,0.5763146116892578,0.47627288727109207,0.8172706245181187,0.0
"[6229, 5849, 4817, 4313, 3555, 3552, 3107, 2920, 1873, 1872, 1754, 1640, 1582, 1231, 1217, 1068, 889, 867, 600, 596, 566, 277, 270, 209, 163, 141, 86, 54, 38, 25]",0.04639615651771243,0.71,0.5529238461115022,0.4610339180307331,0.7841171935235158,0.0
"[8631, 8026, 7629, 7606, 7573, 7455, 7089, 7086, 6935, 6600, 6229, 5950, 5949, 5849, 5577, 5564, 5060, 4892, 4817, 4313, 4036, 4032, 4020, 3903, 3502, 3350, 3107, 2999, 2782, 2504, 2336, 2180, 1990, 1986, 1963, 1956, 1955, 1873, 1872, 1869, 1857, 1582, 1442, 1231, 1217, 1068, 962, 958, 867, 863, 754, 600, 596, 566, 468, 447, 446, 437, 431, 422, 418, 354, 346, 288, 277, 270, 209, 163, 154, 86, 54, 38, 25]",0.0701574438527437,0.28,0.6283212039224699,0.5913475039029678,0.7021331277306605,0.0
"[6935, 3552, 3350, 3107, 1199, 600, 596, 86, 54]",0.016672840935401716,0.92,0.4476533471272911,0.31971513614485847,0.9257260344384477,0.19999999999999996
"[8631, 7181, 6978, 6229, 5849, 4892, 4486, 4313, 4020, 3371, 2920, 2683, 2465, 2346, 1873, 1872, 1797, 1754, 1442, 1199, 1084, 1068, 889, 867, 807, 600, 566, 437, 354, 277, 163, 154, 86, 54, 38, 25]",0.04640889094697847,0.65,0.594899563599343,0.5505125067676278,0.7920842970958623,0.0
"[7573, 7455, 6935, 4498, 4313, 3552, 3350, 2465, 2346, 2336, 2180, 1881, 1754, 1442, 807, 600, 422, 293, 277, 270, 163, 86]",0.029136374160685343,0.79,0.549302624179577,0.46263315124018156,0.8794654330506296,0.19999999999999996
"[8631, 8026, 7606, 7573, 6935, 6304, 6229, 5957, 5949, 5849, 5564, 4817, 4770, 4313, 4020, 3903, 3371, 3350, 2999, 2782, 2465, 2346, 2336, 2180, 1873, 1872, 1869, 1857, 1730, 1442, 1231, 1068, 867, 863, 831, 807, 754, 600, 596, 566, 447, 446, 437, 422, 346, 293, 277, 270, 209, 163, 86, 54, 38]",0.05542370919194258,0.48,0.6242957549270163,0.5661530877089467,0.7597018761243897,0.0
"[6690, 5849, 4313, 4020, 3555, 3552, 3371, 2920, 1873, 1872, 1754, 1199, 1084, 1068, 867, 807, 600, 596, 566, 437, 422, 293, 277, 163, 86, 54, 38]",0.039835610094929384,0.74,0.5575904894881067,0.4660579822556903,0.8170136211770753,0.0
"[8387, 7745, 7629, 7606, 7573, 7381, 7257, 7114, 7089, 7086, 6935, 6852, 6600, 6304, 6232, 6078, 5849, 5689, 5465, 4892, 4817, 4569, 4351, 4313, 4050, 4036, 4020, 3786, 3502, 3350, 3158, 3107, 3013, 2782, 2504, 2465, 2180, 1990, 1986, 1956, 1955, 1873, 1869, 1777, 1754, 1582, 1442, 1068, 962, 709, 603, 600, 584, 566, 446, 437, 431, 422, 418, 293, 288, 277, 163, 154, 89, 86, 54, 38, 25]",0.06703403565640194,0.32,0.6473165753416774,0.6051191131585261,0.7224363916730918,0.0
"[8026, 7629, 7606, 7573, 7089, 7086, 6935, 6690, 6600, 6229, 6078, 5950, 5949, 5849, 5577, 5564, 5060, 4892, 4817, 4313, 4036, 4032, 4020, 3903, 3502, 3437, 3350, 3107, 2999, 2782, 2504, 1990, 1963, 1956, 1955, 1873, 1872, 1869, 1857, 1582, 1442, 1231, 1217, 1068, 962, 958, 867, 863, 754, 600, 596, 566, 468, 447, 446, 437, 431, 422, 418, 354, 346, 288, 277, 270, 209, 163, 154, 86, 54, 38, 25]",0.06834220884463997,0.3,0.6186944674112747,0.5652125012718551,0.708301207915703,0.0
"[6229, 5849, 4817, 4313, 4240, 3552, 3107, 1873, 1872, 1754, 1582, 1231, 1217, 1068, 889, 867, 600, 596, 566, 277, 270, 209, 163, 141, 86, 54, 38, 25]",0.0451690206066219,0.73,0.5467871236388273,0.4518282675450699,0.7892572603443845,0.0
"[1199, 600, 596, 163, 86, 38]",0.015002315350775643,0.95,0.4074106166083432,0.2716960601331423,0.9316371112824466,0.19999999999999996
"[8631, 6978, 6229, 5849, 4892, 4313, 4020, 3552, 3371, 2920, 2683, 2465, 2346, 1873, 1872, 1754, 1442, 1199, 1084, 1068, 889, 867, 807, 600, 566, 437, 354, 277, 154, 102, 86, 54, 38, 25]",0.046553600370456125,0.67,0.5947998490565652,0.525274072716222,0.8072474942174248,0.0
"[7573, 6935, 6304, 4313, 3555, 3552, 3371, 3350, 2920, 2465, 2346, 2180, 1873, 1872, 1084, 889, 867, 807, 600, 566, 422, 293, 270, 163, 86, 38]",0.03431581384579764,0.75,0.5637209786681305,0.46739218575667973,0.8506810588537651,0.0
"[7573, 6935, 6304, 5849, 4313, 4020, 3555, 3552, 3371, 3350, 2920, 2336, 2180, 1873, 1872, 1754, 1199, 1084, 1068, 889, 600, 596, 566, 277, 270, 86, 54]",0.03807594350544107,0.74,0.5749216054085748,0.5010070572785895,0.833975841685942,0.0
"[4313, 3107, 2782, 1873, 1872, 1754, 1582, 1231, 1217, 1084, 1068, 754, 600, 596, 566, 277, 270, 163, 141, 86, 54, 25]",0.038775179439685115,0.79,0.5341973718506812,0.40236004459369945,0.8206116679516834,0.0
"[8631, 8026, 7606, 7573, 6935, 6852, 6600, 6304, 6078, 5849, 5827, 5589, 5564, 4569, 4313, 4050, 4020, 3933, 3794, 3786, 3371, 3350, 2999, 2782, 2768, 2504, 2465, 2346, 2180, 1892, 1873, 1872, 1869, 1084, 1068, 867, 863, 807, 754, 600, 596, 588, 584, 566, 446, 437, 422, 346, 316, 293, 270, 163, 86, 54, 38]",0.05334105116925214,0.46,0.6337205864771023,0.5819615606823125,0.7748650732459522,0.0
"[163, 38]",0.005661032646445937,0.99,0.2892058960834095,0.1923665358363459,0.973271652531483,0.19999999999999996
"[6978, 6229, 6092, 5849, 5589, 4892, 4313, 4050, 4020, 3794, 3786, 3552, 3371, 2768, 2465, 2346, 1873, 1872, 1869, 1754, 1442, 1199, 1084, 1068, 807, 718, 600, 596, 588, 584, 566, 468, 437, 354, 277, 227, 154, 86, 54, 38, 25]",0.0506100949293818,0.6,0.6141052103203377,0.5556020607249295,0.7874582369570804,0.0
"[5849, 4313, 3552, 2782, 1886, 1873, 1872, 1754, 1582, 1231, 1217, 1084, 1068, 889, 867, 600, 596, 566, 277, 270, 163, 141, 86, 54, 25]",0.042827043297059504,0.76,0.5534621628153888,0.4445912390666128,0.8082755075815986,0.0
"[8631, 8387, 8026, 7745, 7629, 7606, 7573, 6935, 6852, 6600, 6304, 6229, 6078, 5943, 5849, 5564, 4817, 4770, 4313, 4036, 4020, 3786, 3371, 3350, 3013, 2999, 2782, 2504, 2465, 2346, 2336, 2180, 1926, 1873, 1869, 1442, 1085, 1068, 867, 863, 807, 754, 709, 600, 596, 588, 584, 566, 446, 437, 422, 346, 293, 277, 270, 209, 165, 163, 86, 54, 38]",0.058126881222505214,0.4,0.6472399094047614,0.6047549879629037,0.7476227190953482,0.0
"[6935, 5016, 1199, 1068, 600, 596, 163, 86, 54, 38]",0.01990043991664737,0.91,0.44400657907468055,0.3204808958947749,0.9046517604728861,0.0
"[8384, 6229, 5863, 4817, 4811, 4633, 4240, 4191, 4032, 3107, 2920, 1873, 1872, 1857, 1754, 1582, 1362, 1231, 1217, 1087, 1068, 889, 867, 600, 596, 570, 566, 446, 277, 270, 209, 163, 141, 86, 54, 38, 25]",0.05077216948367678,0.64,0.5734895610761515,0.47832220314493945,0.7715240298123875,0.0
"[6935, 5016, 1199, 1068, 600, 163, 86, 54, 38]",0.017992590877517943,0.92,0.4349882573233623,0.3041852216080778,0.9115908506810588,0.0
"[6935, 3350, 1199, 1068, 600, 596, 163, 86, 67, 54, 38]",0.022815466543181295,0.9,0.4702015452176517,0.32096353495249175,0.8905165767154973,0.0
"[5849, 4313, 3555, 3552, 3107, 2920, 2369, 1873, 1872, 1754, 1582, 1231, 1084, 1068, 889, 867, 600, 596, 566, 437, 277, 270, 209, 163, 141, 86, 54, 38]",0.04457050243111831,0.73,0.5517761258094062,0.4448907176400725,0.7902852737085582,0.0
"[6229, 5849, 4817, 4313, 4240, 4192, 3552, 3107, 2180, 1873, 1872, 1754, 1582, 1231, 1217, 1068, 889, 867, 600, 596, 566, 277, 270, 209, 163, 86, 54, 38, 25]",0.045405186385737435,0.72,0.5556748448083633,0.4585083848156293,0.7905422770496017,0.0
"[6935, 5016, 5001, 3350, 1199, 600, 596, 163, 86, 54]",0.01689742996063904,0.91,0.45069173663197626,0.3363747934691057,0.9236700077101002,0.19999999999999996
"[8384, 6229, 5863, 4817, 4811, 4670, 4240, 4191, 4032, 2920, 1873, 1872, 1857, 1754, 1582, 1362, 1231, 1217, 1087, 1068, 889, 867, 600, 596, 570, 566, 446, 277, 270, 209, 163, 141, 86, 54, 38, 25]",0.04883422088446399,0.65,0.565075707529265,0.4757573013171965,0.7792341300436906,0.0
"[6935, 5951, 4506, 1068, 600, 596, 277, 270, 163, 86, 54, 38, 25]",0.024277610557999537,0.88,0.46553997217378007,0.3349113496386663,0.8864045232588024,0.19999999999999996
"[6690, 6304, 5849, 4808, 4313, 4020, 3555, 3552, 3371, 3350, 2920, 1873, 1754, 1442, 1084, 1068, 889, 867, 600, 566, 437, 422, 293, 277, 163, 86, 54, 38]",0.03945705024311183,0.73,0.5736215501274524,0.46261061892814603,0.822153687997944,0.0
