n_nodes,influence,obj,nodes
1.0,0.0,0.19999999999999996,[15]
1.0,0.0,0.4,[1]
0.99,0.01,0.19999999999999996,"[141, 15]"
0.99,0.0,1.0,"[5327, 927]"
0.75,0.04,0.19999999999999996,"[5774, 15, 1935, 920, 1564, 4129, 163, 3368, 4154, 4296, 3017, 202, 2632, 3275, 590, 2131, 1364, 3668, 468, 86, 8407, 851, 600, 3288, 2515, 731]"
0.99,0.0,0.4,"[1, 5774]"
1.0,0.0,1.0,[3152]
1.0,0.0,0.8,[1478]
1.0,0.0,0.6,[202]
0.99,0.0,0.6,"[202, 5774]"
0.97,0.0,0.4,"[1478, 5774, 3599, 1862]"
0.9,0.02,0.19999999999999996,"[1, 1697, 163, 35, 4006, 141, 5774, 15, 920, 1564, 413]"
0.99,0.0,0.8,"[1478, 5774]"
0.67,0.05,0.0,"[1, 141, 5774, 15, 920, 413, 4129, 1697, 6945, 163, 4006, 3368, 3881, 4296, 202, 75, 590, 1872, 5713, 851, 3668, 86, 8407, 600, 2515, 731, 1499, 607, 1248, 5856, 7007, 100, 230, 1254]"
0.97,0.01,0.19999999999999996,"[1, 1697, 15, 920]"
0.95,0.01,0.4,"[2369, 1478, 1862, 5774, 3599, 8128]"
0.93,0.02,0.19999999999999996,"[1, 1697, 163, 15, 920, 1564, 413, 1026]"
0.97,0.0,0.6,"[5774, 6502, 3599, 2083]"
0.69,0.05,0.0,"[141, 5774, 15, 150, 920, 2200, 413, 4129, 1697, 163, 4006, 1196, 3507, 566, 75, 590, 1872, 5713, 851, 3668, 2515, 86, 600, 731, 1499, 607, 1248, 5856, 7007, 100, 230, 1254]"
0.93,0.02,0.0,"[1, 1697, 163, 141, 5774, 15, 86, 920]"
0.89,0.02,0.19999999999999996,"[1, 1697, 163, 4129, 141, 15, 3507, 566, 920, 2200, 413, 1951]"
0.96,0.0,0.4,"[1862, 5774, 6502, 3599, 5275]"
0.58,0.06,0.0,"[1, 141, 5774, 15, 2833, 277, 150, 920, 2200, 413, 4129, 1697, 163, 4006, 2855, 3507, 566, 1337, 1090, 2250, 3275, 75, 1740, 590, 1872, 5713, 2131, 3668, 851, 86, 600, 3288, 2901, 731, 1499, 1248, 5856, 100, 230, 8169, 882, 636, 511]"
0.72,0.05,0.0,"[1, 141, 5774, 15, 2833, 150, 920, 413, 4129, 1697, 163, 4006, 1196, 3507, 566, 75, 590, 1872, 5713, 851, 3668, 2515, 86, 8407, 600, 731, 1499, 607, 8183]"
0.91,0.02,0.0,"[1, 1697, 2321, 163, 4129, 141, 5774, 15, 86, 920]"
0.98,0.0,0.4,"[1862, 1478, 3599]"
0.98,0.01,0.19999999999999996,"[920, 1, 15]"
0.94,0.02,0.0,"[1697, 163, 141, 2061, 15, 86, 920]"
