seed_set,spread,seed,communities,fairness,budget,time
[15],0.003909469784672378,1.0,0.2703866202098595,0.1674453888423022,0.9845797995373939,0.19999999999999996
[1],0.002823570270896041,1.0,0.23033381232974948,0.1674453888423022,0.9892058596761758,0.4
"[141, 15]",0.0065674924751099786,0.99,0.3066488652109808,0.1674453888423022,0.9737856592135697,0.19999999999999996
"[5327, 927]",0.0006170409817087289,0.99,0.04996900182018538,0.1931707809558959,0.9987149832947828,1.0
"[8407, 5774, 4296, 4154, 4129, 3668, 3368, 3288, 3275, 3017, 2632, 2515, 2131, 1935, 1564, 1364, 920, 851, 731, 600, 590, 468, 202, 163, 86, 15]",0.03590877517943969,0.75,0.5225298730477574,0.3838777292000203,0.8524800822410692,0.19999999999999996
"[5774, 1]",0.003324843713822644,0.99,0.23651944090681554,0.18010868641176359,0.988177846312002,0.4
[3152],0.00042949756888168556,1.0,0.057098777919209476,0.1674453888423022,0.9989719866358263,0.8
[1478],0.0008937253993980088,1.0,0.17871597359487768,0.1674453888423022,0.9976869699306091,0.6
[202],0.002015512850196805,1.0,0.20749707893517277,0.1674453888423022,0.9928039064507839,0.4
"[5774, 202]",0.002451956471405418,0.99,0.21632872127244474,0.18010868641176359,0.9917758930866101,0.4
"[5774, 3599, 1862, 1478]",0.0043540171335957395,0.97,0.24920701092641195,0.21873924902086705,0.986378822924698,0.4
"[5774, 4006, 1697, 1564, 920, 413, 163, 141, 35, 15, 1]",0.02332368603843482,0.9,0.4495062170617151,0.2733810309553987,0.8959136468774094,0.19999999999999996
"[5774, 1478]",0.001258393146561704,0.99,0.19569584206767543,0.18672487351377465,0.9966589565664353,0.8
"[8407, 7007, 6945, 5856, 5774, 5713, 4296, 4129, 4006, 3881, 3668, 3368, 2515, 1872, 1697, 1499, 1254, 1248, 920, 851, 731, 607, 600, 590, 413, 230, 202, 163, 141, 100, 86, 75, 15, 1]",0.049739523037740214,0.67,0.5673275676685038,0.40678578984067215,0.7861732202518633,0.0
"[1697, 920, 15, 1]",0.011558231072007409,0.97,0.3730931385055789,0.21482248719029384,0.9498843484965305,0.19999999999999996
"[8128, 5774, 3599, 2369, 1862, 1478]",0.005055568418615421,0.95,0.25577663160747477,0.2540476717634612,0.9856078129015677,0.4
"[1697, 1564, 1026, 920, 413, 163, 15, 1]",0.01896851122945126,0.93,0.4266327520977029,0.25373768029043,0.9136468774094063,0.19999999999999996
"[6502, 5774, 3599, 2083]",0.002353554063440611,0.97,0.21281267385428437,0.20404917896788188,0.9935749164739142,0.6
"[7007, 5856, 5774, 5713, 4129, 4006, 3668, 3507, 2515, 2200, 1872, 1697, 1499, 1254, 1248, 1196, 920, 851, 731, 607, 600, 590, 566, 413, 230, 163, 150, 141, 100, 86, 75, 15]",0.048929150266265334,0.69,0.5638564880967243,0.40264471631333565,0.7931123104600359,0.0
"[5774, 1697, 920, 163, 141, 86, 15, 1]",0.02032183375781431,0.93,0.4361347280705359,0.25337966522114364,0.9074787972243639,0.0
"[4129, 3507, 2200, 1951, 1697, 920, 566, 413, 163, 141, 15, 1]",0.024689742996063906,0.89,0.47102624992653885,0.3391190729335227,0.8918015934207144,0.19999999999999996
"[6502, 5774, 5275, 3599, 1862]",0.004458207918499653,0.96,0.24844360497646734,0.23389641352376367,0.9871498329478283,0.4
"[8169, 5856, 5774, 5713, 4129, 4006, 3668, 3507, 3288, 3275, 2901, 2855, 2833, 2250, 2200, 2131, 1872, 1740, 1697, 1499, 1337, 1248, 1090, 920, 882, 851, 731, 636, 600, 590, 566, 511, 413, 277, 230, 163, 150, 141, 100, 86, 75, 15, 1]",0.05773790229219727,0.58,0.5828659421787341,0.46941291504618154,0.7442816756617836,0.0
"[8407, 8183, 5774, 5713, 4129, 4006, 3668, 3507, 2833, 2515, 1872, 1697, 1499, 1196, 920, 851, 731, 607, 600, 590, 566, 413, 163, 150, 141, 86, 75, 15, 1]",0.04590761750405187,0.72,0.5593199915252844,0.4024188216526312,0.8028784374196865,0.0
"[5774, 4129, 2321, 1697, 920, 163, 141, 86, 15, 1]",0.023544802037508684,0.91,0.471526957733557,0.2813531203900188,0.899254690310974,0.0
"[3599, 1862, 1478]",0.004189627228525121,0.98,0.24317550068641058,0.21542745589585632,0.9874068362888717,0.4
"[920, 15, 1]",0.009293818013429034,0.98,0.35451249122930906,0.19213507820519127,0.9593934721151375,0.19999999999999996
