n_nodes,influence,communities,nodes
82.0,512.57,0.045019699620624354,"[0, 513, 515, 4, 533, 23, 29, 31, 128, 659, 155, 163, 676, 169, 170, 181, 185, 698, 257, 265, 288, 804, 295, 808, 810, 811, 815, 817, 307, 822, 316, 832, 322, 340, 858, 859, 862, 354, 866, 868, 359, 871, 367, 372, 374, 892, 900, 901, 905, 908, 909, 919, 409, 921, 411, 412, 413, 414, 417, 929, 932, 423, 424, 425, 938, 429, 941, 944, 945, 432, 436, 949, 438, 960, 961, 964, 965, 459, 982, 470, 489, 492]"
94.0,527.17,0.048068633558221885,"[512, 5, 519, 23, 539, 27, 540, 541, 549, 553, 44, 47, 561, 563, 564, 55, 56, 578, 581, 86, 150, 151, 155, 163, 676, 169, 170, 171, 181, 185, 199, 716, 723, 754, 822, 316, 831, 832, 322, 839, 340, 858, 859, 862, 354, 866, 868, 359, 871, 367, 372, 374, 892, 900, 901, 389, 905, 908, 909, 404, 406, 919, 921, 922, 411, 924, 413, 414, 417, 929, 932, 424, 425, 426, 938, 939, 429, 941, 944, 945, 432, 436, 949, 952, 958, 446, 959, 964, 453, 974, 977, 470, 496, 498]"
74.0,509.0,0.04509392651216282,"[256, 770, 387, 388, 5, 133, 135, 519, 263, 776, 265, 266, 150, 919, 280, 409, 406, 155, 412, 921, 414, 31, 32, 288, 411, 163, 676, 804, 422, 295, 808, 169, 170, 171, 811, 558, 423, 944, 424, 434, 417, 429, 181, 941, 945, 952, 432, 436, 949, 438, 960, 961, 929, 964, 965, 459, 982, 470, 859, 425, 862, 354, 866, 868, 359, 871, 489, 492, 367, 938, 372, 413, 374, 892]"
2.000000000000001,338.27,0.09639393501064353,"[0, 249]"
35.0,468.99,0.052963975960725995,"[0, 128, 135, 142, 533, 23, 280, 32, 547, 169, 42, 681, 170, 43, 174, 430, 171, 811, 947, 564, 181, 52, 438, 440, 952, 570, 59, 571, 189, 185, 316, 587, 460, 589, 760]"
90.0,524.08,0.04786671030733358,"[522, 13, 535, 537, 541, 542, 31, 544, 36, 550, 43, 558, 49, 155, 163, 676, 169, 170, 171, 185, 199, 716, 723, 288, 804, 295, 808, 815, 817, 822, 316, 831, 832, 322, 340, 858, 859, 862, 354, 866, 868, 359, 871, 367, 372, 374, 892, 900, 901, 389, 905, 908, 909, 404, 406, 919, 409, 921, 922, 411, 924, 414, 413, 412, 417, 929, 932, 424, 425, 426, 938, 939, 429, 941, 944, 945, 432, 436, 949, 952, 958, 446, 959, 964, 453, 974, 977, 470, 496, 498]"
19.000000000000004,457.7,0.06374816070823086,"[0, 772, 7, 135, 13, 141, 142, 533, 150, 23, 155, 158, 160, 675, 952, 314, 189, 63, 832]"
36.0,470.9,0.052316705484521164,"[0, 522, 13, 910, 909, 914, 531, 146, 535, 280, 409, 151, 155, 29, 414, 31, 544, 288, 795, 163, 36, 676, 804, 295, 808, 169, 170, 43, 171, 422, 41, 944, 434, 181, 56, 185]"
26.0,453.89,0.05454879972694837,"[0, 128, 13, 910, 909, 914, 531, 146, 535, 280, 409, 151, 155, 29, 414, 31, 288, 546, 163, 36, 358, 804, 295, 808, 169, 170]"
56.00000000000001,494.17,0.045865442946701696,"[0, 522, 13, 910, 909, 914, 531, 146, 535, 280, 409, 151, 155, 29, 414, 31, 544, 288, 546, 163, 36, 676, 804, 423, 929, 932, 170, 171, 811, 810, 558, 944, 817, 434, 307, 181, 822, 952, 185, 698, 316, 832, 65, 322, 582, 982, 858, 859, 862, 354, 866, 868, 359, 871, 367, 245]"
68.0,504.07,0.04545867483291599,"[0, 128, 905, 908, 13, 909, 914, 531, 146, 535, 280, 919, 408, 409, 921, 411, 412, 413, 414, 288, 417, 929, 804, 932, 422, 295, 808, 169, 170, 171, 811, 423, 558, 424, 944, 429, 434, 941, 945, 181, 432, 436, 952, 949, 438, 960, 961, 964, 965, 459, 982, 470, 859, 425, 862, 354, 866, 868, 359, 871, 489, 492, 367, 938, 372, 374, 892, 275]"
33.0,468.34,0.0513076223794926,"[0, 128, 13, 910, 909, 914, 531, 146, 535, 280, 409, 151, 155, 29, 414, 31, 288, 546, 163, 36, 676, 804, 295, 808, 169, 170, 43, 171, 422, 558, 944, 434, 878]"
84.0,516.38,0.04416654113665319,"[0, 522, 13, 531, 535, 29, 31, 34, 569, 558, 561, 563, 52, 59, 65, 146, 151, 155, 681, 170, 171, 169, 174, 181, 185, 698, 704, 280, 810, 811, 817, 307, 822, 316, 832, 322, 340, 858, 859, 862, 354, 866, 868, 359, 871, 878, 367, 372, 909, 910, 914, 409, 413, 414, 417, 929, 932, 424, 425, 938, 939, 429, 941, 944, 945, 434, 947, 436, 949, 432, 952, 440, 446, 958, 959, 451, 964, 453, 968, 974, 977, 470, 496, 498]"
32.00000000000001,461.85,0.05093639236864511,"[0, 128, 13, 910, 909, 914, 531, 146, 535, 280, 409, 151, 155, 29, 414, 31, 288, 546, 36, 676, 804, 295, 808, 169, 170, 43, 171, 422, 558, 944, 434, 878]"
