n_nodes,influence,communities,nodes
45.99999999999999,477.46,0.038306369403161566,"[256, 896, 773, 9, 393, 649, 272, 662, 919, 153, 284, 28, 412, 676, 164, 422, 551, 426, 41, 555, 553, 941, 810, 818, 819, 693, 182, 952, 442, 187, 701, 445, 318, 960, 707, 453, 838, 711, 74, 971, 844, 972, 330, 976, 977, 978]"
18.000000000000004,449.15,0.0645117074655589,"[546, 393, 409, 267, 908, 270, 16, 17, 272, 661, 533, 152, 60, 26, 411, 157, 542, 63]"
32.00000000000001,464.54,0.05134795792457558,"[3, 5, 522, 13, 526, 653, 654, 146, 148, 21, 23, 538, 554, 555, 44, 51, 569, 60, 64, 81, 89, 95, 99, 614, 880, 112, 626, 116, 631, 123, 127, 234]"
83.0,511.6,0.0185334651957354,"[2, 526, 21, 23, 538, 554, 555, 556, 44, 50, 51, 56, 569, 60, 64, 81, 89, 95, 614, 112, 116, 631, 123, 127, 653, 654, 146, 148, 150, 673, 682, 174, 693, 203, 724, 740, 742, 235, 747, 242, 248, 767, 260, 774, 782, 273, 274, 279, 802, 291, 811, 304, 818, 820, 333, 340, 853, 353, 872, 873, 363, 877, 365, 883, 373, 375, 898, 903, 917, 409, 414, 927, 421, 943, 431, 435, 439, 953, 442, 959, 458, 977, 978]"
18.000000000000004,448.08,0.06324293511368628,"[515, 267, 908, 270, 16, 17, 178, 272, 661, 533, 152, 409, 96, 411, 60, 157, 542, 63]"
40.0,478.99,0.07966509674618105,"[896, 129, 773, 393, 9, 13, 785, 152, 793, 280, 409, 26, 157, 542, 675, 434, 819, 563, 693, 182, 952, 441, 442, 699, 60, 573, 192, 89, 94, 868, 744, 106, 619, 618, 110, 115, 628, 117, 121, 634]"
2.000000000000001,256.45,0.715190140480422,"[2, 482]"
42.0,478.77,0.07029667485221291,"[130, 7, 137, 651, 910, 152, 793, 409, 26, 411, 157, 542, 160, 161, 290, 675, 434, 819, 563, 693, 182, 952, 441, 442, 699, 60, 573, 192, 89, 94, 868, 744, 106, 619, 618, 110, 115, 628, 117, 121, 634, 196]"
43.00000000000001,480.09,0.05927168638858815,"[130, 7, 137, 651, 910, 152, 409, 793, 26, 411, 157, 542, 160, 161, 290, 675, 434, 819, 563, 693, 182, 952, 441, 442, 699, 60, 573, 192, 196, 89, 94, 868, 744, 106, 619, 618, 110, 115, 628, 117, 121, 634, 711]"
89.0,514.0,0.02239021612227665,"[5, 522, 13, 526, 21, 23, 538, 554, 555, 556, 44, 42, 51, 56, 569, 60, 81, 89, 95, 614, 112, 626, 116, 631, 123, 127, 129, 653, 654, 146, 148, 150, 673, 682, 174, 693, 190, 203, 724, 740, 742, 235, 747, 242, 248, 767, 260, 774, 782, 273, 274, 279, 802, 291, 811, 304, 818, 820, 333, 340, 853, 353, 872, 873, 361, 363, 877, 883, 373, 375, 898, 903, 917, 414, 927, 421, 943, 431, 435, 439, 953, 442, 959, 458, 977, 978, 468, 984, 505]"
39.0,477.97,0.06276219064898181,"[129, 259, 267, 908, 13, 785, 280, 793, 409, 26, 152, 157, 542, 546, 921, 434, 819, 563, 693, 182, 952, 441, 442, 699, 60, 573, 192, 89, 868, 744, 106, 619, 236, 110, 115, 628, 117, 121, 634]"
27.0,462.57,0.07475857406961017,"[5, 522, 13, 526, 653, 16, 913, 146, 17, 148, 40, 169, 553, 749, 300, 45, 942, 941, 688, 303, 944, 179, 435, 51, 434, 565, 823]"
28.0,461.31,0.06995375991025576,"[5, 522, 13, 526, 653, 16, 913, 146, 17, 148, 40, 169, 553, 300, 45, 942, 303, 688, 941, 944, 179, 435, 51, 434, 565, 823, 749, 224]"
14.0,425.96,0.0857306435845977,"[259, 393, 267, 908, 270, 272, 661, 533, 793, 280, 409, 26, 152, 177]"
39.0,474.95,0.04311323182102156,"[2, 259, 387, 133, 134, 7, 9, 13, 152, 157, 542, 546, 810, 48, 434, 819, 563, 693, 182, 437, 441, 442, 699, 60, 573, 192, 67, 89, 868, 744, 106, 619, 236, 110, 115, 628, 117, 121, 634]"
64.0,497.41,0.025063761244362825,"[3, 142, 667, 28, 284, 546, 675, 676, 164, 38, 677, 551, 41, 420, 811, 44, 813, 942, 944, 688, 561, 435, 51, 50, 820, 53, 54, 694, 569, 696, 822, 60, 824, 828, 64, 952, 956, 320, 832, 446, 450, 709, 582, 710, 72, 74, 330, 875, 81, 721, 210, 596, 852, 341, 933, 984, 89, 95, 482, 751, 241, 753, 754, 631]"
79.0,514.34,0.03253364421223892,"[2, 5, 522, 13, 553, 616, 109, 623, 127, 129, 645, 133, 138, 140, 149, 669, 161, 683, 685, 174, 686, 185, 700, 701, 705, 714, 715, 218, 733, 223, 746, 758, 765, 259, 778, 268, 783, 786, 275, 787, 790, 293, 806, 294, 303, 309, 824, 312, 315, 833, 835, 839, 328, 333, 846, 338, 852, 856, 345, 347, 859, 862, 351, 866, 358, 359, 882, 371, 379, 380, 899, 388, 903, 393, 906, 432, 438, 952, 439]"
84.0,511.29,0.016283008942732824,"[5, 522, 13, 526, 21, 23, 538, 554, 555, 556, 44, 42, 51, 56, 569, 60, 81, 89, 614, 112, 626, 116, 631, 123, 127, 129, 653, 654, 146, 148, 150, 673, 682, 174, 693, 190, 203, 724, 740, 742, 235, 747, 242, 248, 767, 260, 774, 782, 273, 274, 279, 802, 291, 811, 304, 818, 820, 333, 340, 853, 353, 872, 873, 361, 363, 877, 883, 373, 375, 898, 903, 917, 414, 927, 421, 943, 431, 435, 439, 953, 442, 959, 458, 977]"
19.999999999999993,457.31,0.03888590003204284,"[133, 7, 137, 651, 272, 913, 17, 147, 661, 533, 152, 409, 411, 157, 542, 160, 686, 60, 63, 955]"
42.0,481.95,0.07610968985288868,"[2, 259, 387, 133, 134, 7, 9, 13, 409, 26, 411, 157, 542, 675, 810, 434, 819, 563, 693, 182, 952, 441, 442, 699, 60, 573, 192, 67, 89, 94, 868, 744, 106, 619, 618, 110, 115, 628, 117, 121, 634, 857]"
19.000000000000004,451.61,0.04846775278882953,"[133, 7, 137, 651, 272, 913, 17, 147, 661, 533, 152, 409, 411, 157, 542, 686, 955, 60, 63]"
78.0,512.94,0.03562985254276296,"[2, 5, 522, 13, 553, 616, 109, 623, 127, 129, 645, 133, 138, 140, 149, 669, 161, 683, 685, 174, 686, 185, 700, 701, 705, 714, 715, 218, 733, 223, 746, 758, 765, 778, 268, 783, 786, 275, 787, 790, 293, 806, 294, 303, 309, 824, 312, 315, 833, 835, 839, 328, 333, 846, 338, 852, 856, 345, 347, 859, 862, 351, 866, 358, 359, 882, 371, 379, 380, 899, 388, 903, 393, 906, 432, 438, 439, 952]"
19.000000000000004,456.85,0.11425735720539598,"[5, 522, 13, 526, 653, 16, 17, 147, 661, 533, 152, 409, 411, 157, 542, 160, 955, 60, 63]"
61.0,498.17,0.04527851189643317,"[265, 11, 908, 13, 17, 160, 420, 164, 677, 38, 40, 551, 41, 811, 44, 813, 942, 944, 688, 434, 561, 435, 50, 820, 53, 54, 694, 569, 696, 822, 60, 824, 828, 64, 956, 450, 320, 832, 446, 709, 582, 710, 72, 74, 330, 81, 721, 210, 596, 852, 341, 933, 984, 89, 95, 482, 751, 241, 753, 754, 631]"
83.0,521.34,0.11286347124215901,"[521, 522, 13, 19, 533, 644, 140, 658, 659, 660, 182, 187, 700, 701, 705, 714, 715, 274, 788, 794, 802, 819, 820, 822, 315, 833, 835, 839, 328, 333, 846, 852, 856, 347, 859, 862, 351, 866, 358, 359, 882, 371, 380, 896, 387, 899, 388, 906, 905, 908, 397, 396, 907, 909, 911, 917, 409, 410, 923, 412, 925, 927, 417, 930, 934, 425, 434, 436, 951, 952, 442, 958, 447, 449, 451, 452, 978, 469, 471, 489, 490, 497, 501]"
