seed_set,spread,seed,communities,fairness,budget,time
"[160, 5]",0.08407707910750507,0.99,0.737314236431712,0.28466888564228554,0.9202471758231148,0.19999999999999996
[160],0.060557809330628806,1.0,0.6633292298340316,0.1674453888423022,0.9472820314762962,0.19999999999999996
"[160, 82, 5]",0.11043610547667343,0.98,0.777914036293436,0.38035919754782777,0.8866467123684465,0.19999999999999996
"[982, 952, 937, 801, 793, 721, 662, 598, 570, 568, 549, 546, 536, 434, 412, 411, 409, 377, 313, 310, 290, 278, 213, 211, 196, 184, 182, 179, 178, 170, 165, 160, 159, 107, 89, 87, 86, 84, 83, 64, 63, 61, 23, 13, 11, 5]",0.36671399594320486,0.55,0.9171192373506994,0.842986335646203,0.36255672492034374,0.0
"[984, 965, 952, 926, 829, 801, 748, 735, 729, 615, 572, 560, 533, 493, 441, 426, 414, 412, 411, 377, 370, 357, 342, 338, 283, 254, 253, 252, 213, 211, 196, 160, 107, 105, 96, 89, 87, 86, 84, 83, 64, 62, 61, 23, 13, 5]",0.37630831643002033,0.55,0.9127243213320151,0.7211656074824482,0.3539635029448682,0.0
"[984, 965, 952, 813, 801, 748, 735, 729, 690, 653, 615, 572, 570, 533, 493, 473, 414, 412, 377, 370, 357, 342, 338, 290, 254, 253, 252, 213, 211, 196, 170, 160, 107, 105, 96, 90, 89, 87, 86, 84, 83, 82, 64, 63, 62, 61, 23, 13, 5]",0.38409736308316433,0.52,0.9179671583895372,0.8577308566969273,0.3024041710920151,0.19999999999999996
"[965, 952, 930, 809, 801, 748, 721, 598, 572, 570, 549, 546, 533, 414, 412, 411, 377, 370, 363, 313, 299, 290, 284, 283, 254, 253, 252, 236, 213, 211, 196, 184, 170, 165, 160, 107, 89, 87, 86, 84, 83, 64, 63, 62, 61, 23, 13, 5]",0.3807809330628803,0.53,0.9140698545097365,0.849083382455575,0.31592159891860583,0.0
"[984, 965, 952, 813, 801, 748, 735, 729, 690, 615, 572, 570, 533, 493, 473, 414, 412, 409, 377, 370, 342, 338, 290, 254, 253, 252, 213, 211, 196, 184, 170, 160, 107, 105, 96, 90, 89, 87, 86, 84, 83, 82, 64, 63, 62, 61, 13, 5]",0.3838336713995943,0.53,0.9140379227781827,0.7218228482087972,0.29931447330308003,0.19999999999999996
"[984, 965, 952, 914, 813, 801, 748, 735, 729, 690, 615, 572, 570, 493, 473, 414, 412, 377, 370, 342, 338, 290, 254, 253, 252, 213, 211, 196, 170, 160, 107, 105, 96, 90, 89, 87, 86, 84, 83, 82, 64, 63, 62, 61, 23, 13, 5, 2]",0.37628803245436104,0.53,0.9148612682875099,0.858091239150609,0.3119629236265328,0.0
"[533, 160, 86, 13, 5]",0.1437525354969574,0.96,0.8143524594409572,0.5937942945023147,0.8432943902674519,0.19999999999999996
