n_nodes,influence,communities,nodes
1.0,55.9,0.33649318822462504,[160]
2.000000000000001,79.75,0.2692580308827801,"[160, 5]"
85.0,440.66,0.07023480375191171,"[2, 5, 13, 546, 549, 40, 42, 564, 572, 62, 65, 70, 589, 82, 84, 86, 613, 105, 141, 142, 160, 183, 189, 210, 211, 213, 215, 229, 231, 747, 242, 249, 300, 303, 307, 821, 826, 321, 333, 334, 335, 853, 855, 344, 355, 359, 362, 377, 895, 390, 904, 393, 396, 397, 402, 920, 408, 411, 412, 923, 416, 417, 930, 419, 427, 429, 432, 944, 946, 438, 952, 441, 954, 443, 959, 448, 462, 466, 982, 476, 487, 495, 498, 509, 575]"
7.000000000000005,169.49,0.16104486072908109,"[160, 549, 5, 13, 211, 84, 86]"
17.000000000000004,264.77,0.12065174962414915,"[160, 801, 2, 546, 65, 5, 549, 40, 300, 13, 142, 141, 82, 211, 86, 93, 62]"
32.00000000000001,320.31,0.09051052479383415,"[2, 5, 13, 160, 546, 549, 38, 553, 300, 44, 172, 688, 434, 181, 952, 826, 62, 448, 65, 321, 70, 589, 333, 335, 82, 210, 84, 213, 211, 853, 86, 215]"
27.0,306.27,0.09926574322497894,"[2, 5, 13, 141, 411, 160, 546, 169, 300, 952, 189, 62, 448, 65, 321, 70, 589, 333, 335, 82, 210, 84, 213, 211, 853, 86, 215]"
85.0,444.79,0.07113663528460212,"[2, 5, 13, 546, 549, 40, 42, 564, 572, 62, 575, 65, 70, 589, 82, 84, 86, 613, 105, 141, 142, 160, 183, 189, 210, 211, 213, 215, 229, 231, 747, 242, 249, 300, 303, 307, 821, 826, 321, 333, 334, 335, 853, 855, 344, 355, 359, 362, 377, 895, 390, 904, 393, 844, 397, 402, 920, 408, 411, 412, 923, 416, 417, 930, 419, 427, 429, 432, 944, 946, 438, 952, 441, 954, 443, 959, 448, 462, 466, 982, 476, 487, 495, 498, 509]"
58.00000000000001,395.11,0.07404244637770585,"[2, 642, 5, 13, 411, 160, 417, 546, 549, 40, 300, 303, 307, 564, 821, 183, 952, 826, 572, 189, 62, 65, 321, 70, 587, 589, 333, 334, 335, 462, 82, 210, 84, 213, 211, 853, 86, 215, 855, 344, 982, 355, 613, 229, 359, 231, 487, 105, 362, 747, 377, 495, 242, 498, 249, 509, 895, 436]"
33.99999999999999,339.73,0.09093833509183313,"[2, 5, 13, 142, 141, 17, 411, 160, 549, 38, 300, 44, 172, 434, 181, 952, 826, 62, 448, 65, 321, 70, 589, 333, 334, 335, 82, 210, 84, 213, 211, 86, 215, 869]"
