seed_set,spread,seed,communities,fairness,budget,time
[5],0.03215010141987829,1.0,0.5353472172365197,0.1674453888423022,0.9729651443468186,0.19999999999999996
"[598, 524, 211]",0.030415821501014198,0.98,0.4988796906972449,0.2616860930683562,0.9729651443468186,0.4
[588],0.005314401622718053,1.0,0.09154820796075147,0.1674453888423022,0.9964275369315438,1.0
[160],0.059442190669371196,1.0,0.6400497848177356,0.1674453888423022,0.9472820314762962,0.19999999999999996
"[918, 709, 545]",0.005841784989858012,0.98,0.10262015192798235,0.28472429239963337,0.9948826880370764,1.0
"[160, 5]",0.08413793103448275,0.99,0.7302847838141058,0.28466888564228554,0.9202471758231148,0.19999999999999996
[493],0.01565922920892495,1.0,0.32543606569818284,0.1674453888423022,0.9862894660616008,0.4
"[160, 13, 5]",0.10203853955375254,0.98,0.7530245813877501,0.38843268919645346,0.8977503137974316,0.19999999999999996
"[978, 944, 906, 685, 658, 523, 521, 517, 471, 435, 408]",0.04529411764705882,0.9,0.5443070160569199,0.48300808299494635,0.9659167712658105,0.4
"[674, 658, 577, 523]",0.011490872210953348,0.97,0.3403438981015391,0.3650798652174483,0.9939171574780342,0.6
"[978, 944, 685, 658, 523, 521, 517, 471, 435, 408]",0.04182555780933063,0.91,0.502130626964882,0.4744572128951178,0.9687168098870329,0.4
"[735, 730, 658, 590, 523, 521, 517, 149]",0.022129817444219067,0.93,0.34968479241202177,0.4412029861187624,0.9839721927198996,0.6
"[944, 931, 545, 523, 435, 408]",0.03373225152129817,0.95,0.5127153319255306,0.5666736501299974,0.9712271893405426,0.4
"[730, 658, 523, 521, 517, 212, 149]",0.03784989858012171,0.94,0.48795555310008887,0.4603037869153038,0.9659167712658105,0.4
"[658, 577, 523]",0.010770791075050709,0.98,0.33936271615137215,0.2616860930683562,0.9942068166457468,0.8
"[863, 674, 658, 577, 523]",0.012748478701825558,0.96,0.34082719377288784,0.3610484931202459,0.9937240513662258,0.8
[152],0.008073022312373225,1.0,0.18922560634808339,0.1674453888423022,0.9895722699623443,0.8
"[978, 944, 685, 577, 523, 461, 435, 408]",0.0413894523326572,0.93,0.568099140555554,0.5812418997032132,0.9702616587815004,0.4
"[160, 107, 105, 82, 13, 6, 5]",0.17788032454361052,0.94,0.818370306077968,0.4855418942739571,0.7860384281162499,0.0
"[286, 160, 107, 105, 82, 13, 5]",0.17196754563894523,0.94,0.8245377895199738,0.4855418942739571,0.7982041131601816,0.19999999999999996
"[851, 702, 673, 602, 588, 552, 549, 546, 533, 424, 408, 404, 377, 358, 356, 283, 236, 230, 213, 211, 209, 190, 183, 177, 173, 160, 142, 107, 96, 86, 84, 64, 13, 6, 5]",0.328580121703854,0.66,0.8969293061020229,0.8514255152268417,0.44839239161919475,0.0
"[621, 404, 280, 211, 209, 160, 107, 105, 82, 13, 5]",0.2047160243407708,0.9,0.8424658464400073,0.6549457397792798,0.7340928840397798,0.0
"[160, 107, 105, 82, 44, 13, 6, 5]",0.1913894523326572,0.93,0.8522841849635022,0.591653476029749,0.7691416433330115,0.0
"[977, 976, 952, 876, 875, 801, 673, 607, 549, 533, 452, 434, 424, 408, 404, 377, 366, 358, 356, 283, 236, 230, 213, 211, 209, 190, 183, 160, 142, 107, 86, 84, 64, 13, 6, 5]",0.3409634888438134,0.65,0.9028166882675099,0.7855308773880241,0.427826590711596,0.19999999999999996
"[936, 854, 801, 546, 533, 421, 404, 283, 211, 160, 142, 86, 13, 6, 5]",0.22711967545638945,0.86,0.8568059922591615,0.8166889598709978,0.6982717002993144,0.19999999999999996
"[621, 404, 211, 209, 160, 107, 82, 13, 6, 5]",0.1999188640973631,0.91,0.8305602736960431,0.5302167588765395,0.7563966399536546,0.19999999999999996
"[533, 437, 408, 405, 404, 280, 211, 183, 160, 107, 105, 14, 6, 5]",0.22363083164300201,0.87,0.8553920465534025,0.810098775154724,0.689678478323839,0.19999999999999996
