n_nodes,influence,communities,nodes
4.000000000000003,31.43,3.0,"[256, 435, 412, 198]"
1.0,51.65,4.0,[160]
1.0,27.16,3.0,[5]
4.000000000000003,16.53,2.0,"[464, 240, 456, 394]"
2.000000000000001,15.88,2.0,"[464, 226]"
3.0000000000000018,9.0,0.9999999999999998,"[830, 914, 659]"
3.0000000000000018,6.23,0.0,"[456, 824, 589]"
1.0,15.39,2.0,[128]
1.0,3.88,0.0,[240]
4.000000000000003,10.4,0.9999999999999998,"[914, 659, 830, 863]"
61.0,381.35,4.0,"[5, 14, 17, 531, 533, 411, 160, 546, 420, 806, 167, 295, 42, 556, 51, 307, 310, 183, 185, 58, 188, 62, 319, 64, 961, 65, 203, 333, 82, 211, 84, 851, 215, 88, 473, 91, 860, 92, 221, 96, 481, 226, 107, 748, 365, 237, 621, 751, 239, 240, 113, 368, 114, 752, 375, 504, 121, 883, 379, 502, 811]"
47.0,346.58,4.0,"[5, 14, 17, 531, 533, 411, 160, 546, 420, 51, 947, 183, 184, 185, 953, 58, 188, 189, 952, 62, 447, 961, 65, 319, 707, 64, 848, 593, 82, 83, 211, 84, 851, 215, 88, 473, 91, 860, 92, 221, 96, 481, 226, 107, 748, 365, 367]"
5.0000000000000036,35.51,3.0,"[256, 435, 412, 198, 965]"
2.000000000000001,87.87,4.0,"[160, 107]"
2.000000000000001,4.96,0.0,"[240, 608]"
4.000000000000003,7.16,0.0,"[800, 975, 240, 947]"
5.0000000000000036,8.33,0.0,"[616, 800, 975, 240, 947]"
5.0000000000000036,135.07,4.0,"[128, 160, 533, 121, 62]"
6.000000000000004,150.62,4.0,"[160, 419, 5, 107, 121, 886]"
55.0,371.19,4.0,"[5, 909, 14, 17, 531, 533, 411, 160, 546, 162, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 184, 319, 64, 961, 65, 203, 82, 211, 84, 215, 88, 473, 601, 91, 860, 92, 221, 605, 96, 481, 226, 107, 620, 368, 113, 114, 752, 883, 372, 502, 375, 504, 121, 379, 637]"
7.999999999999995,178.01,4.0,"[160, 419, 5, 107, 909, 121, 58, 62]"
51.0,372.94,5.0,"[5, 14, 17, 531, 533, 411, 160, 546, 162, 164, 549, 420, 294, 295, 301, 51, 183, 185, 58, 62, 319, 64, 333, 82, 211, 84, 83, 851, 215, 338, 601, 91, 860, 92, 221, 605, 96, 226, 107, 620, 368, 113, 114, 752, 883, 372, 502, 375, 121, 379, 637]"
62.0,382.89,4.0,"[5, 909, 14, 17, 531, 533, 411, 160, 546, 162, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 184, 62, 319, 64, 961, 65, 203, 82, 211, 84, 851, 215, 88, 473, 601, 91, 860, 92, 221, 605, 96, 481, 226, 107, 748, 237, 621, 751, 239, 240, 113, 368, 114, 752, 883, 375, 504, 121, 372, 502, 379, 754]"
17.000000000000004,238.43,4.0,"[160, 961, 420, 232, 106, 107, 172, 45, 17, 82, 211, 84, 952, 568, 58, 62, 356]"
65.0,388.97,4.0,"[5, 909, 14, 531, 533, 411, 160, 546, 162, 420, 294, 167, 551, 42, 300, 301, 173, 434, 51, 307, 820, 183, 185, 58, 188, 62, 319, 64, 961, 65, 203, 82, 211, 84, 851, 596, 215, 88, 473, 91, 860, 92, 221, 605, 96, 481, 226, 107, 748, 237, 621, 751, 239, 240, 113, 368, 114, 752, 560, 375, 504, 121, 372, 502, 379]"
54.0,363.97,4.0,"[3, 5, 14, 17, 531, 411, 160, 546, 162, 164, 549, 932, 167, 295, 301, 51, 56, 185, 58, 188, 62, 319, 64, 961, 65, 203, 75, 333, 82, 211, 84, 851, 215, 88, 473, 474, 91, 860, 92, 221, 605, 96, 481, 226, 107, 620, 368, 113, 114, 752, 883, 372, 502, 375]"
4.000000000000003,130.77,5.0,"[160, 5, 107, 121]"
43.00000000000001,353.73,5.0,"[5, 9, 17, 533, 280, 411, 160, 546, 162, 164, 549, 295, 301, 51, 183, 56, 185, 58, 62, 319, 64, 65, 966, 203, 464, 82, 211, 84, 851, 215, 88, 96, 481, 226, 484, 107, 968, 237, 620, 368, 113, 114, 121]"
64.0,394.28,5.0,"[5, 14, 17, 531, 533, 411, 412, 160, 546, 420, 551, 42, 300, 301, 173, 560, 434, 51, 307, 820, 183, 185, 58, 188, 62, 319, 64, 961, 65, 203, 82, 211, 84, 851, 596, 215, 88, 473, 91, 860, 92, 221, 605, 96, 481, 226, 107, 748, 237, 621, 751, 239, 240, 113, 368, 114, 752, 372, 375, 504, 121, 502, 379, 538]"
6.000000000000004,158.4,5.0,"[160, 419, 5, 107, 121, 58]"
47.0,361.87,5.0,"[5, 17, 531, 533, 411, 160, 546, 162, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 62, 319, 64, 65, 966, 203, 464, 82, 211, 84, 851, 215, 88, 96, 481, 226, 121, 107, 748, 237, 368, 113, 114, 752, 883, 372, 502, 504, 379]"
6.000000000000004,20.34,2.0,"[800, 975, 240, 464, 567, 444]"
2.000000000000001,87.87,4.0,"[160, 121]"
17.000000000000004,269.97,5.0,"[160, 546, 5, 107, 45, 283, 17, 82, 211, 84, 533, 183, 121, 58, 411, 62, 947]"
2.000000000000001,30.65,3.0,"[5, 825]"
42.0,344.22,4.0,"[3, 5, 14, 533, 411, 160, 930, 419, 420, 294, 295, 183, 56, 185, 58, 184, 62, 319, 64, 65, 966, 82, 211, 84, 851, 215, 684, 473, 601, 91, 92, 221, 605, 96, 481, 226, 107, 620, 368, 113, 114, 121]"
57.00000000000001,377.02,4.0,"[5, 536, 280, 411, 160, 546, 419, 162, 420, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 188, 62, 319, 64, 961, 65, 203, 75, 333, 82, 211, 84, 851, 215, 88, 473, 91, 860, 92, 221, 96, 481, 226, 107, 748, 365, 237, 621, 239, 240, 113, 368, 114, 752, 375, 504, 121, 813]"
9.999999999999996,206.45,5.0,"[160, 419, 5, 107, 45, 211, 121, 58, 62, 801]"
13.0,222.74,4.0,"[160, 546, 5, 232, 106, 82, 211, 84, 533, 947, 183, 121, 58]"
59.00000000000001,378.08,4.0,"[5, 9, 17, 533, 280, 411, 160, 546, 164, 295, 425, 301, 174, 51, 183, 56, 185, 58, 62, 319, 64, 65, 966, 203, 464, 82, 211, 84, 851, 215, 88, 473, 601, 91, 860, 92, 221, 605, 96, 481, 226, 504, 107, 748, 237, 621, 751, 239, 754, 113, 368, 114, 752, 375, 883, 121, 372, 502, 379]"
3.0000000000000018,104.37,4.0,"[160, 121, 405]"
19.000000000000004,271.24,4.0,"[160, 546, 5, 107, 715, 45, 283, 17, 82, 211, 84, 533, 947, 183, 121, 58, 411, 62, 224]"
18.000000000000004,257.98,4.0,"[17, 533, 411, 283, 160, 546, 45, 947, 183, 58, 62, 715, 82, 211, 84, 224, 107, 121]"
35.0,341.09,5.0,"[5, 17, 531, 533, 411, 160, 546, 162, 420, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 188, 62, 64, 961, 65, 203, 75, 333, 82, 211, 84, 481, 226, 107, 121, 380]"
13.0,228.61,5.0,"[160, 921, 5, 283, 17, 82, 211, 411, 533, 121, 58, 27, 62]"
65.0,396.56,5.0,"[3, 5, 14, 17, 531, 533, 21, 160, 930, 420, 294, 167, 551, 42, 300, 301, 173, 560, 434, 51, 307, 820, 183, 185, 58, 188, 62, 319, 64, 81, 65, 203, 82, 211, 84, 851, 596, 215, 88, 473, 91, 860, 92, 221, 605, 96, 481, 226, 107, 748, 237, 621, 751, 239, 240, 113, 368, 114, 752, 372, 375, 504, 121, 502, 379]"
42.0,351.91,5.0,"[3, 5, 14, 17, 533, 411, 160, 546, 162, 420, 549, 294, 295, 301, 432, 51, 183, 184, 58, 188, 62, 319, 64, 961, 65, 203, 75, 333, 82, 211, 84, 851, 215, 484, 107, 620, 237, 368, 113, 114, 121, 324]"
48.0,360.49,4.0,"[5, 17, 531, 533, 411, 412, 160, 546, 162, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 62, 319, 64, 65, 966, 203, 464, 82, 211, 84, 851, 215, 88, 889, 96, 481, 226, 107, 748, 237, 368, 113, 114, 752, 883, 502, 504, 121, 379]"
32.00000000000001,323.83,4.0,"[5, 17, 531, 533, 411, 412, 160, 546, 162, 164, 549, 167, 295, 301, 51, 183, 56, 185, 58, 62, 319, 64, 961, 65, 203, 82, 211, 84, 106, 107, 121, 24]"
64.0,386.09,4.0,"[5, 14, 17, 531, 533, 538, 411, 412, 160, 546, 420, 551, 42, 300, 301, 173, 560, 434, 51, 307, 820, 183, 185, 58, 188, 62, 319, 64, 961, 65, 203, 82, 211, 84, 851, 596, 215, 88, 473, 91, 860, 92, 221, 605, 721, 481, 226, 107, 748, 237, 621, 751, 239, 240, 113, 368, 114, 752, 372, 375, 504, 121, 502, 379]"
25.0,300.65,5.0,"[5, 9, 17, 533, 280, 411, 160, 546, 164, 295, 425, 301, 174, 51, 183, 62, 319, 64, 82, 211, 84, 105, 107, 121, 129]"
7.000000000000005,171.9,4.0,"[160, 419, 5, 107, 121, 58, 62]"
5.0000000000000036,138.41,5.0,"[160, 5, 107, 886, 121]"
