n_nodes,influence,nodes
1,60.55,[160]
5,133.6,"[160, 129, 5, 13, 283]"
65,419.68,"[129, 4, 5, 7, 778, 13, 146, 21, 278, 283, 412, 411, 924, 157, 160, 414, 162, 804, 166, 422, 168, 424, 427, 429, 174, 945, 434, 437, 438, 950, 952, 57, 699, 444, 61, 62, 576, 65, 833, 322, 323, 452, 711, 329, 333, 846, 592, 82, 84, 86, 854, 861, 350, 353, 354, 377, 492, 366, 367, 880, 498, 885, 376, 121, 522]"
31,332.32,"[129, 4, 5, 7, 13, 405, 21, 283, 412, 411, 414, 924, 160, 157, 162, 158, 166, 168, 424, 554, 315, 62, 65, 322, 323, 333, 82, 978, 84, 86, 121]"
3,100.27,"[160, 129, 5]"
72,432.64,"[129, 4, 5, 7, 892, 13, 405, 21, 919, 917, 282, 283, 412, 411, 924, 157, 160, 414, 162, 804, 166, 422, 168, 424, 427, 429, 174, 945, 434, 437, 438, 950, 952, 57, 826, 699, 444, 61, 62, 576, 65, 163, 322, 323, 452, 711, 329, 333, 846, 592, 82, 978, 84, 86, 854, 984, 861, 350, 224, 353, 354, 121, 492, 366, 367, 880, 498, 885, 376, 377, 380, 381]"
9,206.35,"[160, 129, 4, 13, 82, 84, 21, 86, 121, 61]"
17,281.29,"[160, 129, 65, 4, 5, 166, 168, 107, 13, 333, 82, 211, 84, 405, 978, 86, 121]"
28,329.23,"[129, 5, 13, 21, 405, 282, 283, 411, 28, 157, 414, 160, 162, 166, 295, 434, 563, 52, 62, 65, 329, 333, 82, 595, 84, 86, 245, 121]"
4,114.89,"[160, 129, 13, 283]"
53,407.92,"[129, 4, 5, 7, 13, 405, 21, 919, 917, 282, 283, 412, 411, 924, 157, 160, 168, 424, 427, 429, 174, 945, 434, 563, 183, 952, 55, 444, 62, 576, 65, 833, 322, 323, 452, 711, 333, 592, 82, 84, 86, 353, 377, 107, 366, 367, 880, 496, 498, 885, 376, 121, 380]"
20,294.97,"[129, 4, 5, 263, 13, 157, 160, 162, 166, 168, 61, 62, 65, 711, 333, 82, 211, 84, 86, 121, 124]"
58,413.08,"[129, 4, 5, 392, 13, 405, 21, 283, 412, 411, 414, 924, 160, 157, 162, 158, 166, 168, 424, 554, 945, 434, 52, 437, 438, 183, 952, 950, 826, 315, 699, 444, 62, 827, 61, 65, 959, 452, 420, 333, 846, 592, 82, 84, 86, 353, 354, 377, 107, 366, 367, 880, 496, 498, 885, 376, 121, 380]"
44,383.17,"[129, 5, 13, 21, 405, 282, 411, 283, 28, 157, 414, 160, 162, 166, 295, 434, 563, 52, 61, 62, 65, 322, 323, 452, 329, 333, 592, 82, 978, 84, 86, 854, 354, 377, 107, 236, 366, 367, 880, 886, 376, 121, 380, 381, 749]"
33,350.79,"[129, 5, 13, 21, 405, 283, 411, 412, 157, 414, 160, 162, 166, 434, 563, 52, 437, 438, 183, 952, 55, 450, 452, 329, 333, 710, 82, 978, 84, 86, 854, 354, 107, 121]"
