n_nodes,influence,nodes
0.0010141987829614604,0.06,[160]
0.005070993914807302,0.14,"[160, 129, 5, 13, 283]"
0.06592292089249494,0.43,"[129, 4, 5, 7, 778, 13, 146, 21, 278, 283, 412, 411, 924, 157, 160, 414, 162, 804, 166, 422, 168, 424, 427, 429, 174, 945, 434, 437, 438, 950, 952, 57, 699, 444, 61, 62, 576, 65, 833, 322, 323, 452, 711, 329, 333, 846, 592, 82, 84, 86, 854, 861, 350, 353, 354, 377, 492, 366, 367, 880, 498, 885, 376, 121, 522]"
0.03144016227180527,0.34,"[129, 4, 5, 7, 13, 405, 21, 283, 412, 411, 414, 924, 160, 157, 162, 158, 166, 168, 424, 554, 315, 62, 65, 322, 323, 333, 82, 978, 84, 86, 121]"
0.0030425963488843813,0.1,"[160, 129, 5]"
0.07302231237322515,0.44,"[129, 4, 5, 7, 892, 13, 405, 21, 919, 917, 282, 283, 412, 411, 924, 157, 160, 414, 162, 804, 166, 422, 168, 424, 427, 429, 174, 945, 434, 437, 438, 950, 952, 57, 826, 699, 444, 61, 62, 576, 65, 163, 322, 323, 452, 711, 329, 333, 846, 592, 82, 978, 84, 86, 854, 984, 861, 350, 224, 353, 354, 121, 492, 366, 367, 880, 498, 885, 376, 377, 380, 381]"
0.010141987829614604,0.21,"[160, 129, 4, 13, 82, 84, 21, 86, 121, 61]"
0.017241379310344827,0.29,"[160, 129, 65, 4, 5, 166, 168, 107, 13, 333, 82, 211, 84, 405, 978, 86, 121]"
0.028397565922920892,0.33,"[129, 5, 13, 21, 405, 282, 283, 411, 28, 157, 414, 160, 162, 166, 295, 434, 563, 52, 62, 65, 329, 333, 82, 595, 84, 86, 245, 121]"
0.004056795131845842,0.12,"[160, 129, 13, 283]"
0.0537525354969574,0.41,"[129, 4, 5, 7, 13, 405, 21, 919, 917, 282, 283, 412, 411, 924, 157, 160, 168, 424, 427, 429, 174, 945, 434, 563, 183, 952, 55, 444, 62, 576, 65, 833, 322, 323, 452, 711, 333, 592, 82, 84, 86, 353, 377, 107, 366, 367, 880, 496, 498, 885, 376, 121, 380]"
0.02129817444219067,0.3,"[129, 4, 5, 263, 13, 157, 160, 162, 166, 168, 61, 62, 65, 711, 333, 82, 211, 84, 86, 121, 124]"
