n_nodes,influence,communities,nodes
20.999999999999996,1596.06,652,"[514, 390, 391, 1567, 3107, 2596, 3109, 2086, 3758, 1713, 1841, 689, 2362, 1607, 2767, 1493, 3680, 1124, 871, 1895, 2537]"
33.99999999999999,1768.48,988,"[1542, 1547, 1166, 2068, 3568, 3993, 1307, 1956, 1572, 2469, 2089, 2602, 4012, 3375, 2607, 181, 2359, 1976, 2361, 3131, 706, 1474, 712, 2893, 1361, 1106, 340, 213, 2647, 1240, 2915, 233, 3436, 3824]"
27.0,1707.56,853,"[390, 1542, 392, 134, 391, 3597, 3855, 2831, 3344, 916, 2710, 1175, 409, 1818, 1595, 2722, 2359, 2361, 3131, 706, 1475, 1988, 1474, 712, 2893, 1361, 340]"
33.99999999999999,1794.5,1123,"[1542, 1547, 1166, 2068, 3993, 1307, 1956, 1572, 2469, 2089, 2602, 4012, 3375, 2607, 181, 2359, 1976, 2361, 3131, 706, 1474, 712, 2893, 1361, 1106, 340, 213, 2647, 1240, 2915, 233, 3436, 3568, 3290]"
2.000000000000001,59.62,6,"[396, 3342]"
1.0,6.05,0,[3342]
42.0,1841.12,1254,"[2694, 135, 1673, 3596, 1166, 3599, 1041, 2193, 531, 3605, 1173, 662, 664, 3223, 156, 2594, 1060, 1701, 1193, 3761, 1716, 3772, 2620, 3519, 3524, 3780, 2885, 1863, 2745, 3274, 3530, 1996, 591, 720, 340, 2516, 2773, 3291, 1755, 221, 2143, 2144]"
43.00000000000001,1869.33,1338,"[2307, 2820, 134, 390, 391, 1033, 2058, 3851, 2186, 1300, 3221, 790, 2845, 2975, 165, 37, 3622, 2597, 937, 1322, 168, 1582, 430, 3890, 818, 3255, 3514, 3772, 2620, 3519, 3649, 3524, 3780, 2885, 1863, 455, 3530, 1996, 591, 340, 2516, 2773, 2143]"
59.00000000000001,2038.54,2225,"[384, 3075, 1028, 2445, 1166, 3737, 3993, 1307, 1956, 1572, 2469, 1831, 168, 421, 2602, 4012, 2092, 2093, 1582, 1584, 430, 562, 44, 3247, 2862, 3761, 3634, 180, 1593, 3255, 571, 1597, 1094, 3274, 76, 591, 720, 1493, 1110, 2648, 89, 3291, 1755, 221, 2144, 2273, 2785, 226, 3557, 2791, 236, 239, 1905, 242, 1651, 3317, 117, 1654, 3508]"
5.0000000000000036,1237.46,311,"[2320, 2325, 837, 1166, 2209]"
31.000000000000004,1752.87,993,"[2694, 135, 1673, 3596, 1166, 3599, 1041, 2193, 531, 3605, 1173, 662, 664, 3223, 156, 2594, 1060, 1701, 1193, 3761, 1716, 2745, 3772, 2620, 3519, 3524, 3780, 2885, 1863, 3274, 613]"
54.0,2014.44,1953,"[384, 3075, 1028, 2445, 1166, 3737, 3993, 1307, 1956, 1572, 2469, 1831, 168, 421, 2602, 4012, 2092, 2093, 1582, 1584, 430, 562, 44, 3247, 2862, 3761, 3634, 180, 1593, 3255, 571, 3508, 1597, 1243, 3274, 76, 591, 720, 1493, 1110, 2648, 89, 3291, 1755, 221, 2144, 2273, 2785, 226, 3557, 2791, 236, 239, 1905]"
22.999999999999996,1694.05,851,"[256, 2307, 2820, 134, 391, 2952, 392, 390, 1542, 135, 3977, 1166, 3855, 3344, 2576, 1552, 1422, 2960, 1173, 3810, 2325, 3864, 2334]"
80.0,2102.66,3179,"[3596, 3599, 1041, 531, 3605, 2594, 1060, 2694, 135, 1673, 1166, 2193, 1173, 662, 3223, 664, 156, 3761, 1716, 3766, 3274, 720, 3291, 1755, 221, 2785, 226, 2791, 236, 239, 3317, 256, 2307, 2820, 779, 1806, 271, 2320, 2325, 2326, 2327, 3864, 1821, 298, 1837, 310, 826, 3899, 3388, 1341, 3390, 1856, 1859, 837, 2888, 1374, 3423, 3434, 363, 2412, 2928, 881, 3954, 374, 1916, 3964, 903, 3977, 1422, 2960, 1942, 2456, 3483, 3484, 1951, 2473, 1463, 1976, 955, 396]"
53.0,1976.53,1805,"[384, 3075, 1028, 2445, 1166, 3737, 3993, 1307, 1956, 1572, 2469, 2602, 4012, 2092, 2093, 3375, 1582, 1584, 430, 562, 44, 181, 3247, 2359, 3761, 3634, 180, 1593, 3255, 571, 1597, 2862, 3274, 76, 591, 720, 1493, 1110, 2648, 89, 1243, 3291, 1755, 221, 2144, 2273, 2785, 226, 3557, 236, 239, 1905, 3508]"
60.00000000000001,2043.73,2329,"[3075, 1542, 3596, 1166, 1806, 2320, 3599, 1307, 1956, 1572, 2469, 1831, 168, 421, 2602, 4012, 2092, 2093, 1582, 1584, 430, 562, 44, 3247, 2862, 3761, 3634, 180, 1593, 3255, 571, 3508, 1597, 1094, 3274, 76, 591, 720, 1493, 1110, 2648, 89, 3291, 1755, 221, 2144, 2273, 2785, 226, 3557, 2791, 236, 239, 1905, 242, 1651, 3317, 117, 1654, 1479]"
7.999999999999995,1395.1,444,"[384, 3075, 1956, 2469, 1572, 1238, 1430, 2296]"
2.000000000000001,477.84,77,"[3147, 1028]"
7.000000000000005,1247.24,327,"[3811, 1028, 2469, 1572, 2602, 1451, 1782]"
16.0,1558.08,614,"[3075, 1542, 1547, 3596, 653, 1166, 2516, 2325, 1238, 2327, 3864, 1048, 1430, 704, 574, 927]"
83.0,2107.64,3114,"[3622, 2089, 2602, 2093, 2607, 3634, 2622, 600, 128, 2180, 1166, 3737, 673, 1699, 3247, 3761, 180, 181, 3255, 3257, 2240, 3789, 1745, 3284, 3290, 1761, 230, 3843, 772, 1797, 271, 1811, 791, 280, 1817, 1307, 3356, 1831, 3879, 1319, 2862, 3375, 3892, 2359, 1855, 2887, 2889, 1355, 3917, 849, 850, 3409, 2900, 342, 2914, 1380, 2926, 1391, 1905, 1915, 384, 3476, 3993, 3487, 1443, 420, 2469, 1956, 424, 1961, 4012, 2993, 437, 1465, 3006, 3521, 4033, 3524, 4036, 1998, 979, 3542, 1586]"
51.0,1956.37,1723,"[1028, 1166, 3737, 3993, 1307, 1572, 2469, 1956, 2602, 4012, 2092, 2093, 3375, 1582, 1584, 430, 562, 44, 181, 3247, 2359, 3761, 3634, 180, 1593, 3255, 571, 1597, 2862, 3274, 76, 591, 720, 1493, 1110, 2648, 89, 1243, 3291, 1755, 221, 583, 2273, 2785, 3811, 226, 3557, 236, 239, 1905, 3508]"
