n_nodes,influence,obj,nodes
1.0,0.04,0.6,[2214]
1.0,0.03,0.8,[1050]
0.99,0.16,0.19999999999999996,"[1504, 2731]"
1.0,0.07,0.4,[3309]
1.0,0.12,0.19999999999999996,[1440]
1.0,0.21,0.0,[107]
0.99,0.07,0.4,"[3309, 3409]"
0.76,0.5,0.0,"[2578, 2199, 26, 1821, 2464, 2594, 1831, 1833, 2859, 2350, 303, 687, 1841, 3892, 2872, 1616, 352, 2401, 1379, 2915, 3428, 106, 107, 362, 109]"
0.93,0.44,0.0,"[107, 1616, 2578, 2836, 276, 2068, 2199, 1821]"
0.53,0.52,0.0,"[780, 2189, 1166, 271, 2578, 2322, 2836, 276, 26, 3099, 1309, 1821, 3870, 288, 797, 2594, 2338, 2078, 3366, 1833, 2859, 2350, 303, 1841, 3892, 1848, 2872, 1850, 835, 2375, 2776, 3929, 352, 2401, 1379, 2915, 1381, 3428, 3175, 106, 107, 362, 877, 366, 2929, 623, 2935, 122]"
0.58,0.52,0.0,"[2432, 0, 3970, 388, 3973, 2578, 276, 26, 1309, 797, 2078, 288, 1821, 2594, 2338, 3870, 3366, 1833, 2859, 2350, 687, 303, 1841, 1848, 2872, 1850, 2494, 835, 1349, 2246, 1486, 1616, 3929, 1630, 352, 2401, 1379, 2915, 3428, 106, 107, 362, 109]"
0.56,0.52,0.0,"[2432, 0, 3970, 388, 3973, 3460, 2578, 276, 26, 1309, 797, 2078, 288, 1821, 2594, 2338, 3870, 3366, 1833, 2859, 2350, 303, 1841, 3892, 1848, 2872, 1850, 835, 2776, 3929, 860, 352, 2401, 1379, 2915, 1381, 3175, 106, 107, 362, 366, 2929, 2933, 2935, 2937]"
0.31,0.53,0.0,"[0, 3968, 3970, 388, 3973, 3460, 3463, 271, 1552, 2578, 1430, 26, 3099, 1821, 1054, 2078, 1440, 670, 2594, 3870, 1309, 288, 1571, 2087, 2084, 2338, 2217, 797, 167, 3366, 1833, 42, 2859, 2096, 2221, 2350, 1841, 1848, 2872, 1850, 2617, 2110, 1217, 835, 3269, 1861, 3015, 2375, 930, 2121, 3754, 839, 3929, 349, 352, 2401, 1249, 2915, 106, 107, 362, 109, 3694, 366, 2160, 2929, 2933, 2935, 2937, 2742]"
0.73,0.5,0.0,"[2578, 26, 3099, 1821, 2078, 2464, 2594, 1831, 1833, 2350, 303, 687, 1841, 3892, 2872, 1616, 3933, 1630, 352, 2401, 1379, 2915, 3428, 106, 107, 362, 109, 3702]"
1.0,0.01,1.0,[358]
0.87,0.47,0.0,"[2464, 2594, 26, 2121, 1821, 107, 1616, 2578, 2836, 2199, 2138, 349, 2845, 3102]"
0.7,0.5,0.0,"[2432, 0, 3970, 2199, 26, 1821, 2464, 2594, 1833, 2859, 2350, 303, 1841, 1848, 2872, 1850, 3778, 1616, 3929, 1630, 352, 2401, 1379, 2915, 1381, 3428, 106, 107, 362, 109, 413]"
