seed_set,spread,seed,communities,fairness,budget,time
"[3891, 3584, 3206, 548]",0.003575142361970785,0.97,0.20985333713060683,0.2749929037280947,0.9974339689421758,0.6
"[3891, 3206, 548]",0.003099777172567467,0.98,0.1798630732556984,0.2752525306663183,0.9977879042604963,0.6
"[3776, 2244, 129]",0.003265659816786333,0.98,0.17679972168444025,0.2743829957721622,0.9973012431978056,0.6
"[2800, 154, 0]",0.027041346868036643,0.98,0.20384012133186846,0.20527316956586172,0.9838517011016237,0.19999999999999996
"[3584, 2528]",0.0016291161178509533,0.99,0.0993854752719352,0.22555298318780626,0.9995133389373092,0.8
"[3584, 2528, 181]",0.0024659569200297105,0.98,0.16851078803189623,0.2743829957721622,0.9990709197894085,0.8
[0],0.026063382025253774,1.0,0.17891130514849363,0.1674453888423022,0.984648055567845,0.19999999999999996
"[3876, 3785, 2642, 2091, 1827, 457, 418, 0]",0.038712552612032686,0.93,0.26624963038296456,0.36480911655604387,0.9751802858027695,0.19999999999999996
"[1739, 719, 0]",0.028405545927209706,0.98,0.198020237252702,0.275827661372537,0.9832323142945627,0.19999999999999996
"[3876, 3650, 3584, 1827, 491]",0.010700668482297598,0.96,0.18857814142781604,0.25859710525421986,0.995708534265363,0.4
"[2054, 0]",0.027831146323347364,0.99,0.20235566986092435,0.2243510173611406,0.9824359598283414,0.19999999999999996
"[3900, 3876, 3868, 3584, 2468, 1827, 1574, 422, 297]",0.015258727407774203,0.92,0.23496332577300505,0.3447922766585195,0.9893376985355926,0.19999999999999996
"[3876, 2468, 1932, 1923, 1827, 449, 0]",0.03843278039118594,0.94,0.28520542287870354,0.37515615126129964,0.9750033181436093,0.19999999999999996
"[1827, 1571]",0.007640505075513741,0.99,0.17451429887447323,0.20859921535258819,0.9967260983055347,0.4
"[3920, 2335, 2317, 2092, 1960, 1896, 1831, 1827, 1557, 1172, 297, 0]",0.053577618222332264,0.89,0.3366698329532869,0.4135492857696448,0.9614210503030571,0.0
"[1827, 1571, 0]",0.034176776429809354,0.98,0.23899826084175924,0.25048499263072954,0.9813741538733797,0.19999999999999996
"[3876, 3584, 2468, 2366, 1926, 1827, 1574, 422]",0.016595692002971032,0.93,0.2501683223000668,0.37585324125038866,0.9875680219439897,0.19999999999999996
"[3987, 3729, 2840, 2831, 2317, 1972, 1942, 1827, 449, 143]",0.017016588264421886,0.91,0.28418943755297343,0.3595204330504026,0.9892492147060125,0.19999999999999996
"[3876, 2468, 1932, 1827, 449]",0.012530329289428077,0.96,0.23145894208143536,0.3392311653636081,0.9910631332124055,0.19999999999999996
"[3987, 3920, 3729, 2840, 2831, 2446, 2335, 2317, 2092, 1896, 1827, 1732, 1172, 297, 143]",0.02116860609061649,0.86,0.30417637259835795,0.4232458606747479,0.9860195549263372,0.19999999999999996
"[2774, 1827, 706, 0]",0.0350557068581332,0.97,0.2457819801053328,0.28581414345925205,0.9793832677078264,0.19999999999999996
"[2774, 1854, 1827, 706, 0]",0.03659569200297103,0.96,0.2566743463865764,0.32828989038033174,0.9786311551563952,0.19999999999999996
"[3987, 3920, 3729, 2840, 2831, 2446, 2092, 1896, 1827, 1732, 1172, 297, 143]",0.0190864075266155,0.88,0.2891464246442407,0.4108840191023483,0.9886740698137415,0.19999999999999996
"[1775, 0]",0.02654617479574152,0.99,0.18978879735782395,0.2252857439837853,0.9838959430164137,0.19999999999999996
"[3876, 1827]",0.007288932904184205,0.99,0.1685004549382988,0.20502104827175405,0.9972127593682255,0.4
"[3729, 3356, 2840, 2831, 2317, 1972, 1942, 1827, 1560, 143]",0.0171775191879178,0.91,0.2822136440559677,0.37243443771074125,0.988895279387692,0.19999999999999996
"[3729, 2831, 2446, 2317, 2092, 1896, 1827, 1732, 143]",0.014506065857885615,0.92,0.24705774661315727,0.37299683900478187,0.992655842144848,0.19999999999999996
