n_nodes,influence,communities,nodes
8.999999999999996,46.4,254,"[451, 2404, 1769, 556, 493, 2548, 1974, 3804, 1919]"
2.000000000000001,16.93,103,"[2579, 2571]"
9.999999999999996,53.16,305,"[451, 2404, 1769, 556, 493, 2548, 1974, 3804, 1919, 3224]"
14.0,54.37,287,"[1409, 3489, 2309, 1598, 2889, 3210, 2955, 1675, 3760, 3504, 1521, 1936, 1908, 926]"
3.0000000000000018,13.66,48,"[224, 100, 2874]"
1.0,6.09,53,[3471]
5.0000000000000036,25.85,146,"[2615, 1569, 168, 1179, 3932]"
4.000000000000003,38.96,161,"[224, 1569, 2874, 1843]"
13.0,51.45,261,"[3489, 2499, 2183, 2889, 1228, 1613, 1326, 3728, 2449, 209, 1812, 3896, 2079]"
5.0000000000000036,30.9,159,"[451, 2404, 1769, 556, 84]"
10.999999999999998,56.09,305,"[34, 2694, 3623, 3721, 1674, 3211, 651, 2093, 144, 1182, 1055]"
5.0000000000000036,25.33,146,"[384, 1794, 3972, 1157, 1687]"
7.000000000000005,39.89,234,"[34, 1674, 3211, 651, 2573, 144, 2104]"
19.999999999999993,189.22,811,"[0, 1287, 137, 2186, 2187, 1674, 1293, 2734, 1679, 1805, 3342, 3215, 3601, 2705, 2322, 275, 2710, 2071, 3740, 103]"
17.000000000000004,68.34,327,"[3685, 38, 2567, 2889, 2063, 3760, 3313, 3729, 3504, 1521, 1936, 950, 1908, 1168, 3190, 926, 2512]"
16.0,60.67,302,"[3489, 2309, 2889, 3210, 1675, 3760, 3504, 1521, 1936, 1908, 1168, 3190, 926, 441, 1598, 3641]"
5.0000000000000036,118.57,431,"[0, 517, 2889, 3210, 1675]"
3.0000000000000018,15.27,59,"[224, 3405, 100]"
71.0,673.25,4183,"[0, 768, 1794, 3843, 3844, 3207, 1287, 2186, 1805, 3471, 1936, 3216, 2065, 3217, 2707, 660, 275, 663, 2837, 3840, 1177, 1432, 3992, 285, 2321, 1694, 1182, 1821, 2847, 1570, 2723, 2724, 3363, 2213, 3877, 939, 3885, 2223, 1200, 2865, 3504, 1843, 1971, 441, 3898, 4031, 3908, 968, 2889, 1872, 337, 467, 1364, 343, 2391, 1373, 351, 225, 3425, 1379, 2535, 872, 3817, 362, 1387, 1521, 1908, 3061, 1783, 760, 3321]"
9.999999999999996,151.2,581,"[0, 1794, 3843, 3844, 3207, 1287, 2186, 1805, 3342, 1041]"
8.999999999999996,147.6,570,"[0, 1794, 3843, 3844, 3207, 2186, 1805, 3342, 1041]"
24.0,464.73,2612,"[0, 517, 3077, 3084, 1549, 1037, 1679, 3216, 2321, 3603, 2707, 660, 795, 1692, 1821, 441, 1232, 1362, 3285, 2906, 3547, 351, 608, 239]"
21.999999999999996,441.26,2278,"[0, 2187, 1293, 270, 1679, 1807, 3216, 3601, 2065, 3217, 2707, 1177, 795, 1692, 1821, 441, 1362, 3285, 2906, 3547, 351, 608]"
11.999999999999998,46.76,223,"[3489, 2499, 2183, 2889, 1228, 1613, 1326, 3728, 1546, 209, 1812, 3896]"
6.000000000000004,22.81,81,"[3685, 38, 2567, 2889, 4002, 3760]"
4.000000000000003,119.6,453,"[0, 768, 1794, 1963]"
20.999999999999996,321.09,1384,"[0, 1549, 4005, 1041, 3601, 2321, 3603, 2707, 660, 663, 1559, 2071, 2074, 1177, 275, 2837, 1694, 1821, 1182, 2847, 1570]"
19.999999999999993,426.23,2196,"[0, 2567, 2063, 1177, 1692, 1821, 38, 3760, 441, 2889, 1232, 1362, 3285, 2906, 3547, 351, 608, 993, 2156, 3313]"
20.999999999999996,442.35,2347,"[0, 2187, 1037, 1293, 1807, 270, 1679, 3601, 3216, 2065, 3217, 2707, 663, 1692, 1821, 441, 1362, 3285, 2906, 351, 608]"
22.999999999999996,451.38,2356,"[0, 768, 1679, 3216, 1807, 3601, 2065, 2707, 1177, 795, 1692, 1821, 38, 441, 2889, 1232, 1362, 3285, 2906, 3547, 351, 1557, 993]"
19.999999999999993,306.16,1274,"[0, 768, 1794, 3844, 1287, 1293, 270, 1807, 1936, 3217, 1682, 275, 2837, 2074, 1821, 1182, 1694, 2847, 1570, 4005]"
4.000000000000003,23.45,108,"[321, 768, 1794, 1963]"
70.0,658.65,4250,"[0, 768, 1794, 3843, 3207, 1287, 3471, 1936, 3216, 3601, 2065, 3217, 2707, 273, 791, 663, 275, 2837, 665, 2074, 2453, 2455, 1821, 1694, 1182, 285, 2847, 2461, 3363, 3877, 1432, 939, 3885, 2223, 3504, 2865, 1843, 1971, 441, 3898, 4031, 3012, 3908, 968, 2889, 1872, 337, 467, 1364, 343, 2391, 1114, 1373, 351, 225, 3425, 1379, 2535, 872, 3817, 362, 1387, 1521, 1908, 3992, 3061, 1783, 760, 3321, 553]"
11.999999999999998,169.33,745,"[38, 2567, 2889, 910, 2063, 3760, 3313, 3729, 1041, 3601, 1821, 1182]"
19.999999999999993,205.74,893,"[0, 768, 1794, 3207, 2186, 1674, 1805, 910, 3215, 3601, 2705, 812, 300, 1709, 4015, 2223, 1843, 1971, 1013, 1258]"
4.000000000000003,120.12,453,"[0, 768, 1758, 1963]"
19.999999999999993,196.29,838,"[0, 384, 2950, 3207, 2186, 1674, 1805, 910, 3215, 3601, 2705, 812, 300, 1709, 4015, 2223, 1843, 1971, 1013, 2080]"
1.0,102.44,347,[0]
62.0,634.2,4090,"[0, 1157, 2568, 137, 2187, 12, 270, 3216, 3217, 2321, 275, 2837, 2710, 663, 2711, 1432, 1177, 3992, 1692, 285, 1694, 1182, 1821, 2847, 1570, 2723, 2724, 3363, 3877, 939, 3885, 2223, 1200, 2865, 3504, 1843, 1971, 441, 3898, 4031, 467, 1364, 343, 2391, 1115, 1373, 351, 225, 3425, 1379, 866, 2535, 872, 2537, 362, 1387, 2677, 374, 119, 1019, 1405, 2377]"
9.999999999999996,164.92,690,"[1157, 2568, 137, 2187, 12, 270, 3729, 1041, 1821, 1182]"
24.0,469.26,2688,"[0, 1922, 1925, 3974, 1932, 1037, 2190, 1807, 1293, 1041, 1177, 795, 1692, 1821, 441, 2362, 3270, 1362, 3285, 2906, 3547, 351, 608, 497]"
13.0,299.36,1387,"[0, 1821, 1037, 1549, 2190, 1041, 3601, 3218, 2707, 2071, 1692, 1309, 1697]"
10.999999999999998,267.13,1070,"[0, 1794, 3843, 2063, 3760, 3313, 3729, 1041, 3601, 1821, 1182]"
19.999999999999993,432.88,2334,"[0, 2187, 1293, 1037, 1807, 270, 1679, 3601, 3216, 3217, 2707, 663, 1692, 1821, 441, 1362, 3285, 2906, 351, 608]"
15.000000000000002,303.68,1574,"[0, 1309, 1037, 1549, 2190, 942, 1041, 3601, 3218, 2071, 441, 2362, 1692, 1821, 3713]"
18.000000000000004,169.11,659,"[0, 1794, 3843, 2063, 3729, 1041, 3601, 2705, 2080, 812, 300, 1709, 4015, 3760, 2223, 1971, 3313, 1013]"
27.0,325.71,1440,"[0, 1922, 1925, 3974, 1157, 2568, 137, 275, 660, 2837, 663, 2071, 1559, 1177, 1820, 1821, 1694, 1182, 2847, 1570, 720, 2522, 1121, 3298, 356, 2408, 3180]"
16.0,64.01,316,"[192, 2567, 2889, 2063, 3760, 3313, 3729, 3504, 1521, 1936, 950, 1908, 1168, 3190, 926, 2512]"
14.0,162.27,595,"[0, 2080, 1794, 3843, 812, 300, 1709, 2063, 4015, 3729, 1041, 3601, 2705, 2091]"
10.999999999999998,59.88,316,"[768, 321, 2889, 910, 2063, 3760, 3313, 1041, 3601, 959, 3851]"
6.000000000000004,119.95,429,"[0, 2080, 1794, 1185, 2091, 812]"
33.0,495.88,2774,"[0, 768, 3593, 1679, 3216, 1807, 3601, 2707, 660, 1557, 275, 663, 791, 2837, 1177, 1949, 285, 1821, 1694, 1182, 2847, 1570, 2723, 3363, 2321, 3637, 959, 2752, 2630, 328, 1610, 351, 799]"
60.00000000000001,612.45,3800,"[0, 768, 1794, 3843, 1674, 2188, 270, 3215, 1936, 2705, 3217, 2707, 2708, 660, 2710, 2455, 663, 2711, 2837, 791, 1177, 1432, 1847, 1821, 1694, 1182, 285, 2847, 3361, 3363, 3877, 930, 4009, 939, 3885, 1839, 3504, 1332, 310, 3392, 3908, 328, 1356, 1872, 3921, 2386, 3926, 345, 1882, 351, 1890, 2917, 3429, 2972, 362, 1902, 2935, 2428, 1405, 3966]"
62.0,612.88,3815,"[0, 2187, 1293, 270, 1679, 1807, 1037, 1805, 910, 1041, 2446, 3217, 791, 663, 1682, 2707, 275, 2837, 2710, 1177, 2455, 1432, 1692, 1821, 2069, 1182, 285, 2847, 3361, 3363, 3877, 930, 4009, 939, 2348, 3885, 1839, 3504, 1332, 310, 3392, 3908, 328, 1356, 1872, 3921, 2386, 3926, 345, 1882, 351, 1890, 2917, 3429, 2972, 362, 1902, 2935, 3193, 2428, 1405, 3966]"
14.0,52.7,258,"[192, 2567, 2889, 3760, 3313, 3729, 3504, 1521, 1936, 950, 1908, 1168, 3190, 926]"
2.000000000000001,111.39,466,"[0, 2194]"
11.999999999999998,285.85,1274,"[0, 768, 3593, 1679, 3216, 4010, 1557, 2071, 1177, 1692, 1821, 926]"
3.0000000000000018,110.93,365,"[0, 321, 1963]"
32.00000000000001,459.42,2407,"[0, 384, 2950, 2186, 1674, 1041, 3217, 2707, 2708, 660, 2710, 663, 2711, 2455, 3352, 1177, 1692, 2844, 1694, 1182, 285, 2846, 2847, 1821, 2724, 3361, 3750, 3363, 328, 1610, 351, 3052]"
19.000000000000004,305.48,1296,"[0, 1549, 2321, 3603, 2707, 660, 275, 663, 2071, 2837, 1177, 2074, 1692, 1821, 1182, 2844, 285, 2846, 2591]"
9.999999999999996,139.23,531,"[0, 2950, 2186, 2187, 1674, 3313, 3729, 476, 1182, 2827]"
16.0,197.15,946,"[1692, 1162, 1041, 3601, 3603, 2707, 2321, 660, 663, 2071, 1177, 2074, 3228, 2844, 1821, 2591]"
2.000000000000001,6.6,15,"[100, 2950]"
9.999999999999996,47.57,238,"[192, 2567, 2889, 1674, 2827, 3760, 3313, 3729, 476, 3666]"
