n_nodes,influence,obj,nodes
0.81,0.02,0.4084184633586263,"[640, 1920, 1542, 524, 2829, 2454, 2972, 1054, 3495, 1453, 3767, 2106, 3517, 1105, 594, 3923, 3029, 3289, 485, 2302]"
0.72,0.04,0.45534448312548337,"[774, 3975, 3212, 1169, 2200, 538, 1180, 3884, 1837, 562, 179, 3510, 441, 2882, 2756, 3780, 3021, 3664, 2526, 2398, 2655, 2281, 2153, 1901, 3693, 1264, 3825, 2170, 1151]"
0.98,0.0,0.23721262641024676,"[3168, 1209, 1060]"
0.8,0.02,0.37213106636464977,"[2691, 3858, 3225, 3610, 162, 45, 1842, 2739, 1971, 2242, 1861, 583, 3275, 2256, 3934, 2527, 357, 1382, 2801, 1780, 3701]"
0.5,0.05,0.5335667380079614,"[131, 1286, 2056, 1037, 397, 2705, 922, 3229, 1438, 2462, 672, 1316, 2213, 4010, 3243, 1578, 298, 3886, 431, 3887, 4017, 2098, 1204, 694, 3383, 2620, 2748, 3774, 2493, 3520, 1598, 839, 73, 3660, 2765, 3280, 2001, 342, 728, 2008, 3039, 1380, 357, 1765, 1511, 1384, 1768, 3050, 1652, 3189, 2302]"
0.95,0.01,0.2767002984719167,"[546, 2595, 1162, 1299, 2804, 3801]"
0.72,0.03,0.42679330127150594,"[2816, 1293, 2450, 918, 1687, 1431, 920, 2455, 3870, 300, 47, 2226, 1842, 4019, 3898, 1851, 3130, 2749, 1088, 1991, 456, 604, 3300, 2284, 245, 630, 1272, 2554, 255]"
0.32,0.07,0.5834228741897711,"[1921, 258, 3458, 260, 1153, 646, 6, 3592, 3720, 1290, 3594, 140, 398, 1038, 3345, 3218, 3091, 2325, 663, 665, 3225, 2458, 3740, 3868, 1051, 3743, 285, 2469, 3753, 1450, 310, 1339, 2750, 4031, 3777, 195, 3271, 1481, 1610, 75, 1743, 3153, 1106, 2259, 3668, 339, 1110, 3416, 2648, 1880, 2777, 605, 607, 3680, 2274, 1254, 3177, 1132, 2284, 1905, 754, 2545, 1906, 3189, 3446, 2295, 3960, 3833, 1786]"
0.99,0.0,0.14009630089719505,"[601, 636]"
0.84,0.02,0.3700129528132109,"[1540, 965, 2763, 3021, 3630, 366, 2928, 942, 1584, 659, 602, 824, 1625, 2490, 2973, 2718, 3129]"
0.45,0.06,0.4774740024786215,"[3586, 1922, 2825, 393, 3850, 2701, 15, 17, 1938, 913, 1940, 150, 2455, 1302, 3481, 666, 2588, 2975, 3874, 1827, 1700, 1189, 2982, 679, 1194, 1323, 300, 431, 690, 562, 1971, 3254, 1344, 450, 3650, 706, 2886, 1223, 1483, 3917, 466, 852, 1755, 3580, 350, 1118, 96, 740, 747, 2667, 373, 1910, 1909, 3833, 2042, 3068]"
0.7,0.04,0.44926842030956193,"[2689, 1928, 1677, 782, 143, 2192, 2836, 3227, 1182, 2848, 3497, 2861, 436, 1466, 2235, 3388, 3902, 2379, 462, 718, 3282, 3795, 1620, 3031, 356, 3941, 3176, 3711, 248, 2046, 1023]"
0.98,0.0,0.1972364019992403,"[2864, 2249, 622]"
0.89,0.01,0.35900340912034223,"[514, 3651, 296, 1194, 491, 1517, 2542, 1681, 819, 1974, 1432, 3611]"
0.85,0.02,0.4155907472908279,"[3616, 3329, 1857, 3360, 3544, 3528, 2188, 589, 2702, 792, 3570, 563, 2259, 3864, 250, 350]"
0.94,0.01,0.28275079007268655,"[3913, 1934, 656, 1297, 1040, 2903, 3293]"
0.87,0.02,0.35646955738922415,"[3457, 707, 2245, 2822, 2508, 1516, 3343, 2706, 2227, 146, 1909, 2613, 3546, 2206]"
0.63,0.04,0.4774484332938892,"[1792, 2440, 2571, 2705, 2834, 2067, 3097, 2461, 3870, 159, 2335, 2214, 3751, 555, 4011, 2735, 2486, 3639, 953, 3129, 454, 3528, 330, 1738, 3410, 858, 606, 994, 3683, 101, 2407, 1898, 364, 2286, 503, 3578, 2811, 765]"
0.53,0.05,0.52377889749384,"[896, 2946, 3460, 2186, 3979, 17, 3219, 2708, 278, 3734, 1304, 1945, 1948, 1309, 3614, 1054, 1180, 2593, 2979, 2339, 38, 4010, 2220, 2604, 1327, 3381, 2104, 314, 2621, 831, 2372, 2630, 3400, 2505, 330, 2003, 214, 727, 2649, 992, 3040, 485, 106, 619, 2029, 760, 3963, 1023]"
0.74,0.03,0.43575715808008864,"[1282, 2444, 910, 3349, 3352, 3102, 3488, 431, 2480, 2101, 2615, 3901, 3518, 447, 1986, 1222, 1736, 2892, 2129, 3539, 1882, 1638, 1127, 2027, 2417, 3704, 1275]"
0.82,0.02,0.3750818622199248,"[3850, 142, 2320, 2452, 916, 2356, 1465, 3650, 3414, 1239, 3798, 2274, 3941, 2408, 489, 2027, 1133, 2419, 2551]"
