n_nodes,influence,obj,nodes
1.0,0.03,0.17605971132229115,[0]
1.0,0.02,0.28544325376337487,[352]
1.0,0.03,0.1714547839785996,[1821]
0.95,0.1,0.5349121673332115,"[0, 352, 1827, 1831, 2315, 107]"
0.99,0.05,0.323030610265316,"[352, 1821]"
0.99,0.05,0.32961927780388134,"[0, 352]"
0.99,0.06,0.23610000582907986,"[0, 1821]"
0.91,0.16,0.6655799485675001,"[0, 352, 1827, 99, 1831, 1322, 107, 45, 1821, 351]"
0.9,0.16,0.6668468470005375,"[0, 352, 1827, 2951, 1831, 1322, 107, 45, 815, 1821, 351]"
0.92,0.16,0.6663979079276169,"[0, 352, 99, 1827, 1831, 1322, 107, 1821, 351]"
0.97,0.09,0.4901328842741879,"[0, 352, 1827, 107]"
0.94,0.15,0.5940058533946713,"[0, 352, 1322, 107, 815, 1821, 351]"
0.95,0.12,0.5263737510400897,"[0, 107, 1454, 1821, 351, 1790]"
0.77,0.19,0.7470563956292242,"[0, 3986, 2068, 1821, 1827, 1316, 1831, 2224, 1750, 1755, 348, 1629, 349, 1502, 352, 2015, 1122, 227, 2402, 101, 351, 612, 2278, 107]"
0.9,0.16,0.6734083852639309,"[0, 352, 1827, 99, 1831, 107, 45, 723, 1821, 351, 1739]"
0.89,0.17,0.6667020816251621,"[0, 352, 1827, 99, 1831, 1322, 107, 45, 815, 1821, 351, 3399]"
0.84,0.18,0.7206295390682543,"[0, 352, 3106, 1827, 101, 351, 1831, 1354, 107, 1099, 45, 1821, 2224, 348, 2269, 1758, 2334]"
0.95,0.13,0.5045807294319453,"[0, 107, 1454, 1821, 351, 2917]"
0.53,0.22,0.7738719703958457,"[0, 403, 1431, 1821, 2334, 3106, 1827, 1316, 1831, 1322, 2224, 1075, 2871, 1464, 3526, 1099, 2916, 1748, 2774, 983, 3544, 600, 3929, 2395, 1755, 2269, 222, 3548, 349, 1758, 348, 352, 1502, 1629, 1122, 2402, 2657, 351, 99, 612, 227, 2278, 3939, 107, 2160, 101, 382, 456]"
0.54,0.22,0.7748793119278321,"[0, 1926, 2571, 2062, 2195, 2068, 3095, 1821, 2334, 3106, 1827, 1831, 2220, 2224, 4018, 4022, 1975, 1465, 1349, 3526, 1748, 2774, 600, 3929, 3548, 349, 2269, 1758, 348, 352, 1502, 1629, 1122, 2402, 2657, 351, 99, 612, 227, 2278, 2916, 3939, 107, 2160, 101, 382, 1251]"
0.81,0.19,0.7418891034154956,"[0, 1431, 1821, 2334, 1827, 1831, 2224, 2498, 1349, 1872, 348, 349, 1758, 351, 352, 1250, 2402, 227, 101, 107]"
0.82,0.18,0.7386579195569425,"[0, 352, 1250, 99, 1827, 227, 101, 1831, 1821, 107, 685, 2224, 2068, 1755, 348, 2269, 1758, 351, 3054]"
0.75,0.2,0.7307944150616168,"[0, 403, 1431, 1821, 2334, 3106, 1827, 1316, 1831, 1322, 2224, 197, 2774, 3929, 3548, 349, 348, 351, 352, 227, 612, 101, 1000, 107, 2047, 3457]"
0.8,0.19,0.7420451954789911,"[0, 1045, 1431, 1821, 2334, 3106, 1827, 1831, 2543, 2224, 1354, 1755, 348, 2269, 1758, 351, 352, 2402, 227, 101, 107]"
0.76,0.2,0.7500039198281387,"[0, 905, 403, 1431, 1821, 3378, 1827, 1831, 2224, 2993, 2498, 1349, 1872, 2774, 3929, 3548, 349, 348, 351, 352, 1758, 1502, 227, 107, 2047]"
0.84,0.18,0.7104663688672719,"[0, 352, 1827, 227, 101, 351, 1831, 107, 1821, 403, 2068, 1750, 1755, 348, 2269, 958, 2334]"
0.8,0.19,0.740337927644259,"[0, 1431, 1821, 2334, 1827, 1831, 2224, 2498, 1349, 1872, 348, 349, 1758, 351, 352, 1250, 2402, 227, 101, 107, 2422]"
0.55,0.22,0.771012249378916,"[0, 403, 1431, 1821, 2334, 3106, 1827, 1316, 1831, 1322, 2224, 1075, 2871, 1464, 3526, 456, 1099, 1748, 2774, 983, 3544, 600, 3929, 2395, 1755, 2269, 222, 3548, 349, 1758, 348, 352, 2916, 1502, 1629, 1122, 2402, 2657, 351, 99, 612, 2278, 3939, 107, 2160, 3288]"
0.66,0.22,0.7624548961900333,"[0, 403, 1431, 3095, 1821, 2334, 3106, 1827, 1831, 2871, 2232, 67, 1099, 2130, 3544, 1755, 348, 2269, 349, 3548, 222, 352, 1758, 612, 1502, 2657, 1122, 351, 227, 2916, 3939, 101, 107, 2278, 367]"
0.91,0.16,0.6683081194875082,"[0, 352, 1827, 99, 1831, 107, 45, 607, 1821, 351]"
0.69,0.2,0.7734844822795212,"[0, 1821, 2334, 3106, 1827, 1316, 1831, 1322, 2224, 1075, 2871, 1464, 1099, 3544, 1755, 2395, 2269, 349, 348, 352, 3548, 222, 1502, 1629, 1122, 2402, 351, 612, 227, 2278, 107, 3402]"
0.86,0.18,0.7017869317188994,"[0, 352, 1827, 1316, 227, 99, 1831, 351, 1821, 107, 1755, 348, 2269, 958, 2334]"
0.91,0.16,0.659374643025979,"[0, 352, 1827, 99, 1831, 1322, 107, 1821, 351, 2626]"
0.83,0.19,0.7067273078554726,"[0, 3087, 403, 2068, 1821, 2334, 1827, 1831, 1322, 958, 1750, 1755, 348, 2269, 351, 352, 101, 107]"
0.57,0.22,0.7772974638178123,"[0, 3087, 403, 2068, 1557, 3100, 1821, 2334, 3106, 1827, 1831, 2477, 2224, 1075, 2871, 1465, 2879, 1349, 3526, 1099, 2774, 3929, 1755, 3548, 349, 2269, 1758, 222, 348, 352, 1502, 2916, 1629, 1122, 2402, 2657, 351, 99, 612, 2278, 3939, 107, 2160, 683]"
0.58,0.22,0.7688266526110146,"[0, 403, 1431, 1821, 2334, 2296, 1827, 1316, 1831, 1322, 2224, 1075, 2871, 1464, 1099, 1748, 2774, 3544, 600, 3929, 2395, 348, 349, 2269, 222, 352, 3548, 1758, 1502, 1629, 1122, 2402, 2657, 351, 99, 612, 2278, 2916, 3939, 107, 2160, 2681, 382]"
0.73,0.2,0.7612016978682228,"[0, 1821, 2334, 3106, 1827, 1831, 2871, 2232, 67, 1099, 2130, 3027, 3544, 1755, 348, 2269, 349, 3548, 352, 222, 1758, 1502, 3803, 612, 2917, 351, 2278, 107]"
0.97,0.11,0.47344335449275843,"[0, 352, 1821, 351]"
0.79,0.19,0.7394857642685071,"[0, 1431, 1821, 2334, 1827, 1831, 2224, 2498, 1349, 1872, 348, 349, 1758, 2269, 352, 351, 227, 612, 101, 1000, 107, 2047]"
0.88,0.17,0.6750162610853372,"[0, 352, 1250, 1827, 3142, 1831, 1322, 107, 45, 815, 3570, 1821, 351]"
0.65,0.22,0.76537736813479,"[0, 902, 403, 1431, 3095, 1821, 2334, 3106, 1827, 1831, 2871, 2232, 67, 1099, 2130, 3544, 1755, 348, 2269, 349, 732, 3548, 352, 1758, 612, 1502, 2657, 1122, 351, 227, 2916, 3939, 101, 107, 2278, 367]"
0.56,0.22,0.7732357919696444,"[0, 2571, 2062, 2195, 2068, 3095, 1821, 2334, 3106, 1827, 1831, 2220, 2224, 4018, 4022, 1975, 1465, 1349, 3526, 1748, 2774, 600, 3929, 3548, 349, 2269, 1758, 352, 348, 1502, 1251, 1629, 1122, 2402, 2657, 351, 99, 612, 227, 2278, 2916, 3939, 107, 101, 382]"
0.65,0.21,0.7806305266123144,"[0, 403, 1821, 2975, 3106, 1827, 1316, 1831, 1576, 1322, 2224, 1075, 3382, 2871, 1099, 1878, 1755, 348, 2269, 1758, 351, 352, 3296, 2657, 349, 1250, 2402, 227, 1502, 1122, 99, 612, 2278, 2916, 3939, 107]"
0.64,0.21,0.7789451635803697,"[0, 1821, 2334, 3106, 1827, 1316, 1831, 1322, 2224, 1075, 2871, 1464, 3402, 1099, 3544, 2395, 1755, 2269, 1502, 348, 349, 351, 352, 3296, 2657, 1250, 2402, 227, 1122, 99, 612, 2278, 2916, 3939, 107, 2160, 2173]"
0.79,0.2,0.7264230105071792,"[0, 1431, 1821, 2334, 1827, 1831, 2224, 2498, 1349, 197, 2774, 3929, 3548, 349, 348, 351, 352, 227, 612, 101, 1000, 107]"
0.83,0.18,0.7238623538209881,"[0, 352, 3106, 1827, 101, 351, 1831, 1354, 107, 1099, 45, 2224, 2269, 348, 1821, 1758, 2334, 3221]"
0.9,0.16,0.6757199248766335,"[0, 352, 1827, 99, 1831, 107, 45, 723, 1821, 351, 1513]"
0.68,0.21,0.7669912050645623,"[0, 403, 3095, 1821, 2334, 3106, 1827, 1831, 2871, 2232, 67, 1099, 2130, 3544, 1755, 348, 2269, 349, 3548, 222, 352, 1758, 1502, 612, 2657, 1122, 351, 227, 2916, 3939, 101, 107, 2278]"
0.67,0.21,0.7700026027273925,"[0, 1431, 3095, 1821, 2334, 3106, 1827, 1831, 2871, 2232, 67, 1099, 2130, 3544, 1755, 3548, 2269, 349, 348, 222, 352, 1758, 1502, 612, 2657, 1122, 351, 227, 2916, 2048, 107, 101, 2278, 367]"
0.65,0.21,0.771136684108602,"[0, 3632, 403, 2068, 1821, 3106, 1827, 1831, 1322, 2224, 1075, 2871, 67, 1099, 3544, 1755, 348, 2269, 349, 732, 3548, 222, 352, 1758, 612, 1502, 2657, 1122, 351, 227, 2916, 3939, 101, 107, 2278, 367]"
