n_nodes,influence,obj,nodes
0.96,0.01,0.4,"[770, 2249, 141, 145, 1809]"
0.77,0.09,0.19999999999999996,"[0, 3072, 2305, 661, 3993, 429, 694, 3771, 1607, 1998, 2000, 3410, 1747, 88, 346, 2138, 2398, 3424, 1507, 1254, 3435, 107, 109, 3441]"
0.95,0.01,0.4,"[2820, 6, 2697, 1391, 19, 3095]"
1.0,0.0,0.8,[703]
1.0,0.04,0.0,[107]
0.97,0.06,0.19999999999999996,"[0, 1761, 107, 1162]"
0.98,0.0,0.6,"[2048, 944, 771]"
0.98,0.01,0.4,"[1660, 271, 3856]"
1.0,0.03,0.19999999999999996,[351]
0.95,0.07,0.19999999999999996,"[0, 2208, 107, 2448, 145, 3226]"
0.99,0.07,0.0,"[107, 1821]"
0.99,0.0,0.8,"[944, 1609]"
0.99,0.01,0.4,"[3347, 271]"
0.93,0.11,0.0,"[0, 2305, 1316, 1831, 107, 1203, 1821, 2919]"
0.97,0.0,0.6,"[944, 1609, 295, 1774]"
0.95,0.11,0.0,"[0, 2305, 1831, 107, 1821, 1566]"
0.9,0.12,0.0,"[0, 2305, 1831, 107, 593, 3101, 1203, 3172, 2900, 3226, 1821]"
0.98,0.0,0.8,"[3856, 1609, 295]"
0.98,0.09,0.0,"[0, 107, 1821]"
0.91,0.12,0.0,"[0, 2305, 1831, 1821, 107, 1202, 1203, 2228, 3165, 3396]"
1.0,0.0,1.0,[944]
0.85,0.13,0.0,"[0, 2305, 2368, 736, 3172, 3302, 1831, 3305, 1821, 107, 2539, 593, 1203, 2169, 3226, 349]"
0.99,0.06,0.19999999999999996,"[0, 107]"
0.99,0.0,1.0,"[3081, 267]"
0.89,0.13,0.0,"[0, 2305, 3172, 1831, 107, 3024, 3101, 2900, 2169, 3226, 349, 1821]"
0.97,0.0,0.8,"[944, 1609, 3764, 286]"
0.67,0.17,0.0,"[0, 2305, 1420, 3340, 1431, 3226, 1821, 1312, 1831, 809, 3244, 2860, 2051, 2863, 690, 1203, 2228, 4018, 2484, 2254, 3280, 593, 2262, 1754, 1755, 346, 349, 862, 348, 3295, 3808, 2025, 107, 1144]"
0.79,0.15,0.0,"[0, 2305, 3226, 1821, 1831, 3244, 942, 945, 690, 1203, 2228, 1237, 2262, 346, 1755, 348, 349, 862, 3295, 3302, 3305, 107]"
1.0,0.0,0.4,[1490]
0.77,0.15,0.0,"[0, 2305, 3226, 1821, 1831, 3244, 942, 945, 690, 1203, 2228, 1237, 2262, 346, 1755, 348, 349, 862, 3295, 3172, 3302, 3305, 107, 3154]"
1.0,0.0,0.6,[368]
0.96,0.0,0.6,"[135, 2953, 1132, 532, 2009]"
0.3,0.2,0.0,"[0, 2305, 1414, 2440, 2953, 1420, 3340, 3226, 2842, 1436, 1821, 1955, 2979, 3491, 2982, 1063, 1831, 809, 2860, 942, 2863, 945, 690, 1203, 2228, 4018, 1218, 2245, 1221, 1989, 1991, 2889, 969, 843, 3018, 2254, 207, 3280, 1233, 2259, 212, 2262, 3414, 3928, 983, 1754, 346, 2652, 348, 349, 862, 3295, 1760, 2394, 3168, 3424, 1251, 868, 1254, 359, 3816, 361, 3818, 107, 363, 2925, 3559, 1009, 2931, 118, 2936]"
0.75,0.15,0.0,"[0, 2305, 1821, 1187, 1831, 809, 3244, 942, 1202, 1203, 2228, 690, 4018, 2994, 2484, 1461, 3396, 348, 349, 862, 3908, 3172, 3302, 3305, 107, 2539]"
1.0,0.0,1.0,[73]
0.78,0.15,0.0,"[0, 2305, 3226, 1821, 1831, 2411, 942, 945, 690, 1203, 2228, 1237, 2262, 346, 1755, 348, 349, 862, 3295, 3172, 3302, 3305, 107]"
0.6,0.18,0.0,"[0, 2305, 1412, 1420, 1431, 3226, 1821, 1312, 1831, 809, 3244, 2860, 942, 690, 1203, 2228, 4018, 2994, 2484, 1461, 1472, 2131, 1755, 348, 349, 862, 3295, 3808, 3424, 1251, 868, 3302, 1254, 3559, 3816, 361, 107, 3818, 363, 2925, 3474]"
0.26,0.21,0.0,"[0, 2305, 1414, 2440, 2953, 3082, 1420, 3340, 3226, 2842, 1436, 1821, 1955, 2979, 3491, 2982, 1063, 1831, 809, 2860, 942, 2863, 945, 690, 1203, 2228, 4018, 1218, 1348, 2245, 1221, 1989, 1991, 2889, 969, 843, 3018, 3533, 2254, 207, 3280, 1233, 2259, 212, 2262, 3414, 3928, 983, 1754, 346, 2652, 348, 349, 862, 3295, 1760, 2394, 3168, 3424, 1251, 868, 1254, 359, 3816, 361, 3818, 107, 363, 2925, 3559, 1009, 2931, 118, 2936, 3802]"
0.34,0.2,0.0,"[0, 2305, 1038, 1039, 2707, 790, 3226, 28, 1821, 1312, 1831, 1063, 3244, 2860, 942, 2990, 945, 4018, 1203, 1457, 3256, 1209, 3260, 1218, 2245, 3398, 2759, 72, 1221, 1989, 2889, 969, 843, 3018, 3533, 2254, 3280, 1233, 2259, 212, 3414, 983, 1754, 346, 2652, 348, 349, 862, 3295, 1760, 2394, 3168, 3424, 1251, 868, 1254, 359, 3816, 361, 3818, 107, 363, 2925, 3559, 1009, 2931, 2936]"
0.88,0.13,0.0,"[0, 2305, 3172, 1831, 1821, 107, 3024, 2900, 2169, 3226, 349, 3101, 1561]"
0.61,0.18,0.0,"[0, 2305, 1412, 1420, 1431, 3226, 1821, 1312, 1831, 809, 3244, 2860, 942, 690, 1203, 2228, 4018, 2994, 2484, 1461, 1472, 2756, 2131, 1755, 348, 349, 862, 3808, 3424, 1251, 868, 3302, 1254, 3559, 3816, 361, 107, 3818, 363, 2332]"
0.98,0.06,0.19999999999999996,"[0, 2305, 1821]"
0.97,0.1,0.0,"[0, 1831, 107, 1821]"
0.51,0.19,0.0,"[0, 2305, 1420, 1431, 3226, 1821, 1312, 1831, 809, 3244, 2860, 942, 690, 1203, 2228, 4018, 2994, 2484, 1461, 3773, 1472, 1221, 1989, 2889, 969, 843, 3018, 3533, 2254, 3280, 1233, 2131, 2259, 212, 3414, 2262, 346, 2394, 2652, 348, 349, 862, 3295, 359, 3816, 361, 3818, 107, 363, 2925]"
