n_nodes,influence,nodes
2,246.16,"[0, 107]"
1,139.95,[107]
7,502.06,"[0, 352, 107, 1420, 366, 399, 2877, 1821]"
26,714.19,"[0, 2305, 2188, 1420, 3226, 1821, 1831, 1322, 2096, 1841, 2871, 1209, 2362, 3260, 1108, 2523, 348, 1373, 2395, 2651, 352, 107, 366, 3440, 1651, 122]"
11,568.19,"[0, 352, 742, 1831, 745, 1821, 107, 1259, 366, 2296, 3226, 2685]"
10,561.06,"[0, 352, 2685, 742, 1831, 745, 107, 1259, 366, 3226, 1821]"
9,545.81,"[0, 352, 742, 1831, 745, 1821, 107, 1259, 366, 2685]"
8,532.62,"[0, 352, 2685, 742, 1831, 107, 1259, 366, 1821]"
19,672.74,"[0, 2305, 2188, 1548, 3226, 1821, 1827, 1831, 1322, 1614, 2096, 2523, 348, 1373, 352, 107, 366, 3440, 1651, 3327]"
15,614.07,"[0, 352, 742, 1831, 745, 1821, 107, 1259, 366, 3440, 2395, 3260, 2523, 348, 2685]"
21,689.45,"[0, 2305, 2188, 1685, 1821, 1827, 1831, 2344, 1322, 1582, 2096, 2651, 2267, 1373, 2523, 348, 352, 107, 366, 3440, 1651, 122]"
4,455.12,"[0, 352, 107, 1821]"
24,704.2,"[0, 2305, 2188, 1685, 1821, 1827, 1831, 2344, 1322, 1582, 2096, 2362, 3260, 2267, 2395, 1373, 2523, 348, 479, 352, 107, 366, 3440, 122]"
14,598.84,"[0, 352, 2685, 742, 1831, 745, 107, 1259, 366, 3440, 2523, 348, 3260, 1821]"
18,655.03,"[0, 2305, 352, 1827, 1831, 2344, 1322, 107, 2188, 1821, 1582, 2096, 1685, 3226, 2523, 348, 1373, 264]"
35,757.47,"[0, 2305, 2188, 1553, 1685, 3226, 1821, 1827, 1831, 2344, 1322, 1582, 2096, 2267, 2523, 348, 2651, 1373, 352, 3801, 859, 350, 2785, 3814, 742, 870, 107, 2925, 1646, 2287, 3310, 2543, 366, 3440, 3441]"
52,929.73,"[0, 1821, 1827, 1831, 2344, 1322, 1582, 2096, 2362, 3260, 2108, 446, 1214, 1472, 4031, 1474, 1221, 1606, 2630, 590, 2127, 593, 1108, 2523, 348, 1373, 2267, 2651, 2395, 859, 2785, 350, 352, 3814, 742, 870, 871, 504, 107, 2925, 1646, 3310, 366, 3440, 1138, 351, 1268, 1653, 3441, 3319, 2936, 2543]"
3,376.52,"[0, 107, 1821]"
28,716.46,"[0, 2188, 2446, 26, 3226, 1821, 1831, 1582, 2871, 2362, 3260, 1474, 3914, 590, 2254, 2513, 1108, 2645, 1427, 348, 1373, 350, 352, 2785, 3814, 870, 107, 366]"
17,635.61,"[0, 2305, 352, 1827, 1831, 2344, 3226, 1322, 107, 1821, 1582, 2096, 2965, 26, 2523, 348, 1373]"
74,985.4,"[0, 1821, 1507, 1827, 3747, 2982, 1831, 2344, 1322, 1582, 942, 2096, 2994, 2484, 3001, 2362, 3260, 2108, 1214, 446, 1472, 4031, 1474, 1980, 3522, 1221, 1606, 2630, 1991, 969, 3018, 3041, 3533, 2127, 593, 2513, 1517, 1108, 3051, 2519, 983, 345, 474, 2521, 2523, 348, 1373, 2267, 2651, 2395, 859, 2531, 2785, 350, 352, 351, 3814, 742, 870, 871, 1516, 107, 2925, 1646, 3310, 366, 3440, 1138, 3441, 1268, 1653, 2551, 504, 509]"
42,872.97,"[0, 1821, 1827, 3747, 1831, 2344, 1322, 1582, 2096, 2362, 3260, 2108, 446, 1214, 1472, 4031, 1474, 1221, 1606, 2630, 590, 2127, 593, 1108, 2523, 348, 1373, 2267, 2651, 2395, 2785, 350, 352, 351, 3814, 742, 870, 871, 107, 2925, 1646, 504]"
36,851.01,"[0, 2305, 2188, 1553, 1685, 3226, 1821, 1827, 1831, 1159, 1322, 1582, 2096, 1108, 2523, 348, 2651, 1373, 350, 352, 2785, 2395, 859, 351, 3814, 870, 488, 742, 871, 107, 2925, 366, 1646, 3310, 1521, 2936]"
7,486.18,"[0, 352, 745, 107, 2188, 1259, 1821]"
41,867.78,"[0, 2305, 2188, 3226, 26, 3099, 1821, 1831, 1582, 2096, 562, 2871, 1209, 2362, 2630, 590, 2127, 2513, 593, 1108, 2523, 348, 1373, 2093, 2651, 2395, 859, 2785, 350, 352, 351, 3814, 742, 870, 871, 107, 2925, 1646, 3310, 1521, 2936]"
31,746.69,"[0, 2305, 2188, 1685, 3226, 1821, 1827, 1831, 2344, 1322, 1582, 2362, 3260, 1474, 3914, 590, 2254, 2513, 1108, 2651, 348, 1373, 350, 352, 2785, 870, 107, 366, 3440, 1651, 1161]"
29,736.36,"[0, 2305, 2188, 1685, 3226, 1821, 1827, 1831, 1582, 2871, 2362, 3260, 1474, 3914, 590, 2254, 2513, 1108, 2645, 348, 1373, 350, 352, 2785, 3814, 870, 107, 366, 3128]"
19,658.85,"[0, 2305, 3138, 1548, 3226, 1821, 1827, 1831, 1322, 2096, 1614, 2523, 348, 1373, 352, 107, 366, 3440, 1651]"
20,683.71,"[0, 2305, 2188, 1685, 1821, 1827, 1831, 2344, 1582, 2096, 2267, 348, 2651, 2523, 1373, 352, 107, 366, 3440, 1651, 122]"
