seed_set,spread,seed,communities,fairness,budget,time
"[2296, 1821, 1431, 1033, 107, 0]",410.27,6.000000000000004,0.5683041044819699,0.5942063806716371,2320.000000000001,0.0
"[2296, 1821, 1431, 107, 0]",401.2,5.0000000000000036,0.5696111308244607,0.6360570179278697,2198.0000000000014,0.0
"[4002, 3365, 3294, 2153, 2088, 1843, 1831, 1829, 1821, 1431, 1411, 1222, 1033, 651, 352, 351, 109, 107, 0]",723.06,19.000000000000004,0.32468393420670016,0.5055107141627236,4882.000000000001,0.0
"[1821, 1431, 107, 0]",395.05,4.000000000000003,0.5809645982881293,0.6789521643536576,2097.999999999999,0.0
"[2296, 1843, 1821, 673, 351, 107, 0]",530.62,7.000000000000005,0.48368985087784033,0.6063653788071728,2918.999999999999,0.0
"[1821, 107, 0]",375.19,3.0000000000000018,0.606872238161777,0.7252266238071965,1939.0000000000014,0.0
"[2296, 2172, 2126, 1843, 1821, 1431, 1411, 688, 351, 107, 0]",570.57,10.999999999999998,0.4375907762367748,0.6093189510363164,3559.9999999999995,0.0
"[2296, 1843, 1842, 1821, 1431, 351, 211, 107, 0]",559.27,8.999999999999996,0.46299283726587137,0.6150689202399421,3139.999999999999,0.0
"[4002, 3294, 3023, 2153, 2088, 1843, 1831, 1821, 1557, 1431, 1428, 1373, 1356, 1107, 1103, 936, 352, 351, 331, 284, 107, 0]",743.05,21.999999999999996,0.31797983578779776,0.46912064610853754,5216.000000000001,0.0
"[4024, 4002, 3365, 3294, 3277, 2871, 2382, 2239, 2088, 1843, 1831, 1829, 1821, 1557, 1431, 1428, 1373, 1222, 1107, 1103, 843, 572, 501, 352, 351, 284, 107, 0]",774.93,28.0,0.2918362017150725,0.48152376361417826,5781.0,0.0
"[3626, 3294, 3023, 2986, 2871, 2857, 2353, 2198, 2153, 1843, 1841, 1831, 1821, 1431, 1107, 813, 697, 681, 670, 572, 352, 351, 304, 107, 0]",753.21,25.0,0.3461430070437219,0.5118097842116855,5528.999999999999,0.0
"[4002, 3365, 3294, 2296, 2153, 2088, 1843, 1831, 1821, 1431, 1222, 352, 351, 109, 107, 0]",698.31,16.0,0.32701586425319507,0.5089941867607525,4659.0,0.0
"[4024, 4012, 3996, 3940, 3626, 3573, 3399, 3048, 2930, 2871, 2857, 2398, 2397, 2347, 2126, 2088, 2001, 1912, 1891, 1843, 1831, 1829, 1821, 1628, 1623, 1557, 1490, 1484, 1431, 1373, 1356, 1107, 1003, 936, 844, 697, 670, 572, 485, 479, 371, 352, 351, 349, 343, 331, 315, 304, 107, 62, 0]",918.88,51.0,0.25709935205784484,0.4648526571399012,7546.0,0.0
[107],141.74,1.0,0.6816337223873847,0.8325546111576978,1044.999999999999,0.9999999999999998
"[3996, 3294, 2296, 2153, 1843, 1831, 1821, 1557, 1431, 351, 109, 107, 0]",611.16,13.0,0.4165969557640121,0.5207720711906081,3615.0,0.0
"[4002, 3294, 3023, 2153, 2088, 1843, 1831, 1821, 1557, 1431, 1428, 1373, 1356, 1103, 936, 352, 351, 331, 284, 107, 0]",731.69,20.999999999999996,0.32446118872146656,0.4708865462735574,5026.999999999999,0.0
"[4024, 3940, 3399, 3350, 3048, 3023, 2871, 2398, 2397, 2153, 2088, 1843, 1831, 1829, 1821, 1628, 1561, 1557, 1431, 1411, 1356, 936, 697, 572, 485, 479, 352, 351, 349, 331, 304, 107, 62, 0]",830.55,33.99999999999999,0.2640601105578124,0.4349879007213364,6081.000000000001,0.0
"[4024, 4002, 3940, 3626, 3573, 3399, 3365, 3048, 2930, 2871, 2869, 2857, 2398, 2397, 2337, 2200, 2126, 2088, 2001, 1912, 1891, 1843, 1831, 1829, 1821, 1628, 1623, 1557, 1490, 1484, 1437, 1431, 1373, 1356, 1107, 1003, 936, 844, 697, 572, 485, 479, 371, 352, 351, 349, 331, 315, 304, 107, 62, 0]",922.5,52.0,0.23661828069331647,0.3843979234903441,7705.000000000001,0.0
"[4024, 3940, 3626, 3351, 3250, 3048, 3006, 2986, 2871, 2857, 2845, 2398, 2397, 2382, 2239, 2001, 1843, 1842, 1831, 1821, 1557, 1490, 1431, 1373, 1356, 1107, 847, 844, 697, 688, 572, 485, 479, 352, 351, 349, 343, 107, 0]",861.25,39.0,0.2473002694634998,0.3734654760034054,7056.000000000002,0.0
"[4024, 4012, 4002, 3940, 3626, 3573, 3439, 3399, 3048, 3023, 2930, 2917, 2871, 2407, 2398, 2397, 2296, 2126, 2088, 2001, 1897, 1893, 1891, 1843, 1831, 1829, 1821, 1734, 1623, 1557, 1490, 1484, 1431, 1428, 1373, 1356, 1113, 1107, 1103, 1003, 844, 697, 572, 487, 479, 371, 352, 351, 349, 343, 331, 315, 304, 284, 107, 62, 0]",939.96,57.00000000000001,0.24234683849755478,0.4468594970907587,7918.999999999999,0.0
"[4024, 4012, 3996, 3940, 3626, 3573, 3439, 3399, 3023, 2930, 2917, 2871, 2857, 2407, 2398, 2397, 2296, 2126, 2088, 2001, 1897, 1893, 1891, 1843, 1831, 1829, 1821, 1623, 1557, 1490, 1484, 1431, 1428, 1373, 1356, 1113, 1107, 1103, 1058, 1003, 936, 844, 697, 670, 572, 487, 479, 371, 352, 351, 349, 343, 331, 315, 304, 107, 62, 0]",947.47,58.00000000000001,0.2515047585735086,0.44757330252177385,7998.999999999998,0.0
"[4024, 3940, 3626, 3351, 3250, 3048, 3006, 2986, 2871, 2857, 2845, 2398, 2397, 2382, 2239, 2001, 1843, 1842, 1831, 1821, 1490, 1431, 1373, 1356, 1107, 847, 844, 697, 688, 572, 485, 479, 352, 351, 349, 343, 107, 0]",856.38,38.0,0.2511834038506955,0.378481966816262,6979.000000000001,0.0
"[4024, 3940, 3626, 3277, 3048, 2871, 2857, 2398, 2382, 2296, 2239, 2153, 2088, 1843, 1842, 1831, 1829, 1821, 1431, 1103, 936, 843, 697, 572, 479, 352, 351, 349, 304, 211, 107, 0]",820.81,32.00000000000001,0.2697454688128832,0.44140319824158947,5938.0,0.0
"[4024, 4012, 3996, 3940, 3626, 3399, 3048, 2930, 2871, 2857, 2398, 2397, 2126, 2088, 1891, 1869, 1843, 1831, 1829, 1821, 1685, 1628, 1623, 1490, 1484, 1431, 1373, 1356, 1107, 936, 844, 697, 673, 670, 572, 485, 479, 352, 351, 349, 343, 315, 304, 107, 0]",891.14,44.99999999999999,0.2557712393729138,0.4386233911315356,7250.0,0.0
"[4002, 3365, 3294, 2296, 2153, 2088, 1831, 1821, 1431, 1222, 352, 351, 109, 107, 0]",688.92,15.000000000000002,0.33172242214007397,0.5085432271218487,4590.999999999999,0.0
"[4002, 3996, 3365, 3294, 2153, 2088, 1843, 1831, 1821, 1431, 1416, 1411, 1222, 1103, 1033, 373, 352, 351, 107, 0]",730.64,19.999999999999993,0.31392280931992245,0.5225587773348207,5174.000000000001,0.0
"[4002, 3940, 3573, 3439, 3399, 3365, 3294, 3048, 3023, 2930, 2917, 2407, 2398, 2397, 2296, 2153, 2126, 2088, 2001, 1897, 1893, 1843, 1831, 1829, 1821, 1623, 1557, 1490, 1484, 1431, 1428, 1373, 1356, 1222, 1113, 1107, 1103, 1003, 876, 844, 697, 572, 506, 487, 479, 371, 352, 351, 349, 343, 331, 315, 284, 107, 62, 0]",927.91,56.00000000000001,0.25520719114058,0.424691059688342,8372.0,0.0
"[4024, 3940, 3626, 3399, 3237, 3048, 2930, 2871, 2857, 2398, 2397, 2239, 2126, 2088, 1891, 1869, 1843, 1842, 1831, 1829, 1821, 1628, 1623, 1490, 1484, 1431, 1373, 1356, 1107, 936, 844, 697, 572, 485, 479, 352, 351, 349, 343, 304, 107, 62, 0]",880.55,43.00000000000001,0.26340568346095883,0.4337256754214376,7206.999999999998,0.0
"[3428, 2586, 2296, 1843, 1842, 1821, 1431, 1428, 1203, 351, 107, 0]",579.16,11.999999999999998,0.4276539232534524,0.584831870307981,3464.0000000000005,0.0
