seed_set,spread,seed,communities,fairness,budget,time
[0],0.02594701658826442,1.0,0.17910756459999821,0.1674453888423022,0.984648055567845,0.19999999999999996
"[352, 0]",0.04556573409259718,0.99,0.32790624717969363,0.22530240242769917,0.9512454099013405,0.0
"[3930, 3212, 1911, 1827, 1821, 1457, 366, 352, 107, 0]",0.1312354543203763,0.91,0.5581657838040215,0.44045574878239513,0.8575852762907579,0.0
"[1827, 352, 107, 0]",0.09019806882891805,0.97,0.49019683777337864,0.289537883510916,0.9024023359731009,0.0
"[2394, 2293, 1827, 1821, 1457, 1095, 755, 366, 352, 348, 107, 0]",0.1464991334488735,0.89,0.5648002159347756,0.4464124405717115,0.8356855284696721,0.0
"[3951, 3808, 3618, 3178, 2915, 2912, 2797, 2630, 2619, 2403, 1974, 1891, 1827, 1821, 1443, 1081, 1008, 827, 485, 371, 370, 366, 362, 352, 348, 107, 56, 0]",0.17252042584798216,0.73,0.6352425980521209,0.5855719892290259,0.7771977171171969,0.0
"[1827, 107, 0]",0.06899727655360238,0.98,0.3834955833386037,0.25227233355780265,0.9358049816396053,0.0
"[1827, 1433, 352, 107, 0]",0.09058925476603119,0.96,0.4899734737697815,0.29642379638011673,0.8962969517320709,0.0
"[3951, 3808, 3700, 3618, 3178, 2915, 2797, 2630, 2619, 2427, 2403, 1974, 1891, 1827, 1821, 1740, 1443, 1081, 1008, 632, 485, 382, 371, 370, 366, 362, 352, 348, 107, 56, 0]",0.17855657340925973,0.7,0.6328010655413954,0.586554502058137,0.7670663186302703,0.0
"[2394, 2293, 1969, 1827, 1821, 1457, 900, 755, 366, 352, 348, 107, 0]",0.14781876702153998,0.88,0.5851457352982348,0.4847908435154513,0.836835818254214,0.0
"[3212, 1827, 1821, 1235, 366, 352, 107, 0]",0.13080960633820254,0.93,0.54685521004645,0.42004719950318437,0.860726452240853,0.0
"[3881, 3805, 3507, 3178, 3141, 2996, 2915, 2856, 2403, 2008, 1974, 1827, 1821, 1699, 433, 366, 362, 352, 348, 107, 0]",0.1589948006932409,0.8,0.611360269490285,0.5496640541238721,0.8045392204574614,0.0
"[3951, 3881, 3808, 2996, 2915, 2912, 2856, 2797, 2630, 2619, 2403, 1957, 1891, 1827, 1821, 1008, 485, 371, 370, 366, 362, 352, 348, 107, 56, 0]",0.16960881406288683,0.75,0.6180546058756523,0.56794597118707,0.7933902579303632,0.0
"[3065, 2293, 2102, 1969, 1827, 1821, 1749, 1457, 1266, 1095, 366, 352, 348, 107, 105, 0]",0.1515300817033919,0.85,0.5924657912409328,0.5274605480131127,0.8299340795469627,0.0
"[3881, 3808, 3178, 2996, 2915, 2403, 1974, 1891, 1827, 1821, 485, 366, 362, 352, 348, 107, 64, 56, 0]",0.15502599653379548,0.82,0.6062650528655205,0.5538550148846983,0.8166172631951512,0.0
"[3881, 3808, 2996, 2916, 2915, 2856, 2797, 2403, 1974, 1891, 1827, 1821, 366, 362, 352, 348, 107, 64, 56, 0]",0.15712057439960386,0.81,0.606126078789088,0.5323826096242352,0.820245100207937,0.0
"[3808, 3618, 3178, 2915, 2912, 2797, 2630, 2619, 2581, 2403, 1974, 1827, 1821, 1443, 1081, 1008, 827, 485, 371, 370, 366, 362, 352, 348, 107, 56, 0]",0.17029462738301562,0.74,0.6277538427573615,0.582528729598256,0.7742777507410521,0.0
"[3951, 3919, 3881, 3878, 3808, 3775, 3757, 3700, 3426, 3378, 3178, 2996, 2935, 2915, 2912, 2905, 2890, 2856, 2763, 2645, 2630, 2619, 2483, 2478, 2394, 1891, 1873, 1831, 1827, 1821, 1699, 1465, 1457, 1008, 948, 865, 857, 851, 845, 755, 370, 366, 357, 352, 348, 323, 296, 107, 0]",0.19145828175290913,0.52,0.6683101825070361,0.6725591135218696,0.7486616820776003,0.0
