n_nodes,influence,communities,nodes
16.0,19.53,0.4292063331017455,"[6146, 5411, 6148, 2597, 3130, 648, 6026, 5549, 5552, 6033, 2865, 1718, 4503, 2106, 4155, 3267]"
19.999999999999993,26.54,0.3708310591065014,"[2688, 3086, 2842, 286, 4128, 4641, 3364, 5803, 556, 4655, 1585, 3125, 3130, 2106, 4155, 1215, 5192, 5226, 6268, 1151]"
35.0,43.48,0.21166577014572474,"[5376, 2561, 2819, 2052, 2309, 4870, 1035, 4902, 3225, 3098, 4765, 1057, 2594, 4130, 2209, 4648, 168, 4779, 3123, 3124, 3129, 2233, 4155, 3132, 3263, 5332, 1764, 5863, 2793, 3823, 1263, 2680, 1274, 1662, 2815]"
41.0,52.91,0.17407843877475238,"[1292, 3340, 2318, 3215, 528, 5391, 274, 2835, 1300, 4373, 278, 4887, 2836, 5908, 2330, 2839, 1820, 1309, 3618, 4130, 2722, 2597, 1188, 2340, 2854, 3880, 1835, 1452, 4910, 2865, 1718, 2872, 2745, 3130, 3897, 317, 2572, 962, 5203, 1390, 2288]"
35.0,45.34,0.23079490749011933,"[1292, 3340, 2318, 3215, 528, 5391, 274, 2835, 1300, 4373, 278, 4887, 2836, 5908, 2330, 2839, 1820, 1309, 3618, 4130, 2722, 2597, 1188, 2340, 2854, 3880, 1835, 1452, 4910, 2865, 1718, 2872, 2745, 3130, 6207]"
39.0,49.09,0.18818385523532866,"[2572, 2318, 5391, 528, 3215, 274, 2835, 1300, 4373, 278, 2839, 4887, 2836, 5908, 2330, 1820, 1309, 3618, 547, 4130, 2722, 2597, 2340, 2854, 3880, 1835, 1452, 4910, 2865, 1718, 2872, 2745, 3130, 3897, 317, 962, 5203, 1390, 2288]"
44.99999999999999,63.19,0.13924343539377593,"[1280, 4353, 2949, 4488, 2441, 1164, 1040, 2960, 274, 3603, 3473, 1582, 6064, 5049, 2106, 4155, 5192, 5962, 4043, 3019, 5452, 3918, 4431, 464, 2897, 1746, 3794, 82, 83, 3158, 4823, 2648, 3033, 5080, 216, 5335, 2137, 3671, 3932, 2141, 3553, 4699, 1756, 1502, 2834]"
44.00000000000001,62.65,0.1370940169998427,"[1280, 4353, 2949, 4488, 2441, 1164, 1040, 2960, 274, 3603, 3473, 1582, 6064, 5049, 2106, 4155, 5192, 5962, 4043, 3019, 5452, 3918, 4431, 464, 2897, 1746, 3794, 82, 83, 3158, 4823, 2648, 3033, 5080, 216, 5335, 2137, 3671, 3932, 2141, 3553, 4699, 1756, 934]"
83.0,102.82,0.0910000205222764,"[3086, 3206, 1164, 4752, 4246, 1176, 1690, 5275, 4763, 3229, 5801, 5813, 4793, 1725, 4292, 2763, 2253, 4301, 2255, 2768, 209, 5332, 1764, 5863, 2793, 3823, 1263, 1274, 2815, 1280, 256, 2819, 2309, 3335, 2683, 274, 1300, 4373, 4887, 2330, 1820, 2854, 4910, 3897, 317, 831, 2368, 832, 5954, 5448, 3407, 4445, 4449, 1393, 1907, 1398, 3959, 5498, 3965, 2949, 2441, 2960, 3473, 1952, 5028, 937, 2476, 6062, 6078, 5566, 958, 6081, 5054, 459, 1489, 5082, 2527, 2533, 2025, 1514, 6125, 2553, 4090]"
43.00000000000001,61.47,0.15550820485555472,"[4353, 2949, 4488, 1164, 1040, 2960, 274, 3603, 3473, 934, 1582, 6064, 5049, 1082, 2106, 4155, 5192, 5962, 4043, 3019, 5452, 3918, 4431, 464, 2897, 1746, 3794, 82, 83, 3158, 4823, 2648, 3033, 5080, 216, 5335, 2137, 3671, 3932, 2141, 3553, 4699, 1756]"
21.999999999999996,33.95,0.34572198180117886,"[1157, 2960, 3473, 3092, 1940, 5654, 3607, 2964, 3989, 6170, 4636, 6173, 1055, 2722, 2210, 4130, 1188, 2597, 556, 3130, 4155, 1752]"
93.0,126.9,0.1075303607419883,"[3594, 5667, 2106, 3130, 4155, 5192, 136, 3208, 3212, 5264, 4802, 201, 4810, 4811, 4311, 5335, 4823, 734, 223, 1254, 4843, 1771, 1262, 2798, 1280, 780, 1292, 2318, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 5962, 2417, 1393, 1423, 2960, 6032, 3473, 1940, 2964, 3989, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 5549, 941, 5552, 1458, 4530, 5556, 4020, 4021, 5559, 1973, 5049, 953, 4018, 6078, 2495, 447, 1474, 2500, 4043, 3019, 973, 5579, 461, 6096, 3541, 1493, 5080, 5593, 3033, 472, 1502, 478, 2016, 2537, 2548, 4596, 3060, 5624, 2556, 5629]"
94.0,127.78,0.10608609810501757,"[3594, 5667, 2106, 3130, 4155, 5192, 136, 3208, 3212, 5264, 4802, 201, 4810, 4811, 4823, 5335, 4311, 734, 223, 1254, 4843, 1771, 1262, 2798, 1280, 780, 3559, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 5962, 2417, 1393, 1423, 2960, 6032, 3473, 1940, 2964, 3989, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 5549, 941, 5552, 1458, 4530, 5556, 4020, 4021, 5559, 1973, 5049, 953, 4018, 6078, 2495, 447, 1474, 2500, 4043, 3019, 973, 5579, 461, 3536, 6096, 3541, 1493, 5080, 5593, 3033, 472, 5594, 1502, 478, 2016, 2537, 2548, 4596, 3060, 5624, 2556, 5629]"
18.000000000000004,26.1,0.3836026724238881,"[256, 3206, 1418, 1164, 3086, 4752, 2960, 274, 3473, 5686, 2106, 3130, 4155, 5703, 5192, 4043, 2638, 2766]"
87.0,118.09,0.10645980367372054,"[3594, 5667, 2106, 3130, 4155, 5192, 136, 3208, 3212, 5264, 4802, 201, 4810, 4811, 4311, 4823, 5335, 734, 223, 1254, 4843, 1771, 1262, 2798, 1280, 780, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 5962, 2417, 1393, 1423, 2960, 6032, 3473, 1940, 2964, 3989, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 5549, 941, 5552, 1458, 4530, 5556, 4020, 4021, 5559, 1973, 5049, 953, 4018, 6078, 2495, 447, 1474, 2500, 4043, 3019, 973, 5579, 461, 3536, 6096, 3541, 1493, 5080, 5593, 3033, 472, 5594, 1502, 478, 2016, 4431]"
4.000000000000003,5.85,0.7127549329437111,"[1280, 3399, 395, 1963]"
93.0,118.0,0.0965594798315148,"[3086, 3206, 1164, 4752, 4246, 1176, 1690, 5275, 4763, 3229, 5801, 5813, 4793, 1725, 4292, 2763, 2253, 4301, 2255, 2768, 5332, 1764, 5863, 2793, 3823, 1263, 1274, 5372, 2815, 1280, 256, 2819, 2309, 3335, 274, 1300, 4373, 4887, 2330, 1820, 2854, 4910, 3897, 317, 831, 2368, 832, 5954, 5448, 3407, 4445, 4449, 1393, 1907, 1398, 3959, 5498, 3965, 2949, 2441, 2960, 3473, 1952, 5028, 937, 2476, 5549, 6062, 941, 5552, 4018, 4021, 5049, 953, 6078, 5566, 958, 6081, 5054, 447, 2495, 1474, 2500, 459, 4043, 3019, 973, 5579, 461, 1489, 6096, 472, 2195]"
85.0,114.95,0.0993740968207808,"[3591, 3130, 4155, 5192, 3208, 136, 3212, 5264, 4802, 201, 4810, 4811, 5335, 4823, 4311, 734, 223, 1254, 4843, 1771, 1262, 2798, 852, 780, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 5962, 4431, 2417, 1393, 1423, 2960, 6032, 3473, 1940, 2964, 3989, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 5549, 941, 5552, 1458, 4530, 5556, 4020, 4021, 5559, 1973, 5049, 953, 4018, 6078, 2495, 447, 1474, 2500, 4043, 3019, 973, 5579, 461, 3536, 6096, 3541, 1493, 5080, 5593, 3033, 472, 5594, 1502, 478, 2016]"
26.0,38.14,0.30183534610605767,"[2441, 1418, 1164, 3086, 4752, 2960, 274, 3473, 2210, 2722, 5686, 2106, 3130, 4155, 5703, 5192, 4043, 2638, 2766, 1745, 382, 734, 1262, 2798, 3824, 888]"
7.000000000000005,12.64,0.624350825488458,"[5160, 5391, 528, 3473, 1040, 952, 443]"
5.0000000000000036,6.72,0.6795297322255252,"[6146, 5637, 2597, 550, 5160]"
14.0,22.67,0.45122419278152215,"[1280, 3179, 3206, 5703, 5192, 5962, 1164, 3086, 4752, 2960, 274, 3473, 4016, 3130]"
16.0,24.94,0.4382075180971977,"[1280, 1157, 934, 4104, 136, 1800, 2952, 1582, 6064, 3473, 274, 3603, 311, 5049, 2106, 4155]"
48.0,72.05,0.18653325943769183,"[1157, 5768, 201, 3212, 1423, 5264, 2960, 3473, 274, 1176, 1690, 1441, 1188, 2340, 2854, 3880, 1835, 1452, 3116, 941, 5552, 2865, 1718, 5176, 2106, 4155, 3130, 5054, 1088, 2496, 4802, 1859, 4805, 5575, 2631, 5192, 201, 4811, 5962, 4311, 4823, 5335, 223, 3043, 1254, 4843, 2798, 2801, 1393]"
20.999999999999996,31.87,0.36280940380070326,"[1280, 1157, 4104, 136, 1800, 395, 2952, 3473, 274, 3603, 934, 1582, 6064, 311, 5049, 2106, 4155, 5192, 5962, 4043, 6074]"
7.000000000000005,10.58,0.6171857159434166,"[1157, 550, 551, 5160, 1418, 528, 2106]"
49.0,72.61,0.16013626055769448,"[1157, 2960, 3473, 3092, 1940, 5654, 3607, 2964, 3989, 6170, 1441, 1188, 2340, 2854, 3880, 1835, 1452, 3116, 941, 5552, 2865, 1718, 5176, 2106, 4155, 3130, 5054, 1088, 2496, 4802, 1859, 4805, 5575, 2631, 201, 5192, 4811, 5962, 4311, 4823, 5335, 223, 3043, 1254, 4843, 2798, 2801, 1393, 711]"
100.0,138.62,0.15118125580435282,"[3594, 5667, 2106, 3130, 4155, 5192, 591, 136, 3208, 3212, 5264, 4802, 201, 4810, 4811, 4823, 5335, 4311, 734, 223, 1254, 4843, 1771, 1262, 2798, 1280, 780, 2836, 5908, 3364, 2340, 2854, 3880, 1835, 4910, 2865, 3937, 1893, 3965, 385, 2949, 2441, 1418, 1423, 6032, 2960, 3473, 1940, 3989, 2964, 4500, 6046, 3486, 5024, 1952, 3998, 2464, 1446, 6055, 5549, 941, 4015, 5552, 4530, 6067, 5556, 4021, 1973, 4020, 4018, 5049, 953, 5054, 447, 2496, 2495, 1474, 2500, 5575, 4043, 3019, 973, 6094, 5579, 461, 6096, 5080, 3033, 472, 5594, 1502, 478, 2016, 2537, 2548, 4596, 3060, 5624, 2556, 5629]"
6.000000000000004,12.1,0.6505965834041871,"[1280, 1040, 3473, 79, 952, 443]"
44.99999999999999,64.07,0.174999007969036,"[4353, 2949, 4488, 1164, 2700, 1040, 2960, 274, 3603, 3473, 934, 1582, 6064, 5049, 1082, 2106, 4155, 5192, 5962, 4043, 3019, 5452, 3918, 4431, 464, 2897, 1746, 82, 83, 3158, 4823, 2648, 4697, 3033, 5080, 216, 4311, 5335, 1752, 4955, 1756, 3293, 3932, 734, 3998]"
11.999999999999998,19.69,0.49625176281329464,"[2722, 550, 5160, 2629, 1675, 3086, 528, 2960, 3473, 5785, 4155, 1215]"
6.000000000000004,9.31,0.6478965093818604,"[1280, 550, 551, 1418, 528, 2106]"
89.0,120.63,0.10554063271149805,"[3594, 5667, 2106, 3130, 4155, 5192, 136, 3208, 3212, 5264, 4802, 201, 4810, 4811, 5335, 4823, 4311, 734, 223, 1254, 4843, 1771, 1262, 2798, 1280, 780, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 6032, 3473, 1940, 2964, 3989, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 5549, 941, 5552, 1458, 4650, 5556, 4020, 4021, 5559, 1973, 5049, 953, 4018, 6078, 2495, 447, 1474, 2500, 4043, 3019, 973, 5579, 461, 3536, 6096, 3541, 1493, 5080, 5593, 3033, 472, 5594, 1502, 478, 2016, 3559, 2537, 2548, 4596, 3060, 5624, 2556, 5629]"
92.0,124.82,0.11191305016446762,"[3594, 5667, 2106, 3130, 4155, 5192, 3208, 136, 5264, 4802, 201, 4810, 4811, 4823, 5335, 4311, 734, 223, 1254, 4843, 1771, 1262, 2798, 1265, 3317, 1280, 780, 2318, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 5962, 2417, 1393, 1907, 1398, 3959, 1423, 2960, 6032, 3473, 1940, 2964, 3989, 3478, 1432, 3486, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 941, 5552, 4018, 4021, 5049, 953, 447, 2495, 1474, 2500, 4043, 3019, 973, 5579, 461, 6096, 3541, 1493, 5080, 5593, 3033, 472, 5594, 1502, 478, 2016, 2537, 2548, 4596, 3060, 5624, 2556, 5629]"
15.000000000000002,24.32,0.46190933881483276,"[1280, 256, 1985, 5703, 4104, 136, 1800, 2952, 6284, 780, 5192, 5962, 3473, 5686, 3130]"
50.0,72.09,0.15002460749970248,"[1157, 2960, 3473, 3092, 1940, 5654, 3607, 2964, 3989, 6170, 1441, 1188, 2340, 2854, 3880, 1835, 1452, 3116, 941, 5552, 2865, 1718, 5176, 2106, 4155, 3130, 5054, 1088, 2496, 4802, 1859, 4805, 5575, 2631, 201, 5192, 4811, 5962, 711, 4311, 4823, 1229, 223, 3043, 1254, 4843, 2798, 2801, 1393, 3067]"
96.0,129.29,0.09701197287713226,"[3594, 5667, 2106, 3130, 4155, 5192, 3663, 136, 3208, 3212, 5264, 4802, 201, 4810, 4811, 4311, 5335, 4823, 734, 223, 1254, 4843, 1771, 1262, 2798, 1280, 780, 2836, 5908, 4373, 2839, 2330, 1820, 3364, 5962, 2417, 1393, 1423, 2960, 6032, 3473, 1940, 2964, 3989, 6046, 3998, 1952, 5537, 2464, 5026, 1446, 6055, 5549, 941, 5552, 1458, 4530, 5556, 4020, 4021, 5559, 1973, 5049, 953, 4018, 6078, 2495, 447, 1474, 2500, 4043, 3019, 973, 5579, 461, 3536, 6096, 3541, 1493, 5080, 5593, 3033, 472, 5594, 1502, 478, 2016, 3559, 2537, 2548, 4596, 3060, 5624, 2556, 5629, 5824]"
33.99999999999999,47.55,0.23458417675933496,"[256, 3206, 2441, 1418, 905, 1164, 3086, 4752, 2960, 274, 3473, 3475, 3478, 1316, 3116, 5678, 4655, 560, 1585, 2223, 6197, 2106, 3130, 4155, 5703, 5192, 3783, 2375, 5962, 4688, 1106, 595, 3794, 392]"
