n_nodes,influence,obj,nodes
1.0,0.0,0.9992531740104555,[4960]
1.0,0.0,0.9992531740104555,[3984]
1.0,0.0,0.9992531740104555,[740]
0.98,0.0,0.9970126960418223,"[5384, 740, 5234]"
0.99,0.0,0.9977595220313666,"[5384, 5234]"
1.0,0.0,0.9992531740104555,[4442]
1.0,0.0,0.9985063480209111,[5384]
1.0,0.0,0.9992531740104555,[5344]
1.0,0.0,0.9992531740104555,[1974]
1.0,0.0,0.9992531740104555,[2093]
0.97,0.02,0.988050784167289,"[4912, 5234, 3403, 4808]"
0.99,0.02,0.9895444361463779,"[4912, 3403]"
0.98,0.02,0.9887976101568334,"[5384, 4912, 5234]"
0.98,0.0,0.9970126960418223,"[5384, 5234, 1455]"
0.99,0.02,0.9902912621359223,"[4912, 6216]"
1.0,0.01,0.9917849141150112,[5801]
1.0,0.0,0.9992531740104555,[6216]
0.93,0.08,0.9193427931292009,"[4492, 4912, 4401, 1556, 2710, 4727, 694, 153]"
0.98,0.03,0.9753547423450336,"[4912, 5801, 4238]"
0.96,0.04,0.970873786407767,"[5801, 1455, 4912, 3921, 4727]"
0.97,0.03,0.9813293502613891,"[4912, 5801, 5510, 1591]"
0.97,0.04,0.9723674383868559,"[5801, 1455, 4912, 4727]"
1.0,0.02,0.9910380881254668,[4912]
0.98,0.0,0.9970126960418223,"[2674, 3231, 5637]"
0.97,0.05,0.9656460044809559,"[5801, 4238, 4912, 4727]"
0.94,0.07,0.9387602688573562,"[5801, 4912, 5234, 4727, 2710, 153, 694]"
1.0,0.0,0.9992531740104555,[3816]
0.99,0.03,0.9828230022404779,"[4912, 5801]"
1.0,0.0,0.9992531740104555,[2674]
0.96,0.05,0.9574309185959672,"[5801, 4492, 4238, 4912, 4727]"
0.97,0.05,0.9604182225541449,"[4912, 1556, 2710, 4727]"
0.97,0.04,0.9731142643764003,"[5801, 4912, 3314, 2710]"
0.98,0.04,0.9738610903659447,"[4912, 5801, 2710]"
0.98,0.03,0.9746079163554892,"[5801, 4238, 4727]"
0.89,0.1,0.883495145631068,"[5801, 695, 4492, 4238, 4912, 4401, 2097, 1556, 2131, 2710, 4727, 694]"
0.98,0.0,0.9970126960418223,"[5384, 5021, 5676]"
1.0,0.0,0.9992531740104555,[5450]
1.0,0.0,0.9992531740104555,[6190]
0.95,0.04,0.9701269604182226,"[5801, 1455, 4912, 3921, 4727, 5021]"
0.98,0.03,0.9805825242718447,"[4912, 4727, 1455]"
0.67,0.17,0.7445855115758029,"[4492, 1556, 2710, 5801, 2095, 4912, 2097, 688, 5686, 695, 694, 5689, 1083, 4284, 4436, 4821, 856, 3930, 6237, 1374, 5989, 4839, 1896, 745, 5867, 5359, 5234, 4467, 5876, 2805, 4727, 3960, 121, 1658]"
0.71,0.16,0.7804331590739357,"[4492, 1556, 2710, 5801, 2095, 4912, 2097, 5686, 695, 694, 5689, 1334, 4284, 4821, 856, 4839, 745, 5867, 2707, 368, 113, 5234, 4467, 5876, 2805, 4727, 121, 1658, 2173, 4991]"
0.98,0.04,0.9693801344286781,"[4912, 1556, 4727]"
0.99,0.03,0.9783420463032113,"[1556, 4727]"
0.98,0.04,0.9701269604182226,"[5801, 1556, 4727]"
0.46,0.2,0.5227781926811053,"[4994, 4492, 4238, 1556, 2710, 5801, 4912, 4401, 2097, 1458, 2740, 6197, 5686, 695, 694, 1333, 1083, 4284, 449, 2499, 3015, 3534, 976, 3537, 2898, 2131, 6099, 852, 4436, 6228, 4056, 3930, 474, 3035, 2012, 1374, 862, 3153, 5989, 4839, 4199, 1896, 745, 3050, 1129, 5359, 1520, 239, 370, 4467, 5876, 2805, 4727, 3960, 121]"
1.0,0.0,0.9992531740104555,[3742]
0.49,0.2,0.5952203136669156,"[4492, 4238, 1556, 2710, 2454, 153, 4506, 965, 5915, 669, 6180, 5801, 2732, 1455, 4912, 176, 2097, 5297, 2740, 6197, 5686, 695, 694, 4401, 1083, 4284, 1855, 4932, 2898, 852, 4436, 3930, 2012, 1374, 862, 5989, 741, 4839, 1896, 4199, 745, 3050, 5359, 1520, 239, 370, 4467, 5876, 2805, 4727, 3960, 121]"
0.98,0.0,0.9970126960418223,"[5384, 3762, 5234]"
0.98,0.03,0.9820761762509336,"[4912, 5801, 5762]"
0.94,0.07,0.9275578790141897,"[4492, 4912, 1556, 2710, 4727, 694, 153]"
0.66,0.18,0.7371172516803585,"[4492, 1556, 2710, 5801, 2095, 4912, 2097, 688, 5686, 695, 694, 5689, 1083, 4284, 4436, 4821, 856, 3930, 6237, 1374, 5989, 4839, 1896, 745, 5867, 5359, 5234, 4467, 5876, 2805, 4727, 3960, 121, 1658, 3755]"
0.79,0.15,0.8155339805825242,"[4492, 1556, 2710, 5801, 3755, 2095, 4912, 2097, 688, 5686, 695, 694, 5689, 1083, 4284, 4436, 4821, 4467, 2805, 4727, 121, 1658]"
0.99,0.0,0.9977595220313666,"[5384, 740]"
0.98,0.0,0.9970126960418223,"[5384, 5647, 5021]"
