seed_set,spread,seed,communities,fairness,budget,time
"[5882, 5792, 2726, 1443]",0.036796316875694554,0.97,0.7224979822587931,0.2805793485880905,0.9380134428678117,0.0
"[5882, 5792]",0.023591046197809176,0.99,0.6718555099422601,0.20631182931150138,0.9551904406273338,0.0
"[6181, 5882, 5792, 5722, 5332, 4727, 4287, 4168, 3677, 2726, 2602, 1613, 1529, 1443, 1244, 504, 236]",0.11380854103826005,0.84,0.8642526316317323,0.5362780347843936,0.8342046303211352,0.0
"[5882, 2555]",0.023190982695665982,0.99,0.6699815054633809,0.2102622709915204,0.9536967886482449,0.0
"[5882, 5792, 2726]",0.030757263057628197,0.98,0.7041779516679546,0.24529656830182078,0.9469753547423451,0.0
"[5882, 5801, 4727, 3677, 3310, 2726, 2602, 2340, 1546, 1529, 1443, 1207, 530, 236]",0.10252262263851404,0.87,0.8468327532447922,0.47378071513800757,0.8581030619865572,0.0
[5882],0.01881092236862994,1.0,0.6362561662978152,0.1674453888423023,0.9634055265123226,0.19999999999999996
"[6181, 5855, 5722, 5569, 5564, 4570, 4168, 3677, 3013, 2726, 2602, 2340, 2110, 1443, 1226, 1083, 530]",0.10368788696618511,0.84,0.8655036659470923,0.5278725457612284,0.8633308439133682,0.0
"[5882, 5801, 2726, 2602, 2340, 1443]",0.05932370217494841,0.95,0.7822136295263719,0.30652899743933393,0.9260642270351008,0.0
"[6181, 5882, 5855, 5722, 4727, 4287, 4168, 3677, 3121, 3118, 2892, 2726, 2340, 2080, 1546, 1529, 1443, 1244, 1147, 530, 504, 236]",0.14468010795364344,0.79,0.8794065691312096,0.5113759504052939,0.7759522031366691,0.0
"[5855, 5792, 5722, 5564, 5416, 5332, 4391, 4287, 4168, 4071, 3677, 2726, 2602, 1618, 1613, 1546, 1473, 1443, 1244, 1083, 808, 530]",0.1191046197809176,0.79,0.8847295138220942,0.5194140157457193,0.8200149365197908,0.0
"[6181, 6111, 5882, 5866, 5855, 5722, 5596, 5342, 5332, 5168, 4850, 4727, 4710, 4287, 4183, 4168, 4071, 3677, 3283, 3112, 3042, 2805, 2726, 2672, 2662, 2541, 2392, 2340, 2159, 2080, 1821, 1767, 1613, 1546, 1529, 1507, 1443, 1244, 1113, 1083, 756, 530, 504, 492, 236, 222, 117]",0.19793459279250675,0.54,0.8996251590539894,0.6877609790426402,0.5698282300224048,0.0
"[5882, 5855, 5792, 5759, 5416, 5352, 5063, 4727, 4391, 4287, 4168, 3677, 3013, 2795, 2726, 2602, 2540, 1546, 1443, 1379, 1221, 808, 756, 530, 236, 117]",0.1353071916177171,0.75,0.8916388430420618,0.6234613642176492,0.7632561613144138,0.0
"[6181, 5882, 5855, 5722, 4727, 4168, 3972, 3677, 3121, 3118, 2892, 2726, 2340, 2080, 1529, 1443, 1244, 1147, 530, 504, 236]",0.13941578028258453,0.8,0.8715153079916491,0.49034921861082437,0.7811799850634802,0.0
"[5855, 5722, 4727, 4287, 4168, 3677, 3121, 3118, 2892, 2726, 2340, 2080, 1546, 1443, 1244, 530, 236]",0.11709160184156214,0.84,0.8622840582468216,0.48715328277690295,0.847647498132935,0.0
"[5882, 5866, 5855, 5722, 5564, 5332, 5168, 5037, 4727, 4458, 4287, 4168, 4071, 3677, 3338, 3283, 3108, 2851, 2805, 2672, 2602, 2555, 2340, 2159, 2084, 2045, 2027, 1618, 1613, 1529, 1443, 1244, 1083, 756, 530, 504, 236, 117]",0.1761358945864423,0.63,0.898445154878196,0.5951407885991197,0.6654219566840927,0.0
"[6181, 5882, 5855, 5139, 4727, 3677, 2726, 2602, 2340, 2080, 1529, 1443, 1147, 530, 236]",0.10946499444356246,0.86,0.8530355501976715,0.4501869686776002,0.847647498132935,0.0
"[6181, 5855, 5722, 5569, 5564, 4570, 4168, 3677, 3013, 2726, 2602, 2340, 2110, 1443, 1083, 530]",0.10332909985712017,0.85,0.8654166337130731,0.5287702857663158,0.8722927557879014,0.0
"[6181, 5882, 5855, 5352, 4727, 4389, 4168, 3677, 2795, 2726, 2340, 2080, 1613, 1443, 756, 236, 117]",0.10995396094618194,0.84,0.8651595642960734,0.5124462656481652,0.8319641523525019,0.0
"[6181, 5882, 5866, 5855, 5569, 5179, 4727, 4458, 4287, 4168, 4071, 3677, 3013, 2805, 2726, 2555, 2364, 2340, 2110, 2080, 2045, 1613, 1529, 1443, 1226, 756, 530, 504, 236]",0.15343229083981585,0.72,0.8951798296747198,0.5758184756317505,0.7191934279312919,0.0
"[5882, 5866, 5855, 5792, 5416, 5352, 5063, 4850, 4727, 4458, 4448, 4391, 4287, 4168, 4079, 4071, 3677, 3013, 2805, 2795, 2726, 2602, 2555, 2540, 2159, 2045, 2027, 1767, 1546, 1529, 1443, 1379, 1221, 756, 530, 504, 236, 117]",0.16524845213525957,0.63,0.901732865108566,0.6330021133678041,0.6699029126213591,0.0
"[6181, 5882, 5855, 5722, 4727, 4168, 4071, 3677, 3121, 2892, 2726, 2602, 1613, 1529, 1443, 1244, 1147, 504, 236]",0.12459755516748691,0.82,0.8719058548817172,0.5218211163274118,0.806572068707991,0.0
"[6181, 5882, 5855, 5722, 5569, 5352, 4727, 4287, 4168, 3677, 3013, 2795, 2726, 2602, 2340, 2080, 1613, 1443, 1379, 1266, 1226, 530, 504, 236]",0.14138752182886172,0.77,0.8871530943109595,0.637597742105193,0.7669902912621359,0.0
"[5882, 5722, 4727, 4287, 4168, 3677, 3310, 2892, 2726, 2602, 2340, 1546, 1529, 1443, 1244, 530, 504, 236]",0.12212097158279092,0.83,0.8699073951381961,0.5024963452196785,0.8252427184466019,0.0
"[6181, 5882, 5866, 5855, 5722, 5332, 5168, 4727, 4287, 4183, 4168, 4079, 4071, 3677, 3283, 3112, 2805, 2795, 2726, 2672, 2555, 2392, 2340, 2159, 2080, 2045, 2027, 1821, 1784, 1767, 1613, 1546, 1529, 1443, 1244, 1113, 1083, 756, 530, 504, 236, 117]",0.1921336720114304,0.59,0.8982331063079267,0.6534624264560043,0.630321135175504,0.0
"[5882, 5855, 5722, 4727, 4287, 4168, 3677, 3121, 3118, 2892, 2726, 2340, 2080, 1546, 1529, 1443, 1244, 1147, 530, 504, 236]",0.1388887124940467,0.8,0.8735450886920724,0.5082124435326598,0.784167289021658,0.0
"[5882, 4727, 3677, 2602, 1529, 1443, 530, 504]",0.06826956659787267,0.93,0.8105637755504718,0.33646120816034264,0.8991784914115011,0.0
"[5882, 4727, 4287, 3677, 1529, 530, 504]",0.062448007620257186,0.94,0.8112513059191688,0.3089535746015556,0.9066467513069455,0.0
"[5882, 5722, 4727, 4287, 4168, 3677, 3310, 2892, 2602, 2340, 1546, 1529, 1443, 1244, 530, 236]",0.1109239561835212,0.85,0.8644747884763706,0.5027627521405267,0.8431665421956684,0.0
"[5882, 5722, 4727, 4287, 4168, 3677, 3310, 2892, 2602, 1546, 1529, 1443, 1244, 530, 236]",0.10361962216224799,0.86,0.8607045644525766,0.5099856804749532,0.8469006721433906,0.0
"[5882, 5722, 4727, 4287, 3677, 3310, 2892, 2602, 2340, 2080, 1546, 1443, 1244, 530, 236]",0.10570884267344023,0.86,0.8594546590533094,0.4712342089422624,0.847647498132935,0.0
"[6181, 5866, 5855, 5722, 5564, 5416, 5332, 4727, 4287, 4243, 4168, 4079, 4071, 3677, 3278, 2805, 2795, 2726, 2672, 2602, 2555, 2392, 2340, 2253, 2159, 2080, 2027, 1767, 1654, 1618, 1613, 1529, 1443, 1244, 1113, 1083, 808, 756, 530, 504, 336, 236, 117]",0.19541832036831244,0.58,0.9022274403619311,0.6856653236150005,0.6572068707991038,0.0
"[6181, 5882, 5855, 5722, 4727, 4287, 4168, 3677, 3118, 2892, 2726, 2340, 2080, 1529, 1443, 1244, 1147, 504, 236]",0.1310811239879346,0.82,0.8660815532840465,0.5156015153789848,0.8058252427184466,0.0
"[5866, 5855, 5792, 5569, 5564, 4727, 4287, 4168, 4079, 4071, 4032, 3677, 3278, 3013, 2835, 2805, 2795, 2726, 2672, 2602, 2392, 2340, 2253, 2110, 2084, 2027, 1767, 1664, 1613, 1546, 1529, 1443, 1244, 1226, 1113, 756, 530, 504, 236, 117]",0.1774567391649468,0.61,0.9024898194224031,0.667833165717477,0.6736370425690814,0.0
"[5866, 5855, 5792, 5569, 5564, 4727, 4287, 4168, 4071, 4032, 3677, 3278, 3013, 2835, 2805, 2795, 2726, 2672, 2602, 2555, 2392, 2340, 2253, 2159, 2110, 2084, 2045, 2027, 1767, 1664, 1654, 1613, 1546, 1529, 1443, 1244, 1226, 1113, 756, 530, 504, 236, 117]",0.18888236227972693,0.58,0.9063360118333498,0.6702485607095159,0.6430171769977595,0.0
