seed_set,spread,seed,communities,fairness,budget,time
"[4746, 3340]",0.0030608033021114465,0.99,0.3262056980173803,0.2123687250211962,0.9850634802091113,0.6
"[6165, 5937, 5671, 5174, 4879, 4798, 4689, 4672, 4636, 4136, 4111, 3603, 3076, 2708, 2059, 718]",0.003816478806159708,0.85,0.10772400922443737,0.4449060276605459,0.9596713965646004,1.0
"[6279, 6083, 6073, 6067, 6019, 5565, 5562, 5312, 5164, 5035, 4600, 4538, 4395, 4389, 4272, 4139, 3758, 3754, 3506, 3501, 2717, 2617, 2611, 2609, 2352, 2111, 1984, 1193, 926, 692, 683]",0.060657247182092394,0.7,0.7742130408214498,0.6654689596891253,0.8177744585511576,0.19999999999999996
"[6232, 6229, 6227, 6170, 6083, 6073, 6067, 6047, 6034, 5887, 5852, 5843, 5720, 5681, 5565, 5562, 5314, 5312, 4713, 4710, 4582, 4578, 4538, 4455, 4395, 4272, 3875, 3801, 3785, 3758, 3743, 3685, 3506, 3408, 3107, 3050, 2956, 2831, 2721, 2714, 2662, 2617, 2611, 2609, 2419, 2352, 2234, 2206, 2150, 2087, 1984, 1686, 1567, 1534, 1172, 1046, 921, 917, 871, 793, 755, 683, 615, 509, 506, 492, 482, 376, 350, 313, 158, 139, 10]",0.07334497539291951,0.28,0.7538061313285923,0.7823213920950269,0.49514563106796117,0.19999999999999996
"[6214, 5671, 4879, 4672, 4547, 4136, 3076, 2059, 718]",0.002568661692332116,0.92,0.10650685729077025,0.4207572649332787,0.977595220313667,1.0
"[6165, 5937, 5671, 5588, 5174, 4879, 4798, 4689, 4636, 4136, 4111, 3603, 3076, 2708, 2059, 718, 432]",0.003895856485156374,0.84,0.10598793503622461,0.44853051049512516,0.9499626587005228,1.0
"[5937, 5671, 4879, 4672, 4136, 4111, 3603, 3076, 2845, 2807, 2059, 913, 718]",0.0032147959993649787,0.88,0.09416710048239607,0.3934425790263263,0.9581777445855115,1.0
"[5967, 4672, 4136, 3076, 2059]",0.0019352278139387203,0.96,0.09673250014909995,0.28486757440477695,0.9828230022404779,1.0
[3076],0.0021035084934116527,1.0,0.15290673626095863,0.1674453888423023,0.9910380881254668,0.8
[2955],0.007186855056358152,1.0,0.40131962582350555,0.1674453888423023,0.9887976101568334,0.4
"[5006, 4854, 2955, 1057]",0.008588664867439276,0.97,0.4071515029329703,0.2395835592299399,0.9828230022404779,0.4
"[5514, 5279, 5164, 3614, 2858, 2741, 2717, 2588, 2461, 686, 667, 139, 10]",0.007417050325448484,0.88,0.4006287197754479,0.4027149213614678,0.878267363704257,0.6
"[6232, 6229, 6227, 6187, 6170, 6083, 6073, 6067, 6047, 5922, 5887, 5852, 5843, 5720, 5681, 5565, 5562, 5314, 5312, 5247, 4713, 4710, 4619, 4582, 4578, 4538, 4455, 4395, 4272, 3875, 3801, 3785, 3758, 3743, 3685, 3506, 3408, 3107, 3050, 2818, 2721, 2714, 2662, 2617, 2611, 2609, 2459, 2419, 2352, 2234, 2087, 1984, 1957, 1567, 1534, 928, 921, 871, 793, 755, 683, 615, 509, 506, 492, 482, 376, 350, 313, 158]",0.07217494840450865,0.31,0.7641113576022776,0.7640767775754039,0.5743091859596714,0.19999999999999996
"[5006, 4854, 2955, 2889, 1057]",0.008850611208128275,0.96,0.41446499597988185,0.2752839911539203,0.9798356982823002,0.4
"[5882, 5526]",0.030220669947610735,0.99,0.7044712796258927,0.20755251556971155,0.9551904406273338,0.0
"[6168, 4672, 4559, 4340, 4136, 3076, 2741, 2717, 2059, 667, 476]",0.0049801555802508335,0.9,0.3223121268888457,0.43036533259019294,0.9051530993278566,0.8
"[5279, 5164, 3614, 2858, 1541, 1057, 62]",0.005702492459120496,0.94,0.32280258363749825,0.3010452105075271,0.9200896191187453,0.6
[2175],0.0002730592157485315,1.0,0.029218266258511538,0.1674453888423023,0.9895444361463779,1.0
"[6089, 6005, 5279, 4672, 4611, 4244, 3780, 3614, 3414, 2858, 2741, 2588, 2461, 2453, 2400, 2389, 1989, 1970, 1218, 686, 667]",0.007937767899666614,0.8,0.3860388030761094,0.5518838892494164,0.9185959671396564,0.6
"[5882, 5768, 5353, 2955, 2134, 1414]",0.03462454357834577,0.95,0.721293198805316,0.3195724361201743,0.9215832710978342,0.19999999999999996
"[5920, 3076]",0.0022622638514049847,0.99,0.15290673626095863,0.21111059666252363,0.9902912621359223,0.8
"[6072, 5937, 5671, 4879, 4689, 4672, 4136, 4111, 3603, 3076, 2708, 718]",0.0031655818383870458,0.89,0.10297098975519747,0.40331282061813856,0.9693801344286781,1.0
"[6279, 6083, 6019, 5882, 5801, 4389, 2134]",0.05021749484045086,0.94,0.7635870181625386,0.3509741182304117,0.9111277072442121,0.0
"[6020, 5279, 4822, 4393, 4244, 3879, 3614, 2956, 2858, 2588, 2453, 2389, 1970, 686, 674, 667, 139, 10]",0.005662803619622163,0.83,0.29898949631852145,0.45279764590562344,0.8633308439133682,0.8
"[6279, 6083, 6067, 6019, 5801, 5164, 5035, 4395, 4389, 4272, 4139, 3758, 3754, 3501, 2961, 2611, 2609, 2352, 2134, 1193, 692, 683]",0.050314335608826796,0.79,0.7279089748886121,0.5904378063504385,0.8722927557879014,0.19999999999999996
[4389],0.0028480711224003813,1.0,0.2722476343971084,0.1674453888423023,0.9895444361463779,0.6
"[5882, 5801, 5264, 5006, 3976, 2955, 2134, 1056]",0.043868868074297504,0.93,0.7474032060040368,0.3488151396436959,0.9081404032860343,0.19999999999999996
"[4672, 4136, 3076]",0.001839974599142721,0.98,0.10946881189330326,0.24952796499023944,0.9887976101568334,1.0
"[5937, 5671, 4879, 4672, 4136, 3076, 718]",0.00247499603111605,0.94,0.10946881189330326,0.33816966755152855,0.9835698282300224,1.0
"[6072, 5937, 5671, 4879, 4689, 4672, 4111, 3603, 3076, 2708, 718]",0.0030163518018733134,0.9,0.09994001450927914,0.37641177269695225,0.9701269604182226,1.0
"[5281, 5279, 4822, 3614, 3075, 2956, 2858, 2588, 2453, 2389, 1970, 1541, 1057, 667, 139]",0.005127798063184632,0.86,0.2958436459548648,0.33585004317081546,0.8618371919342793,0.8
"[4079, 3075, 1541, 667]",0.003059215748531513,0.97,0.3238050015477717,0.2470738536750755,0.9663928304705004,0.8
"[6005, 5279, 3780, 3614, 2858, 2741, 2717, 2652, 2588, 2461, 2453, 2389, 1989, 1970, 1218, 1200, 686, 667, 139, 10]",0.007699634862676615,0.81,0.3982502872262954,0.47840268603314007,0.8573562359970127,0.6
"[4559, 4303, 3076, 2059]",0.0018526750277821876,0.97,0.11071993535691316,0.2744967344602195,0.9820761762509336,1.0
[5882],0.019218923638672804,1.0,0.6359388281689079,0.1674453888423023,0.9634055265123226,0.19999999999999996
"[5637, 5164, 5041, 3614, 2741, 2461, 686, 667, 79]",0.006096205746943959,0.92,0.36392789454806074,0.3973649880524178,0.8954443614637789,0.6
"[6089, 5637, 5164, 5041, 3614, 3439, 2741, 2461, 686, 667, 79]",0.0069090331798698215,0.9,0.37554880406787716,0.3860202622704373,0.8849887976101568,0.6
"[5814, 4389, 3076]",0.00398475948563264,0.98,0.3037655960541543,0.24554121388760608,0.9790888722927558,0.6
"[5882, 5801, 5265, 5264, 2955, 2700]",0.04843943483092555,0.95,0.762466017457158,0.28662657564636185,0.9163554891710232,0.0
"[6232, 6229, 6227, 6170, 6083, 6073, 6067, 6047, 5852, 5843, 5749, 5720, 5681, 5565, 5562, 5314, 5312, 5197, 4713, 4710, 4582, 4578, 4538, 4395, 4272, 4111, 3875, 3801, 3785, 3758, 3743, 3685, 3506, 3408, 3107, 3050, 2955, 2829, 2721, 2714, 2617, 2611, 2609, 2352, 2234, 2206, 2150, 2087, 2059, 1984, 1605, 1567, 921, 871, 793, 683, 482, 432, 350, 313, 158]",0.06827591681219242,0.4,0.745673071727176,0.7473348597618819,0.6527259148618372,0.19999999999999996
