n_nodes,influence,communities,nodes
13.0,105.76,3.0,"[1728, 133, 6284, 2669, 1582, 3216, 5264, 6067, 1683, 5323, 5366, 2999, 4798]"
1.0,3.27,0.0,[986]
1.0,112.62,4.0,[5882]
3.0000000000000018,204.51,4.0,"[5882, 3090, 2898]"
4.000000000000003,85.49,3.0,"[6284, 3216, 6067, 1683]"
18.000000000000004,21.42,0.0,"[1728, 1888, 3874, 3842, 4293, 5161, 1582, 271, 2990, 6193, 2386, 819, 2999, 6206, 665, 3707, 4798, 1659]"
1.0,36.02,0.9999999999999998,[6157]
2.000000000000001,48.3,0.9999999999999998,"[3216, 6157]"
3.0000000000000018,73.84,3.0,"[3216, 6067, 6284]"
44.99999999999999,338.57,4.0,"[5892, 4, 133, 11, 5771, 2317, 528, 4374, 537, 4510, 3486, 4768, 4897, 1448, 2472, 1832, 1707, 3502, 1838, 4533, 2102, 4151, 2614, 1467, 3005, 1982, 3135, 3905, 6085, 3270, 4549, 5703, 3141, 842, 2630, 3923, 3679, 3680, 1507, 3688, 1385, 2792, 4719, 3570, 117]"
8.999999999999996,289.78,4.0,"[2333, 6157, 17, 3090, 3897, 5882, 573, 3582, 105]"
36.0,301.27,4.0,"[11, 5771, 2317, 528, 3090, 5140, 5271, 283, 3742, 2719, 4129, 3874, 932, 5285, 3751, 3757, 1198, 2864, 6193, 4532, 4918, 3383, 5558, 6073, 1721, 1467, 3005, 5950, 3135, 1728, 3905, 3141, 2630, 5196, 2264, 1888]"
6.000000000000004,9.8,0.0,"[5474, 4707, 4293, 5161, 1582, 5366]"
15.000000000000002,18.75,0.0,"[1728, 1888, 3874, 4293, 5161, 4798, 1582, 2990, 6193, 2386, 819, 2999, 665, 3707, 6206]"
13.0,17.24,0.0,"[1728, 1888, 3874, 4293, 5161, 1582, 2990, 6193, 2386, 2999, 665, 3707, 6206]"
9.999999999999996,14.24,0.0,"[1728, 1888, 3842, 4293, 5161, 1582, 271, 2990, 6193, 4796]"
10.999999999999998,69.95,0.9999999999999998,"[1728, 3753, 4293, 5161, 6157, 1582, 271, 3216, 814, 1683, 4094]"
7.999999999999995,253.46,4.0,"[2317, 3216, 528, 6067, 2676, 5882, 3582, 637]"
10.999999999999998,84.56,2.0,"[5474, 5161, 1225, 6157, 1518, 3216, 1683, 917, 5366, 2999, 4798]"
16.0,19.45,0.0,"[2128, 3842, 3874, 4293, 5161, 1131, 4798, 1582, 271, 2990, 6193, 819, 2999, 665, 3707, 6206]"
19.000000000000004,21.92,0.0,"[1728, 1888, 3874, 3842, 4293, 5161, 1659, 4798, 1582, 271, 2990, 6193, 2386, 819, 2999, 665, 3707, 6206, 4443]"
9.999999999999996,82.97,2.0,"[5474, 5161, 1225, 6157, 1518, 3216, 1683, 917, 5366, 2999]"
3.0000000000000018,7.01,0.0,"[3842, 1453, 4293]"
7.999999999999995,11.89,0.0,"[6240, 4293, 5161, 1131, 2990, 1582, 4798, 750]"
8.999999999999996,13.27,0.0,"[6240, 4293, 5161, 1131, 2990, 1582, 6193, 4798, 2365]"
26.0,850.6,5.0,"[3330, 6157, 2317, 3090, 3347, 2710, 3863, 1302, 153, 665, 3115, 694, 2743, 5305, 5690, 3007, 6249, 4715, 111, 3313, 3443, 3955, 4727, 1529, 5882, 766]"
7.000000000000005,10.38,0.0,"[6240, 4293, 5161, 1131, 1432, 1582, 4798]"
44.00000000000001,999.74,5.0,"[3216, 5265, 3090, 2710, 3863, 1302, 153, 2333, 928, 6067, 694, 2743, 1334, 5305, 3769, 5690, 3007, 2514, 5077, 3543, 222, 5474, 3428, 1383, 5096, 2793, 6121, 5226, 4969, 1767, 4715, 3179, 4332, 111, 4846, 2283, 3313, 3443, 2528, 4727, 3960, 3955, 5882, 1147]"
6.000000000000004,96.16,3.0,"[1117, 6284, 6157, 1518, 3216, 1683]"
9.999999999999996,545.59,5.0,"[3330, 3313, 3090, 6067, 2740, 564, 4727, 694, 153, 5882]"
6.000000000000004,227.21,4.0,"[3203, 3216, 6067, 5882, 507, 3582]"
2.000000000000001,54.55,2.0,"[2777, 6157]"
64.0,373.87,4.0,"[6284, 6157, 3216, 1683, 411, 6137, 4639, 3366, 6187, 299, 815, 1201, 2302, 3259, 1725, 61, 1215, 1728, 1985, 4029, 959, 2496, 2882, 2626, 71, 2120, 1356, 332, 1102, 2383, 1616, 4561, 4049, 725, 1366, 470, 2773, 985, 2778, 4570, 1495, 1370, 2139, 1116, 3808, 1629, 3040, 1889, 3165, 3557, 4071, 4713, 874, 1900, 1518, 1903, 882, 1139, 4212, 3700, 1268, 3317, 1529, 3070]"
5.0000000000000036,90.87,3.0,"[2793, 6157, 1518, 3216, 1683]"
7.000000000000005,100.38,3.0,"[6284, 6157, 1518, 3216, 1683, 1117, 2359]"
4.000000000000003,7.38,0.0,"[6240, 1208, 1131, 4293]"
8.999999999999996,521.87,5.0,"[3313, 3090, 6067, 2740, 564, 694, 4727, 153, 5882]"
6.000000000000004,77.36,2.0,"[6157, 1518, 3216, 5554, 1683, 5366]"
8.999999999999996,81.2,2.0,"[4883, 5474, 6157, 1518, 3216, 5554, 1683, 917, 5366]"
19.999999999999993,24.18,0.0,"[3842, 271, 665, 3874, 936, 5161, 1582, 2990, 6193, 819, 2999, 6206, 4798, 1728, 2939, 4293, 2386, 4443, 1888, 6132]"
17.000000000000004,21.18,0.0,"[1728, 3842, 3874, 4293, 936, 5161, 1582, 271, 2990, 2651, 2386, 819, 2999, 6206, 665, 2939, 4798]"
17.000000000000004,21.18,0.0,"[1728, 1888, 3874, 3842, 4293, 5161, 1659, 1582, 271, 2990, 6193, 819, 2999, 6206, 665, 4443, 4798]"
14.0,18.18,0.0,"[1728, 1888, 4293, 5161, 1582, 2990, 6193, 2386, 819, 2999, 6206, 665, 3707, 4798]"
5.0000000000000036,74.81,2.0,"[6157, 1518, 3216, 5554, 1683]"
5.0000000000000036,74.81,2.0,"[3216, 1683, 6157, 1518, 4235]"
3.0000000000000018,64.21,2.0,"[3216, 6157, 1518]"
7.000000000000005,68.04,0.9999999999999998,"[6157, 3216, 3633, 1683, 917, 5366, 2999]"
17.000000000000004,700.76,5.0,"[4727, 6249, 3242, 4332, 1529, 111, 5265, 3090, 3313, 6259, 3955, 694, 2743, 2777, 153, 5882, 766]"
2.000000000000001,5.41,0.0,"[1131, 4293]"
18.000000000000004,709.28,5.0,"[153, 6249, 3242, 2743, 4332, 111, 5265, 3090, 3313, 6259, 3955, 694, 4727, 2777, 1529, 5882, 766, 70]"
37.0,921.95,5.0,"[3216, 5265, 3090, 2710, 3863, 1302, 153, 2333, 3298, 6067, 694, 2743, 1334, 5305, 3769, 5690, 3007, 2514, 3428, 1383, 5096, 6121, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 2283, 3443, 6259, 3955, 4727, 3960, 5882]"
5.0000000000000036,61.62,0.9999999999999998,"[5474, 5767, 6157, 3216, 1683]"
6.000000000000004,62.59,0.9999999999999998,"[5474, 1982, 5767, 6157, 3216, 1683]"
53.0,1100.47,5.0,"[4727, 17, 3090, 3347, 2710, 3863, 1302, 153, 665, 1817, 4138, 3115, 6065, 6067, 694, 2743, 1334, 3769, 5690, 3007, 463, 6095, 2514, 2002, 3960, 5077, 3543, 986, 222, 2283, 3428, 1382, 1767, 1383, 4969, 5226, 5096, 6121, 2793, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 3443, 6259, 3955, 1529, 5882, 3395]"
38.0,927.64,5.0,"[5265, 3090, 1302, 3863, 2710, 153, 2333, 6067, 694, 2743, 1334, 5305, 3769, 5690, 3007, 4293, 2514, 3298, 3428, 1383, 5096, 6121, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 2283, 3443, 6259, 3955, 4727, 3960, 5882, 1343]"
4.000000000000003,305.35,5.0,"[4727, 5882, 3090, 3369]"
4.000000000000003,60.41,0.9999999999999998,"[5323, 6157, 3216, 1683]"
6.000000000000004,320.65,5.0,"[6284, 6157, 3090, 4727, 5882, 2251]"
5.0000000000000036,213.7,4.0,"[1683, 6067, 4662, 5882, 3582]"
60.00000000000001,1148.12,5.0,"[3330, 3090, 2710, 3863, 2072, 153, 665, 2842, 1302, 1817, 5161, 3115, 6065, 2681, 6067, 3381, 694, 2743, 1334, 3769, 5690, 3007, 3395, 463, 6095, 2514, 2002, 5077, 3543, 986, 5595, 603, 222, 4471, 5474, 866, 3428, 1382, 1767, 1383, 4969, 5226, 2283, 5096, 6121, 2793, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 4727, 3960, 1529, 5882, 3955, 1154]"
71.0,1180.49,5.0,"[3090, 2710, 3863, 2072, 153, 665, 2842, 1302, 1817, 3369, 5161, 3115, 4527, 3505, 6067, 5300, 3892, 694, 3511, 2743, 1334, 3769, 5690, 4280, 4029, 2744, 5430, 3007, 4623, 829, 4026, 4928, 3393, 3394, 832, 447, 6083, 4547, 3013, 2502, 5577, 1993, 1998, 463, 6095, 2514, 2002, 5077, 986, 5595, 603, 222, 4471, 5474, 866, 3428, 1382, 1767, 1383, 4969, 5096, 5483, 6121, 4846, 3313, 3381, 3955, 4727, 3960, 2681, 5882]"
11.999999999999998,575.51,5.0,"[3330, 5882, 3313, 3090, 6067, 2740, 694, 4727, 6259, 1529, 3955, 766]"
11.999999999999998,15.67,0.0,"[1728, 1888, 3874, 3842, 4293, 5576, 5161, 1582, 271, 2990, 5391, 5648]"
16.0,687.28,5.0,"[153, 6249, 3242, 2743, 4332, 111, 5265, 3090, 3313, 6259, 3955, 694, 4727, 2777, 5882, 766]"
59.00000000000001,1143.23,5.0,"[3090, 3347, 2710, 3863, 1302, 153, 665, 1817, 5882, 4138, 3115, 6065, 2681, 6067, 3381, 694, 2743, 1334, 3769, 5690, 3007, 3395, 463, 6095, 2514, 2002, 5077, 3543, 986, 5595, 603, 222, 4471, 5474, 866, 3428, 1382, 1767, 1383, 4969, 5226, 2283, 5096, 6121, 2793, 3951, 4715, 3179, 4332, 5483, 111, 4846, 3441, 4727, 3960, 1529, 3313, 3955, 6175]"
36.0,887.77,5.0,"[5775, 3090, 2710, 3863, 1302, 153, 2333, 6067, 694, 2743, 1334, 5305, 3769, 5690, 3007, 2514, 3298, 3428, 1383, 5096, 6121, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 2283, 3443, 6259, 3955, 4727, 3960, 5882]"
10.999999999999998,561.55,5.0,"[3313, 3090, 6067, 2740, 2869, 564, 4727, 694, 153, 5882, 4980]"
3.0000000000000018,279.98,5.0,"[5882, 3090, 4727]"
2.000000000000001,210.66,5.0,"[5882, 4727]"
40.0,949.42,5.0,"[3090, 2710, 3863, 1302, 153, 1817, 665, 3115, 6065, 6067, 694, 2743, 1334, 3769, 5690, 3007, 774, 2514, 5340, 3428, 1383, 5096, 6121, 1767, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 2283, 3443, 6259, 3955, 4727, 3960, 5882, 1147]"
7.999999999999995,453.36,5.0,"[3313, 3090, 6067, 2740, 564, 4727, 153, 5882]"
17.000000000000004,91.7,2.0,"[5474, 5767, 1225, 6157, 1518, 1582, 3216, 271, 2990, 1683, 6193, 2386, 819, 563, 665, 3707, 4798]"
18.000000000000004,105.85,3.0,"[105, 6157, 1582, 1518, 3216, 17, 271, 2990, 1683, 6193, 2386, 819, 2999, 665, 3707, 573, 4798, 5286]"
2.000000000000001,178.68,4.0,"[5882, 3090]"
5.0000000000000036,8.51,0.0,"[1728, 3842, 1888, 4293, 2665]"
39.0,928.13,5.0,"[3090, 2710, 3863, 1302, 153, 1817, 665, 3115, 6065, 6067, 694, 2743, 1334, 3769, 5690, 3007, 1728, 2514, 5340, 3428, 5096, 6121, 1767, 4715, 3179, 4332, 5483, 111, 4846, 3441, 3313, 2283, 3443, 6259, 3955, 4727, 3960, 5882, 1147]"
7.999999999999995,104.42,3.0,"[6284, 6157, 1518, 3216, 1683, 2359, 1117, 5408]"
15.000000000000002,75.34,0.9999999999999998,"[5161, 6157, 1582, 2990, 3216, 3633, 682, 1683, 2386, 819, 2999, 6206, 665, 3707, 4798]"
20.999999999999996,770.89,5.0,"[6157, 3090, 530, 153, 3115, 6067, 2740, 564, 694, 2743, 5305, 3007, 6249, 111, 3313, 3955, 3443, 4727, 1529, 5882, 766]"
47.0,1055.72,5.0,"[3216, 5265, 3090, 2710, 3863, 1302, 153, 2333, 6067, 694, 2743, 1334, 5305, 3769, 5690, 3007, 832, 4416, 4293, 3153, 2514, 5077, 3543, 222, 2528, 5474, 3428, 1382, 1383, 5096, 6249, 1767, 4715, 6121, 5226, 4969, 111, 5483, 3313, 6254, 3443, 3955, 4727, 3960, 1273, 5882, 1147]"
