n_nodes,influence,obj,nodes
0.98,0.0,0.9993466614399582,"[3112, 3563, 4054]"
1.0,0.0,0.9986933228799164,[1132]
0.56,0.03,0.9549196393571149,"[2305, 4356, 4996, 5255, 2705, 5137, 4372, 1785, 4375, 1818, 922, 1052, 2594, 171, 6317, 430, 7213, 950, 5687, 6587, 3643, 7615, 2240, 6725, 967, 849, 4308, 602, 7134, 6496, 5473, 3170, 3682, 3939, 5988, 6246, 743, 4971, 4461, 1647, 6639, 881, 2804, 5753, 7551]"
1.0,0.0,0.9990853260159415,[3842]
0.93,0.01,0.9933359466875735,"[2948, 518, 4490, 5131, 5521, 1588, 1179, 2463]"
0.89,0.01,0.9930746112635568,"[7397, 6886, 3495, 4489, 5898, 4458, 2189, 4973, 1456, 5713, 3540, 2297]"
0.07,0.04,0.9251274010192081,"[5647, 551, 3624, 3627, 1580, 5680, 7230, 64, 7233, 6213, 3141, 71, 4683, 5717, 2140, 2652, 4702, 7265, 2161, 5238, 5757, 1662, 6272, 131, 5788, 6303, 676, 5816, 4798, 1227, 5335, 5349, 1766, 5351, 747, 5360, 7410, 4340, 2293, 4358, 3852, 5912, 4382, 7460, 6948, 2340, 6961, 4401, 4405, 1847, 4408, 6973, 1348, 6469, 1360, 6997, 3925, 1371, 348, 7005, 7006, 2401, 2917, 1390, 1913, 7547, 4489, 3987, 5023, 5536, 6562, 419, 2470, 2473, 434, 5562, 7612, 1986, 7620, 3014, 1482, 1995, 1491, 3540, 4573, 5610, 1005, 6127, 3059, 2040, 3067, 1533, 2046, 6540]"
0.01,0.04,0.9201620279628904,"[5137, 1052, 2594, 2134, 1633, 2146, 1643, 5751, 6278, 5255, 2189, 2705, 5785, 7324, 5280, 169, 171, 6317, 3769, 4284, 3266, 706, 7364, 5320, 782, 2321, 1303, 4389, 2855, 5928, 3369, 3374, 3382, 823, 824, 3896, 5431, 323, 5445, 6984, 1356, 5969, 7506, 2901, 7513, 4954, 352, 6501, 3431, 2931, 2940, 3456, 3974, 1929, 3977, 7050, 6027, 1420, 2957, 1935, 7569, 6546, 3474, 1428, 1430, 7063, 4504, 6551, 5533, 926, 928, 4002, 4514, 932, 5548, 2988, 5553, 949, 1464, 1976, 7610, 443, 957, 7106, 7621, 7109, 4549, 2504, 4050, 4051, 5588, 3547, 6116, 5610, 2033, 4594, 6645, 6134, 5114, 5631]"
0.55,0.03,0.9577943290212988,"[6278, 5255, 2189, 5137, 2705, 5785, 1052, 7324, 5280, 2594, 169, 171, 7615, 320, 2240, 6696, 967, 7376, 81, 4308, 2134, 602, 7134, 6496, 1633, 2146, 5473, 3170, 7139, 3682, 3939, 5988, 6246, 743, 1643, 4971, 4461, 1647, 6639, 1905, 881, 1908, 2804, 5751, 1785, 7551]"
0.22,0.03,0.9374101659479943,"[1024, 4630, 544, 3116, 7213, 4743, 2705, 5785, 7324, 5280, 169, 171, 3769, 4284, 3266, 706, 7364, 5320, 6350, 3798, 7393, 1769, 6897, 4343, 3837, 6399, 2305, 4356, 4870, 2824, 3850, 3340, 1293, 3859, 4372, 4375, 5400, 1818, 796, 7453, 4895, 5409, 803, 2852, 4390, 5417, 4395, 2861, 1328, 6457, 7489, 4935, 7496, 341, 5977, 2397, 3424, 5986, 7017, 4470, 5499, 3964, 3965, 4988, 6014, 4993, 7554, 4996, 7052, 7060, 922, 430, 6583, 6589, 4030, 7103, 6592, 5061, 1754]"
0.99,0.0,0.999607996863975,"[7173, 4054]"
0.79,0.02,0.9618450280935581,"[1024, 3596, 2714, 2719, 5792, 4264, 1193, 2728, 171, 1198, 5432, 184, 4287, 5313, 6851, 1221, 4294, 6364, 2781, 1248, 255, 3771]"
