seed_set,spread,seed,communities,fairness,budget,time
"[6713, 6190, 5657, 5635, 5187, 4649, 4158, 2089, 1582, 1539, 1084, 1071, 568, 519]",33.18,14.0,0.8003174384851305,0.5728525120058507,45.99999999999998,3.0
"[7425, 5564, 3844, 3237, 2410, 2039, 2035, 1793, 795]",53.28,8.999999999999996,0.7824151910785772,0.6126653308000897,57.000000000000156,2.0
"[6418, 4681, 4640, 3588, 2052, 1546]",50.64,6.000000000000004,0.7997851094533545,0.7543454524186427,55.99999999999967,2.0
"[7369, 7093, 6840, 6770, 6741, 6696, 6695, 6688, 6448, 6432, 6307, 5877, 5781, 5670, 5465, 5429, 5304, 5277, 5268, 5107, 4533, 4404, 4298, 4131, 3925, 3913, 3734, 3493, 3492, 3318, 3315, 3292, 2972, 2930, 2897, 2831, 2778, 2695, 2637, 2490, 2108, 2104, 2062, 1884, 1690, 1650, 1494, 1461, 1440, 1322, 1320, 1309, 1193, 908, 814, 796, 776, 533, 398, 373, 122]",264.92,61.0,0.575679966647236,0.3814670978677288,608.0000000000002,0.9999999999999998
"[7080, 6713, 6656, 6190, 5841, 5657, 4631, 4610, 4158, 2089, 1582, 1084, 1071, 568]",22.71,14.0,0.8236032548354848,0.5851459310858511,39.000000000000014,4.0
"[7369, 7093, 6935, 6928, 6840, 6741, 6696, 6695, 6688, 6641, 6550, 6448, 6307, 5670, 5429, 5304, 5017, 4533, 4523, 4490, 4404, 4298, 4255, 4131, 3913, 3723, 3493, 3492, 2897, 2637, 2490, 2108, 2104, 1547, 1543, 1461, 1440, 1322, 1320, 1193, 1032, 814, 648, 281, 145]",244.92,44.99999999999999,0.5967430748599108,0.4839762681071187,519.0,0.9999999999999998
"[6928, 6906, 6359, 5841, 5598, 5394, 5314, 4871, 4640, 4311, 3659, 2840, 2754, 2396, 1740, 1593, 1544, 1543, 860, 852, 648, 147, 145, 106, 91]",242.45000000000002,25.0,0.5930840979397911,0.5475668654595669,548.0000000000003,0.9999999999999998
"[7080, 6713, 6190, 5841, 5657, 5635, 4631, 4610, 4158, 2089, 1084, 1071, 568]",19.14,13.0,0.8221739674462409,0.5907800369516842,34.00000000000017,4.0
"[6928, 6906, 6359, 5841, 5598, 5394, 4871, 4640, 4311, 3659, 2840, 2754, 2396, 1740, 1593, 1544, 1543, 860, 852, 648, 147, 145, 106, 91]",233.1,24.0,0.606495742435878,0.5465888824821652,542.0,0.9999999999999998
"[4681, 4640, 3588, 2052, 1546]",50.45,5.0000000000000036,0.8058140816667242,0.7930845685257168,52.000000000000306,2.0
[4640],20.33,1.0,0.9001060562488686,0.8325546111576977,11.99999999999981,3.0
[4523],8.44,1.0,0.9204437472477544,0.8325546111576977,6.999999999999959,4.0
[1546],20.94,1.0,0.875404183596245,0.8325546111576977,20.99999999999988,3.0
"[7043, 6151, 6023, 6022]",10.03,4.000000000000003,0.918018917503088,0.7521076116257467,9.9999999999997,5.0
"[3588, 2052]",19.05,2.000000000000001,0.8842918183911052,0.7877081905607556,16.99999999999966,4.0
"[1747, 1547, 398, 147]",126.58999999999999,4.000000000000003,0.6867698689998482,0.7511324584897673,296.0000000000001,0.9999999999999998
"[1547, 776]",46.36,2.000000000000001,0.8098431638085745,0.7936813578754232,45.00000000000035,2.0
"[4640, 2052]",32.44,2.000000000000001,0.8526682727649372,0.8325546111576977,25.999999999999726,3.0
"[6713, 6190, 5657, 4681, 4640, 4631, 4158, 3588, 2052, 1582, 1293, 1084, 1071]",60.01,13.0,0.7574847268770837,0.6499402569986772,75.99999999999993,2.0
"[7381, 6359, 5288, 4311, 2840, 2831, 2169, 2123, 2047, 1740, 1593, 1547, 1546, 1544, 1476, 852, 847, 776, 638, 579, 398, 147, 145, 116]",325.41,24.0,0.5524556619315203,0.6035852391316312,1015.9999999999997,0.0
[1547],35.61,1.0,0.8310724080799171,0.8325546111576977,31.000000000000426,2.0
"[1740, 1544, 648, 398, 145]",131.13,5.0000000000000036,0.6433686955398579,0.7173724340001162,356.0,0.9999999999999998
[864],76.43,1.0,0.7755122842426613,0.8325546111576977,87.0000000000001,0.9999999999999998
"[1747, 864, 147]",116.35,3.0000000000000018,0.7191874787909961,0.7895998327730697,211.99999999999974,0.9999999999999998
"[4311, 4285, 3378, 2169, 2104, 2047, 1740, 1593, 1547, 1544, 1314, 852, 847, 638, 579, 564, 398, 147, 145, 116]",311.81,19.999999999999993,0.5600142432181495,0.6123256967814403,1051.0000000000005,0.0
"[4351, 2840, 2831, 1740, 1593, 1547, 1544, 852, 847, 648, 628, 398, 145]",224.2,13.0,0.6174981850967649,0.6939170114810814,638.9999999999998,0.9999999999999998
