n_nodes,influence,nodes
0.00013116474291710389,0.01,[170]
0.0007869884575026233,0.03,"[546, 643, 170, 139, 780, 157]"
0.0015739769150052466,0.04,"[546, 643, 170, 139, 780, 1834, 43, 145, 1332, 157, 120, 349]"
0.00026232948583420777,0.01,"[170, 141]"
0.0006558237145855194,0.02,"[546, 643, 170, 139, 157]"
0.0013116474291710388,0.03,"[546, 643, 170, 139, 1834, 43, 1332, 157, 120, 349]"
0.006820566631689402,0.06,"[643, 137, 139, 1293, 278, 1305, 28, 157, 546, 170, 1834, 43, 3378, 701, 1345, 579, 2756, 582, 1613, 2128, 2385, 1620, 853, 2518, 4053, 4440, 5336, 4697, 3802, 3034, 861, 349, 4317, 7131, 864, 1762, 7135, 878, 367, 239, 240, 4977, 1139, 628, 115, 5876, 1269, 756, 505, 2546, 6139, 3325]"
0.004197271773347324,0.05,"[643, 139, 1293, 278, 1305, 28, 157, 546, 170, 1834, 43, 3378, 564, 1332, 701, 579, 582, 1613, 2128, 2385, 1620, 1624, 3802, 861, 349, 2546, 1139, 628, 115, 5876, 1269, 6469]"
0.0005246589716684155,0.02,"[864, 170, 139, 780]"
0.005771248688352571,0.06,"[643, 137, 139, 780, 3601, 278, 28, 157, 546, 170, 1834, 43, 3378, 701, 1345, 579, 2756, 582, 1613, 2128, 2385, 1620, 853, 2518, 4440, 5336, 4697, 3802, 861, 349, 4317, 1888, 367, 240, 2546, 1139, 628, 239, 115, 1269, 756, 6139, 3325, 766]"
0.003934942287513116,0.05,"[643, 137, 139, 1293, 278, 1305, 28, 157, 546, 170, 1834, 43, 3378, 564, 1332, 579, 582, 1613, 2128, 2385, 1875, 1620, 853, 239, 2546, 1139, 628, 115, 5876, 1269]"
0.00813221406086044,0.06,"[643, 137, 139, 1293, 278, 1305, 667, 28, 157, 546, 170, 1834, 43, 3378, 1332, 3385, 5306, 3514, 7226, 701, 4927, 579, 5956, 5443, 582, 7623, 1613, 4213, 974, 2128, 2385, 2510, 3537, 1620, 4053, 4440, 4697, 3802, 3034, 7131, 861, 349, 4317, 1888, 864, 1762, 7135, 878, 239, 240, 367, 4977, 1139, 628, 115, 5876, 1269, 756, 505, 2546, 6139, 3325]"
0.005377754459601259,0.06,"[643, 137, 139, 1293, 278, 1305, 28, 157, 546, 170, 1834, 43, 3378, 701, 1345, 579, 2756, 582, 1613, 2128, 2385, 2614, 853, 5336, 4697, 3802, 861, 349, 4317, 1888, 367, 240, 4977, 239, 1139, 628, 115, 1269, 756, 6139, 3325]"
0.009575026232948583,0.06,"[643, 137, 10, 139, 1293, 278, 1305, 28, 157, 546, 170, 1834, 43, 3378, 1332, 7476, 1334, 6456, 3385, 7226, 5306, 1976, 701, 3258, 4927, 447, 1345, 449, 579, 2756, 5956, 582, 7623, 1613, 461, 974, 2128, 2510, 2385, 3537, 1620, 4053, 4440, 4697, 3802, 3034, 7131, 4317, 861, 349, 1888, 864, 1762, 7135, 7138, 483, 6630, 743, 5863, 3047, 7145, 878, 239, 240, 367, 4977, 1139, 628, 115, 5876, 1269, 756, 468]"
0.0017051416579223506,0.04,"[546, 579, 643, 582, 137, 170, 139, 780, 43, 3378, 564, 1332, 157]"
0.0026232948583420775,0.04,"[643, 1545, 139, 780, 2446, 28, 157, 546, 170, 43, 3378, 564, 579, 582, 5962, 1613, 2128, 864, 743, 1654]"
