seed_set,spread,seed,communities,fairness,budget,time
"[7268, 3839, 3486, 845, 530, 170, 166, 157, 128, 101]",0.03533184679958027,0.91,0.41999390379502755,0.344536360023998,0.8851430811446491,0.0
"[3839, 3486, 1270, 845, 170, 166, 157, 128, 101]",0.03427597061909759,0.92,0.4137240378902891,0.34296402689455374,0.8851430811446491,0.0
"[6820, 6146, 5154, 4493, 4440, 3486, 1614, 1330, 1270, 855, 845, 837, 803, 546, 530, 415, 344, 257, 157, 128, 101, 99]",0.04646117523609654,0.79,0.4351404483979099,0.3652317459074492,0.8258199398928525,0.0
"[6820, 5154, 4440, 3486, 1614, 1270, 845, 837, 803, 651, 546, 530, 344, 257, 166, 157, 128, 101, 99]",0.04464192025183631,0.82,0.4290538511052988,0.3642413322899508,0.8330066640533125,0.0
"[7002, 6749, 5344, 5154, 4459, 4013, 3889, 3685, 3580, 3486, 3423, 2808, 2475, 1710, 1473, 1438, 1370, 1323, 1270, 1244, 937, 877, 873, 871, 867, 855, 845, 837, 811, 810, 802, 623, 608, 550, 546, 530, 427, 396, 373, 372, 344, 290, 204, 166, 157, 148, 128, 101, 99]",0.06003672612801679,0.52,0.49142960079534337,0.45709634533109156,0.743891284463609,0.0
"[4440, 4127, 1614, 1454, 1419, 1330, 855, 845, 837, 810, 803, 802, 656, 552, 550, 546, 530, 415, 396, 344, 257, 166, 157, 148, 128, 101, 99]",0.05118835257082896,0.74,0.45240431208459675,0.37452851067345194,0.7906703253626028,0.0
"[170, 166, 101]",0.020255771248688353,0.98,0.3181575198886093,0.24175097577884752,0.942375539004312,0.0
"[3068, 170, 166, 101]",0.021524134312696747,0.97,0.32431783249207013,0.2449841340033363,0.9414608650202535,0.0
"[4440, 4127, 1454, 1419, 1330, 855, 837, 810, 803, 802, 656, 552, 550, 546, 530, 415, 396, 344, 257, 166, 157, 148, 128, 101, 99]",0.04863064008394544,0.76,0.44436943481142155,0.3748932206690191,0.8017770808833138,0.0
"[7098, 7025, 7002, 6956, 6749, 6543, 5680, 5622, 5614, 5539, 5344, 5154, 4975, 4463, 4459, 4440, 4067, 3889, 3840, 3685, 3497, 3486, 2984, 2468, 2006, 1710, 1370, 1323, 936, 873, 867, 855, 837, 811, 810, 802, 623, 608, 555, 552, 550, 546, 530, 427, 415, 396, 380, 373, 372, 357, 344, 290, 257, 202, 170, 166, 157, 101, 99]",0.06299973767051417,0.42,0.48720004841672315,0.5550651083057617,0.7169737357898863,0.0
