n_nodes,influence,obj,nodes
1.0,0.01,0.19999999999999996,[128]
0.64,0.07,0.19999999999999996,"[128, 257, 2305, 6276, 4357, 3845, 2822, 267, 673, 6690, 546, 674, 37, 549, 1702, 2092, 6318, 65, 4674, 5833, 4310, 215, 2264, 5723, 6107, 4059, 1631, 4063, 1889, 485, 2151, 3816, 5742, 239, 623, 3832, 5886]"
0.98,0.0,0.6,"[3619, 67, 1624]"
0.98,0.0,0.8,"[1862, 6690, 3619]"
0.99,0.0,1.0,"[4987, 5214]"
1.0,0.0,0.4,[2042]
0.84,0.01,0.4,"[6786, 67, 5988, 7533, 6863, 6192, 2513, 1682, 691, 6484, 3798, 2136, 5593, 4284, 4636, 7454, 2268]"
0.96,0.0,0.6,"[3619, 67, 6699, 5508, 4323]"
0.98,0.01,0.4,"[2042, 94, 548]"
0.99,0.0,0.8,"[6690, 3619]"
0.87,0.01,0.4,"[4554, 6826, 7533, 6863, 2513, 1682, 691, 3798, 2136, 5593, 4122, 5019, 4284, 7454]"
0.97,0.01,0.4,"[2042, 548, 94, 3356]"
1.0,0.0,0.8,[3619]
1.0,0.0,0.6,[1740]
0.97,0.04,0.0,"[128, 65, 546, 623]"
1.0,0.0,1.0,[3412]
0.87,0.07,0.0,"[128, 257, 674, 546, 65, 549, 4674, 237, 623, 215, 2264, 90, 3197, 638]"
0.98,0.03,0.19999999999999996,"[128, 65, 623]"
0.94,0.05,0.0,"[128, 546, 65, 215, 90, 638, 959]"
0.96,0.04,0.19999999999999996,"[128, 65, 546, 623, 1155]"
0.83,0.08,0.0,"[128, 257, 1554, 674, 3619, 546, 65, 215, 2264, 90, 3803, 5742, 623, 239, 7412, 1269, 3197, 638]"
0.96,0.04,0.0,"[128, 257, 65, 90, 638]"
0.94,0.05,0.19999999999999996,"[128, 257, 65, 215, 90, 638, 959]"
0.7,0.1,0.0,"[128, 257, 148, 674, 546, 549, 555, 2108, 959, 65, 5185, 336, 1874, 5459, 6229, 2646, 215, 2264, 2649, 90, 5723, 5480, 235, 237, 5742, 623, 239, 1269, 2812, 638, 2459]"
0.86,0.07,0.0,"[128, 257, 546, 65, 549, 521, 623, 756, 3707, 1269, 215, 2264, 90, 3197, 638]"
0.99,0.0,0.6,"[393, 3619]"
0.86,0.06,0.19999999999999996,"[65, 674, 67, 546, 6786, 549, 4674, 237, 623, 215, 2264, 90, 3197, 638, 470]"
0.65,0.1,0.0,"[128, 257, 148, 674, 546, 549, 555, 2108, 959, 65, 5185, 336, 1874, 5459, 6229, 2646, 215, 2264, 2649, 90, 1197, 868, 2151, 5480, 235, 237, 239, 623, 7283, 7412, 1269, 3957, 4979, 2812, 3197, 638]"
0.99,0.01,0.4,"[2042, 2722]"
0.86,0.01,0.4,"[6786, 67, 5988, 7533, 2733, 6863, 6192, 2513, 1682, 691, 4284, 3798, 2136, 5593, 5921]"
0.97,0.0,0.6,"[1624, 3619, 67, 4349]"
0.89,0.07,0.0,"[128, 257, 546, 65, 549, 237, 623, 215, 2264, 90, 3197, 638]"
0.85,0.08,0.0,"[128, 257, 674, 546, 65, 4674, 485, 623, 239, 1269, 215, 2264, 90, 3803, 3197, 638]"
0.56,0.11,0.0,"[128, 257, 148, 2459, 674, 546, 6818, 549, 555, 2108, 959, 65, 5185, 336, 1874, 6229, 2646, 215, 2264, 2649, 90, 1631, 4063, 2145, 868, 7268, 2151, 5480, 3816, 235, 237, 623, 239, 2415, 7283, 7412, 1269, 5364, 6515, 3832, 3957, 2042, 2812, 3197, 638]"
0.8,0.08,0.0,"[128, 257, 546, 37, 549, 959, 65, 215, 2264, 90, 3803, 485, 5480, 235, 237, 5742, 623, 239, 1269, 2812, 638]"
0.85,0.01,0.4,"[67, 5988, 7533, 6863, 6192, 2513, 1682, 691, 6484, 4284, 3798, 1358, 5593, 2268, 4636, 7454]"
0.78,0.09,0.0,"[128, 257, 148, 674, 546, 549, 37, 433, 65, 4674, 5329, 215, 2264, 90, 485, 237, 5742, 623, 239, 7283, 1269, 3197, 638]"
0.62,0.1,0.0,"[128, 257, 6668, 148, 674, 546, 549, 555, 2108, 959, 65, 5185, 336, 1874, 5459, 6229, 2646, 215, 2264, 2649, 90, 5723, 988, 868, 2151, 5480, 235, 237, 5742, 239, 623, 7283, 7412, 1269, 6515, 3957, 4979, 3197, 638]"
0.99,0.02,0.19999999999999996,"[128, 623]"
0.61,0.11,0.0,"[128, 257, 6668, 148, 674, 546, 549, 555, 2108, 959, 65, 5185, 336, 1874, 5459, 6229, 2646, 215, 2264, 2649, 90, 5723, 988, 868, 2151, 5480, 235, 237, 5742, 239, 623, 7283, 7412, 1269, 6515, 3957, 4979, 3197, 638, 734]"
0.79,0.09,0.0,"[128, 257, 148, 674, 546, 549, 37, 433, 65, 4674, 5329, 215, 2264, 90, 237, 5742, 623, 239, 7283, 1269, 3197, 638]"
0.89,0.01,0.4,"[67, 5988, 7533, 1358, 6863, 6192, 2513, 1682, 691, 6484, 2268, 734]"
0.84,0.08,0.0,"[128, 257, 674, 546, 65, 5619, 237, 623, 239, 433, 756, 215, 7000, 90, 3803, 638, 959]"
0.93,0.06,0.0,"[128, 257, 546, 65, 623, 215, 90, 5823]"
0.92,0.06,0.0,"[128, 257, 546, 65, 521, 623, 756, 1269, 215]"
0.82,0.08,0.0,"[128, 257, 546, 65, 1057, 549, 485, 237, 623, 239, 1269, 215, 2264, 90, 3803, 3197, 638, 959, 260]"
0.91,0.07,0.0,"[128, 257, 546, 65, 549, 623, 215, 2264, 90, 638]"
0.76,0.09,0.0,"[128, 257, 546, 549, 2108, 959, 65, 326, 2646, 215, 2649, 90, 6876, 868, 4965, 2151, 5480, 235, 237, 5742, 623, 239, 6515, 1269, 638]"
0.73,0.1,0.0,"[128, 257, 148, 674, 546, 549, 555, 1197, 2108, 959, 65, 5185, 336, 1874, 5459, 6229, 2646, 215, 90, 868, 2151, 5742, 623, 239, 1269, 759, 2812, 638]"
0.95,0.04,0.19999999999999996,"[128, 65, 215, 90, 638, 959]"
0.97,0.03,0.19999999999999996,"[128, 65, 623, 4311]"
0.93,0.05,0.19999999999999996,"[128, 257, 65, 215, 90, 638, 959, 6356]"
0.95,0.05,0.0,"[128, 257, 546, 65, 237, 623]"
0.68,0.1,0.0,"[128, 257, 148, 2459, 674, 546, 6818, 549, 555, 2108, 959, 65, 5185, 6730, 1100, 336, 1874, 5459, 6229, 2646, 215, 2264, 2649, 90, 5723, 5480, 235, 237, 623, 239, 1269, 2812, 638]"
0.74,0.09,0.0,"[128, 257, 148, 674, 546, 549, 555, 1197, 2108, 959, 65, 5185, 336, 1874, 5459, 6229, 2646, 215, 90, 2151, 5742, 623, 239, 1269, 759, 2812, 638]"
0.57,0.11,0.0,"[128, 257, 148, 2459, 674, 546, 6818, 549, 555, 2108, 959, 65, 5185, 6730, 1100, 336, 1874, 5459, 6229, 2646, 215, 2264, 2649, 90, 5723, 5480, 3816, 235, 237, 623, 239, 2415, 7283, 7412, 1269, 5364, 6515, 3832, 3957, 2042, 2812, 3197, 638, 6536]"
0.58,0.11,0.0,"[128, 257, 546, 6818, 549, 677, 555, 2108, 959, 65, 5185, 336, 1874, 6229, 2646, 215, 2264, 2649, 90, 1631, 4063, 2145, 868, 7268, 2151, 5480, 3816, 235, 237, 623, 239, 2415, 7283, 7412, 1269, 5364, 6515, 282, 3957, 2042, 2812, 3197, 638]"
