seed_set,spread,seed,communities,fairness,budget,time
"[6902, 6647, 6531, 5720, 4753, 3555, 2976, 2906, 1011, 647, 635, 284]",0.00657791185729276,0.89,0.3005146397089419,0.3415818781275404,0.989546583039331,0.4
"[7524, 7023, 4111, 4109, 1294]",0.0015280692549842602,0.96,0.20842257905701633,0.2704126053422362,0.9983013197438912,0.8
"[7332, 6933, 6688, 5776, 5407, 5165, 4754, 4265, 4114, 3097, 2769, 2744, 2350, 1554, 1302, 1167, 1055, 814, 798, 669, 401, 291, 128]",0.0553082371458552,0.78,0.4684801359926152,0.41813540118386927,0.890500457336992,0.19999999999999996
"[7306, 6902, 6647, 5923, 5720, 3533, 2906, 2227]",0.003138772298006296,0.93,0.22710668676659562,0.30272461437783016,0.9967333071997909,0.6
[3555],0.0022691500524658972,1.0,0.2297169637376828,0.1674453888423023,0.9966026394877826,0.4
"[5017, 4114, 1554, 1167, 1013, 669, 401, 138, 128, 13]",0.04561253934942287,0.91,0.4405293996679793,0.36621144245461923,0.9098392787142298,0.19999999999999996
"[7041, 6950, 5018, 4262, 4230, 4114, 4109, 3097, 2971, 2854, 2835, 2704, 2318, 1703, 1692, 1554, 1167, 1055, 798, 794, 669, 401, 283, 276, 166, 138, 128]",0.0643612277019937,0.74,0.5080971239287426,0.40113497167427137,0.8698549588396707,0.19999999999999996
"[669, 128]",0.025173137460650575,0.99,0.3216382196615203,0.2123227946139047,0.9543969685090814,0.19999999999999996
[669],0.013605718782791187,1.0,0.23560858271149243,0.1674453888423023,0.9772638181105449,0.19999999999999996
[5111],0.0006991080797481637,1.0,0.045324432508506374,0.1674453888423023,0.9994773291519665,1.0
"[2704, 1167, 669, 138, 128]",0.034912119622245545,0.96,0.4057382126212312,0.3095010854453727,0.93296746373971,0.19999999999999996
"[7333, 6175, 4964, 4114, 3691, 2208, 2081, 1692, 1554, 1439, 1055, 1032, 798, 669, 547, 401, 283, 138, 128]",0.05056925498426024,0.82,0.480810658219732,0.4287474576008933,0.8972951783614269,0.19999999999999996
"[4260, 1751]",0.0017090766002098635,0.99,0.1155118486844584,0.21236581298077373,0.997125310335816,0.6
"[6885, 6531, 2976, 1011, 647]",0.0026783840503672614,0.96,0.2057417559580762,0.24869245128895257,0.9964719717757742,0.6
[1751],0.0015608604407135363,1.0,0.12482199293026586,0.1674453888423023,0.9975173134718411,0.6
"[5017, 4114, 1554, 1013, 669, 401, 128, 13]",0.03608604407135362,0.93,0.3907570072356308,0.33170219634256615,0.9302234417875344,0.19999999999999996
"[6902, 6647, 6531, 5832, 5720, 4753, 3555, 2976, 1011, 647, 635]",0.005784365162644281,0.9,0.2963707236367057,0.36926343105581205,0.9916372664314648,0.4
"[3097, 669, 398, 138, 137, 128]",0.04314139559286464,0.95,0.42061016418175656,0.28428158925628255,0.9150659871945642,0.0
"[4188, 3555]",0.003516526757607555,0.99,0.25357011684457764,0.1674453888423023,0.9941199529596236,0.4
"[6933, 6688, 5776, 4754, 4114, 3097, 1692, 1554, 1302, 1167, 1055, 798, 669, 564, 401, 128]",0.049054302203567685,0.85,0.4652298872328653,0.38494424994433674,0.899124526329544,0.19999999999999996
"[3097, 669, 398, 291, 138, 137, 128]",0.0452898740818468,0.94,0.4247041006666885,0.28155423535122903,0.9106232849862799,0.0
"[5766, 4260]",0.0008328961175236096,0.99,0.03418064269712229,0.21085210556412626,0.9992159937279498,1.0
"[4559, 3555]",0.0023439139559286466,0.99,0.23784160910846208,0.21174097022816507,0.9964719717757742,0.6
"[7010, 4114, 1554, 1167, 401, 398, 137, 128, 13]",0.038533578174186775,0.92,0.4545788764477504,0.36030323237735606,0.9187246831307984,0.0
"[4249, 2376, 802]",0.004239244491080797,0.98,0.23336302941181997,0.1992430938041645,0.9918986018554815,0.4
"[669, 398, 138, 137, 128]",0.041728751311647425,0.96,0.40809564235877427,0.2500694545379367,0.9188553508428068,0.0
"[1763, 1490, 647, 615, 103]",0.005342339979013641,0.96,0.2942099501988825,0.3114584462711827,0.9885012413432641,0.4
"[4265, 3097, 669, 138, 137, 128]",0.03554433368310598,0.95,0.41046375122078527,0.2846055738496315,0.9310074480595845,0.19999999999999996
"[4249, 1763, 1411, 802]",0.004349422875131164,0.97,0.2665566688744433,0.2748588732656373,0.9912452632954397,0.4
[137],0.003747376705141658,1.0,0.22527050184076958,0.1674453888423023,0.9930746112635568,0.19999999999999996
"[6950, 4714, 3486, 3097, 2350, 1703, 1692, 1554, 1456, 1167, 798, 669, 638, 398, 291, 283, 166, 138, 128]",0.07559548793284365,0.82,0.516241763280894,0.419969996413332,0.8433294133019731,0.0
"[6089, 5766, 4260]",0.0009876705141657924,0.98,0.040974887637134305,0.24341857020761104,0.9990853260159415,1.0
"[7057, 6347, 6118, 5776, 5017, 4754, 4265, 3097, 2966, 2756, 2596, 2350, 2208, 2139, 1554, 1378, 1319, 1302, 1167, 1055, 961, 798, 735, 669, 401, 398, 326, 291, 166, 139, 138, 137, 128, 101]",0.09493966421825814,0.67,0.584524037840379,0.49885125977544553,0.7915849993466615,0.0
"[4260, 1751, 1123]",0.001488719832109129,0.98,0.11540549974319125,0.2104156036818282,0.9969946426238077,0.8
"[1554, 669, 401, 398, 139, 138, 137, 128]",0.05504721930745016,0.93,0.45073366629553613,0.27954865920202754,0.8838364040245655,0.0
"[7486, 1554, 669, 401, 398, 139, 138, 137, 128]",0.056863850996852046,0.92,0.4596553921827592,0.2771776694317867,0.8835750686005488,0.0
"[7057, 6347, 6118, 5776, 5017, 4754, 4265, 3097, 2966, 2756, 2596, 2350, 2139, 1554, 1378, 1319, 1302, 1167, 1055, 961, 798, 735, 669, 401, 398, 326, 291, 166, 139, 138, 137, 128, 101]",0.09350472193074502,0.68,0.5811569717847325,0.4981396014899122,0.7948516921468705,0.0
"[669, 398, 128]",0.03277413431269675,0.98,0.354894300220263,0.21109725358684372,0.9361034888279106,0.19999999999999996
"[5017, 4714, 3097, 2784, 2596, 2208, 1885, 1554, 1167, 1055, 798, 683, 669, 638, 401, 398, 337, 291, 166, 139, 138, 137, 128]",0.08760624344176285,0.78,0.5257274036011925,0.47025839702204286,0.8070037893636482,0.0
"[5766, 4816, 3555]",0.002522298006295908,0.98,0.23621181975345107,0.23276243645909322,0.9959493009277407,0.6
"[7057, 6347, 6118, 5776, 5017, 4754, 4265, 3097, 2966, 2756, 2596, 2350, 2208, 2139, 1554, 1378, 1319, 1302, 1167, 1100, 1055, 961, 798, 735, 669, 401, 398, 326, 291, 166, 139, 138, 137, 128, 101]",0.09591552990556139,0.66,0.5895792138879694,0.49989800524247163,0.7866196262903437,0.0
"[7528, 7369, 7057, 6380, 6347, 6118, 5776, 5018, 5017, 4968, 4754, 4265, 4198, 4071, 3097, 2966, 2756, 2596, 2350, 2208, 2139, 1769, 1554, 1386, 1319, 1302, 1167, 1055, 961, 869, 713, 669, 401, 398, 365, 326, 291, 237, 166, 139, 138, 137, 128, 107, 101]",0.10826600209863588,0.56,0.6080557357183777,0.5707253344604803,0.7489873252319352,0.0
"[5017, 4714, 3097, 2784, 2596, 2208, 1885, 1554, 1167, 1055, 798, 683, 669, 638, 401, 398, 337, 291, 245, 166, 139, 138, 137, 128]",0.08958158447009444,0.77,0.5352416423204118,0.4535460803082265,0.8022997517313472,0.0
"[7528, 7369, 7057, 6380, 6347, 6118, 5993, 5776, 5489, 5018, 5017, 4968, 4754, 4265, 4198, 3691, 3183, 3097, 2966, 2756, 2596, 2350, 2208, 2139, 1769, 1554, 1430, 1386, 1319, 1302, 1167, 1129, 1055, 961, 869, 669, 401, 398, 365, 326, 291, 237, 166, 139, 138, 137, 128, 107, 101]",0.11081190975865687,0.52,0.6121279044841554,0.576024546235994,0.7450672938716842,0.0
"[7057, 6347, 5776, 5017, 4754, 4698, 4265, 3097, 2966, 2756, 2596, 2350, 2208, 2139, 1554, 1319, 1302, 1167, 1055, 961, 869, 669, 401, 398, 326, 291, 166, 139, 138, 137, 128, 101]",0.0931886149003148,0.69,0.5617026997728697,0.4671174064353739,0.7921076701946949,0.0
