n_nodes,influence,communities,nodes
4.000000000000003,19.72,2.0,"[5953, 641, 1076, 4004]"
4.000000000000003,13.8,0.9999999999999998,"[3689, 1130, 3610, 622]"
1.0,102.86,4.0,[669]
27.0,560.7,4.0,"[645, 3736, 4252, 669, 3231, 4898, 6307, 6947, 166, 6825, 175, 65, 1101, 5199, 80, 1104, 2131, 99, 3691, 3821, 623, 4722, 4723, 2810, 1147, 2172, 638]"
13.0,31.52,2.0,"[5186, 3689, 1130, 686, 7027, 6772, 289, 5044, 1303, 2776, 5428, 6293, 3131]"
9.999999999999996,27.17,2.0,"[289, 5186, 3689, 1130, 686, 7027, 6772, 5044, 4609, 1303]"
1.0,34.13,3.0,[1145]
14.0,47.07,3.0,"[7427, 645, 686, 750, 7027, 6772, 1908, 5044, 1303, 2776, 5428, 6293, 3131, 3282]"
4.000000000000003,36.98,3.0,"[337, 1153, 750, 7285]"
16.0,50.68,3.0,"[833, 5191, 686, 750, 6318, 7027, 6772, 1908, 5044, 1303, 2515, 7192, 5428, 3131, 6293, 5787]"
5.0000000000000036,20.98,2.0,"[5953, 641, 1076, 4004, 1533]"
3.0000000000000018,7.93,0.0,"[3147, 622, 4199]"
15.000000000000002,49.69,3.0,"[5479, 6318, 686, 750, 7027, 6772, 1908, 5044, 1303, 2515, 7192, 5428, 3131, 5787, 6293]"
26.0,771.69,5.0,"[401, 3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 837, 99, 623, 4722, 4723, 2810, 2940, 893, 638, 374]"
9.999999999999996,504.21,4.0,"[65, 99, 166, 1323, 623, 4411, 4252, 669, 638, 6877]"
3.0000000000000018,17.04,2.0,"[5953, 1076, 4004]"
8.999999999999996,502.61,5.0,"[65, 99, 166, 1323, 623, 4411, 4252, 669, 638]"
21.999999999999996,722.23,5.0,"[669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 837, 2379, 99, 623, 4722, 4723, 374, 2940, 893, 638]"
5.0000000000000036,40.27,3.0,"[750, 337, 6772, 1303, 6257]"
7.999999999999995,27.07,2.0,"[5186, 3689, 1130, 7565, 686, 6772, 5044, 1303]"
2.000000000000001,183.37,4.0,"[170, 669]"
4.000000000000003,245.03,4.0,"[65, 99, 669, 6504]"
11.999999999999998,29.73,2.0,"[5186, 3689, 1130, 3131, 686, 7027, 6772, 5428, 1303, 2776, 6293, 4184]"
20.999999999999996,712.83,5.0,"[395, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 5956, 837, 99, 1386, 623, 1538, 4723, 638]"
11.999999999999998,44.34,3.0,"[5191, 3073, 300, 6318, 750, 686, 6772, 1908, 5044, 1303, 2776, 5428]"
9.999999999999996,541.73,5.0,"[65, 99, 166, 669, 1608, 1323, 623, 4411, 4252, 638]"
1.0,9.95,0.9999999999999998,[3689]
7.000000000000005,421.54,5.0,"[65, 99, 1323, 623, 4252, 669, 638]"
14.0,633.51,5.0,"[65, 99, 166, 669, 4968, 170, 1323, 622, 175, 623, 4411, 349, 317, 638]"
6.000000000000004,406.13,5.0,"[65, 99, 623, 2722, 669, 638]"
7.000000000000005,362.26,4.0,"[2566, 166, 1323, 623, 4252, 669, 638]"
25.0,762.27,5.0,"[401, 3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 837, 99, 623, 4722, 4723, 374, 2810, 2940, 893, 638]"
1.0,5.76,0.0,[4184]
47.0,920.64,5.0,"[401, 3736, 4252, 669, 288, 6693, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 837, 2376, 3786, 1866, 7499, 1101, 1998, 6989, 80, 337, 1104, 3408, 4946, 3789, 6873, 2138, 3034, 736, 4833, 99, 867, 4204, 1774, 623, 372, 373, 504, 2172, 638, 255]"
3.0000000000000018,191.4,4.0,"[170, 18, 669]"
11.999999999999998,29.73,2.0,"[5186, 3689, 1130, 686, 7027, 6772, 5044, 5428, 1303, 2776, 6293, 3131]"
27.0,778.45,5.0,"[401, 3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 837, 2379, 99, 623, 4722, 4723, 374, 2940, 893, 638, 5404]"
37.0,848.8,5.0,"[401, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 837, 2379, 2138, 5175, 3034, 349, 4833, 99, 867, 3691, 4204, 3821, 877, 623, 1774, 3313, 4722, 4723, 4338, 372, 373, 2172, 638]"
39.0,882.32,5.0,"[401, 3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 837, 2379, 2138, 5200, 2906, 349, 4833, 99, 867, 3691, 4204, 3821, 877, 623, 1774, 4722, 4723, 4338, 372, 374, 373, 2172, 638]"
6.000000000000004,22.82,2.0,"[5186, 3689, 1130, 686, 5530, 3430]"
5.0000000000000036,356.71,5.0,"[65, 170, 623, 669, 47]"
18.000000000000004,701.35,5.0,"[4232, 401, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 5956, 99, 1386, 623, 4723, 638]"
19.999999999999993,707.16,5.0,"[3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 5956, 837, 99, 1386, 623, 4723, 638]"
16.0,670.94,5.0,"[65, 2114, 99, 5956, 166, 170, 1323, 1386, 175, 623, 401, 945, 4723, 317, 669, 638]"
5.0000000000000036,332.48,4.0,"[2722, 99, 623, 669, 638]"
1.0,15.72,2.0,[1740]
44.99999999999999,904.8,5.0,"[401, 3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 5186, 2114, 707, 5956, 837, 2379, 3789, 2765, 6747, 2138, 3034, 2906, 349, 4833, 99, 867, 3691, 4204, 3821, 877, 623, 1774, 4722, 4723, 4338, 372, 374, 373, 504, 2172, 638, 255]"
17.000000000000004,686.04,5.0,"[65, 2114, 99, 5956, 166, 669, 170, 1323, 1386, 175, 623, 401, 945, 4723, 317, 638, 107]"
7.999999999999995,405.92,4.0,"[288, 65, 2114, 99, 166, 170, 5967, 669]"
44.00000000000001,889.03,5.0,"[401, 3736, 4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 837, 3147, 2379, 3789, 2765, 6095, 2138, 3034, 2906, 349, 4833, 99, 867, 3691, 4204, 3821, 877, 623, 1774, 4722, 4723, 4338, 372, 374, 373, 504, 638, 255]"
3.0000000000000018,229.18,5.0,"[65, 669, 166]"
24.0,739.33,5.0,"[4252, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 837, 99, 623, 3184, 4722, 4723, 374, 2940, 893, 638, 1855]"
8.999999999999996,41.08,3.0,"[5479, 6318, 686, 3604, 6772, 1908, 5044, 2515, 1303]"
4.000000000000003,350.88,5.0,"[65, 170, 623, 669]"
11.999999999999998,558.19,5.0,"[99, 166, 669, 4968, 170, 1323, 622, 175, 623, 4411, 349, 638]"
15.000000000000002,644.84,5.0,"[65, 99, 166, 4968, 317, 170, 1323, 622, 175, 623, 4411, 349, 669, 638, 7553]"
22.999999999999996,729.34,5.0,"[3736, 4252, 669, 288, 166, 170, 1323, 945, 4411, 317, 65, 2114, 707, 837, 99, 623, 4722, 4723, 374, 2810, 2940, 893, 638]"
36.0,842.44,5.0,"[401, 669, 288, 166, 170, 1323, 175, 945, 4411, 317, 65, 2114, 707, 5956, 2379, 2138, 2906, 3034, 349, 4833, 99, 867, 3691, 4204, 3821, 877, 623, 1774, 4722, 4723, 4338, 372, 373, 2172, 638, 3986]"
3.0000000000000018,12.75,0.9999999999999998,"[6343, 641, 1076]"
29.000000000000004,814.32,5.0,"[401, 669, 288, 166, 170, 1323, 1195, 175, 945, 4411, 317, 65, 2114, 2756, 837, 3282, 5336, 2906, 2138, 3034, 349, 4833, 99, 867, 3821, 623, 877, 4722, 638]"
