n_nodes,influence,nodes
0.00013116474291710389,0.01,[669]
0.00039349422875131166,0.03,"[128, 669, 398]"
0.0005246589716684155,0.04,"[128, 170, 43, 669]"
0.001049317943336831,0.07,"[128, 65, 170, 43, 398, 1554, 669, 638]"
0.0018363064008394543,0.08,"[128, 65, 170, 555, 43, 398, 16, 2992, 1554, 148, 564, 1530, 669, 638]"
0.0006558237145855194,0.05,"[128, 257, 170, 398, 669]"
0.0009181532004197271,0.07,"[128, 65, 170, 398, 1554, 669, 638]"
0.002492130115424974,0.09,"[128, 398, 1554, 669, 2718, 170, 43, 555, 427, 5035, 1195, 65, 7368, 1510, 5736, 753, 4338, 1145, 638]"
0.0014428121720881427,0.08,"[128, 65, 170, 555, 43, 398, 16, 1554, 669, 638, 7486]"
0.00026232948583420777,0.02,"[128, 669]"
0.0036726128016789086,0.1,"[128, 257, 398, 145, 1554, 2450, 1428, 148, 1682, 4632, 669, 286, 3745, 2979, 170, 43, 555, 427, 65, 3652, 2885, 6475, 847, 4305, 2001, 5370, 638, 2270]"
0.006558237145855194,0.13,"[128, 257, 137, 398, 16, 1554, 148, 281, 4893, 669, 286, 170, 43, 427, 5035, 555, 564, 5559, 189, 1599, 65, 3652, 2885, 847, 2001, 5972, 2903, 6488, 4825, 2140, 3676, 7135, 2788, 4969, 1001, 619, 7533, 752, 753, 4338, 5875, 6000, 2292, 7539, 115, 1145, 1530, 1660, 4989, 638]"
0.0007869884575026233,0.06,"[128, 65, 170, 1554, 669, 638]"
0.003279118572927597,0.1,"[128, 257, 398, 145, 1554, 1428, 148, 281, 669, 4893, 286, 170, 43, 555, 427, 65, 3652, 2885, 6475, 847, 4305, 2001, 4075, 5370, 638]"
0.001180482686253935,0.07,"[128, 65, 170, 43, 398, 1554, 669, 638, 53]"
0.005771248688352571,0.12,"[128, 257, 398, 145, 1554, 2450, 1428, 148, 1682, 4632, 669, 286, 3745, 2979, 170, 43, 555, 427, 7231, 65, 3652, 2885, 6475, 847, 4305, 4969, 1001, 619, 2156, 7533, 3823, 753, 4338, 6643, 7539, 2165, 5364, 2292, 115, 1145, 1660, 4989, 638, 3136]"
0.006164742917103882,0.13,"[128, 257, 1924, 398, 145, 1554, 1428, 148, 281, 4893, 669, 286, 170, 43, 5291, 555, 298, 1330, 564, 5559, 189, 6463, 1599, 65, 7231, 3652, 2885, 847, 4969, 1001, 619, 2156, 7533, 3823, 753, 4338, 6643, 7539, 2165, 5364, 2292, 115, 1145, 1660, 4989, 638, 1755]"
0.0031479538300104933,0.1,"[128, 257, 398, 145, 1554, 1428, 148, 281, 669, 4893, 286, 5929, 170, 43, 555, 427, 65, 3652, 2885, 6475, 847, 1530, 638, 4301]"
0.00236096537250787,0.09,"[128, 65, 1510, 5736, 7368, 170, 43, 427, 7062, 398, 1195, 753, 1554, 4338, 1145, 669, 638, 286]"
0.003934942287513116,0.11,"[128, 257, 398, 145, 1554, 1428, 148, 669, 286, 3745, 2979, 170, 43, 555, 427, 564, 5559, 4152, 189, 1599, 65, 2885, 6475, 847, 4305, 2001, 2165, 1145, 6650, 638]"
0.005377754459601259,0.12,"[128, 257, 398, 145, 1554, 2450, 1428, 148, 1682, 4632, 669, 286, 3745, 2979, 170, 43, 555, 427, 564, 5559, 189, 6463, 1599, 65, 3652, 2885, 202, 6475, 847, 4305, 2001, 1434, 753, 4338, 6643, 2165, 1526, 1145, 2299, 4989, 638]"
0.007476390346274921,0.13,"[128, 257, 398, 145, 1554, 2450, 1428, 148, 1682, 4632, 669, 286, 2979, 170, 43, 555, 427, 7347, 564, 5559, 1466, 189, 6463, 1599, 65, 6210, 3652, 2885, 202, 6475, 847, 4305, 2001, 5972, 3164, 6488, 4825, 4571, 2140, 2788, 4453, 1510, 4838, 5736, 4969, 1001, 619, 2156, 752, 753, 6000, 7539, 2292, 115, 1145, 1660, 638]"
0.0026232948583420775,0.09,"[128, 257, 398, 1554, 669, 2718, 286, 170, 43, 427, 5035, 1195, 65, 7368, 1510, 5736, 753, 4338, 1145, 638]"
0.0027544596012591817,0.1,"[128, 398, 145, 1554, 669, 170, 43, 2992, 564, 65, 3669, 2139, 1510, 5736, 753, 4338, 1142, 1145, 1530, 123, 638]"
0.004459601259181532,0.12,"[128, 257, 398, 145, 1554, 1428, 148, 281, 669, 4893, 286, 170, 43, 5291, 555, 298, 1330, 564, 5559, 189, 6463, 1599, 65, 3652, 847, 4305, 2001, 3823, 4338, 6643, 2165, 1145, 6650, 638]"
0.002229800629590766,0.08,"[128, 65, 1510, 5736, 7368, 170, 43, 1195, 398, 753, 1554, 4338, 7062, 1145, 669, 638, 286]"
0.00708289611752361,0.13,"[128, 257, 398, 16, 145, 1554, 1428, 148, 281, 669, 4893, 286, 2341, 170, 43, 5291, 555, 427, 3370, 4525, 818, 307, 7347, 564, 1593, 189, 6463, 1599, 65, 7231, 3652, 3915, 1510, 4838, 5736, 4969, 1001, 619, 2156, 3823, 6000, 752, 753, 4338, 2292, 7539, 115, 2165, 4212, 1145, 1660, 4989, 638, 4095]"
