n_nodes,influence,obj,nodes
1.0,0.0,0.044127424774974444,[5116]
0.51,0.09,0.8812255734757949,"[3850, 6795, 1420, 4497, 3346, 7058, 6930, 537, 3994, 283, 2716, 4254, 414, 1440, 5665, 4132, 6438, 551, 6570, 5547, 428, 6959, 4400, 2225, 2097, 5425, 6961, 6838, 6711, 3384, 4921, 4412, 6464, 6849, 64, 6093, 5197, 3408, 6866, 3933, 2272, 3690, 2925, 3566, 6510, 6765, 2803, 2548, 6261, 5624]"
0.8,0.01,0.4819322739527778,"[3847, 4890, 667, 6563, 6568, 4533, 6077, 2880, 3650, 580, 6983, 6749, 5474, 3813, 4592, 3697, 628, 1397, 6902, 6648, 891]"
0.96,0.0,0.19686071247727444,"[5378, 4744, 5564, 3357, 5502]"
0.85,0.04,0.7684454650274938,"[1636, 5157, 4964, 5960, 649, 5867, 3531, 4977, 1841, 1267, 3315, 85, 1690, 535, 6394, 1855]"
0.75,0.05,0.8022866152588614,"[3333, 3085, 2851, 1788, 1451, 5164, 5805, 177, 6194, 5814, 4279, 2616, 5949, 4927, 2633, 2135, 5719, 5856, 4199, 6762, 497, 2290, 6516, 1786, 3964, 6399]"
0.81,0.06,0.8265873066585165,"[6019, 1288, 5386, 3987, 1817, 5789, 427, 6836, 5438, 3651, 710, 5072, 5845, 4823, 738, 3173, 2149, 4583, 2292, 5496]"
0.72,0.07,0.8130909154166216,"[5892, 5511, 652, 5012, 1812, 5019, 539, 677, 4525, 303, 2863, 1586, 4661, 3894, 6453, 5182, 1471, 4416, 2245, 4812, 1102, 2778, 2527, 5218, 6885, 1894, 2938, 1659, 6014]"
0.6,0.06,0.8293403207149075,"[1411, 3467, 3853, 4242, 2197, 6294, 23, 1304, 5525, 5271, 2214, 2727, 3113, 6954, 4649, 4655, 306, 2868, 6455, 6712, 5945, 6073, 6333, 2877, 5698, 4419, 3277, 1870, 2254, 4816, 2895, 3026, 6223, 3678, 5854, 992, 2914, 3813, 2923, 377, 6779]"
0.81,0.05,0.7877125616320076,"[1160, 2442, 5140, 6682, 6302, 3748, 6565, 682, 5807, 3134, 5193, 2761, 591, 5977, 1757, 2287, 7025, 4722, 4725, 5113]"
0.85,0.04,0.7932385141903345,"[161, 4100, 1349, 2729, 6313, 5545, 525, 5422, 1720, 1743, 4941, 2358, 5366, 5142, 2300, 5854]"
0.9,0.01,0.4376062743307201,"[4640, 3085, 6701, 2613, 1047, 1369, 3610, 6684, 669, 2073, 2719]"
0.92,0.0,0.25621253065337046,"[2880, 3650, 6563, 580, 6568, 4533, 4890, 667, 6077]"
