seed_set,spread,seed,communities,fairness,budget,time
"[4664, 4626, 3097, 2374, 915, 408]",0.13248938579111236,0.95,0.9194200781073308,0.5785160833084719,0.9346890466967936,0.0
"[7043, 6848, 6539, 6411, 6210, 6072, 5941, 5434, 5041, 4626, 3097, 2594, 2374, 2360, 1861, 1857, 1846, 1058, 1052, 959, 915, 540, 408, 196, 35, 32]",0.1517195018397962,0.75,0.9363942437192172,0.9984132429034539,0.8623484685460153,0.0
"[4626, 2374, 408]",0.12641805830738748,0.98,0.9110574517844413,0.3461956225050822,0.9415034789469909,0.0
[2374],0.09232804981602037,1.0,0.8488035385050672,0.1674453888423022,0.9722760203715659,0.0
"[7043, 6848, 6464, 6411, 6210, 6018, 4626, 3515, 3097, 2374, 1861, 1860, 1853, 1052, 915, 540, 408, 99, 32, 31]",0.15031842626662895,0.81,0.938489153231808,0.9127097315911079,0.8813571479807761,0.0
"[7043, 6848, 6833, 6210, 6072, 6018, 5797, 5434, 4626, 3097, 2594, 2374, 2111, 1978, 1861, 1853, 1082, 1052, 959, 958, 915, 824, 540, 408, 196, 32]",0.15772148315878856,0.75,0.9433733581996366,0.9427200175729383,0.8494727781364321,0.0
"[2374, 2]",0.10409708463062553,0.99,0.8582774458163862,0.37297657981703236,0.9530162829065347,0.0
"[4717, 4626, 2550, 2374, 1620, 915, 408]",0.13821964336258138,0.94,0.9206331444424758,0.8721955004835701,0.9177605623699878,0.0
"[6848, 6675, 6480, 6210, 6072, 5970, 5969, 5434, 5316, 4626, 4283, 3673, 3515, 3285, 3097, 3088, 2902, 2883, 2757, 2594, 2384, 2380, 2374, 2360, 2123, 2111, 1861, 1853, 1807, 1617, 1350, 1223, 1058, 1052, 915, 844, 843, 540, 408, 204, 196, 194, 35]",0.15771582224738184,0.58,0.9407945226896218,0.9942612423871803,0.8254429380962628,0.0
"[7043, 6848, 6464, 6084, 6072, 6018, 5941, 4626, 3097, 2883, 2374, 2360, 1987, 1973, 1867, 1857, 1846, 1539, 1350, 1052, 959, 915, 824, 540, 408, 196, 194, 32, 21]",0.15350834984432493,0.72,0.938430670256254,0.9689748271697142,0.8363101642636827,0.0
"[7043, 6411, 6018, 4626, 4558, 4232, 4105, 2374, 1853, 1643, 1169, 1052, 915, 540, 408]",0.14673082366260967,0.86,0.9341878113022309,0.8870847718105637,0.8831862850584606,0.0
"[6848, 6833, 6464, 6084, 5797, 4693, 4626, 3275, 3097, 2883, 2594, 2374, 1987, 1978, 1867, 1857, 1853, 1350, 1082, 1052, 959, 958, 915, 824, 726, 540, 408, 196, 194]",0.1575559015001415,0.72,0.9403475874008006,0.9544599732134162,0.8257657269923249,0.0
"[6848, 6833, 6464, 6084, 4693, 4626, 3275, 3097, 2883, 2594, 2374, 1987, 1978, 1867, 1857, 1853, 1350, 1082, 1052, 959, 958, 915, 824, 726, 540, 408, 196, 194]",0.1580484007925276,0.73,0.9396349693079465,0.9282566950195101,0.8258015924252206,0.0
"[7043, 6464, 6411, 6084, 6072, 5941, 5690, 4626, 4292, 3097, 2883, 2374, 2360, 1987, 1973, 1867, 1857, 1846, 1350, 1052, 959, 915, 824, 540, 408, 196, 194, 32, 31, 2]",0.15675063685253324,0.71,0.9396253366363374,0.9920574497692792,0.8128900365827416,0.0
"[6848, 6464, 6084, 6072, 5434, 5052, 4641, 4626, 4295, 3097, 2883, 2757, 2594, 2374, 2360, 1987, 1973, 1867, 1861, 1857, 1846, 1350, 1223, 1058, 1052, 959, 958, 915, 824, 540, 408, 196, 194]",0.1578332861590716,0.68,0.9402643003795825,0.9738081218459093,0.8199913922961051,0.0
"[6848, 6464, 6084, 6072, 5941, 5052, 4626, 4295, 3097, 2883, 2374, 2360, 2349, 1987, 1928, 1857, 1846, 1350, 1058, 1052, 958, 915, 824, 540, 408, 196, 194, 32]",0.15444947636569487,0.73,0.9360528114150567,0.9658421553681437,0.8383903593716376,0.0
"[6848, 6833, 6464, 6084, 4626, 3097, 2883, 2496, 2374, 1987, 1978, 1857, 1853, 1082, 1052, 959, 958, 915, 824, 540, 408, 196, 194]",0.1569162185111803,0.78,0.9393965844150259,0.8730108866600846,0.843590847141525,0.0
"[6311, 6072, 5434, 5052, 4641, 4626, 4004, 2594, 2374, 2360, 1973, 1846, 1052, 915, 408, 99, 32, 31]",0.14797905462779506,0.83,0.9346724252266092,0.9755799214134758,0.8771967577648663,0.0
"[4626, 4105, 2700, 2374, 1853, 1643, 1169, 1052, 915, 408, 35, 2]",0.14680441551089723,0.89,0.9368458100807713,0.7930527315228569,0.8645003945197618,0.0
"[6848, 6833, 6464, 5797, 2883, 2594, 2374, 1857, 1853, 1350, 1223, 1052, 959, 958, 915, 824, 540, 408, 196, 194, 32]",0.1569247098782904,0.8,0.9399439619819188,0.8145369159316855,0.8324725629438348,0.0
"[4626, 2700, 2374, 1853, 1643, 1169, 1052, 915, 408, 2]",0.14758845174073024,0.91,0.936115079533864,0.5826183711322703,0.8666881859264042,0.0
"[6848, 6833, 6464, 6084, 5797, 3097, 2883, 2594, 2374, 1857, 1082, 1052, 1029, 959, 958, 824, 540, 408, 196, 194, 32]",0.1494565525049533,0.8,0.9330105879980972,0.9175758560788052,0.8557492288931927,0.0
"[7043, 6311, 6072, 5434, 5052, 4626, 4004, 2374, 1973, 1846, 1639, 1052, 915, 408, 31, 2]",0.14817718652703085,0.85,0.934638087151125,0.9425009943912741,0.861774621619683,0.0
"[4626, 4105, 2700, 2374, 1853, 1643, 1052, 915, 408, 2]",0.14678177186527033,0.91,0.9354291247651098,0.8124999383592036,0.8670468402553619,0.0
"[6848, 6833, 6464, 6084, 4626, 2883, 2700, 2374, 1857, 1643, 1169, 1082, 1052, 959, 958, 915, 824, 408, 196, 194, 52, 2]",0.15613784319275403,0.79,0.9386004130593607,0.8946480719771095,0.8216053367764149,0.0
"[7043, 6848, 6411, 6210, 5434, 5316, 4626, 4283, 3874, 3672, 3515, 3097, 2883, 2757, 2374, 2111, 1857, 1853, 1350, 1223, 1052, 959, 958, 915, 540, 408, 196, 194, 31]",0.16037220492499293,0.72,0.9422299039469622,0.9120492996223523,0.8231116849580374,0.0
"[6833, 6464, 6084, 5203, 3097, 2672, 2594, 2374, 1978, 1857, 1853, 1496, 1082, 1052, 959, 958, 915, 540, 408, 196, 194]",0.15515284460798187,0.8,0.9382022462205913,0.8860711804302485,0.847894699089018,0.0
"[7065, 6848, 6833, 6464, 5797, 3097, 2883, 2374, 1857, 1853, 1223, 1052, 959, 958, 915, 824, 540, 408, 196, 194, 32, 2]",0.15627370506651572,0.79,0.9400987792044609,0.8684349599992267,0.8275589986371136,0.0
"[6848, 6464, 6084, 6072, 5941, 5434, 5052, 4626, 3672, 3097, 2883, 2374, 2360, 2349, 1928, 1857, 1846, 1350, 1052, 958, 915, 824, 540, 408, 196, 194, 32]",0.1534489102745542,0.74,0.9370521923834234,0.9661465045084556,0.8422638261243813,0.0
"[7043, 6848, 6311, 6210, 6084, 5316, 5052, 4641, 4626, 4283, 4246, 4017, 2594, 2374, 1861, 1857, 1853, 1346, 1058, 1052, 959, 958, 915, 877, 433, 408, 196, 194, 32, 31]",0.16152703085196715,0.71,0.9434197888126301,0.8962480299275308,0.805322430241733,0.0
"[6066, 4911, 4626, 4381, 3097, 2883, 2594, 2374, 2285, 1973, 1681, 1459, 1350, 1223, 1052, 939, 915, 787, 428, 408, 31]",0.14922728559298049,0.8,0.934836419821655,0.97816228761624,0.8477153719245392,0.0
"[7043, 6464, 6084, 5203, 4626, 3926, 2374, 1857, 1853, 1082, 1052, 959, 958, 915, 540, 408, 196, 194, 32, 31]",0.15811633172940842,0.81,0.9396442518932926,0.8115906281541734,0.8377447815795136,0.0
"[6411, 4626, 4558, 2700, 2374, 1853, 1643, 1169, 1052, 915, 408, 2]",0.14790970846306256,0.89,0.9389441358346087,0.7867067860830126,0.8665088587619253,0.0
"[6848, 6464, 6084, 6072, 5941, 5434, 5052, 3097, 2374, 2360, 2349, 1857, 1052, 958, 915, 824, 540, 408, 196, 194, 32, 2]",0.1531474667421455,0.79,0.9351961558271489,0.9900479191806204,0.847571910192956,0.0
"[7043, 6464, 6084, 6018, 5203, 4626, 3926, 2374, 1857, 1853, 1082, 1052, 959, 958, 915, 408, 196, 194, 32, 31]",0.1587616756297764,0.81,0.9395824670493382,0.7693141383341429,0.8398608421203644,0.0
"[7043, 4626, 2374, 1803, 1052, 915, 408]",0.1393857911123691,0.94,0.9242802335164109,0.8228214407071519,0.9078975683236497,0.0
"[4105, 2374, 1643, 1356, 1169, 1052, 915, 408, 2]",0.1425389187659213,0.92,0.9252455227663623,0.9755799214134758,0.8771967577648663,0.0
"[7043, 6848, 6344, 6311, 6210, 5542, 5434, 5316, 5215, 4556, 4295, 4283, 4004, 3874, 3827, 3515, 3097, 2757, 2384, 2374, 2111, 1861, 1853, 1223, 1052, 959, 958, 408, 196, 194, 32, 31, 2]",0.1603835267478064,0.68,0.9434348955570054,0.9497460450540552,0.8126748439853669,0.0
"[7043, 6848, 6614, 6344, 6311, 6210, 6084, 5434, 5316, 5079, 4641, 4626, 4606, 4565, 4563, 4556, 4424, 4295, 4283, 4246, 4221, 4051, 4017, 2757, 2594, 2550, 2384, 2374, 1861, 1857, 1853, 1493, 1346, 1228, 1223, 1058, 1052, 959, 958, 915, 465, 433, 408, 196, 194, 32, 31]",0.16706198697990376,0.54,0.9454237980978107,0.9775523765432415,0.7805035506778567,0.0
