seed_set,spread,seed,communities,fairness,budget,time
"[6320, 5679, 5159, 4768, 2820, 2738, 2726, 1792, 555, 549, 517, 26]",0.08233371072742711,0.89,0.8614512917842121,0.5574214495882904,0.9712000573846926,0.19999999999999996
[3833],0.0040008491367110105,1.0,0.11470693776552665,0.1674453888423022,0.9998565382684169,1.0
"[6942, 6460, 6228, 6156, 5303, 4592, 4197, 4116, 4108, 4100, 3830, 3736, 3517, 2863, 1179, 912, 850]",0.02625955278799887,0.84,0.6570570633930717,0.7604946643508144,0.9922530664945126,0.4
[2374],0.09399377299745258,1.0,0.8514477914835649,0.1674453888423022,0.9722760203715659,0.0
[3712],0.08570336824228701,1.0,0.8289052737273461,0.1674453888423022,0.977835162470411,0.0
"[6193, 6068, 5888, 5684, 4580, 4246, 3737, 3397, 2396]",0.023713557882819133,0.92,0.5643473992339533,0.6881156147057226,0.9967362456064844,0.4
"[6460, 6228, 6156, 5303, 4592, 4116, 4108, 4100, 3830, 3736, 3517, 2863, 1179, 912, 850]",0.025410416076988396,0.86,0.635286807201493,0.7258643459055252,0.9926475862563661,0.4
[1551],0.013206906311916218,1.0,0.4007743122792604,0.1674453888423022,0.9967721110393802,0.6
[912],0.010757146900651006,1.0,0.2778247844429349,0.1674453888423022,0.9994620185065634,0.8
"[3712, 2374, 2013]",0.1303042739881121,0.98,0.8898458789263969,0.35876838730512617,0.9238576859622696,0.0
"[4331, 2168]",0.004324936314746674,0.99,0.06709967946324336,0.1674453888423022,0.999533749372355,1.0
"[4580, 4224, 4176, 3606, 1370, 1038]",0.023066798754599493,0.95,0.5921055842549566,0.48829796905517686,0.9926117208234704,0.4
"[2374, 2013]",0.12103028587602604,0.99,0.8872787039254318,0.1674453888423022,0.9460225234918586,0.0
"[4516, 1551]",0.01681007642230399,0.99,0.4466385492815017,0.1674453888423022,0.9967362456064844,0.6
"[3712, 2564, 2374, 2013, 58]",0.14002264364562694,0.96,0.9029192467417343,0.5645760604157097,0.9036654472419482,0.0
"[3712, 1184]",0.08129493348429097,0.99,0.8159125212732148,0.1674453888423022,0.976723334050642,0.19999999999999996
"[3712, 2763, 2564, 2413, 2374, 2013, 1687, 1634, 1598, 698, 538, 517, 341, 60, 58]",0.15584489102745544,0.86,0.931341570071912,0.6845216735022974,0.8416899791980489,0.0
"[4331, 3238, 2168]",0.006981318992357769,0.98,0.1471399730184746,0.3466485673677754,0.9994261530736676,1.0
"[5310, 4451, 3712, 2883, 2763, 2564, 2413, 2374, 2013, 1687, 1598, 698, 538, 517, 341, 194, 60, 58]",0.15762666289272573,0.83,0.9329417185305714,0.7115922403707847,0.8298185209095474,0.0
"[3712, 2413, 2374, 2116, 2013, 1687, 625, 196, 194, 58]",0.1498400792527597,0.91,0.9233285316136383,0.4920291739014947,0.8702029983501901,0.0
"[3712, 2374, 2013, 58]",0.13467449759411265,0.97,0.8975552467855057,0.5428566895593427,0.9143174808119934,0.0
"[7029, 3596, 912]",0.010268893291819983,0.98,0.3192518884594895,0.3681252444364408,0.9990316333118141,0.8
[3290],0.02007217662043589,1.0,0.5380134600113569,0.1674453888423022,0.9982067283552113,0.4
"[6702, 5358, 3833, 3555]",0.02275544862722898,0.97,0.6314547512183,0.5430123705757679,0.9970948999354422,0.4
"[7003, 6471, 5178, 5174, 5084, 5072, 5049, 5037, 4919, 4606, 4023, 3712, 3635, 3336, 3255, 2907, 2637, 2564, 2374, 2373, 2013, 1998, 1984, 1855, 1853, 1687, 1598, 1584, 946, 941, 861, 701, 698, 538, 517, 469, 436, 430, 223, 196, 194, 179, 60, 58, 42, 31]",0.16874469289555616,0.55,0.9425167283213463,0.8370181396353141,0.7545369772613155,0.0
"[4126, 1551]",0.021556750636852532,0.99,0.5539830169789373,0.1674453888423022,0.9956602826196113,0.4
"[6942, 6460, 6228, 6156, 5756, 5303, 4592, 4197, 4116, 4108, 3830, 3736, 3517, 2863, 2168, 1179, 912, 850]",0.02657939428247948,0.83,0.6444499088942457,0.7975792645171627,0.9917868158668676,0.4
"[3712, 2374, 2013, 517, 194, 58]",0.14323804132465326,0.95,0.9109980540650577,0.8574983813199683,0.883293881357148,0.0
"[6380, 6331, 5402, 5178, 5084, 5072, 4919, 3712, 3635, 3474, 3255, 3129, 2907, 2805, 2564, 2374, 2013, 1977, 1855, 1853, 1740, 1728, 1706, 1687, 1598, 861, 818, 698, 538, 517, 469, 196, 194, 60, 58, 42, 31]",0.16754174922162468,0.64,0.9466871121644149,0.8584465079565851,0.773294598665806,0.0
"[4451, 3712, 2564, 2374, 2013, 1687, 1598, 698, 538, 517, 341, 194, 60]",0.1528063968298896,0.88,0.9250110456969247,0.7721714103716117,0.8436625780073166,0.0
"[5490, 4451, 3712, 2883, 2564, 2413, 2374, 2013, 1687, 1598, 698, 538, 517, 341, 194, 60, 58]",0.15691338805547694,0.84,0.932092606920684,0.7251340727299331,0.8298543863424431,0.0
"[5178, 5084, 5072, 4919, 3712, 3635, 3610, 3402, 3129, 2883, 2876, 2805, 2564, 2374, 2013, 1853, 1728, 1687, 1598, 1584, 818, 698, 538, 517, 469, 196, 194, 60, 58, 42, 31]",0.16505094820266064,0.7,0.9429528633951274,0.7780237754196002,0.7890395237070511,0.0
"[6331, 5402, 4451, 3712, 2763, 2564, 2413, 2374, 2013, 1936, 1687, 1634, 1598, 538, 517, 341, 196, 194, 60, 58, 31]",0.15960232097367677,0.8,0.9351516242672263,0.7010066684580888,0.8112043612366402,0.0
"[7003, 6471, 6331, 5231, 5178, 5174, 5084, 5072, 5049, 5037, 4919, 4599, 4126, 4023, 3712, 3255, 3129, 2909, 2907, 2564, 2531, 2374, 2373, 2109, 2013, 1998, 1887, 1855, 1853, 1687, 1598, 1584, 1500, 946, 941, 861, 818, 698, 538, 517, 469, 436, 430, 223, 196, 194, 179, 60, 58, 42, 31]",0.17002547410133032,0.5,0.944444714753946,0.8697325254183438,0.750627645075676,0.0
"[6331, 5178, 5084, 5072, 3712, 3635, 3255, 3129, 2907, 2805, 2564, 2374, 2013, 1984, 1977, 1855, 1853, 1740, 1728, 1706, 1687, 1598, 1584, 1239, 861, 818, 698, 538, 517, 469, 196, 194, 60, 58, 42, 31]",0.16713557882819133,0.65,0.9446189358068174,0.7988914627942421,0.7740477727566172,0.0
"[6331, 4451, 3712, 2883, 2763, 2564, 2413, 2374, 2013, 1853, 1687, 1598, 698, 625, 517, 341, 196, 60, 58]",0.15900792527596944,0.82,0.9374678344931712,0.6824036300258347,0.8264113047844488,0.0
"[3712, 3680, 2413, 2374, 2116, 2013, 1687, 625, 196, 194, 58]",0.15076846872346447,0.9,0.9241044048157616,0.477462554977635,0.8701671329172943,0.0
"[6296, 6015, 4451, 3882, 3712, 2838, 2564, 2413, 2374, 2013, 1977, 1687, 1598, 538, 517, 341, 196, 194, 58, 31]",0.1595372204924993,0.81,0.9369642059029737,0.6501546653888999,0.8232192812567247,0.0
"[7003, 6471, 5231, 5178, 5174, 5084, 5072, 5049, 5037, 4919, 4599, 4023, 3712, 3635, 3255, 3129, 2909, 2907, 2564, 2531, 2374, 2373, 2109, 2013, 1998, 1891, 1887, 1855, 1853, 1687, 1598, 1584, 1500, 946, 941, 861, 818, 698, 538, 517, 469, 463, 436, 430, 223, 196, 194, 179, 60, 58, 42, 31]",0.1700721766204359,0.49,0.9441393046733593,0.8463839738600003,0.7489419697295747,0.0
"[5084, 5072, 4919, 3712, 3635, 3610, 3402, 3129, 2883, 2876, 2564, 2374, 2013, 1853, 1728, 1687, 1598, 1584, 818, 698, 538, 517, 469, 196, 194, 60, 58, 42, 31]",0.16487545994905178,0.72,0.9424155364898795,0.7225651393018959,0.7903665447241948,0.0
"[6471, 6464, 6331, 6296, 6044, 5178, 5174, 5084, 5072, 4919, 4599, 4023, 3712, 3635, 3610, 3255, 3129, 2907, 2564, 2531, 2374, 2373, 2109, 2013, 1998, 1984, 1891, 1887, 1855, 1853, 1687, 1598, 1584, 1404, 946, 861, 818, 698, 538, 517, 469, 436, 223, 196, 194, 179, 60, 58, 42, 31]",0.1697863005943957,0.51,0.9430627449775375,0.8149533189449799,0.7515242808980704,0.0
"[5490, 3712, 2564, 2413, 2374, 2013, 698, 538, 517, 341, 196, 194, 60, 58]",0.15380130200962355,0.87,0.9270485408703089,0.7249452506754327,0.8354135284412882,0.0
"[6331, 5731, 5402, 4451, 3712, 2763, 2564, 2413, 2374, 2013, 1687, 1634, 1598, 991, 538, 517, 341, 196, 194, 60, 58, 31]",0.16094254174922162,0.79,0.9373188369075289,0.6699619305982076,0.8037084857614232,0.0
"[6499, 5178, 5084, 5072, 5037, 3712, 3635, 3255, 3129, 2907, 2883, 2876, 2760, 2564, 2374, 2013, 1977, 1855, 1853, 1728, 1687, 1598, 1584, 1329, 946, 941, 861, 818, 698, 538, 517, 469, 436, 430, 196, 194, 60, 58, 42, 31]",0.167728559298047,0.61,0.9430618674804708,0.7951272850442445,0.760060253927265,0.0
"[3712, 2564, 2374, 2013, 1697, 1687, 517, 58]",0.14879281064251343,0.93,0.9252167704550052,0.7767552610686737,0.8694498242593788,0.0
