seed_set,spread,seed,communities,fairness,budget,time
"[6714, 6695, 6205, 5789, 5679, 5670, 5286, 5280, 5274, 4777, 4650, 4251, 4101, 3766, 3738, 3496, 2819, 2573, 2201, 2114, 1787, 1719, 1706, 1542, 546]",631.47,25.0,0.11818569265642809,0.15067125453910657,936.000000000001,0.9999999999999998
"[5136, 2925, 2840, 2825, 2072, 2055, 1806, 883, 202, 13]",533.77,9.999999999999996,0.16448912264579096,0.21412466633771488,673.9999999999994,0.9999999999999998
[4101],72.05,1.0,0.7997647535137331,0.8325546111576978,8.999999999999712,4.0
"[4101, 3614, 2819, 837]",116.20000000000002,4.000000000000003,0.554116879637473,0.6294502343767944,96.00000000000105,3.0
"[4101, 3690, 2485, 523]",103.21,4.000000000000003,0.7251673818944769,0.675321798192358,60.99999999999977,4.0
[13],183.97,1.0,0.3210334639196485,0.8325546111576978,110.99999999999851,0.9999999999999998
"[430, 13]",464.65,2.000000000000001,0.15087952742527877,0.8325546111576978,431.000000000001,0.9999999999999998
[523],33.23,1.0,0.8539045081232708,0.8325546111576978,48.000000000000526,5.0
"[4179, 523]",31.11,2.000000000000001,0.8749358772303178,0.6294502343767944,50.9999999999994,5.0
"[4369, 2840, 1687, 1020, 13]",522.58,5.0000000000000036,0.1256505953015924,0.4347368309004198,540.0000000000013,0.9999999999999998
"[4179, 523, 254]",31.899999999999995,3.0000000000000018,0.8651390834389373,0.6319913933667296,79.99999999999984,5.0
"[7049, 4369, 4101, 3677, 3090, 2819, 2750, 170]",191.59,7.999999999999995,0.3828375041626205,0.4753692502075999,88.99999999999956,2.0
"[5939, 2819, 2583, 837, 13]",187.98,5.0000000000000036,0.35281549182692173,0.45259484201176026,176.0000000000009,2.0
"[5668, 4273, 4141, 4101, 3757, 3636, 3090, 2819, 2095, 1687, 19]",554.4,10.999999999999998,0.12626796161692477,0.21589871474388,506.0000000000007,0.9999999999999998
"[2485, 13]",172.82,2.000000000000001,0.3628225891424197,0.6294502343767944,114.00000000000048,2.0
"[784, 523]",107.89,2.000000000000001,0.5637114973419588,0.6294502343767944,224.00000000000145,3.0
"[4141, 4101, 3757, 3738, 3727, 2819, 2118, 2095]",118.56,7.999999999999995,0.5440079911329999,0.47798335204980424,69.99999999999949,3.0
"[4101, 3150, 546]",472.45,3.0000000000000018,0.1546716517918798,0.6319913933667296,437.99999999999943,0.9999999999999998
[2605],74.64,1.0,0.6101172191498163,0.8325546111576978,29.000000000000448,3.0
