n_nodes,influence,nodes
0.0001415227851684121,0.09,[2374]
0.0002830455703368242,0.12,"[408, 2374]"
0.00042456835550523637,0.13,"[408, 699, 2374]"
0.0021228417775261818,0.16,"[4225, 194, 4356, 2374, 2183, 3366, 2344, 1457, 1721, 408, 2489, 699, 1853, 959, 31]"
0.001273705066515709,0.15,"[4225, 4356, 2374, 2183, 1677, 408, 1853, 286, 959]"
0.0015567506368525334,0.15,"[4225, 4356, 2374, 2183, 31, 3387, 408, 699, 2972, 1853, 959]"
0.005943956977073309,0.17,"[4225, 4356, 2183, 3091, 408, 31, 546, 3366, 1706, 1457, 5177, 1721, 2489, 4410, 1853, 699, 1215, 1981, 571, 959, 194, 193, 3395, 2374, 5319, 6469, 6470, 5191, 2389, 2261, 6742, 1366, 3428, 5989, 6759, 4712, 105, 3946, 3822, 5617, 1272, 255]"
0.0031135012737050667,0.16,"[4225, 4356, 2183, 408, 31, 546, 1706, 1457, 1973, 2489, 1721, 699, 5177, 3387, 1853, 6125, 959, 194, 2374, 5319, 6470, 6871]"
0.006368525332578545,0.17,"[4225, 4356, 2183, 4233, 408, 31, 546, 3366, 1706, 1457, 2489, 1721, 3387, 699, 1981, 4414, 571, 1853, 959, 194, 193, 3395, 6469, 2374, 5319, 6470, 5191, 2389, 2261, 6742, 1366, 3929, 6358, 3428, 5989, 6759, 6119, 4712, 105, 3946, 3822, 5617, 1272, 255, 5293]"
0.0018397962071893576,0.16,"[4225, 1477, 2374, 43, 2489, 1853, 1457, 408, 1721, 699, 31, 286, 959]"
0.00735918482875743,0.17,"[4225, 4356, 2183, 3091, 408, 31, 546, 3366, 1706, 1457, 2489, 1721, 5177, 4410, 1981, 699, 1215, 1853, 571, 959, 194, 193, 3395, 2374, 5319, 6469, 6470, 5191, 2389, 2261, 6742, 1366, 6359, 3925, 982, 1376, 480, 5475, 3428, 5989, 6759, 4712, 105, 2279, 6123, 110, 1933, 5617, 5875, 1272, 3326, 5503]"
0.001415227851684121,0.15,"[4225, 4356, 2374, 2183, 4434, 408, 959, 699, 1853, 31]"
0.0011321822813472968,0.15,"[4225, 4356, 2374, 1855, 408, 959, 1853, 31]"
0.002547410133031418,0.16,"[4225, 4356, 2183, 408, 31, 546, 3366, 2344, 1457, 2489, 699, 1981, 1853, 959, 194, 2374, 5964, 472]"
0.0007076139258420605,0.14,"[2374, 408, 6937, 699, 959]"
0.0019813189923577695,0.16,"[4225, 194, 4356, 2374, 2183, 3366, 2344, 2489, 1457, 408, 699, 31, 1853, 959]"
0.005519388621568072,0.17,"[4225, 4356, 408, 31, 546, 1706, 1457, 2993, 1973, 2489, 1721, 699, 5177, 3387, 1853, 4543, 959, 193, 194, 3395, 6469, 2374, 5319, 3369, 5191, 2389, 2261, 6742, 1366, 3428, 5989, 6759, 4712, 105, 3946, 3822, 5617, 1272, 255]"
0.0005660911406736484,0.14,"[2374, 408, 699, 31]"
0.003679592414378715,0.16,"[4225, 4356, 2183, 408, 31, 546, 1706, 1457, 1973, 2489, 1721, 5177, 3387, 1853, 699, 959, 4414, 193, 194, 3395, 3781, 2374, 5319, 3528, 5191, 1095]"
0.0022643645626945937,0.16,"[4225, 194, 4356, 2374, 2183, 3366, 2344, 2489, 1457, 408, 1721, 699, 31, 1853, 959, 2946]"
0.003396546844041891,0.16,"[4225, 4356, 2183, 408, 31, 546, 3366, 1706, 6571, 1457, 1721, 2489, 699, 1853, 959, 194, 3395, 2374, 5319, 3528, 3910, 6863, 3574, 1272]"
0.004104160769883952,0.17,"[4225, 4356, 1548, 408, 31, 546, 1706, 1457, 2993, 1973, 2489, 1721, 3387, 5177, 699, 4414, 4543, 1853, 959, 194, 3395, 6469, 2374, 5319, 5191, 2389, 2261, 6742, 5826]"
0.002405887347863006,0.16,"[4225, 194, 2946, 4356, 2374, 2183, 3366, 2344, 1457, 1721, 408, 2489, 699, 1853, 959, 31, 6289]"
0.003821115199547127,0.16,"[4225, 4356, 2183, 4233, 408, 31, 546, 3366, 1706, 5293, 1457, 2489, 1721, 699, 1853, 959, 194, 3395, 6469, 2374, 5319, 6470, 5191, 2389, 2261, 6742, 4465]"
0.0016982734220209455,0.16,"[4225, 4356, 2374, 2183, 2344, 1457, 408, 2489, 699, 31, 1853, 959]"
0.0009906594961788847,0.15,"[4225, 4356, 2374, 2183, 408, 286, 959]"
0.0029719784885366544,0.16,"[4225, 4356, 408, 31, 546, 1706, 1457, 2993, 1973, 2489, 1721, 699, 5177, 3387, 1853, 4543, 959, 194, 2374, 6470, 5487]"
