seed_set,spread,seed,communities,fairness,budget,time
[408],0.09172516275120295,1.0,0.8780371889738806,0.1674453888423022,0.9733519833584391,0.0
"[3712, 408]",0.11721200113218229,0.99,0.901059427644501,0.37054976562320563,0.9511871458288501,0.0
"[3712, 1687, 408]",0.12802717237475233,0.98,0.9145431380399519,0.3680086066332704,0.9392080912416613,0.0
"[3712, 3404, 2013, 1853, 1687, 408, 286]",0.14853382394565526,0.94,0.9307928606866909,0.5424624985850179,0.8749372354924324,0.0
"[3712, 3612, 2013, 1853, 1806, 1687, 1163, 543, 408, 286]",0.15269317860175488,0.91,0.9352979675628926,0.5197169959993435,0.8487554694785167,0.0
"[3712, 3612, 2013, 1853, 1806, 1687, 1163, 736, 543, 408, 286]",0.152943673931503,0.9,0.9339590421634583,0.5085986982357109,0.8445950792626067,0.0
"[3712, 2013, 1806, 1687, 408]",0.1412397395980753,0.96,0.9226473547316933,0.5654637958647994,0.9021590990603257,0.0
"[5826, 5722, 5666, 4708, 3934, 3712, 2979, 2730, 2665, 2581, 2013, 1853, 1806, 1719, 1687, 1643, 1163, 543, 430, 408, 220, 144, 32]",0.16355080667987548,0.78,0.9399519921051167,0.7334601609153764,0.795602897926978,0.0
"[6963, 5826, 5722, 5666, 4640, 3934, 3712, 3619, 2979, 2665, 2072, 2013, 1853, 1806, 1719, 1687, 1643, 1163, 543, 430, 408, 386, 286, 220, 64, 32]",0.16391027455420323,0.75,0.941728346729931,0.7998823121162824,0.7660856466537551,0.0
"[5826, 5150, 3712, 2072, 2013, 1853, 1806, 1687, 1163, 508, 408, 286]",0.15308944240022643,0.89,0.9353998536041601,0.8602079970271004,0.837529588982139,0.0
"[6926, 6616, 6375, 6116, 5973, 5859, 5856, 5722, 5666, 5217, 5016, 4705, 4680, 4056, 3936, 3934, 3895, 3712, 3649, 3304, 3168, 2979, 2730, 2665, 2640, 2581, 2326, 2013, 1996, 1875, 1853, 1827, 1806, 1742, 1719, 1687, 1643, 1367, 1359, 1208, 1163, 922, 743, 543, 469, 446, 408, 335, 286, 220, 144, 32]",0.17108547976224173,0.49,0.9447647674674756,0.8432640202001996,0.7349544509002224,0.0
"[6875, 6285, 5150, 3712, 2013, 1853, 1806, 1687, 1163, 543, 408, 286, 144]",0.15457118596093972,0.88,0.938189709112028,0.8367400747242176,0.8443798866652321,0.0
"[6926, 6875, 5826, 5821, 5722, 3934, 3712, 2979, 2730, 2665, 2072, 2013, 1853, 1719, 1687, 1643, 1163, 430, 408, 220, 144]",0.16181856778941411,0.8,0.9395572381888408,0.8333896429762638,0.8158310020801951,0.0
"[6616, 6426, 6375, 6129, 6116, 5999, 5973, 5859, 5856, 5666, 5609, 5217, 5094, 5016, 4919, 4845, 4680, 4581, 4554, 4009, 3936, 3934, 3712, 3640, 3538, 3404, 3304, 3168, 2979, 2894, 2730, 2665, 2640, 2581, 2156, 2013, 1996, 1875, 1853, 1742, 1719, 1687, 1643, 1478, 1367, 1359, 1208, 922, 743, 739, 575, 543, 469, 446, 430, 408, 335, 286, 220, 144, 32]",0.17263090857628077,0.4,0.9468338460566595,0.8783891435248038,0.7317265619396026,0.0
"[5826, 5666, 3934, 3712, 2979, 2730, 2581, 2013, 1853, 1806, 1719, 1687, 1643, 1163, 543, 430, 408, 220, 144, 32]",0.16120435890178317,0.81,0.940823196896001,0.5252465016869869,0.8104511871458289,0.0
