n_nodes,influence,nodes
1,614.52,[408]
6,1010.21,"[483, 2564, 915, 408, 2013, 350]"
2,854.41,"[408, 2013]"
10,1074.5,"[350, 2564, 1677, 915, 408, 666, 31, 2013, 958, 286, 6760]"
8,1057.61,"[1677, 915, 958, 408, 666, 286, 2013, 350, 31]"
5,985.29,"[483, 2564, 915, 408, 2013]"
3,899.67,"[408, 2564, 2013]"
45,1234.47,"[2564, 3081, 1677, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 4654, 2735, 2480, 2993, 4529, 4016, 5683, 2234, 958, 4032, 961, 963, 3395, 5317, 4934, 2374, 1864, 6088, 720, 5210, 91, 2013, 350, 6877, 5471, 1506, 483, 2665, 2026, 3567, 2784, 1393, 6129, 6003]"
11,1082.14,"[2564, 44, 4944, 2993, 915, 958, 408, 666, 286, 2013, 350, 31]"
7,1034.97,"[2564, 915, 958, 408, 2013, 286, 31]"
4,955.75,"[483, 915, 408, 2013]"
20,1162.66,"[2564, 915, 408, 29, 1054, 31, 286, 33, 5666, 44, 3758, 2993, 2234, 958, 834, 2374, 6859, 2013, 350, 483, 3038]"
43,1230.87,"[2564, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 2735, 2480, 2993, 4529, 4016, 5683, 2234, 958, 4032, 961, 963, 5317, 4934, 2374, 1864, 4944, 720, 5210, 91, 2013, 350, 6877, 5471, 2784, 1506, 483, 2665, 2026, 3567, 1393, 6129, 6003, 6135]"
28,1196.33,"[2564, 1677, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 4654, 2735, 2480, 2993, 2234, 958, 961, 4290, 6978, 194, 2374, 456, 91, 2013, 483, 4216, 3399]"
17,1144.29,"[350, 2564, 2374, 199, 44, 3758, 2013, 2993, 915, 1054, 408, 2234, 286, 29, 958, 31, 3432]"
9,1069.1,"[483, 915, 1853, 666, 408, 1690, 286, 2013, 350, 31]"
42,1227.39,"[2564, 915, 408, 29, 31, 1054, 33, 5666, 3103, 6564, 2724, 2735, 2480, 2993, 2234, 958, 4032, 961, 963, 3395, 5317, 2374, 5455, 720, 4697, 2266, 5210, 91, 2013, 350, 5471, 6877, 2784, 1506, 483, 2665, 2026, 3567, 1393, 6129, 6003, 6135]"
13,1092.14,"[2564, 2374, 199, 3432, 44, 3758, 958, 408, 1098, 286, 2013, 350, 31]"
7,1046.01,"[2564, 2013, 915, 958, 408, 666, 1853, 286]"
15,1119.5,"[350, 2564, 2374, 6510, 3432, 1098, 44, 3758, 915, 408, 666, 31, 2013, 958, 286]"
16,1127.81,"[483, 2374, 44, 3758, 2013, 2993, 915, 1054, 408, 2201, 2234, 286, 29, 958, 31, 6233]"
25,1181.84,"[2564, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 2735, 2480, 2993, 2234, 958, 961, 4290, 6978, 194, 2374, 1757, 2013, 483, 6772, 2987]"
21,1165.57,"[2564, 915, 408, 286, 31, 33, 5666, 44, 3758, 2480, 2993, 2743, 2234, 1853, 958, 2374, 1864, 2905, 2266, 91, 2013, 483]"
27,1190.46,"[2564, 1677, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 4654, 2735, 2480, 2993, 2234, 958, 961, 4290, 6978, 194, 2374, 456, 91, 2013, 483, 4216]"
14,1106.35,"[33, 5666, 2564, 29, 915, 958, 1054, 408, 666, 31, 2013, 350, 286, 1678]"
29,1207.9,"[2564, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 4654, 2735, 2480, 2993, 2234, 1853, 958, 961, 4290, 6978, 194, 2374, 3399, 456, 91, 2013, 483, 4216, 1943]"
22,1174.23,"[2564, 915, 408, 29, 1054, 31, 33, 5666, 42, 2480, 2993, 2743, 2234, 1853, 958, 2374, 1864, 2905, 2266, 91, 2013, 483, 3188]"
44,1231.53,"[2564, 1677, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 2735, 2480, 2993, 4529, 4016, 5683, 2234, 958, 4032, 961, 963, 5317, 2374, 1864, 6088, 4812, 720, 5210, 91, 2013, 350, 6877, 5471, 2784, 1506, 483, 6760, 2665, 2026, 3567, 1393, 6129, 6003, 6135]"
24,1180.9,"[2564, 1163, 6925, 915, 408, 29, 1054, 31, 33, 5666, 44, 2735, 2480, 2993, 958, 961, 4290, 6978, 194, 2374, 1757, 2013, 483, 6772]"
31,1208.24,"[2564, 4869, 915, 408, 29, 31, 33, 5666, 42, 44, 4654, 2735, 2480, 2993, 2234, 958, 961, 4290, 6978, 194, 2374, 456, 91, 2013, 350, 5471, 483, 2665, 2026, 2302, 6741]"
19,1161.32,"[2564, 1677, 915, 408, 29, 1054, 31, 286, 33, 44, 1272, 2993, 2234, 958, 834, 2374, 6859, 2013, 350]"
35,1220.47,"[2564, 915, 408, 29, 1054, 31, 33, 5666, 42, 44, 4654, 2735, 2480, 2993, 2234, 1853, 958, 4032, 961, 3395, 5317, 2374, 4173, 5455, 720, 4697, 2266, 5210, 2013, 350, 5471, 483, 2665, 2026, 6953]"
52,1234.75,"[2564, 915, 408, 6301, 286, 31, 2336, 33, 5666, 29, 1054, 3103, 5670, 2984, 5674, 43, 44, 1709, 3627, 4911, 3758, 2735, 2480, 2993, 6195, 2234, 1851, 2363, 958, 963, 5317, 4934, 2374, 1864, 6088, 5455, 720, 2266, 5210, 91, 2013, 350, 6877, 5471, 483, 2665, 3567, 880, 1393, 6129, 6003, 320]"
