n_nodes,influence,obj,nodes
0.98,0.0,0.9978839394591492,"[4256, 3130, 2363]"
1.0,0.0,0.9998565382684169,[6556]
0.99,0.0,0.999677211103938,"[2816, 6883]"
0.95,0.0,0.9981349974894197,"[352, 3554, 3077, 1606, 5756, 1435]"
0.94,0.0,0.9964493221433183,"[3332, 3941, 2150, 4218, 6459, 29, 2366]"
0.93,0.0,0.9964134567104225,"[3332, 3941, 2150, 4218, 6459, 29, 2366, 2215]"
0.77,0.01,0.9816010329244674,"[3586, 1801, 915, 2964, 3357, 2205, 6053, 4648, 2985, 4138, 1965, 6961, 5938, 51, 6324, 3898, 5179, 2750, 3519, 6344, 3144, 1373, 6910, 1279]"
0.66,0.01,0.9887382540707267,"[3843, 3460, 3464, 2205, 3357, 6053, 4648, 2985, 4138, 5938, 51, 6324, 6069, 4915, 3637, 3512, 4918, 3642, 5179, 2108, 2750, 3519, 4542, 1734, 6344, 4297, 1866, 2890, 5594, 3803, 349, 6879, 4198, 2792, 4969]"
0.89,0.0,0.9906749874470985,"[3586, 6053, 4648, 1801, 2985, 4138, 1965, 6961, 5938, 915, 2205, 3357]"
0.99,0.0,0.9970231690696507,"[5169, 611]"
0.85,0.0,0.993472491212969,"[2592, 5697, 32, 4637, 2085, 3079, 4106, 4157, 3636, 2586, 5177, 3642, 2108, 4669, 4542, 6175]"
0.09,0.02,0.9503622408722473,"[5641, 6154, 3084, 5260, 2720, 2211, 4261, 6342, 2760, 2764, 6349, 2768, 4816, 2772, 2262, 218, 4865, 3330, 1281, 3843, 3332, 1801, 6409, 1805, 271, 6417, 3345, 3357, 5918, 3362, 4905, 5938, 4915, 309, 1334, 3381, 3898, 2876, 4928, 4931, 2372, 5444, 6982, 3399, 845, 333, 6999, 7007, 3941, 4967, 7018, 5491, 5501, 2432, 2945, 1920, 7052, 915, 2964, 5524, 1951, 6053, 2985, 6571, 1965, 5556, 6069, 5493, 2484, 3512, 2996, 5563, 956, 3519, 3524, 5061, 5578, 3531, 6615, 2007, 4055, 3549, 6109, 3551, 4588, 5614, 5105, 497, 6643, 6129, 2039, 4602]"
0.84,0.01,0.9495373359156445,"[6784, 3712, 3077, 6342, 4261, 6792, 2184, 2634, 3687, 3660, 5171, 6293, 1687, 603, 2204, 2205, 4158]"
0.96,0.0,0.9769743920809124,"[3712, 6658, 1606, 1435, 5756]"
0.61,0.01,0.9779068933362026,"[3079, 4106, 2586, 4637, 6175, 2592, 32, 2085, 3636, 4918, 5177, 3642, 2108, 4669, 4157, 4542, 5697, 6214, 1734, 4297, 1866, 2890, 6349, 2768, 4816, 84, 1749, 2772, 1880, 601, 218, 6235, 3803, 2270, 2147, 612, 5732, 1635, 104, 5736]"
