n_nodes,influence,obj,nodes
0.77,0.01,0.7051137595187855,"[653, 2583, 6041, 1563, 2080, 1446, 4263, 3625, 3763, 3386, 2110, 4672, 6082, 4682, 3151, 2140, 3552, 5986, 483, 3428, 4586, 3179, 2161, 115]"
0.83,0.01,0.618426755578548,"[3329, 2497, 1317, 5702, 2440, 73, 4680, 1259, 2731, 1677, 14, 2160, 3251, 6228, 1429, 4660, 3224, 6079]"
0.97,0.0,0.26175666916489926,"[2480, 1662, 6445, 3902]"
0.73,0.01,0.6300057827564368,"[6659, 5650, 4243, 2200, 4895, 5920, 6820, 5931, 172, 1589, 439, 1595, 2877, 6333, 6719, 5707, 4056, 2777, 4830, 5091, 2405, 4587, 1132, 238, 3828, 6644, 2936, 5756]"
0.51,0.01,0.7494135519994582,"[388, 1286, 4616, 6152, 268, 4495, 7057, 1555, 3990, 153, 5146, 3613, 1823, 6944, 932, 6567, 4401, 4145, 4913, 5170, 3769, 6457, 6971, 3387, 5309, 5181, 959, 2368, 3903, 6087, 5320, 1228, 6606, 6224, 4052, 1239, 5080, 6363, 1244, 3804, 4834, 2405, 3943, 6636, 5356, 1778, 4339, 6004, 5110, 4089]"
0.47,0.01,0.7094461920045554,"[6913, 3972, 2308, 3718, 2439, 2309, 3721, 3978, 3214, 1300, 1815, 6426, 3738, 2464, 1571, 420, 1828, 3494, 5671, 2986, 171, 2737, 6964, 309, 4918, 2102, 6269, 953, 3644, 957, 6213, 199, 72, 4682, 2123, 464, 1361, 1364, 4309, 5974, 4440, 6490, 2783, 2023, 488, 3049, 2795, 5743, 4849, 3443, 7032, 2810, 6141, 3711]"
0.55,0.01,0.7692328408970357,"[6410, 4490, 2572, 1937, 6931, 3091, 3476, 534, 1432, 3353, 5915, 2336, 4134, 3239, 4783, 1714, 5428, 3125, 4792, 4797, 1090, 3778, 1480, 3912, 2379, 5707, 205, 6734, 4814, 2895, 2897, 81, 89, 478, 3295, 2912, 2916, 3434, 1643, 109, 3184, 1521, 6390, 7032, 126, 3583]"
0.19,0.02,0.6944343429997504,"[5639, 4106, 3085, 528, 2066, 24, 6688, 6187, 5703, 1620, 2646, 2660, 615, 2668, 1134, 3697, 2170, 6276, 5769, 2705, 6803, 2199, 2206, 6307, 5289, 4781, 3248, 4281, 2747, 6335, 6336, 4802, 4812, 1741, 2768, 4825, 1250, 3822, 4337, 3314, 3318, 264, 5388, 6925, 6421, 2837, 4379, 805, 4391, 1326, 4400, 2866, 5947, 4925, 3389, 3907, 1358, 6478, 2915, 2916, 3942, 6508, 1902, 7033, 4479, 383, 1432, 5542, 5550, 951, 3009, 450, 1991, 457, 3023, 6098, 2514, 4565, 478, 5614, 4604, 2558]"
0.94,0.0,0.36403264552432046,"[2117, 1862, 3240, 2698, 3594, 1770, 861]"
0.74,0.01,0.6786928843496842,"[1536, 2818, 2566, 8, 4363, 5005, 6032, 5524, 790, 3609, 2714, 3232, 3362, 2213, 1958, 1709, 3769, 1723, 2620, 3393, 4930, 5315, 1752, 2139, 5609, 3184, 2169]"
