n_nodes,influence,obj,nodes
0.58,0.03,0.9942612423871803,"[1664, 771, 4356, 517, 5766, 1285, 1032, 4233, 5768, 1288, 4620, 901, 902, 2703, 144, 1929, 6930, 1421, 397, 3469, 6546, 1687, 791, 3737, 2714, 408, 668, 4125, 31, 5280, 6561, 2471, 1448, 6570, 1067, 4268, 6060, 2476, 2735, 2993, 5507, 5747, 6572]"
0.95,0.01,0.8587629653041278,"[5121, 4356, 517, 902, 408, 2663]"
0.98,0.01,0.5826184699262671,"[4194, 4356, 517]"
0.49,0.04,0.9984132429034539,"[4355, 4356, 2053, 517, 6023, 2437, 3469, 4493, 2703, 144, 2959, 6930, 791, 1687, 408, 3737, 2076, 1052, 668, 3997, 5533, 4510, 5020, 5280, 4000, 1952, 1437, 31, 2341, 5536, 1703, 2471, 1448, 4778, 6570, 4268, 2476, 1964, 2735, 43, 2993, 6706, 2738, 5559, 6465, 2501, 4038, 5072, 5585, 3037, 483, 4635]"
0.44,0.04,0.9824936451718146,"[1664, 4355, 4356, 517, 1285, 2053, 5768, 4233, 1288, 901, 4620, 902, 3469, 2703, 144, 6930, 791, 1687, 3737, 408, 1052, 3997, 5533, 2076, 668, 4510, 5020, 5280, 1952, 1437, 31, 2341, 5536, 1703, 2471, 1448, 4778, 6570, 4268, 2476, 1964, 2735, 43, 2993, 6706, 2738, 5559, 6465, 2501, 4038, 5072, 5585, 3037, 6023, 483, 2437, 6534]"
0.99,0.01,0.37297858850870347,"[4356, 517]"
0.93,0.02,0.8610700878218918,"[771, 4356, 517, 902, 1032, 282, 1687, 408]"
0.53,0.03,0.995384600819762,"[4355, 4356, 517, 2437, 6023, 3469, 4493, 2703, 144, 2959, 6930, 791, 408, 3737, 4635, 1052, 2076, 668, 3997, 5533, 4510, 5020, 5280, 4000, 1952, 1437, 31, 2341, 5536, 1703, 2471, 4778, 6570, 2476, 1964, 2735, 43, 2993, 6706, 2738, 5559, 6465, 2501, 4038, 5072, 5585, 3037, 483]"
0.96,0.01,0.8202428446677075,"[771, 4356, 517, 5106, 408]"
0.88,0.02,0.9984132429034539,"[4355, 4356, 517, 2053, 1285, 144, 1687, 408, 3737, 6634, 1052, 4125, 31]"
0.68,0.03,0.9738081218459093,"[4096, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 408, 3737, 666, 2714, 5020, 1052, 668, 5533, 4510, 5280, 4125, 31, 1448, 6570, 1067, 4268, 6060, 2476, 2735, 6572, 2993, 5747, 5307]"
0.69,0.03,0.9747528444902921,"[4096, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 408, 3737, 2714, 666, 668, 1052, 5020, 5533, 4510, 5280, 4125, 31, 1448, 6570, 4268, 6060, 2476, 2735, 6572, 2993, 5307, 5747]"
0.95,0.01,0.8602079970271004,"[771, 4356, 517, 5106, 408, 486]"
0.97,0.01,0.5435129521059969,"[4356, 517, 902, 408]"
0.69,0.03,0.9293703875430201,"[1664, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 408, 3737, 666, 2714, 5020, 1052, 668, 5533, 2215, 5280, 4125, 31, 1448, 6570, 4268, 6060, 2476, 2735, 6572, 2993, 5307, 5747]"
0.97,0.01,0.9425009943912741,"[771, 4356, 902, 1687]"
0.51,0.04,0.9825883158933119,"[4355, 771, 4356, 517, 4868, 1032, 4233, 1288, 5507, 901, 902, 1929, 6539, 1421, 2703, 144, 6930, 913, 915, 1687, 408, 3737, 2714, 666, 668, 3997, 5533, 31, 5280, 4510, 4000, 1952, 2464, 2341, 4005, 1703, 2471, 1448, 4778, 6570, 4268, 6060, 2501, 4038, 5072, 5585, 3037, 483, 4350, 426]"
0.54,0.04,0.9797933629631134,"[4355, 4356, 517, 2053, 4868, 1288, 4233, 5507, 901, 902, 1929, 6539, 1421, 2703, 144, 397, 6930, 913, 915, 1687, 408, 3737, 2714, 666, 668, 3997, 5533, 31, 5280, 4510, 4000, 1952, 5536, 2341, 4005, 1703, 2471, 1448, 4778, 6570, 4268, 6060, 2476, 2735, 1964, 5564, 2675]"
0.94,0.02,0.8709702012084293,"[4356, 517, 902, 1032, 3126, 1687, 408]"
0.66,0.03,0.940318815000766,"[1664, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 408, 3737, 666, 5020, 1052, 5533, 6944, 5280, 4125, 31, 2215, 1448, 6570, 4268, 6706, 2738, 6465, 2501, 4038, 5072, 5585, 3037, 4194, 483, 1768]"
0.93,0.02,0.7772861031653671,"[34, 4356, 517, 1768, 1687, 408, 3737, 1052]"
0.57,0.04,0.8692811660184814,"[4096, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 408, 3480, 2714, 3737, 668, 666, 1052, 3997, 5533, 31, 5280, 4510, 4000, 5536, 2341, 1703, 4005, 2471, 4778, 1448, 4268, 6060, 2476, 2735, 1964, 6706, 2993, 58, 6853, 203, 85, 341, 3037, 483]"
0.93,0.02,0.9425009943912741,"[34, 4355, 4356, 517, 4194, 1104, 408, 4861]"
0.57,0.04,0.9900479191806204,"[4355, 4356, 1285, 517, 901, 1032, 4233, 5768, 1288, 4620, 902, 1929, 2703, 144, 1421, 6930, 397, 3469, 6546, 1687, 791, 3737, 2714, 408, 668, 4125, 31, 5280, 6561, 34, 2471, 1448, 6570, 1067, 4268, 6060, 2476, 2735, 6572, 2993, 5507, 4194, 5747, 3108]"
0.49,0.04,0.9760727851748308,"[4355, 4356, 517, 1285, 901, 1032, 4233, 5768, 1288, 902, 6023, 4490, 2703, 144, 6539, 6930, 397, 913, 915, 1687, 791, 3737, 2714, 666, 668, 4381, 408, 3997, 31, 5280, 5533, 4510, 4000, 1952, 2341, 4005, 1703, 2471, 2476, 1964, 2735, 2993, 6706, 5810, 4038, 5072, 5585, 3037, 483, 6117, 2464, 4632]"
0.46,0.04,0.9857519582186948,"[5121, 4356, 517, 2437, 6023, 2703, 144, 1554, 915, 1687, 408, 3480, 666, 3737, 2714, 1052, 4125, 31, 5280, 5533, 4510, 1952, 5536, 2341, 4005, 1703, 2471, 1448, 4126, 6570, 4268, 6060, 2476, 2735, 1964, 2993, 6706, 5810, 1716, 6838, 3255, 4407, 59, 6460, 3389, 2881, 3908, 4038, 5072, 5585, 5589, 1375, 483, 2531, 5607]"
0.92,0.02,0.8252627770139187,"[4356, 517, 2663, 1104, 144, 1687, 408, 3737, 1052]"
0.95,0.02,0.8574983813199683,"[4194, 4355, 4356, 517, 1687, 408]"
0.78,0.03,0.9617913373604235,"[4096, 4355, 4356, 517, 902, 5218, 2703, 144, 913, 1554, 915, 1687, 3480, 408, 538, 2714, 3737, 666, 1052, 668, 31, 3997, 5533]"
0.43,0.04,0.9851735985361809,"[1664, 771, 4355, 4356, 517, 2703, 144, 1687, 408, 3480, 3737, 666, 1052, 3997, 5533, 668, 5280, 4125, 4510, 31, 4000, 1952, 2341, 1703, 4005, 2471, 4778, 1448, 6570, 4268, 6060, 2476, 2735, 1964, 2993, 6706, 5810, 1716, 6838, 3255, 4407, 59, 6460, 3389, 2881, 3908, 4038, 5536, 5072, 5585, 5589, 1375, 483, 2531, 5607, 6248, 2464, 1789]"
0.75,0.03,0.9231072144799635,"[4096, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 408, 666, 2714, 5020, 1052, 668, 3997, 5280, 31, 6561, 3367, 2471, 6570, 1067, 942, 5517]"
0.74,0.03,0.7548233034341902,"[4356, 517, 773, 902, 1929, 6539, 1421, 397, 144, 913, 915, 1687, 408, 3737, 666, 2714, 1052, 4125, 31, 2215, 1448, 6570, 4268, 6060, 2476, 2735, 1341]"
0.94,0.02,0.8732921394690429,"[4194, 4356, 517, 1768, 408, 3737, 1052]"
0.91,0.02,0.9182307126060285,"[771, 4355, 4356, 517, 1768, 1687, 408, 3737, 1052, 4157]"
0.96,0.01,0.9127097315911079,"[4194, 4355, 517, 1768, 408]"
0.63,0.04,0.9761244713422488,"[4096, 4355, 4356, 517, 902, 5507, 397, 3469, 2703, 144, 913, 1554, 915, 6546, 1687, 408, 3480, 2714, 538, 3737, 666, 1052, 791, 668, 4125, 5280, 6561, 2471, 1448, 6570, 1067, 4268, 6060, 2476, 2735, 6572, 2993, 5747]"
0.92,0.02,0.9755799214134758,"[4096, 4355, 4356, 517, 1768, 1687, 408, 1052, 3997]"
0.98,0.01,0.5784514710489884,"[408, 4356, 517]"
0.61,0.04,0.9791452533753274,"[4355, 4356, 517, 902, 1032, 4233, 2703, 144, 915, 1687, 3480, 408, 666, 3737, 1052, 2714, 668, 3997, 5533, 31, 4510, 4000, 5536, 4125, 5280, 6561, 34, 3108, 2471, 1448, 6570, 1067, 4268, 6060, 2735, 6572, 2993, 4194, 5747, 4343]"
0.7,0.04,0.8019615458514149,"[4355, 4356, 517, 902, 2703, 144, 915, 1687, 408, 3737, 666, 2714, 1052, 668, 1054, 4125, 5533, 31, 34, 4510, 4000, 4778, 6570, 4268, 1964, 43, 2476, 2735, 2993, 6706, 6579]"
0.76,0.03,0.8104993247740061,"[4356, 773, 517, 902, 1929, 6539, 3979, 1421, 397, 2703, 144, 913, 6930, 915, 1687, 408, 3737, 2714, 666, 668, 1052, 3997, 5533, 31, 1615]"
0.78,0.03,0.7965559569835043,"[4356, 773, 517, 902, 1929, 6539, 3979, 1421, 397, 2703, 144, 913, 915, 1687, 408, 3737, 2714, 666, 668, 1052, 3997, 5533, 31]"
0.94,0.02,0.8236460744970087,"[4356, 517, 1768, 1687, 408, 6843, 1052]"
0.71,0.03,0.9920574497692792,"[4096, 4355, 4356, 517, 902, 1032, 2703, 144, 915, 1687, 3480, 408, 666, 3737, 1052, 2714, 668, 3997, 5533, 31, 4510, 4000, 5536, 2341, 4005, 1703, 2471, 6942, 4120, 4568]"
0.88,0.03,0.7716102306832608,"[4355, 4356, 517, 902, 1032, 2413, 144, 1687, 408, 3737, 1052, 31, 2750]"
0.8,0.03,0.9512350196416772,"[4355, 4356, 517, 902, 1032, 1288, 6793, 4233, 1929, 915, 1687, 408, 666, 2714, 1052, 668, 4125, 31, 5280, 5533, 3441]"
0.75,0.03,0.8011867645753905,"[4356, 773, 517, 902, 1929, 6539, 1421, 397, 2703, 144, 913, 6930, 915, 1687, 408, 3737, 2714, 666, 668, 1052, 3997, 5533, 31, 4510, 4000, 2872]"
