n_nodes,influence,communities,nodes
3.0000000000000018,8.75,0.9999999999999998,"[3792, 4176, 3892]"
15.000000000000002,25.76,0.9999999999999998,"[6400, 6919, 3721, 907, 6796, 5772, 1931, 3855, 5648, 4241, 5390, 7061, 584, 5143, 4118]"
11.999999999999998,37.19,2.0,"[1538, 3427, 1028, 5670, 6922, 5779, 6808, 2202, 1403, 1950, 1183, 6679]"
10.999999999999998,12.98,0.0,"[6560, 1831, 3943, 5803, 3948, 83, 4339, 5110, 3383, 5725, 2783]"
19.999999999999993,22.0,0.0,"[5632, 6408, 649, 6928, 7058, 3859, 2325, 5527, 407, 4505, 4635, 1057, 6305, 6817, 1314, 3365, 5288, 4017, 436, 1845]"
45.99999999999999,110.3,3.0,"[896, 4101, 4106, 6796, 4627, 6678, 1560, 6809, 2586, 3996, 5919, 6432, 1077, 1211, 6461, 1607, 2504, 3017, 1352, 2762, 6731, 1998, 974, 4432, 6224, 4944, 1620, 3668, 6361, 4573, 2013, 733, 1248, 228, 4968, 4712, 2537, 1263, 6002, 2933, 2935, 5880, 2169, 4348, 6781, 6398]"
16.0,26.94,0.9999999999999998,"[896, 4101, 1560, 4106, 6796, 5390, 4241, 4627, 7061, 6678, 5143, 4118, 6809, 2586, 893, 1750]"
10.999999999999998,35.61,2.0,"[4361, 6922, 5259, 2318, 5513, 2966, 6808, 2202, 1403, 1950, 1183]"
18.000000000000004,20.43,0.0,"[5632, 6408, 649, 6928, 7058, 3859, 2325, 407, 5527, 4505, 1057, 6305, 6817, 1314, 3365, 5288, 4017, 436]"
17.000000000000004,19.0,0.0,"[5632, 1057, 6305, 6817, 1314, 3365, 5527, 6408, 5288, 5775, 6928, 7058, 3859, 2325, 407, 4505, 4635]"
51.0,117.97,3.0,"[6400, 5891, 4867, 3845, 4358, 262, 6919, 265, 6921, 3596, 16, 1021, 1149, 4759, 1053, 1578, 301, 5168, 688, 5047, 3128, 3897, 5948, 61, 4946, 5075, 5461, 2648, 6490, 6875, 4956, 2013, 6234, 2523, 3420, 4446, 3426, 4962, 2912, 3682, 1763, 2914, 4586, 2411, 2157, 3053, 3569, 5653, 5367, 6520, 2173]"
4.000000000000003,6.36,0.0,"[6808, 1538, 5779, 103]"
14.0,16.18,0.0,"[897, 5891, 4358, 6921, 265, 4875, 3596, 3104, 6796, 5772, 4750, 407, 4505, 4635]"
16.0,73.76,3.0,"[4640, 902, 774, 390, 5382, 6922, 2826, 6312, 6315, 1582, 2352, 5810, 690, 3990, 4765, 1183]"
35.0,45.81,0.9999999999999998,"[4867, 262, 5895, 5128, 6921, 4504, 1433, 6560, 6432, 4780, 1077, 1211, 6461, 3012, 1607, 2504, 3017, 1352, 1998, 5208, 3035, 3550, 2272, 225, 2016, 3811, 5989, 6374, 5864, 2422, 2040, 7034, 4092, 4876, 2174]"
1.0,6.78,0.9999999999999998,[1854]
6.000000000000004,24.62,2.0,"[5989, 390, 902, 3560, 6666, 5213]"
19.000000000000004,21.09,0.0,"[5632, 6408, 649, 6928, 7058, 3859, 2325, 407, 5527, 4505, 4635, 1057, 6305, 6817, 1314, 3365, 5288, 4017, 1845]"
3.0000000000000018,5.28,0.0,"[1538, 5989, 103]"
19.999999999999993,46.67,2.0,"[5779, 5527, 6808, 665, 4505, 2202, 4635, 4765, 1183, 4640, 1057, 6305, 6817, 1314, 3365, 6312, 5288, 2848, 436, 1845]"
51.0,78.32,2.0,"[4106, 6796, 1807, 4112, 3855, 1808, 4627, 3860, 6678, 1560, 5912, 2202, 6809, 3868, 2586, 3996, 5919, 6432, 1443, 5414, 3241, 4778, 6826, 297, 6442, 5420, 6320, 689, 1077, 4278, 1211, 6844, 702, 3777, 864, 3789, 6226, 2771, 6871, 6362, 6365, 223, 4321, 6371, 3174, 3815, 6892, 2287, 755, 245, 1270]"
14.0,69.13,3.0,"[4640, 390, 902, 6312, 774, 2826, 6315, 1582, 2352, 5810, 690, 3990, 4765, 1183]"
65.0,91.22,2.0,"[6400, 5891, 4867, 3845, 4358, 262, 1540, 4106, 6795, 6796, 6921, 4875, 3727, 4112, 1807, 1808, 4627, 6803, 3733, 6678, 3860, 1560, 1176, 2586, 6809, 2202, 5912, 5919, 6432, 5414, 6826, 6442, 6267, 6320, 1077, 4278, 1211, 6844, 702, 2684, 3777, 1607, 3789, 2771, 6871, 6365, 6371, 3815, 6892, 3309, 2158, 3694, 623, 2673, 4721, 2287, 755, 5237, 245, 1270, 249, 3194, 6395, 2812, 4222]"
16.0,17.99,0.0,"[4376, 265, 4106, 907, 5775, 4112, 16, 7058, 4627, 3859, 2325, 6678, 4759, 4630, 4505, 3658]"
25.0,35.4,0.9999999999999998,"[4867, 262, 5895, 5128, 6921, 4876, 4504, 1433, 6560, 6432, 4780, 1969, 1077, 1211, 6461, 3012, 1607, 2504, 3017, 1352, 1998, 3695, 6135, 6271, 2339]"
5.0000000000000036,60.65,3.0,"[390, 4932, 902, 774, 2374]"
