n_nodes,influence,nodes
3,117.13,"[3712, 699, 408]"
11,251.78,"[3712, 4225, 2374, 137, 2634, 1853, 533, 439, 408, 5913, 699, 286]"
19,298.31,"[3712, 4225, 533, 408, 5913, 1052, 286, 5666, 38, 6697, 1194, 2731, 5804, 3885, 3501, 699, 1853, 190, 2374]"
2,93.18,"[699, 408]"
22,319.91,"[3712, 4225, 533, 408, 5913, 1052, 286, 5666, 38, 6697, 2731, 5804, 1457, 439, 4153, 1082, 699, 1853, 190, 3137, 2374, 2634, 990]"
36,381.64,"[3712, 4225, 533, 408, 5913, 1052, 286, 5666, 38, 1194, 2352, 1457, 2993, 50, 182, 439, 4791, 1360, 699, 1853, 190, 959, 3522, 6723, 4419, 1093, 2374, 836, 1095, 1350, 5059, 4036, 2634, 712, 5207, 733]"
9,239.62,"[3712, 4225, 2374, 2634, 533, 408, 5913, 699, 1853, 286]"
14,272.16,"[3712, 4225, 2374, 6120, 6697, 533, 408, 5913, 699, 1052, 1853, 190, 286, 2665]"
5,150.25,"[3712, 2374, 408, 3193, 699]"
6,169.52,"[3712, 408, 5913, 699, 1853, 286]"
33,373.3,"[3712, 4225, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 2731, 3885, 1457, 4785, 439, 699, 1853, 190, 959, 4419, 1860, 4036, 1093, 2374, 836, 1350, 2634, 6745, 990, 236, 110, 4338, 5900]"
39,393.22,"[3712, 4225, 533, 408, 5913, 1306, 1052, 286, 5666, 38, 1194, 2352, 1457, 2993, 50, 182, 4791, 439, 826, 699, 1853, 190, 959, 3522, 6723, 4419, 1093, 2374, 836, 1095, 1350, 5059, 4036, 2634, 712, 82, 5207, 733, 1499]"
24,328.6,"[3712, 4225, 408, 5913, 1052, 286, 5666, 38, 1194, 2352, 1457, 2993, 182, 439, 4791, 826, 699, 1853, 959, 3137, 2374, 2634, 990, 4055]"
25,335.71,"[3712, 4225, 2564, 533, 408, 1052, 286, 5666, 38, 6697, 2731, 5804, 1457, 690, 439, 4153, 1082, 699, 1853, 190, 959, 1860, 4036, 2374, 1350]"
15,285.14,"[3712, 4225, 2374, 137, 2634, 533, 439, 408, 5913, 699, 1052, 1853, 190, 286, 855]"
58,421.04,"[3712, 4225, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 1194, 2731, 5804, 3885, 3501, 2352, 1457, 2480, 2993, 6193, 6197, 182, 439, 6712, 826, 699, 3004, 1853, 190, 959, 2494, 6464, 3774, 6723, 4419, 1093, 2374, 1350, 4036, 965, 2634, 3403, 968, 333, 6603, 3919, 462, 1494, 5723, 3547, 1891, 5223, 963, 4079, 2549, 118, 6908, 3479]"
35,380.41,"[3712, 4225, 533, 408, 5913, 1052, 286, 5666, 38, 1194, 2352, 1457, 2993, 50, 182, 439, 4791, 699, 1853, 190, 959, 3522, 6723, 4419, 1093, 2374, 836, 370, 1350, 5059, 4036, 2634, 712, 1360, 733]"
10,244.6,"[3712, 4225, 2374, 2634, 533, 408, 5913, 699, 1853, 286, 145]"
20,303.48,"[3712, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 1194, 5804, 1457, 4153, 699, 1853, 190, 3137, 2374, 2634, 1997, 990]"
32,367.23,"[3712, 4225, 5900, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 2731, 3885, 1457, 4785, 439, 699, 1853, 190, 959, 4419, 1860, 1093, 2374, 836, 1350, 2634, 6745, 990, 236, 110, 4338]"
18,290.65,"[3712, 4225, 533, 408, 5913, 1052, 286, 5666, 38, 6697, 2731, 5804, 1457, 439, 699, 1853, 190, 2374]"
7,210.69,"[3712, 4225, 2374, 533, 408, 699, 1853, 286]"
7,182.04,"[4225, 2374, 2634, 533, 408, 699, 1853]"
27,344.62,"[3712, 4225, 533, 408, 5913, 1306, 1052, 286, 5666, 1194, 2352, 1457, 2993, 50, 182, 439, 826, 699, 1853, 959, 4419, 4036, 2374, 1350, 2634, 2410, 372]"
29,359.37,"[3712, 4225, 2564, 3208, 1934, 533, 408, 5913, 1052, 286, 5666, 38, 6697, 2731, 1457, 439, 699, 1853, 2494, 190, 959, 6464, 6723, 4419, 1093, 2374, 1350, 2634, 460]"
28,353.49,"[3712, 4225, 5900, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 2731, 3885, 1457, 4785, 439, 699, 1853, 190, 959, 4419, 1860, 1093, 2374, 836, 1350, 2634, 990]"
1,47.91,[699]
4,145.02,"[3712, 2374, 408, 699]"
59,430.07,"[3712, 4225, 2564, 3208, 1934, 533, 408, 5913, 1052, 286, 38, 1194, 2731, 5804, 3885, 3501, 2352, 1457, 2480, 2993, 6193, 6197, 182, 439, 6712, 826, 699, 3004, 1853, 190, 959, 2494, 6464, 3774, 6723, 4419, 1093, 2374, 1350, 4036, 965, 2634, 3403, 968, 333, 6603, 3919, 462, 1494, 5723, 3547, 1891, 5223, 963, 4079, 2549, 118, 6908, 3716]"
52,409.37,"[3712, 4225, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 1194, 2731, 5804, 3885, 3501, 2480, 1457, 2993, 6193, 6197, 182, 439, 6712, 826, 699, 3004, 1853, 190, 959, 2494, 6464, 3774, 6723, 4419, 1093, 2374, 836, 1350, 4036, 2634, 3403, 333, 3919, 1494, 728, 5723, 3547, 1891, 5223, 963, 4079, 2549]"
57,417.45,"[3712, 4225, 533, 408, 5913, 1052, 286, 6176, 5666, 38, 1194, 2731, 5804, 3885, 3501, 2480, 1457, 2993, 6193, 6197, 182, 439, 6712, 826, 699, 3004, 1853, 190, 959, 2494, 6464, 3774, 6723, 4419, 1093, 2374, 836, 1350, 4036, 2634, 3403, 6603, 333, 3919, 1494, 728, 5723, 3547, 1891, 5223, 963, 4079, 2549, 118, 891, 6908, 2454]"
8,226.55,"[3712, 4225, 2374, 2634, 439, 408, 699, 1853, 286]"
