n_nodes,influence,obj,nodes
0.56,0.02,0.2688908556835973,"[42, 1414, 4487, 202, 8462, 35, 4481, 442, 30, 208, 614, 3490, 4484, 58, 904, 1420, 318, 4488, 201, 8, 15, 1556, 1026, 8452, 8449, 4495, 17, 2054, 1687, 1369, 1872, 4493, 1305, 402, 889, 138, 1092, 2, 75, 290, 3507, 1904, 283, 1254, 24]"
0.15,0.04,0.3446272241713999,"[529, 1907, 247, 124, 220, 3206, 8453, 4468, 200, 1022, 1556, 4469, 590, 433, 2926, 564, 162, 614, 8449, 54, 627, 1369, 808, 86, 1, 1697, 1324, 4, 224, 3374, 1332, 978, 62, 1873, 734, 1582, 3368, 150, 3490, 202, 8464, 38, 4492, 15, 173, 920, 1184, 442, 35, 190, 231, 3227, 4499, 1277, 14, 4475, 277, 386, 1013, 171, 8447, 73, 582, 240, 951, 1231, 1443, 1026, 553, 1546, 458, 4476, 4477, 214, 407, 1420, 59, 2028, 416, 1296, 51, 1872, 370, 824, 569, 851]"
0.63,0.02,0.3169274037302898,"[529, 1907, 247, 124, 220, 713, 8453, 4468, 200, 1022, 1556, 4469, 590, 433, 564, 2926, 162, 614, 1546, 15, 1296, 54, 4499, 277, 3227, 86, 5202, 3490, 38, 3368, 1324, 1582, 51, 1332, 978, 951, 569, 851]"
0.9,0.0,0.35084884200632593,"[772, 7814, 4875, 6414, 1681, 1042, 6167, 3738, 1818, 924, 3385]"
0.16,0.04,0.362251531586984,"[1, 1026, 4, 1546, 14, 15, 1556, 35, 38, 553, 1582, 51, 564, 54, 569, 59, 62, 582, 73, 590, 5203, 86, 614, 1153, 3202, 3206, 150, 3227, 1184, 1697, 162, 171, 173, 190, 200, 202, 1231, 214, 734, 224, 231, 240, 1277, 8447, 3841, 8449, 8453, 8464, 1296, 277, 808, 3368, 1324, 3374, 820, 1332, 824, 1872, 1873, 851, 1369, 2926, 370, 4468, 4469, 4475, 4476, 4477, 386, 4492, 1420, 4499, 407, 920, 416, 3490, 1443, 433, 951, 442, 458, 978, 2028, 1013, 1022]"
0.65,0.01,0.5416248498071256,"[908, 396, 1936, 7191, 8474, 1308, 1532, 2590, 4769, 675, 6441, 8234, 3246, 7982, 7344, 7728, 4018, 770, 5176, 4536, 58, 826, 7613, 2110, 7233, 8390, 2131, 1876, 3926, 7131, 6875, 2782, 7391, 608, 350, 3813]"
0.43,0.03,0.39977516898990473,"[7936, 3457, 8449, 1, 3589, 3462, 5, 7432, 3848, 4, 3467, 4484, 2830, 15, 8464, 14, 4499, 1556, 277, 150, 386, 920, 3227, 1184, 1697, 162, 3490, 35, 38, 808, 3368, 1324, 173, 3374, 1582, 7724, 433, 564, 1332, 54, 442, 62, 190, 582, 202, 590, 1873, 978, 86, 1369, 734, 224, 614, 231, 2926, 627, 4469, 1277]"
0.42,0.03,0.35027088277807206,"[880, 30, 2926, 3374, 3227, 1068, 1582, 1907, 132, 4474, 2134, 318, 1098, 1305, 4494, 38, 851, 588, 2, 4478, 359, 141, 8455, 3990, 734, 224, 1414, 4483, 172, 1443, 1199, 1694, 4476, 3507, 402, 22, 1904, 8458, 15, 277, 564, 1873, 171, 1461, 1369, 219, 904, 62, 12, 1296, 155, 31, 294, 8462, 32, 2054, 24, 1420, 13]"
0.44,0.03,0.32835228500596114,"[1, 1026, 2, 8452, 382, 1414, 8455, 392, 4, 4490, 527, 8464, 17, 150, 22, 920, 283, 413, 290, 163, 1443, 165, 3490, 35, 171, 1582, 433, 561, 1332, 1461, 2102, 951, 442, 62, 1092, 582, 588, 590, 208, 80, 978, 86, 856, 1369, 220, 734, 224, 614, 231, 1128, 2926, 1904, 1907, 627, 4469, 1277, 4478]"
0.75,0.02,0.29584146649964804,"[8449, 1, 8453, 529, 1556, 1697, 162, 808, 553, 433, 564, 54, 200, 713, 590, 86, 1369, 220, 614, 2926, 1907, 4468, 4469, 247, 124, 1022]"
