seed_set,spread,seed,communities,fairness,budget,time
"[7949, 7811, 7639, 7503, 7354, 7098, 6787, 6772, 6770, 6769, 6527, 6397, 6258, 6225, 6214, 6095, 6004, 5896, 5881, 5833, 5259, 5145, 4958, 4695, 4686, 4626, 4556, 4427, 4310, 4289, 3677, 3650, 3585, 3575, 3293, 3207, 3146, 3132, 2978, 2659, 2638, 2627, 2496, 2113, 1703, 1397, 1275, 1087, 971, 695, 586, 476, 211]",0.009534614494095855,0.48,0.36122063357706435,0.5618148060851801,0.9277820611667952,0.4
"[6165, 5927, 5817, 164]",0.0008427876823338737,0.97,0.16090129208182846,0.2105460818874333,0.9902338730403495,0.8
"[7828, 6801, 6672, 6620, 5513, 4521, 4365, 3293, 2774, 2051, 776]",0.0019043760129659642,0.9,0.21348143984337953,0.343673404841519,0.9825237728090466,0.8
"[8578, 8197, 7966, 7443, 7183, 6935, 6032, 5916, 5633, 5405, 4994, 4898, 4867, 4645, 4264, 4230, 3727, 3726, 3229, 3200, 3111, 2969, 2850, 2566, 1065, 1043, 148]",0.00463996295438759,0.74,0.27490499542361346,0.47539160401375047,0.9629915188897455,0.6
"[6149, 4460, 4404, 4360, 3721, 3293, 2774, 572, 298, 138, 1]",0.003365362352396388,0.9,0.2634940812570349,0.30286320320701265,0.9668465690053971,0.4
"[6165, 1680, 624, 22]",0.0016045380875202592,0.97,0.20765175176892425,0.23246733182286916,0.9845797995373939,0.6
"[6165, 5927, 5865]",0.0005082194952535309,0.98,0.10821064006270464,0.21460943505365704,0.9948599331791314,1.0
"[8435, 6527, 5865, 2834]",0.0005857837462375549,0.97,0.08376105853042404,0.2324921686945558,0.9964019532253919,1.0
"[4487, 1546, 141, 15, 8]",0.005644825191016439,0.96,0.27317014337999934,0.20578391129290352,0.9393472115137497,0.19999999999999996
"[7828, 6801, 6672, 6620, 5513, 3584, 3336, 3293, 2774, 2183]",0.0017318823801805974,0.91,0.19991460479024914,0.3175158521450313,0.9856078129015677,0.8
"[5865, 4364, 4205, 2548, 2539, 1555, 110]",0.001948367677703172,0.94,0.22347640519336964,0.25555107578172254,0.9794397327165253,0.6
"[4488, 4487, 1420, 920, 442, 54, 8]",0.00754572817781894,0.94,0.28283127784147266,0.21987885480652458,0.9175019275250578,0.19999999999999996
"[8578, 8197, 7443, 6935, 6032, 5633, 4994, 4867, 4230, 3727, 3726, 2969, 2189, 1950, 148]",0.0031141467932391757,0.86,0.26363441156639666,0.39467803871675655,0.970958622462092,0.6
"[7066, 5865, 4994, 4867, 3519, 3079]",0.00119935170178282,0.95,0.16721380647502537,0.24989930524022852,0.9889488563351324,0.8
[734],0.0005788376939106274,1.0,0.15674060964866798,0.1674453888423022,0.9910048830634798,0.8
"[7966, 7443, 7183, 6935, 6032, 5916, 5405, 4898, 4645, 4585, 4264, 3727, 3229, 2969, 2850, 1065, 1043, 164, 148]",0.003548275063672146,0.82,0.262809472343309,0.39753672662384143,0.9683885890516577,0.6
"[8225, 6811, 5150, 3584, 3336, 2586, 2200, 2183]",0.0014494095855522111,0.93,0.17240617868774466,0.27787145435609184,0.9892058596761758,0.8
"[6694, 6149, 5775, 5116, 4095, 3829, 2854, 2213, 547]",0.001594119009029868,0.92,0.19196106939481883,0.28131343987932556,0.9861218195836546,0.8
"[8578, 8416, 8197, 7966, 7443, 6935, 6032, 5916, 5633, 5405, 4898, 4867, 4645, 4264, 4230, 3727, 3726, 3229, 3200, 3111, 2969, 2850, 2566, 1065, 1043, 148]",0.004488307478583006,0.75,0.26612061907500884,0.455918308668521,0.9660755589822667,0.6
"[7949, 7831, 7639, 7354, 7098, 6225, 6214, 6095, 5896, 5833, 5259, 5145, 4695, 4686, 4626, 4556, 4427, 4310, 4289, 3650, 3584, 3336, 3207, 3146, 3132, 2978, 2627, 2496, 2183, 2113, 1703, 1087, 971, 695, 586, 476, 211]",0.0070444547348923366,0.64,0.3261648503354716,0.5220547519504386,0.9444872783346183,0.4
"[5513, 4521, 2051, 776, 285]",0.0010882148645519796,0.96,0.1626537608580374,0.2484484999423212,0.990490876381393,0.8
[4487],0.00146677471636953,1.0,0.14294196540207793,0.1674453888423022,0.9920328964276536,0.4
[0],0.0002836304700162075,1.0,0.04953553660240628,0.1674453888423022,0.9992289899768697,1.0
"[8435, 6527, 2834, 2211, 2051]",0.0007328085204908543,0.96,0.09016359918334005,0.2496353146847038,0.9964019532253919,1.0
"[7949, 7811, 7354, 7098, 6787, 6214, 5896, 5833, 5259, 5145, 4626, 4289, 3650, 3585, 3207, 3132, 2978, 2627, 2496, 2113, 1087, 695]",0.004076175040518638,0.79,0.2733654081775818,0.4069122487475567,0.9647905422770496,0.6
"[7828, 7066, 6620, 6397, 4556, 4427, 4358, 3293, 2774, 1329, 793]",0.002448483445241954,0.9,0.24459534497762792,0.3126864744580127,0.9753276792598303,0.6
"[7966, 7443, 7183, 6935, 6032, 5916, 5405, 3507, 3229, 2969, 2850, 1043, 148]",0.002639499884232461,0.88,0.24639173357068944,0.35267133275657203,0.9750706759187869,0.6
"[6149, 6061, 5775, 4095, 2854, 2213, 547]",0.0013324843713822645,0.94,0.17434413098689705,0.2656567771484064,0.9889488563351324,0.8
"[8416, 7639, 7503, 7145, 6799, 6772, 6770, 6741, 6258, 6095, 5881, 5238, 4958, 4686, 4427, 4310, 4299, 4205, 3726, 3293, 2638, 2556, 2539, 2051, 1397, 1281, 1275, 971, 938, 642, 476, 211, 110, 86]",0.006885853206760824,0.67,0.32563776453592197,0.4791369402613792,0.9424312516062708,0.4
[132],0.0010592729798564484,1.0,0.1657364486822318,0.1674453888423022,0.9907478797224364,0.6
"[8452, 4494, 4493, 4492, 4481, 3490, 3457, 3368, 2180, 1697, 1582, 1546, 1443, 1332, 1324, 1231, 920, 904, 889, 553, 527, 413, 252, 171, 165, 163, 132, 86, 51, 42, 40, 38, 36, 35, 30, 15, 12, 2]",0.02395114609863394,0.63,0.40248142589685465,0.34783068356901736,0.6335132356720637,0.19999999999999996
"[7503, 7066, 6772, 6770, 6397, 6258, 5865, 5028, 4958, 4695, 4686, 4556, 4427, 4310, 4205, 3677, 3575, 3293, 3146, 3100, 2669, 2638, 2539, 1397, 971, 476, 211, 132, 110]",0.006004862236628849,0.72,0.29790135929893313,0.41932775340493966,0.9524543819069647,0.4
"[7642, 4695, 4686, 3677, 3146, 734, 476, 211]",0.0019946746932160224,0.93,0.2405535259742736,0.28952400316586824,0.9796967360575688,0.6
"[4488, 75, 8]",0.0036293123408196342,0.98,0.21855697221626458,0.18675537622052774,0.9696736057568749,0.19999999999999996
"[7503, 7066, 5028, 4686, 4556, 4427, 4310, 3146, 3100, 2638, 1274, 971, 211, 132]",0.003780967816624218,0.87,0.27142333792005635,0.354775280291703,0.9694166024158314,0.4
"[4487, 8]",0.002766844176892799,0.99,0.20477909827714091,0.1829527173662462,0.9791827293754819,0.19999999999999996
"[8452, 7642, 4695, 3677, 2180, 734, 474, 211]",0.003287798101412364,0.93,0.25125173023662994,0.2809654577951769,0.9601644821382678,0.4
"[7949, 7811, 7503, 7354, 7231, 7098, 6787, 6225, 6214, 6095, 5833, 5259, 5145, 4626, 4556, 4459, 4427, 4310, 3677, 3650, 3585, 3293, 3207, 3146, 3132, 3005, 2771, 2638, 2627, 2496, 2121, 2113, 1914, 1703, 1087, 971, 695, 586, 476, 211]",0.007655707339661959,0.61,0.33969397639474463,0.4898138787670401,0.9349781547160113,0.4
