n_nodes,influence,communities,nodes
1.0,11.99,3.0,[4473]
43.00000000000001,67.44,3.0,"[891, 3333, 5767, 2572, 6032, 7825, 6291, 7827, 2591, 3502, 1711, 5424, 6834, 4405, 2741, 4279, 2999, 3131, 7997, 574, 7485, 830, 8261, 3912, 4681, 7757, 3159, 7639, 858, 8288, 6369, 3554, 2792, 2796, 2926, 4080, 5619, 2165, 5493, 2423, 7419, 509, 1918]"
4.000000000000003,5.48,0.0,"[6657, 3481, 4060, 7021]"
9.999999999999996,14.09,0.9999999999999998,"[6368, 8100, 1029, 6215, 3879, 8074, 1259, 2641, 4982, 3512]"
3.0000000000000018,4.13,0.0,"[4395, 1910, 1527]"
13.0,17.71,0.9999999999999998,"[4870, 7304, 7693, 5774, 6801, 4881, 7925, 3063, 4952, 5467, 7900, 2527, 1618]"
14.0,18.53,0.9999999999999998,"[3584, 4131, 5774, 7695, 6801, 4881, 1618, 7925, 3063, 4952, 5467, 7900, 2527, 3150]"
32.00000000000001,56.1,3.0,"[4395, 1910, 4235, 268, 5004, 7183, 8206, 3727, 669, 6429, 5799, 2215, 2473, 1188, 2044, 4911, 7728, 179, 3509, 7737, 59, 2364, 6203, 1984, 2882, 6475, 3281, 5969, 7889, 89, 4570, 7643]"
4.000000000000003,8.03,0.9999999999999998,"[1029, 3879, 6211, 1259]"
42.0,66.58,3.0,"[3333, 2572, 6032, 7825, 6291, 7827, 2591, 7722, 3502, 1711, 5424, 6834, 4405, 2741, 2999, 4279, 3131, 7485, 830, 574, 7997, 3010, 3912, 4681, 7757, 7419, 3159, 7639, 858, 6369, 3554, 2792, 2796, 2926, 4080, 5619, 2165, 5493, 2423, 891, 509, 1918]"
3.0000000000000018,25.76,3.0,"[1231, 252, 231]"
3.0000000000000018,10.5,2.0,"[4060, 7021, 62]"
8.999999999999996,17.32,2.0,"[644, 3209, 7181, 1550, 1427, 2708, 2835, 5023, 6177]"
22.999999999999996,47.53,3.0,"[2932, 2573, 3333, 5767, 2926, 6032, 7825, 6291, 4039, 6130, 4080, 5619, 2165, 5493, 3379, 25, 2423, 5424, 3502, 1711, 7419, 509, 1918]"
18.000000000000004,28.36,2.0,"[3333, 5767, 2572, 3502, 1711, 6032, 7825, 5424, 6291, 6834, 4405, 2741, 4279, 2999, 4634, 891, 2591, 1260]"
19.000000000000004,30.57,2.0,"[3952, 3333, 5767, 2572, 6032, 7825, 6291, 4634, 2591, 3502, 1711, 5424, 6834, 4405, 2741, 4279, 2999, 2178, 7997]"
3.0000000000000018,30.32,4.0,"[73, 4473, 26]"
10.999999999999998,15.48,0.9999999999999998,"[6657, 3879, 6215, 8074, 1259, 2641, 4982, 3512, 3481, 4060, 766]"
21.999999999999996,43.83,3.0,"[2562, 3333, 5767, 2573, 6032, 7825, 6291, 25, 3502, 1711, 5424, 4039, 2926, 4080, 6130, 5619, 2165, 5493, 2423, 7419, 509, 1918]"
5.0000000000000036,9.57,0.9999999999999998,"[3333, 5767, 2573, 6032, 22]"
7.999999999999995,15.65,2.0,"[3584, 4131, 5774, 7695, 6801, 4878, 228, 1404]"
1.0,1.95,0.0,[441]
9.999999999999996,21.57,2.0,"[2562, 3333, 5767, 2573, 3502, 6032, 7825, 6291, 25, 1199]"
