seed_set,spread,seed,communities,fairness,budget,time
"[4480, 252]",0.0026719147950914563,0.99,0.19725400305717433,0.1829527173662462,0.9807247494217425,0.19999999999999996
"[4488, 1299, 35, 1]",0.004766149571660106,0.97,0.24365027137801465,0.2067801137853882,0.9606784888203547,0.19999999999999996
[4480],0.0014864551979624913,1.0,0.1383983061982984,0.1674453888423022,0.9920328964276536,0.4
"[4488, 2180, 1546, 1461, 1068, 627, 527, 51, 40, 38, 15, 8, 2]",0.011649687427645288,0.88,0.34319924097333687,0.2793411850767691,0.8586481624261115,0.19999999999999996
"[4478, 2180, 1873, 1546, 1094, 920, 252, 75, 38, 35, 15, 8]",0.011312803889789303,0.89,0.34650016538417816,0.27756524237119007,0.8555641223335904,0.19999999999999996
"[4488, 2180, 1546, 1461, 1068, 627, 40, 38, 15, 8, 2]",0.010486223662884927,0.9,0.33642706190638305,0.2770068210481591,0.8758673862760216,0.19999999999999996
"[6457, 4488, 3490, 2180, 1556, 1546, 1461, 1094, 1068, 920, 627, 163, 62, 54, 40, 38, 15, 8, 2]",0.01554410743227599,0.82,0.3812845297821794,0.34114471648139144,0.7923413004369056,0.19999999999999996
"[4497, 40, 38, 8, 2]",0.005793007640657559,0.96,0.26584264249080514,0.1901032906306529,0.9421742482652274,0.19999999999999996
"[4497, 386, 40, 38, 8, 2]",0.006753878212549202,0.95,0.2806758733207545,0.19099278403508269,0.9311231046003599,0.19999999999999996
"[8459, 8457, 4488, 3507, 3490, 3374, 3227, 2180, 2028, 1873, 1697, 1663, 1546, 1332, 1305, 1299, 1231, 1199, 1128, 1094, 1068, 920, 904, 881, 851, 734, 627, 614, 600, 590, 527, 442, 433, 413, 283, 277, 224, 192, 163, 87, 86, 76, 75, 67, 62, 40, 38, 35, 24, 15, 13, 8, 2]",0.030644825191016436,0.48,0.43632347205254984,0.3820574531665881,0.47211513749678746,0.0
"[8466, 4494, 4478, 2180, 1873, 1546, 920, 906, 386, 220, 141, 75, 73, 40, 38, 15, 2]",0.014442000463070155,0.84,0.3419932552692161,0.28112702371436693,0.8157286044718581,0.19999999999999996
"[8459, 4494, 3227, 1697, 1556, 1546, 1305, 1094, 1068, 920, 527, 442, 413, 283, 277, 163, 141, 67, 40, 38, 35, 31, 24, 15, 8, 2]",0.01913984718684881,0.75,0.3729479907695381,0.3125473320728157,0.7152402981238757,0.19999999999999996
"[8457, 8453, 4494, 4488, 3811, 3227, 2180, 1907, 1697, 1546, 1305, 1128, 1094, 1068, 920, 904, 627, 600, 527, 442, 413, 277, 163, 141, 86, 76, 62, 54, 40, 38, 24, 15, 8, 2]",0.023361889326232926,0.67,0.4056056113375959,0.3390581691662512,0.6355692624004112,0.0
"[4488, 3490, 2180, 1546, 1094, 163, 40, 38, 8, 2]",0.009570502431118314,0.91,0.32144296133106265,0.2741214495132025,0.8851195065535852,0.19999999999999996
"[4476, 1546, 1094, 62, 38, 35, 15, 8, 2]",0.008955776800185227,0.92,0.3160343786112024,0.22637647937658645,0.8894885633513235,0.19999999999999996
"[4476, 1546, 1094, 386, 163, 8, 2]",0.007436906691363741,0.94,0.29804744513146586,0.24152971542617818,0.9172449241840144,0.19999999999999996
"[4497, 4471, 3490, 1873, 1556, 1546, 920, 458, 163, 38, 35, 26, 15, 8, 2]",0.013220652928918731,0.86,0.34275610379067756,0.26845770020505866,0.8242097147262915,0.19999999999999996
"[8457, 4494, 2180, 1873, 1546, 1326, 904, 527, 163, 141, 62, 54, 38, 15, 8, 2]",0.01403218337578143,0.85,0.3489343851749058,0.2890230545982181,0.8157286044718581,0.19999999999999996
"[2180, 1546, 1461, 1305, 1068, 627, 527, 163, 51, 40, 38, 15, 8, 2]",0.012428802963648993,0.87,0.34775822418578894,0.2822030292905273,0.8414289385762015,0.19999999999999996
"[8457, 4497, 4494, 3857, 3227, 3013, 2180, 2028, 1907, 1873, 1697, 1687, 1663, 1546, 1305, 1199, 1094, 1068, 920, 904, 881, 627, 600, 527, 458, 442, 413, 290, 277, 173, 163, 141, 86, 76, 62, 54, 38, 24, 15, 8, 2]",0.026539708265802268,0.6,0.4243677314999744,0.36516453454533415,0.574402467232074,0.19999999999999996
"[8457, 5852, 4925, 4497, 4494, 3857, 3507, 3490, 3227, 2180, 2028, 1907, 1873, 1697, 1687, 1546, 1461, 1443, 1324, 1305, 1231, 1199, 1094, 1068, 1022, 920, 904, 881, 851, 806, 734, 627, 600, 553, 527, 442, 433, 413, 283, 277, 224, 173, 165, 163, 141, 86, 75, 67, 62, 59, 54, 51, 38, 36, 31, 24, 15, 8, 2]",0.032874507987960176,0.42,0.4472942663745596,0.4041567171323319,0.4243125160627088,0.19999999999999996
"[8453, 4494, 4488, 3811, 3227, 2180, 1907, 1697, 1546, 1305, 1128, 1068, 920, 904, 600, 527, 442, 413, 277, 163, 141, 86, 76, 75, 62, 54, 40, 38, 24, 15, 8, 2]",0.022397545728177818,0.69,0.40321287931310845,0.3460032982673713,0.6509894628630173,0.0
"[4497, 163, 62, 54, 40, 38, 8, 2]",0.008504283398934939,0.93,0.302934912816924,0.20915163424382655,0.9023387304034952,0.19999999999999996
"[8459, 8457, 4494, 4478, 2180, 1873, 1546, 1420, 1068, 920, 904, 529, 527, 163, 141, 40, 38, 15, 8, 2]",0.016341745774484835,0.81,0.35460769742951215,0.3095698425909157,0.7807761500899512,0.0
"[8457, 8455, 8447, 6335, 5852, 4497, 4494, 3507, 3490, 3227, 2180, 2028, 1907, 1873, 1697, 1556, 1546, 1324, 1305, 1231, 1199, 1094, 1068, 1022, 920, 904, 881, 851, 806, 734, 627, 600, 553, 527, 442, 433, 413, 290, 283, 277, 224, 173, 165, 163, 141, 86, 76, 75, 67, 62, 59, 54, 38, 36, 24, 15, 8, 2]",0.032453114146793235,0.43,0.4371312698500812,0.39898178830177544,0.44024672320740166,0.19999999999999996
"[6395, 4497, 1873, 1546, 1305, 1128, 1068, 920, 627, 277, 163, 141, 76, 54, 40, 38, 35, 24, 15, 8, 2]",0.016668210233850428,0.8,0.36582786224961106,0.298417619344715,0.7607298894885633,0.19999999999999996
"[8457, 4494, 3490, 3227, 2180, 1697, 1556, 1546, 1305, 1128, 1094, 1068, 920, 904, 600, 529, 527, 442, 413, 277, 163, 141, 86, 76, 75, 62, 40, 38, 36, 24, 15, 8, 2]",0.023058578374623755,0.68,0.4146091871492036,0.3625050918637368,0.6432793626317141,0.0
