n_nodes,influence,nodes
1,12.07,[4480]
2,23.37,"[4470, 35]"
5,54.72,"[35, 163, 38, 4470, 31]"
28,178.22,"[386, 2180, 4485, 1414, 1546, 8460, 4494, 920, 24, 25, 283, 1697, 163, 35, 1443, 38, 40, 1068, 3507, 58, 442, 73, 590, 1873, 86, 1369, 220, 252]"
25,165.48,"[2180, 4484, 1369, 290, 35, 1546, 38, 277, 4493, 15, 8, 163, 904, 54, 86, 1420, 1697, 132, 36, 1068, 1231, 1873, 1904, 627, 907]"
96,363.69,"[2, 8, 1546, 12, 15, 1553, 1556, 24, 25, 31, 35, 1068, 1582, 51, 54, 569, 582, 76, 590, 86, 600, 614, 1128, 627, 632, 2180, 132, 141, 3227, 1697, 163, 171, 172, 173, 7856, 202, 2250, 1231, 220, 734, 224, 1254, 1277, 8447, 8455, 277, 1305, 290, 806, 294, 808, 3368, 1324, 817, 1332, 824, 4925, 1872, 1873, 341, 856, 1369, 1904, 881, 370, 1907, 1404, 4486, 1414, 904, 906, 4492, 4493, 4496, 914, 920, 413, 3490, 1443, 428, 429, 433, 3507, 951, 442, 954, 446, 3013, 458, 978, 5596, 2026, 2028, 2031, 1022, 1011]"
6,60.19,"[2, 163, 8, 15, 277, 4472]"
8,79.26,"[35, 163, 38, 8, 1546, 4493, 277, 4470, 1369]"
4,44.19,"[2, 163, 38, 4470]"
31,191.96,"[2, 1414, 8455, 8, 904, 1546, 2189, 14, 15, 4493, 141, 277, 1687, 920, 1305, 665, 3227, 25, 413, 1697, 290, 35, 1068, 54, 442, 4925, 458, 590, 1873, 86, 1369]"
38,218.79,"[2, 2180, 132, 1414, 8455, 8, 904, 1546, 4492, 2189, 14, 15, 4493, 1687, 277, 141, 920, 1305, 25, 40, 442, 2111, 1697, 163, 35, 806, 1068, 429, 3507, 54, 4925, 590, 1873, 86, 734, 1128, 1904, 1907]"
44,241.03,"[132, 2180, 1414, 8455, 8, 904, 1546, 4493, 141, 15, 2189, 277, 24, 1305, 665, 25, 3227, 413, 31, 1256, 252, 1691, 38, 173, 1461, 54, 590, 1907, 3843, 1904, 1556, 1873, 920, 1697, 86, 35, 163, 806, 171, 1068, 429, 3507, 220, 734]"
66,304.99,"[2, 132, 2180, 277, 8455, 8, 904, 1546, 1305, 665, 4492, 4493, 15, 413, 1553, 1556, 24, 25, 141, 3227, 31, 1697, 1256, 920, 163, 1414, 1068, 429, 3507, 252, 1277, 38, 442, 4925, 582, 906, 1873, 86, 1369, 713, 884, 1904, 35, 1461, 806, 824, 2126, 1231, 468, 97, 458, 171, 1324, 600, 1128, 946, 1332, 8447, 220, 3013, 202, 1254, 2250, 1872, 734, 2026, 1022]"
7,65.62,"[2, 4472, 30, 163, 15, 277, 220]"
36,207.96,"[132, 2180, 1414, 8455, 904, 8, 1546, 4492, 4493, 141, 15, 2189, 277, 24, 665, 1305, 3227, 25, 413, 1694, 31, 806, 429, 920, 1697, 163, 35, 1369, 1068, 594, 1873, 3507, 252, 442, 86, 220]"
19,144.46,"[8455, 8, 1546, 1420, 4493, 398, 15, 141, 277, 920, 24, 1697, 35, 163, 38, 1068, 54, 86, 1369, 4470]"
11,98.74,"[2, 132, 2180, 442, 4493, 15, 277, 86, 1904, 35, 163, 40]"
27,176.53,"[2, 132, 2180, 442, 2460, 4493, 15, 277, 86, 163, 40, 920, 1305, 665, 35, 3227, 25, 413, 1697, 290, 1068, 54, 4925, 458, 590, 1873, 1369]"
62,292.05,"[2, 8, 1546, 12, 38, 1553, 1556, 24, 25, 31, 35, 1068, 15, 429, 54, 446, 582, 76, 590, 86, 600, 713, 1128, 1098, 2126, 73, 1256, 2180, 1414, 8455, 904, 906, 4492, 4493, 141, 277, 1305, 3227, 920, 413, 1697, 3490, 163, 806, 1324, 734, 1575, 951, 824, 3507, 1332, 442, 4925, 3013, 202, 2250, 458, 1231, 1872, 1873, 1369, 1904]"
13,103.83,"[2, 35, 2180, 4485, 38, 163, 15, 3507, 277, 86, 54, 1369, 442]"
74,320.01,"[2, 8, 1546, 12, 1553, 1556, 535, 24, 25, 35, 38, 40, 1068, 582, 73, 76, 2126, 627, 86, 600, 590, 614, 1128, 632, 172, 173, 1277, 8465, 290, 1907, 4486, 433, 1296, 220, 171, 2026, 8447, 3507, 1369, 4115, 132, 2180, 1414, 1254, 8455, 951, 904, 3013, 4492, 734, 4493, 141, 277, 920, 1332, 1305, 3227, 413, 1697, 3490, 202, 1904, 163, 2250, 1231, 806, 1324, 429, 824, 442, 4925, 446, 1873, 1872]"
83,339.94,"[2, 8, 1546, 12, 1553, 1556, 535, 24, 25, 35, 38, 40, 1068, 582, 73, 76, 2126, 590, 86, 600, 627, 1128, 614, 623, 200, 713, 880, 4469, 945, 664, 8447, 1212, 220, 402, 172, 173, 881, 1369, 856, 1443, 458, 1022, 1254, 2180, 433, 951, 132, 13, 734, 224, 290, 1414, 8455, 904, 141, 1332, 4492, 4493, 171, 277, 1305, 1904, 202, 1231, 920, 413, 1697, 163, 3490, 806, 294, 808, 3368, 1324, 428, 817, 429, 824, 442, 4925, 446, 1872, 1873]"
