n_nodes,influence,obj,nodes
0.97,0.01,0.9653045489591364,"[734, 1414, 410, 1461]"
0.96,0.01,0.95733744538679,"[1553, 8, 26, 1406, 3561]"
0.88,0.03,0.8738113595476741,"[40, 920, 116, 1873, 1951, 86, 277, 1862, 1306, 1872, 413, 38, 355]"
0.37,0.11,0.4582369570804421,"[86, 222, 1231, 1687, 491, 431, 527, 410, 582, 30, 904, 3735, 562, 1696, 62, 1443, 1731, 1414, 914, 851, 1324, 3063, 54, 31, 1754, 3374, 920, 600, 1546, 116, 231, 132, 1184, 363, 172, 1499, 3552, 335, 1537, 544, 2208, 1128, 224, 141, 8, 871, 474, 67, 442, 400, 1873, 40, 5776, 889, 1256, 869, 2196, 2061, 1098, 881, 1697, 2548, 523, 1772]"
0.83,0.04,0.8290927782061167,"[2196, 590, 851, 1098, 1904, 116, 32, 1687, 1022, 290, 2935, 2548, 920, 4740, 1907, 1546, 252, 2]"
0.85,0.01,0.9722436391673092,"[867, 2278, 3815, 2089, 5004, 6124, 1327, 3570, 5716, 5526, 5048, 6393, 27, 2268, 7422, 2591]"
0.36,0.03,0.883834489848368,"[4354, 8196, 6662, 1672, 5642, 13, 8466, 5272, 922, 7194, 4252, 4765, 413, 3999, 4897, 804, 5030, 3879, 7210, 3884, 2478, 5679, 3376, 4785, 7986, 5808, 4916, 7863, 5945, 5818, 7870, 7486, 1473, 321, 4292, 5445, 2630, 5190, 1233, 4435, 8148, 7894, 87, 2779, 6363, 6877, 6882, 4067, 869, 5607, 2153, 6633, 1259, 2412, 4078, 3567, 6385, 1777, 881, 6514, 5621, 2550, 3702, 8570, 3710]"
0.42,0.03,0.9103058339758416,"[3971, 6659, 3076, 6537, 8073, 1165, 3981, 2577, 3091, 6164, 8469, 2837, 1687, 6806, 2199, 5659, 4763, 4255, 5920, 2341, 7207, 1705, 2730, 3115, 3244, 2987, 2807, 6447, 5549, 2347, 1708, 1456, 2868, 5301, 950, 817, 5177, 1596, 3133, 8006, 4935, 4936, 7881, 5068, 2385, 7770, 989, 8286, 8415, 2785, 5089, 7650, 2789, 8301, 750, 242, 2419, 1012, 3959]"
0.76,0.01,0.9766126959650475,"[4609, 8066, 3722, 5662, 6815, 8480, 1441, 2985, 7988, 8631, 1592, 4540, 5823, 1223, 3530, 4174, 7376, 7506, 5589, 5722, 4316, 1378, 7912, 6383, 2942]"
0.03,0.04,0.8591621691081984,"[6656, 8, 3594, 7180, 4629, 3094, 23, 7195, 7714, 1575, 5159, 575, 3657, 8275, 4191, 6244, 4709, 6253, 2676, 4224, 5251, 6275, 7813, 1675, 8332, 1167, 1682, 1687, 7324, 6816, 4773, 5286, 5799, 7848, 681, 4280, 194, 1730, 8388, 1221, 207, 1749, 728, 8442, 4858, 3841, 2818, 2827, 781, 4366, 7953, 3346, 281, 8475, 4385, 8493, 302, 3381, 3384, 3387, 830, 6981, 1350, 5445, 2385, 5973, 5472, 7522, 2409, 6506, 883, 2433, 7042, 8580, 6027, 5007, 7057, 2970, 1437, 2981, 6576, 5054, 3012, 7630, 465, 467, 4054, 8154, 4062, 488, 2537, 5096, 3570, 2552, 5113, 1531, 2558, 6143]"
0.66,0.02,0.9429452582883577,"[7937, 1, 4998, 523, 6167, 152, 8344, 7578, 1177, 1948, 4892, 5023, 2207, 5408, 4903, 5673, 7338, 5036, 4524, 1202, 6579, 6964, 7228, 8387, 581, 711, 5459, 217, 3674, 6372, 2661, 3812, 1898, 7146, 7532]"
0.83,0.01,0.9794397327165253,"[8577, 739, 5768, 1129, 4074, 3787, 1567, 6158, 1454, 1232, 752, 7919, 3412, 7320, 6137, 2525, 4350, 3871]"
0.45,0.03,0.9061937805191468,"[1280, 6913, 7170, 2432, 6020, 8447, 2694, 517, 7042, 3215, 2704, 5781, 2074, 3098, 413, 2336, 1188, 8357, 7846, 8109, 8366, 2608, 5682, 8375, 7608, 3513, 1211, 4667, 8123, 318, 3136, 2114, 2628, 3013, 4168, 4945, 468, 4692, 7383, 2138, 6624, 2272, 6498, 7906, 5736, 8425, 4458, 4330, 108, 7664, 4981, 3701, 1656, 8313, 8573, 3455]"
0.01,0.04,0.8609611924955024,"[2059, 2575, 527, 2065, 2592, 8233, 8237, 6190, 46, 1614, 5199, 1618, 8278, 3677, 5732, 7272, 3693, 4719, 111, 3183, 4722, 118, 3703, 7302, 6282, 4754, 7829, 1698, 4260, 1706, 683, 175, 6325, 6841, 5825, 1220, 715, 5330, 7386, 8416, 227, 8425, 6890, 1266, 6904, 1785, 5377, 4865, 3331, 7939, 1797, 7942, 3847, 7432, 4357, 782, 2840, 1315, 4902, 7462, 1843, 313, 5945, 2373, 2387, 3425, 5478, 3945, 8053, 2423, 4475, 7038, 3455, 1411, 2952, 2953, 393, 6033, 915, 8089, 3481, 1947, 8101, 1964, 2995, 4020, 8628, 8634, 444, 5569, 6083, 7108, 3523, 7622, 1481, 3536, 471, 8161, 3558, 5094]"
0.21,0.04,0.8722693395014135,"[5130, 7694, 6160, 3101, 1054, 8224, 7205, 1582, 47, 2620, 5186, 7758, 6736, 3155, 87, 3678, 2163, 6783, 1665, 4225, 1675, 1677, 2205, 2717, 4775, 8359, 690, 180, 4287, 3781, 5320, 3280, 1750, 3802, 4314, 6385, 3827, 6393, 7427, 1798, 1291, 784, 3880, 5421, 4911, 1328, 309, 7991, 2377, 1878, 2391, 2393, 6507, 1391, 1904, 1923, 5518, 7056, 3478, 7089, 4018, 5045, 2998, 950, 6074, 6075, 3006, 5577, 8137, 5067, 2509, 2003, 984, 2522, 6116, 6118, 2534, 5106, 4595, 6140]"
0.2,0.04,0.8735543562066307,"[5145, 6690, 3619, 547, 4645, 8231, 55, 3129, 1597, 6721, 7746, 1607, 5709, 83, 2653, 2670, 2674, 5235, 7291, 6268, 637, 1664, 4231, 6793, 1202, 6339, 1219, 2246, 6855, 4815, 7381, 4823, 3800, 2268, 5852, 6367, 1767, 6381, 6383, 7415, 4871, 265, 2837, 5404, 5917, 5926, 295, 7977, 297, 2358, 825, 8518, 328, 2892, 3918, 2896, 5988, 1387, 8557, 7535, 7544, 7034, 3460, 912, 6033, 404, 6042, 2468, 421, 1969, 4530, 1976, 7610, 6592, 8139, 987, 2533, 6640, 5106, 7155, 5619]"
