seed_set,spread,seed,communities,fairness,budget,time
"[3724, 3490, 1922, 920, 871, 277, 40]",0.015070618198657097,0.94,0.4048606431050541,0.2733441018456533,0.9352351580570547,0.19999999999999996
"[5858, 4740, 4165, 4097, 3735, 3724, 3561, 3552, 3507, 3490, 3442, 3227, 3196, 2674, 2325, 2321, 2220, 2208, 2204, 1918, 1907, 1904, 1872, 1824, 1775, 1697, 1696, 1687, 1663, 1579, 1563, 1553, 1537, 1504, 1461, 1443, 1420, 1379, 1377, 1369, 1296, 1256, 1248, 1231, 1220, 1219, 1206, 1128, 1098, 1094, 1092, 920, 914, 904, 889, 881, 851, 808, 726, 608, 590, 553, 527, 523, 429, 428, 413, 402, 370, 360, 355, 354, 290, 277, 252, 231, 224, 119, 86, 75, 67, 62, 58, 54, 50, 38, 35, 32, 26, 16, 14, 13, 8, 2, 1]",0.14877286408890947,0.06,0.6660204147925246,0.546935532927936,0.19378051914674888,0.0
"[2208, 2061, 1092, 946, 808, 600, 431, 360, 222, 67, 38, 12, 1]",0.024564714054179208,0.88,0.4694665069841031,0.3061327390779106,0.8953996401953226,0.0
"[8160, 7895, 7033, 5928, 5875, 5444, 4983, 4913, 4656, 4633, 4017, 2700, 2394, 1936, 1662, 1073, 667, 435, 69]",0.00899398008798333,0.82,0.3609462588574943,0.39012899230708975,0.9742996658956566,0.19999999999999996
"[8355, 8349, 8316, 8212, 8113, 8098, 8097, 8091, 8020, 7873, 7753, 7385, 7088, 7023, 6989, 6772, 6588, 6547, 6445, 6412, 6379, 6305, 6232, 6119, 6087, 6042, 6000, 5998, 5715, 5472, 5321, 5180, 5000, 4655, 4479, 4361, 4340, 4185, 4159, 4147, 4124, 4057, 3927, 3649, 3318, 3074, 2921, 2831, 2762, 2668, 2582, 2571, 2480, 2392, 2289, 2218, 1970, 1923, 1865, 1794, 1686, 1676, 1601, 1597, 1499, 1408, 1362, 1267, 1157, 847, 846, 583, 213]",0.031217874507987964,0.28,0.5071184115960303,0.6161415192085116,0.9067077872012336,0.19999999999999996
"[8198, 8180, 8150, 7836, 7695, 7588, 7582, 7318, 6678, 6645, 6279, 6074, 6059, 5827, 5466, 5121, 5046, 4774, 4528, 4463, 4301, 4253, 4240, 4206, 4049, 3366, 2960, 2663, 2351, 2332, 2013, 1598, 1174, 745, 709, 555, 527, 230, 57]",0.01894767307247048,0.62,0.44755222275888484,0.5345302890489936,0.9336931380107941,0.19999999999999996
"[8144, 8126, 7982, 7623, 7500, 7222, 7062, 6920, 6891, 6788, 6712, 6451, 6446, 6416, 6300, 6268, 5847, 5336, 5281, 4855, 4831, 4734, 4722, 4548, 4525, 4334, 4279, 4267, 4262, 3916, 3874, 3682, 3440, 3420, 3314, 3012, 2912, 2411, 2374, 2345, 2309, 2291, 1847, 1819, 1433, 962, 797, 480, 235, 206, 176]",0.021339430423709192,0.5,0.46238785532779425,0.5234577906145609,0.9378051914674891,0.19999999999999996
"[8271, 8205, 7524, 6924, 6824, 6551, 5609, 5369, 5345, 5310, 4993, 4899, 4460, 4277, 4275, 4215, 3930, 3905, 3728, 3572, 3232, 2450, 1920, 1525, 514]",0.008997453114146793,0.76,0.35074544158655496,0.41249821382856555,0.9750706759187869,0.19999999999999996
"[8349, 8347, 7739, 7625, 7463, 7152, 7042, 5677, 5228, 4919, 4812, 4764, 4723, 4525, 4504, 4439, 4433, 3949, 3296, 3152, 3121, 3105, 3096, 2917, 2740, 2099, 1614, 1216, 920, 29]",0.015465385505904145,0.71,0.4331230923472028,0.48090452558210917,0.951940375224878,0.19999999999999996
"[8312, 8121, 8023, 7398, 6131, 6095, 5474, 5438, 5419, 4953, 4915, 4603, 4595, 4530, 4465, 4408, 3651, 3574, 3457, 3280, 3234, 3233, 2793, 2746, 2473, 2194, 2169, 1959, 1933, 1922, 1654, 1488, 1065, 692, 406, 248]",0.01821833757814309,0.65,0.4397607595851567,0.45491599943299754,0.9406322282189669,0.19999999999999996
"[7935, 7526, 7398, 7353, 7348, 7207, 6270, 5713, 5672, 5570, 5052, 4544, 4257, 2951, 2928, 2835, 2105, 1657, 1287, 1140, 886, 637, 574, 543]",0.010311414679323916,0.77,0.37929608421046734,0.4426598956458575,0.9704446157800052,0.19999999999999996
"[8392, 8289, 7329, 7296, 6845, 6816, 5944, 5719, 5198, 5055, 5027, 4148, 4054, 3913, 2285, 2040, 1947, 1700, 579, 210]",0.008337578143088678,0.81,0.3354440068398883,0.4255467755805413,0.9758416859419172,0.19999999999999996
"[7397, 7387, 7254, 6967, 6501, 6165, 5763, 5566, 5363, 5216, 4973, 4794, 4699, 4606, 4288, 4279, 4092, 3085, 3000, 2658, 2544, 2530, 1963, 1681, 1551, 892, 666, 602, 12]",0.011991201667052559,0.72,0.37125725313374613,0.44647020362232603,0.965047545618093,0.19999999999999996
"[8556, 8280, 8256, 8160, 7919, 7894, 7772, 7682, 7491, 7339, 7254, 7086, 6940, 6712, 6621, 6416, 6361, 6335, 6311, 6147, 6140, 5749, 5569, 5459, 5234, 5135, 5051, 4988, 4951, 4546, 4539, 4293, 4077, 4038, 3932, 3901, 3830, 3670, 3511, 3453, 3337, 3243, 3092, 2680, 2493, 2161, 2115, 2029, 1651, 1373, 1067, 1008, 1005, 836, 736, 710, 473, 382, 264, 256, 67]",0.029839083121092846,0.4,0.5229546523273791,0.5902009340176944,0.9072217938833205,0.0
"[8358, 8231, 7079, 6687, 6370, 6334, 5882, 3996, 3055, 2954, 2499, 2397, 1909, 1289, 437, 355, 194]",0.010772169483676777,0.84,0.3735473812957266,0.3838240619691785,0.9676175790285274,0.19999999999999996
"[8559, 8512, 8313, 8275, 8159, 8092, 7945, 7852, 7628, 7606, 7570, 7528, 7359, 7274, 6928, 6828, 6813, 6688, 6548, 6454, 6426, 6273, 6206, 5916, 5796, 5598, 5595, 5551, 5414, 5287, 5213, 5155, 5128, 5083, 5077, 5059, 4953, 4938, 4886, 4862, 4693, 4478, 4373, 4360, 4328, 4153, 4068, 4007, 3855, 3812, 3690, 3668, 3609, 3521, 3445, 3389, 3285, 3173, 3042, 2927, 2853, 2849, 2802, 2763, 2535, 2380, 2369, 2301, 2269, 2152, 2007, 1867, 1864, 1798, 1662, 1481, 1412, 1383, 1361, 1253, 1223, 1156, 1150, 1087, 1069, 1051, 1033, 705, 699, 697, 661, 634, 602, 506, 327, 205, 100, 84, 37]",0.047083815698078256,0.02,0.5836337271005398,0.6450217824300457,0.835260858391159,0.0
"[8628, 8547, 8463, 8452, 8441, 8103, 8053, 7875, 7807, 7789, 7735, 7679, 7619, 7372, 7273, 7245, 7196, 7185, 7015, 6844, 6333, 6293, 5644, 5565, 5490, 5309, 5062, 4727, 4543, 4429, 4337, 4333, 4176, 4090, 4060, 3893, 3870, 3817, 3799, 3626, 3578, 3385, 3383, 3308, 3258, 3245, 3233, 3144, 2946, 2664, 2460, 2256, 2142, 2057, 1903, 1841, 1624, 1593, 1548, 1266, 939, 902, 752, 744, 653, 636, 470, 386, 92, 18, 1]",0.03381454040287103,0.3,0.5047069192308242,0.5519630276079899,0.8799794397327165,0.19999999999999996
"[8616, 8552, 8420, 8380, 8262, 8138, 8020, 7927, 7829, 7768, 7563, 7376, 7355, 7305, 7259, 7220, 7183, 7179, 7143, 7050, 6774, 6669, 6554, 6410, 6405, 6401, 6340, 6251, 6237, 6182, 5756, 5667, 5560, 5519, 5437, 5434, 5399, 5393, 5311, 5223, 5210, 5107, 4884, 4854, 4757, 4746, 4735, 4526, 4479, 4441, 4313, 4227, 4183, 4123, 3844, 3842, 3773, 3529, 3468, 3408, 3306, 3262, 3057, 2994, 2891, 2863, 2738, 2682, 2634, 2607, 2460, 2449, 2404, 2243, 2216, 1973, 1966, 1854, 1846, 1746, 1686, 1657, 1484, 1472, 1391, 1361, 1322, 942, 858, 722, 685, 674, 672, 589, 370, 363, 305, 213, 183, 25]",0.04439685112294513,0.01,0.5690122864721514,0.6265962734734606,0.8578771524029812,0.0
"[8109, 8083, 7347, 6085, 3550, 1316]",0.0024218569113220656,0.95,0.24050732001092145,0.253680502843583,0.9938319198149576,0.4
"[8622, 8595, 8410, 7983, 7930, 7922, 7840, 7806, 7777, 7742, 7696, 7663, 7628, 7564, 7516, 7298, 7119, 7086, 6846, 6825, 6816, 6785, 6722, 6721, 6598, 6587, 6546, 6522, 6428, 6359, 6312, 6247, 6244, 6002, 5976, 5916, 5876, 5834, 5478, 5471, 5435, 5434, 5249, 5123, 5056, 4860, 4851, 4845, 4708, 4544, 4507, 4332, 4248, 4138, 4002, 3761, 3697, 3646, 3474, 3375, 3115, 2767, 2751, 2636, 2581, 2523, 2456, 2434, 2413, 2263, 2145, 2094, 2070, 1977, 1701, 1681, 1567, 1493, 1461, 1443, 1411, 1374, 1349, 1273, 1173, 1131, 1111, 1106, 1076, 876, 870, 788, 756, 641, 366, 338, 274, 266, 106]",0.04214517249363279,0.02,0.5577712016695533,0.6636740631072235,0.8704703161141095,0.0
"[8556, 8235, 7971, 7920, 7838, 7370, 7276, 7130, 7089, 6953, 6262, 5782, 5769, 5576, 5215, 4944, 4223, 3581, 3122, 2929, 2917, 2854, 2770, 1997, 1973, 1963, 1941, 1838, 1747, 1456, 1156, 946, 942, 714, 539, 117]",0.017330400555684185,0.65,0.43233627185192713,0.48187122218777034,0.9455152916987921,0.19999999999999996
"[8236, 8149, 8036, 7937, 7665, 7662, 7344, 7330, 7221, 7162, 6897, 6489, 6119, 6005, 6003, 5841, 5452, 5246, 5211, 5171, 4777, 4762, 4629, 4561, 4488, 4371, 4276, 4141, 3955, 3952, 3648, 3446, 3400, 3245, 3224, 3149, 3077, 3042, 2849, 2637, 2293, 2177, 1992, 1830, 1803, 1627, 1494, 1434, 1378, 1266, 1085, 972, 928, 877, 731, 547, 529, 437, 432, 402, 253, 119, 1]",0.03231303542486687,0.38,0.5147430536675048,0.6239616248921447,0.8907735800565407,0.0
[777],0.00035540634406112524,1.0,0.07872647468882155,0.1674453888423022,0.9992289899768697,1.0
"[8537, 8515, 8285, 7835, 7738, 7550, 7466, 7202, 7019, 6771, 6681, 6634, 5889, 5886, 5846, 5778, 5675, 5563, 5553, 5459, 5349, 5180, 5148, 5019, 4997, 4779, 4749, 4717, 4533, 4318, 4238, 3951, 3897, 3635, 3539, 3445, 3331, 3138, 2940, 2671, 2622, 2074, 1593, 1364, 1294, 960, 853, 752, 737, 594, 589, 551, 352]",0.021269969900439917,0.48,0.44331644891906963,0.4958831046101918,0.9398612181958366,0.19999999999999996
"[8614, 8398, 7876, 7355, 7080, 6951, 6493, 6481, 5871, 5717, 5201, 5053, 4934, 4691, 4430, 4316, 3965, 3450, 3056, 2757, 2685, 2384, 2152, 1590, 1497, 1479, 950, 810]",0.013305163232229683,0.73,0.39218656392161033,0.4338640808899824,0.9588794654330506,0.19999999999999996
