n_nodes,influence,obj,nodes
0.82,0.03,0.4717997975546374,"[35, 431, 12, 2220, 1220, 62, 224, 428, 458, 45, 2102, 5776, 808, 871, 31, 38, 429, 276, 1918]"
0.51,0.09,0.6060318892969254,"[67, 8, 3520, 920, 58, 1026, 13, 946, 3965, 2196, 1443, 231, 442, 86, 1760, 1022, 1775, 402, 173, 1904, 4165, 2102, 1862, 1873, 1546, 163, 881, 428, 14, 15, 354, 277, 1420, 3552, 691, 3490, 4740, 3507, 458, 144, 202, 132, 141, 1248, 2708, 1922, 847, 1324, 1772, 32]"
0.54,0.08,0.5710263360375034,"[1369, 3196, 1760, 1579, 734, 76, 1778, 386, 1862, 3735, 474, 523, 3502, 1499, 67, 38, 58, 3031, 1872, 54, 1907, 4097, 1296, 413, 946, 40, 2, 3561, 1256, 906, 3442, 588, 2196, 1873, 163, 224, 335, 220, 1098, 252, 590, 36, 3063, 442, 847, 1132, 2708]"
0.1,0.14,0.6469041655704074,"[8, 1553, 1022, 116, 806, 3490, 36, 1904, 582, 871, 1922, 458, 889, 1420, 4097, 386, 1907, 1443, 1231, 474, 382, 24, 50, 27, 1579, 220, 75, 31, 2102, 2321, 1369, 276, 173, 335, 734, 67, 691, 252, 3561, 3724, 1068, 202, 3552, 400, 442, 1, 529, 904, 946, 132, 951, 2, 277, 35, 600, 16, 14, 428, 224, 1324, 1184, 1775, 1499, 1696, 2935, 590, 431, 4740, 76, 1697, 1414, 25, 2204, 3196, 1377, 1754, 1999, 62, 1094, 1050, 2196, 1918, 2124, 1220, 3227, 1461, 1537, 163, 15, 86, 544]"
0.96,0.01,0.36127431060619564,"[474, 5858, 1128, 413, 582]"
0.33,0.11,0.6501034430537631,"[15, 1546, 600, 1687, 1296, 276, 24, 3442, 54, 806, 410, 354, 1579, 3965, 224, 1332, 360, 1050, 523, 76, 75, 144, 3196, 904, 163, 3063, 5858, 734, 50, 132, 32, 442, 35, 252, 335, 1199, 2674, 1760, 608, 691, 1068, 544, 446, 25, 382, 3685, 45, 1022, 1406, 2208, 202, 370, 277, 726, 889, 3521, 2124, 2325, 2, 13, 1663, 3031, 920, 1256, 1, 588, 3493, 1922]"
0.19,0.13,0.6386086481464581,"[2102, 3724, 202, 36, 62, 914, 1414, 3493, 1504, 1296, 1697, 600, 951, 14, 1775, 163, 3368, 1256, 354, 40, 224, 1248, 1443, 35, 25, 906, 1098, 491, 173, 1199, 2, 386, 760, 3561, 1369, 2674, 808, 220, 252, 3552, 1546, 400, 12, 881, 1442, 582, 277, 1444, 3442, 141, 15, 442, 608, 1537, 119, 1907, 1754, 920, 132, 4097, 410, 1951, 222, 144, 1824, 402, 3520, 904, 86, 231, 691, 1461, 3507, 54, 588, 172, 3965, 58, 24, 26, 734, 3031]"
0.04,0.15,0.6605818273119448,"[2325, 1546, 5858, 3442, 370, 86, 3490, 1553, 13, 1324, 442, 431, 386, 67, 1, 276, 429, 3521, 40, 3561, 144, 474, 1873, 1904, 600, 24, 851, 523, 3196, 132, 491, 2548, 14, 590, 1824, 1687, 16, 15, 31, 3227, 252, 1563, 2674, 428, 290, 3552, 1220, 231, 1443, 407, 335, 2, 1663, 3031, 1256, 3502, 25, 220, 904, 3685, 3507, 588, 224, 808, 946, 3063, 119, 1775, 1499, 1872, 1696, 1184, 413, 410, 553, 1731, 35, 141, 1537, 277, 32, 26, 1098, 544, 4165, 2204, 4740, 382, 50, 54, 1026, 1442, 906, 355, 881, 1306, 1414]"
0.85,0.03,0.479080788305691,"[3685, 116, 40, 3493, 3735, 808, 16, 3368, 474, 2708, 1220, 1873, 67, 1731, 163, 529]"
0.92,0.02,0.41137156724893786,"[1999, 1907, 86, 144, 527, 906, 458, 38, 222]"
