seed_set,spread,seed,communities,fairness,budget,time
"[5858, 5776, 4165, 3735, 3552, 3507, 3490, 3374, 3227, 3031, 2935, 2674, 2220, 2204, 1922, 1918, 1904, 1775, 1697, 1696, 1579, 1553, 1546, 1504, 1442, 1420, 1406, 1379, 1377, 1324, 1306, 1256, 1248, 1231, 1220, 1219, 1206, 1199, 1128, 1068, 1026, 920, 914, 904, 889, 881, 851, 806, 734, 726, 691, 608, 600, 582, 562, 544, 527, 523, 474, 442, 431, 429, 402, 370, 360, 355, 290, 277, 222, 220, 202, 163, 144, 141, 119, 86, 76, 75, 67, 62, 58, 54, 50, 40, 38, 36, 32, 31, 27, 26, 24, 15, 14, 13, 12, 2, 1]",0.14966427413753183,0.04,0.6651177311997185,0.549733794046755,0.16833718838344902,0.0
"[5858, 5776, 4165, 4097, 3735, 3520, 3442, 3227, 3031, 2325, 2321, 2102, 1922, 1907, 1873, 1862, 1697, 1687, 1563, 1546, 1504, 1444, 1406, 1377, 1369, 1332, 1248, 1231, 1206, 1132, 1128, 1068, 920, 914, 904, 889, 881, 871, 851, 847, 808, 760, 734, 726, 600, 590, 562, 544, 529, 523, 491, 474, 431, 413, 407, 382, 363, 360, 355, 290, 276, 231, 224, 220, 172, 86, 76, 67, 62, 54, 36, 31, 30, 27, 25, 16, 15, 14, 13, 2]",0.1295820791849965,0.21,0.660588884257939,0.5189243195691349,0.33461835003855045,0.0
"[8623, 8169, 8065, 8048, 7710, 7067, 6850, 6198, 5724, 5585, 5425, 5285, 4179, 4138, 4116, 4027, 4006, 3875, 3629, 3092, 2877, 2159, 1579, 1072, 864, 638, 572, 120]",0.011462144014818246,0.73,0.3853901254861899,0.49618021154814773,0.9665895656643536,0.19999999999999996
"[8576, 8262, 8205, 8181, 8177, 8095, 7949, 7901, 7815, 7482, 7397, 7250, 7221, 7096, 6256, 6198, 5354, 5329, 5069, 4084, 3364, 3076, 2964, 2925, 2046, 1734, 1433, 1345, 773, 668, 141]",0.01333063209076175,0.7,0.40830473021558344,0.5243099614894183,0.9539964019532254,0.19999999999999996
"[8262, 8205, 8181, 8177, 8095, 7949, 7901, 7815, 7482, 7397, 7250, 7221, 7096, 6256, 6198, 5354, 5329, 4739, 4084, 3364, 2964, 2925, 2910, 2565, 2046, 1734, 1433, 1345, 668, 391, 141]",0.015344987265570735,0.7,0.4261597896380388,0.5090504928287538,0.9480853251092264,0.19999999999999996
"[8440, 8169, 8137, 7866, 7543, 7477, 7476, 7269, 7245, 6714, 6645, 6379, 6252, 5630, 5226, 4849, 4701, 4697, 4592, 3735, 3308, 3196, 3185, 2808, 2749, 2653, 2425, 2140, 1904, 1760, 1398, 1355, 1132, 1094, 904, 881, 869, 829, 761, 745, 726, 617, 402, 346, 40]",0.03379138689511461,0.56,0.533090483732294,0.5688644322251328,0.8691852994088923,0.19999999999999996
"[5858, 3965, 3735, 3724, 3685, 3561, 3552, 3521, 3493, 3442, 3368, 3227, 3063, 2325, 2124, 2061, 1999, 1951, 1907, 1873, 1778, 1775, 1754, 1697, 1663, 1537, 1443, 1420, 1379, 1377, 1324, 1296, 1256, 1219, 1199, 1184, 1128, 1068, 1026, 951, 946, 920, 914, 906, 881, 851, 806, 726, 590, 562, 544, 529, 523, 429, 413, 400, 382, 370, 335, 290, 224, 173, 172, 163, 144, 141, 138, 132, 86, 76, 75, 67, 62, 54, 40, 35, 32, 30, 24, 15, 14, 13, 12, 2]",0.13233734660801114,0.17,0.6537793638323528,0.5467107185580276,0.2765355949627345,0.0
"[5858, 3063, 1450, 1092, 553]",0.007925445705024311,0.96,0.33106598179524704,0.2553867963853119,0.9717296324852223,0.19999999999999996
"[5858, 5776, 4165, 3552, 3507, 3490, 3374, 3368, 3227, 3031, 2935, 2674, 2220, 2204, 1922, 1918, 1904, 1775, 1697, 1696, 1579, 1553, 1546, 1504, 1442, 1420, 1406, 1379, 1377, 1369, 1324, 1306, 1256, 1248, 1231, 1220, 1219, 1206, 1199, 1128, 1068, 1026, 920, 914, 904, 889, 881, 851, 806, 734, 691, 608, 600, 582, 562, 544, 527, 523, 474, 431, 429, 402, 370, 360, 355, 290, 277, 222, 220, 202, 163, 144, 141, 119, 86, 76, 75, 67, 62, 58, 54, 50, 40, 38, 36, 32, 31, 27, 26, 24, 15, 14, 13, 12, 2, 1]",0.14778652465848574,0.05,0.6556606580285549,0.534360914116498,0.17450526856849136,0.0
"[7226, 5858, 5776, 4165, 4097, 3735, 3520, 3442, 3227, 3031, 2325, 2321, 2102, 2061, 1922, 1907, 1873, 1862, 1697, 1687, 1546, 1504, 1444, 1406, 1377, 1369, 1332, 1248, 1231, 1206, 1132, 1128, 1068, 920, 914, 904, 889, 881, 871, 851, 847, 808, 760, 734, 726, 600, 590, 562, 544, 529, 523, 491, 474, 431, 413, 407, 382, 363, 360, 355, 290, 276, 231, 224, 220, 172, 86, 76, 67, 62, 54, 36, 31, 30, 27, 25, 16, 15, 14, 13, 2]",0.12985529057652234,0.2,0.6647902878387457,0.5181110344150366,0.33307632999228987,0.0
"[7409, 7239, 7199, 6816, 6766, 6377, 6175, 5923, 5878, 5854, 5338, 5300, 4903, 4836, 4739, 4696, 4625, 4493, 4290, 3771, 3320, 3314, 3104, 3031, 2815, 2565, 2464, 2337, 2208, 2196, 2136, 1504, 1442, 1420, 1248, 1068, 734, 726, 663, 474, 442, 391, 220, 113, 91, 76, 54, 40, 31]",0.048263486918268116,0.52,0.5857867375571129,0.5722529614541448,0.787201233616037,0.0
"[3735, 3561, 3502, 3493, 3442, 3368, 2841, 2829, 2674, 2548, 2124, 1951, 1872, 1778, 1772, 1760, 1697, 1553, 1546, 1504, 1499, 1444, 1442, 1420, 1379, 1377, 1369, 1256, 1248, 1231, 1128, 1068, 1022, 920, 906, 898, 889, 881, 851, 808, 806, 760, 734, 582, 562, 544, 413, 402, 400, 382, 355, 354, 277, 276, 231, 220, 173, 172, 138, 119, 116, 86, 67, 62, 54, 40, 32, 26, 25, 13]",0.11518291271127576,0.31,0.6610236890729231,0.5658479471449656,0.4345926497044461,0.0
"[8262, 8205, 8181, 8177, 8095, 7949, 7901, 7815, 7482, 7397, 7250, 7221, 7096, 6876, 6256, 6198, 5354, 5329, 5069, 4084, 3584, 3364, 2964, 2925, 2563, 2046, 1734, 1433, 1345, 773, 668, 141]",0.01421509608705719,0.69,0.4232511349288436,0.5132709193341625,0.9534823952711385,0.19999999999999996
"[7772, 7741, 7582, 7194, 6168, 3584, 3111, 2563, 1414, 422, 224, 172]",0.010204908543644363,0.89,0.35458317926678273,0.36372782982084484,0.9624775122076586,0.19999999999999996
"[8570, 7953, 7741, 7409, 5878, 5564, 5528, 5424, 4773, 3320, 3314, 3031, 2815, 1364]",0.006915952766844177,0.87,0.3141484377938336,0.38381286263029935,0.9781547160113081,0.19999999999999996
"[6010, 1873, 1824, 1420, 1199, 608, 529, 26]",0.014723315582310721,0.93,0.39328713686455274,0.3059295811743954,0.9331791313287072,0.19999999999999996
"[3490, 3063, 1687, 24]",0.007515628617735587,0.97,0.3046539715167639,0.23523478579057833,0.9673605756874839,0.19999999999999996
