n_nodes,influence,obj,nodes
1.0,0.36,0.0,[160]
0.98,0.37,0.19999999999999996,"[405, 212, 284]"
0.99,0.08,0.8,"[539, 590]"
1.0,0.04,1.0,[590]
1.0,0.29,0.19999999999999996,[21]
1.0,0.06,0.8,[471]
0.97,0.43,0.0,"[160, 82, 424, 13]"
0.99,0.33,0.19999999999999996,"[531, 434]"
0.44,0.51,0.19999999999999996,"[129, 903, 265, 778, 13, 271, 913, 17, 405, 409, 793, 922, 411, 284, 798, 925, 160, 288, 414, 801, 802, 679, 314, 429, 941, 826, 563, 435, 564, 182, 567, 437, 950, 58, 59, 824, 952, 569, 570, 188, 65, 699, 61, 832, 321, 827, 447, 963, 211, 84, 86, 487, 107, 246, 887, 121, 698]"
0.13,0.53,0.0,"[390, 903, 264, 775, 17, 265, 778, 913, 409, 793, 922, 284, 288, 925, 414, 160, 411, 802, 679, 941, 435, 564, 821, 182, 437, 952, 824, 314, 699, 827, 61, 698, 570, 569, 65, 590, 832, 321, 830, 447, 963, 842, 333, 826, 718, 463, 594, 211, 212, 84, 86, 301, 342, 347, 732, 349, 865, 870, 339, 816, 246, 306, 874, 876, 367, 887, 888, 890, 893, 898, 415, 939, 429, 945, 434, 946, 950, 382, 461, 973, 466, 475, 476, 477, 480, 491, 492, 502]"
0.29,0.52,0.19999999999999996,"[387, 390, 775, 563, 882, 633, 811, 264, 778, 201, 284, 249, 570, 265, 913, 793, 409, 754, 922, 411, 925, 414, 509, 160, 288, 679, 821, 824, 827, 82, 943, 434, 699, 437, 435, 314, 826, 61, 830, 832, 952, 333, 321, 84, 65, 211, 86, 342, 339, 447, 347, 349, 477, 870, 874, 890, 893, 876, 963, 965, 586, 842, 461, 973, 718, 594, 475, 732, 492, 367, 246, 502]"
0.95,0.44,0.0,"[160, 129, 13, 212, 86, 473]"
0.07,0.54,0.0,"[534, 563, 564, 567, 569, 570, 61, 65, 129, 656, 160, 679, 698, 188, 712, 200, 718, 211, 212, 741, 246, 775, 264, 265, 778, 793, 284, 288, 802, 297, 816, 821, 824, 826, 827, 314, 830, 832, 321, 838, 327, 842, 848, 339, 342, 347, 349, 865, 870, 874, 876, 367, 880, 882, 883, 884, 887, 890, 893, 387, 390, 903, 913, 408, 409, 922, 411, 925, 414, 931, 423, 425, 939, 941, 945, 434, 435, 946, 437, 952, 447, 963, 965, 461, 973, 475, 476, 487, 492, 499, 502, 505, 508, 584]"
0.7,0.48,0.0,"[6, 903, 264, 778, 13, 14, 657, 409, 160, 946, 564, 821, 824, 952, 699, 827, 61, 65, 333, 211, 84, 86, 87, 231, 754, 114, 887, 249, 250, 125, 639]"
