n_nodes,influence,communities,nodes
2.000000000000001,5.01,0.0,"[659, 396]"
76.0,494.76,4.0,"[3, 5, 6, 7, 13, 14, 17, 20, 21, 533, 549, 40, 44, 61, 62, 65, 82, 84, 86, 87, 96, 106, 107, 114, 121, 128, 129, 132, 133, 141, 142, 145, 155, 157, 160, 165, 166, 168, 173, 174, 180, 181, 183, 191, 211, 233, 249, 263, 269, 280, 793, 282, 283, 801, 290, 295, 301, 303, 321, 329, 366, 377, 379, 393, 913, 404, 409, 411, 412, 419, 434, 952, 440, 474, 493, 498]"
2.000000000000001,15.07,2.0,"[700, 17]"
5.0000000000000036,6.34,0.0,"[817, 747, 868, 789, 935]"
1.0,58.46,4.0,[160]
68.0,476.48,4.0,"[128, 129, 3, 5, 6, 7, 263, 13, 17, 404, 21, 533, 280, 409, 282, 155, 411, 160, 801, 546, 419, 549, 165, 166, 295, 41, 42, 169, 434, 181, 183, 952, 184, 58, 57, 61, 62, 63, 191, 65, 321, 206, 81, 82, 83, 211, 84, 86, 87, 342, 212, 473, 215, 96, 249, 231, 232, 105, 106, 107, 377, 494, 366, 113, 114, 375, 121, 332]"
4.000000000000003,18.25,2.0,"[659, 396, 935, 263]"
64.0,470.87,4.0,"[128, 129, 258, 4, 5, 6, 7, 28, 13, 14, 142, 17, 20, 533, 21, 41, 157, 160, 549, 166, 165, 40, 169, 168, 132, 44, 173, 181, 440, 952, 58, 975, 62, 180, 64, 65, 183, 321, 233, 191, 249, 263, 269, 82, 793, 84, 283, 86, 280, 282, 411, 412, 87, 211, 96, 801, 295, 377, 424, 107, 434, 329, 114, 121]"
1.0,14.04,2.0,[494]
50.0,434.71,4.0,"[128, 129, 4, 5, 6, 7, 141, 13, 14, 17, 409, 21, 142, 282, 283, 160, 801, 549, 183, 952, 62, 191, 64, 65, 321, 329, 82, 211, 84, 86, 87, 473, 96, 97, 121, 233, 107, 840, 114, 377, 249, 263, 269, 793, 280, 411, 412, 295, 424, 434]"
2.000000000000001,10.41,0.9999999999999998,"[817, 68]"
1.0,5.98,0.9999999999999998,[68]
16.0,270.28,4.0,"[129, 4, 5, 11, 310, 13, 14, 160, 121, 107, 82, 211, 295, 86, 377, 62]"
19.000000000000004,286.71,4.0,"[160, 129, 6, 5, 13, 310, 211, 86, 142, 121, 282, 17, 21, 409, 283, 62, 87, 377, 107]"
83.0,506.63,4.0,"[4, 5, 6, 7, 13, 14, 17, 20, 21, 533, 28, 549, 40, 41, 44, 58, 61, 62, 64, 65, 68, 82, 84, 86, 87, 96, 106, 107, 114, 121, 129, 132, 142, 157, 160, 165, 166, 168, 169, 173, 180, 181, 183, 191, 211, 222, 233, 249, 258, 263, 269, 280, 793, 282, 283, 801, 290, 295, 301, 303, 321, 329, 366, 377, 379, 393, 913, 404, 409, 411, 412, 417, 419, 420, 424, 434, 440, 952, 455, 494, 498, 502, 353]"
25.0,331.7,4.0,"[128, 129, 4, 5, 6, 7, 13, 14, 17, 533, 21, 280, 409, 282, 160, 58, 62, 82, 211, 84, 86, 377, 107, 121, 448]"
39.0,398.87,4.0,"[128, 129, 4, 5, 6, 7, 13, 14, 17, 533, 21, 280, 409, 282, 160, 58, 62, 82, 211, 84, 86, 28, 377, 107, 801, 121, 549, 165, 166, 424, 40, 952, 64, 65, 321, 329, 87, 232, 114]"
48.0,429.38,5.0,"[5, 7, 263, 141, 13, 14, 142, 17, 269, 21, 280, 409, 282, 411, 283, 412, 793, 160, 801, 549, 295, 424, 41, 173, 434, 183, 952, 62, 191, 64, 193, 65, 321, 329, 82, 211, 84, 86, 87, 473, 96, 97, 249, 377, 107, 114, 121, 22]"
20.999999999999996,304.08,4.0,"[3, 5, 114, 13, 84, 21, 160, 86, 82, 377, 87, 121, 380, 183, 952, 62, 94, 58, 614, 96, 107]"
72.0,484.94,4.0,"[128, 129, 3, 5, 6, 7, 133, 393, 263, 13, 14, 142, 145, 17, 141, 913, 20, 21, 533, 404, 280, 793, 409, 155, 412, 157, 417, 282, 160, 411, 419, 420, 549, 165, 166, 40, 424, 168, 44, 173, 434, 180, 183, 440, 952, 58, 61, 62, 191, 65, 321, 455, 329, 87, 82, 211, 84, 86, 353, 303, 121, 233, 249, 106, 366, 494, 107, 114, 377, 498, 502, 269]"
57.00000000000001,451.78,4.0,"[128, 129, 4, 5, 6, 7, 13, 21, 160, 183, 952, 62, 156, 64, 65, 321, 329, 82, 211, 84, 86, 87, 96, 107, 114, 121, 404, 533, 405, 280, 409, 282, 283, 793, 412, 801, 290, 420, 549, 295, 40, 424, 44, 301, 303, 438, 440, 61, 837, 333, 342, 474, 106, 494, 371, 498, 377]"
59.00000000000001,458.83,5.0,"[128, 129, 5, 13, 21, 6, 183, 952, 7, 62, 141, 263, 160, 14, 87, 82, 86, 84, 142, 37, 63, 74, 333, 165, 41, 114, 96, 107, 121, 840, 377, 157, 411, 412, 434, 105, 424, 166, 40, 282, 169, 168, 132, 64, 549, 44, 801, 154, 211, 269, 280, 793, 233, 249, 283, 295, 191, 65, 321]"
18.000000000000004,298.7,5.0,"[129, 166, 5, 6, 409, 283, 160, 13, 377, 142, 107, 82, 211, 21, 86, 87, 121, 62]"
73.0,491.35,4.0,"[128, 129, 4, 5, 6, 7, 13, 913, 404, 21, 405, 533, 280, 409, 282, 155, 156, 157, 411, 283, 160, 801, 290, 419, 420, 165, 166, 549, 424, 168, 295, 40, 44, 173, 174, 301, 303, 434, 180, 181, 438, 183, 952, 440, 61, 62, 191, 64, 65, 321, 837, 333, 82, 211, 84, 86, 87, 342, 474, 96, 377, 106, 107, 233, 493, 366, 793, 368, 114, 498, 121, 379, 412]"
78.0,500.13,4.0,"[4, 5, 6, 7, 13, 14, 17, 21, 533, 28, 549, 40, 41, 44, 58, 61, 62, 64, 65, 68, 82, 84, 86, 87, 96, 106, 128, 114, 121, 107, 129, 132, 142, 168, 169, 173, 180, 181, 222, 258, 269, 282, 283, 353, 379, 393, 157, 160, 165, 166, 233, 913, 249, 417, 211, 263, 404, 191, 183, 280, 793, 409, 411, 412, 801, 215, 290, 420, 295, 424, 377, 301, 303, 952, 321, 329, 440, 498]"
61.0,462.49,4.0,"[129, 258, 4, 5, 6, 7, 132, 263, 13, 14, 142, 17, 20, 533, 21, 282, 411, 28, 157, 412, 160, 801, 549, 166, 165, 40, 41, 169, 168, 44, 421, 424, 303, 434, 181, 183, 952, 61, 62, 191, 64, 65, 321, 68, 329, 82, 211, 84, 340, 86, 87, 342, 96, 121, 249, 232, 106, 107, 366, 114, 377]"
82.0,506.57,4.0,"[4, 5, 6, 7, 13, 14, 17, 21, 546, 549, 40, 41, 44, 61, 62, 65, 82, 84, 86, 87, 96, 106, 107, 114, 121, 128, 129, 132, 133, 141, 142, 145, 155, 157, 160, 165, 166, 168, 173, 174, 180, 181, 183, 191, 211, 233, 249, 258, 263, 269, 280, 793, 282, 283, 801, 290, 295, 301, 303, 321, 329, 366, 377, 379, 913, 404, 405, 409, 411, 412, 419, 420, 424, 434, 438, 952, 440, 474, 493, 494, 498, 64]"
11.999999999999998,248.91,5.0,"[160, 129, 5, 6, 107, 13, 82, 211, 86, 121, 412, 62]"
31.000000000000004,369.48,5.0,"[129, 2, 4, 5, 6, 13, 142, 21, 283, 160, 801, 549, 177, 434, 183, 184, 62, 64, 65, 82, 211, 84, 86, 87, 96, 121, 107, 493, 114, 377, 168]"
28.0,352.65,4.0,"[128, 129, 5, 13, 21, 282, 411, 283, 544, 160, 801, 434, 183, 952, 58, 62, 64, 65, 82, 211, 84, 86, 96, 121, 377, 107, 249, 632]"
1.0,27.54,3.0,[5]
86.0,512.93,4.0,"[129, 4, 5, 6, 7, 263, 141, 13, 14, 142, 17, 258, 21, 280, 409, 282, 269, 283, 411, 412, 160, 801, 549, 295, 424, 434, 183, 952, 62, 191, 64, 65, 321, 28, 329, 82, 211, 84, 86, 87, 473, 96, 793, 249, 377, 106, 107, 233, 114, 121, 20, 533, 41, 157, 165, 166, 40, 169, 168, 132, 44, 173, 181, 440, 58, 61, 494, 366, 379, 393, 913, 180, 417, 419, 571, 547, 342, 371, 438, 493, 404, 290, 420, 498, 301, 303]"
84.0,509.26,4.0,"[4, 5, 6, 7, 13, 14, 21, 549, 41, 57, 58, 61, 62, 63, 64, 65, 82, 84, 86, 87, 96, 107, 121, 128, 129, 141, 142, 157, 160, 165, 166, 168, 169, 173, 174, 180, 181, 183, 191, 201, 206, 209, 210, 211, 212, 231, 232, 233, 249, 252, 263, 269, 280, 793, 282, 283, 801, 290, 295, 301, 303, 321, 837, 329, 333, 342, 371, 377, 404, 405, 409, 411, 412, 420, 421, 424, 434, 438, 952, 440, 474, 494, 498, 230]"
49.0,433.28,4.0,"[129, 4, 5, 6, 7, 263, 13, 14, 142, 269, 17, 20, 21, 533, 280, 793, 409, 411, 28, 282, 283, 412, 160, 801, 549, 295, 40, 41, 424, 434, 183, 952, 62, 64, 65, 321, 329, 82, 211, 84, 86, 87, 96, 249, 233, 377, 107, 114, 121]"
75.0,493.69,4.0,"[128, 129, 2, 132, 5, 6, 7, 133, 263, 393, 13, 142, 14, 141, 17, 145, 269, 20, 21, 533, 913, 280, 793, 282, 283, 155, 157, 409, 411, 160, 801, 290, 412, 419, 549, 165, 166, 40, 168, 295, 44, 173, 174, 301, 303, 434, 180, 181, 183, 952, 440, 61, 62, 191, 65, 321, 329, 82, 211, 84, 86, 87, 474, 96, 249, 377, 106, 107, 493, 366, 404, 114, 498, 121, 379]"
36.0,392.2,4.0,"[128, 129, 2, 5, 6, 7, 263, 13, 14, 232, 142, 21, 409, 282, 283, 411, 160, 801, 165, 166, 434, 952, 58, 62, 191, 64, 65, 329, 82, 211, 84, 86, 87, 377, 107, 121]"
36.0,392.51,5.0,"[128, 129, 4, 5, 6, 7, 13, 404, 21, 533, 405, 280, 409, 282, 283, 191, 793, 295, 183, 952, 62, 160, 64, 65, 321, 329, 84, 82, 211, 87, 86, 96, 377, 107, 114, 121]"
60.00000000000001,460.37,4.0,"[2, 5, 6, 7, 263, 11, 13, 14, 17, 733, 21, 404, 533, 280, 409, 793, 405, 411, 157, 412, 160, 801, 290, 420, 165, 166, 295, 424, 41, 301, 303, 438, 183, 952, 440, 62, 63, 64, 65, 321, 191, 837, 329, 333, 82, 211, 84, 83, 86, 87, 342, 473, 96, 97, 249, 232, 377, 107, 114, 121]"
7.000000000000005,176.52,4.0,"[160, 129, 5, 242, 82, 86, 121]"
2.000000000000001,34.69,3.0,"[5, 68]"
77.0,495.98,4.0,"[4, 5, 6, 7, 13, 14, 17, 20, 533, 21, 28, 549, 40, 41, 44, 61, 62, 64, 65, 68, 82, 84, 86, 87, 96, 106, 107, 114, 121, 129, 132, 142, 157, 160, 165, 166, 168, 169, 181, 183, 191, 211, 215, 233, 249, 258, 263, 269, 280, 793, 282, 283, 801, 290, 295, 301, 303, 321, 329, 340, 342, 353, 377, 379, 393, 913, 404, 409, 411, 412, 417, 420, 424, 434, 952, 440, 498]"
4.000000000000003,119.94,4.0,"[5, 82, 86, 121]"
35.0,388.09,5.0,"[5, 6, 263, 7, 13, 141, 14, 142, 17, 21, 409, 282, 283, 411, 160, 801, 165, 166, 434, 952, 58, 62, 191, 64, 65, 329, 82, 211, 84, 86, 87, 121, 232, 107, 377]"
7.999999999999995,199.4,4.0,"[160, 5, 107, 13, 211, 82, 21, 121]"
26.0,349.27,5.0,"[2, 5, 6, 7, 11, 13, 17, 21, 411, 544, 160, 801, 434, 183, 62, 64, 65, 82, 211, 84, 86, 96, 249, 377, 107, 121]"
58.00000000000001,455.05,4.0,"[2, 5, 6, 7, 11, 263, 13, 14, 17, 20, 21, 404, 533, 280, 409, 793, 405, 411, 157, 412, 160, 801, 290, 420, 165, 166, 295, 424, 41, 301, 303, 417, 183, 952, 332, 62, 434, 64, 65, 191, 321, 329, 82, 429, 84, 86, 87, 473, 96, 97, 121, 232, 377, 106, 249, 107, 366, 114]"
21.999999999999996,321.83,4.0,"[129, 5, 6, 13, 142, 21, 409, 283, 160, 166, 62, 82, 211, 84, 86, 87, 96, 377, 107, 113, 121, 141]"
15.000000000000002,268.47,4.0,"[160, 684, 4, 5, 6, 377, 107, 82, 211, 86, 121, 412, 62, 84, 96]"
16.0,285.26,5.0,"[160, 121, 5, 166, 6, 377, 107, 82, 211, 84, 86, 183, 952, 409, 58, 62]"
55.0,448.16,5.0,"[2, 5, 6, 263, 7, 11, 13, 14, 17, 20, 21, 404, 533, 280, 409, 793, 405, 411, 157, 412, 160, 801, 290, 417, 420, 165, 166, 295, 424, 41, 434, 183, 952, 62, 191, 64, 65, 840, 329, 82, 211, 83, 212, 84, 86, 96, 231, 232, 377, 106, 107, 366, 114, 121, 252]"
35.0,379.73,4.0,"[128, 129, 4, 5, 6, 7, 13, 14, 405, 21, 280, 793, 409, 282, 283, 160, 295, 183, 952, 62, 191, 64, 65, 321, 329, 82, 211, 84, 86, 87, 96, 121, 107, 114, 377]"
41.0,411.82,5.0,"[128, 375, 2, 5, 6, 7, 409, 13, 14, 232, 263, 142, 21, 283, 282, 58, 411, 160, 801, 165, 166, 434, 952, 96, 62, 191, 64, 65, 329, 82, 211, 84, 86, 377, 107, 121, 87, 249, 106, 366, 114]"
14.0,270.72,5.0,"[160, 121, 96, 5, 6, 107, 13, 82, 211, 84, 86, 377, 412, 62]"
62.0,465.24,4.0,"[4, 5, 6, 7, 13, 14, 17, 21, 546, 549, 40, 41, 44, 61, 62, 65, 82, 84, 86, 87, 96, 106, 107, 261, 840, 74, 333, 121, 206, 209, 83, 210, 342, 340, 231, 232, 105, 458, 128, 129, 141, 142, 282, 411, 412, 160, 249, 801, 165, 424, 303, 434, 181, 211, 183, 191, 952, 64, 321, 329, 377, 366]"
69.0,483.47,4.0,"[128, 129, 4, 5, 6, 7, 533, 13, 14, 17, 409, 404, 21, 405, 157, 160, 801, 290, 183, 952, 62, 191, 64, 65, 321, 329, 82, 211, 84, 86, 87, 473, 96, 97, 121, 233, 107, 520, 114, 165, 249, 166, 377, 41, 301, 303, 438, 440, 63, 837, 333, 83, 342, 232, 106, 493, 366, 371, 116, 498, 252, 254, 263, 280, 793, 411, 412, 295, 424]"
66.0,476.16,4.0,"[128, 129, 5, 6, 7, 13, 14, 142, 141, 21, 533, 405, 280, 409, 282, 283, 411, 793, 157, 412, 160, 801, 290, 417, 420, 165, 166, 295, 424, 41, 301, 303, 183, 952, 440, 62, 191, 64, 65, 63, 321, 837, 329, 333, 82, 211, 84, 83, 86, 87, 342, 473, 96, 97, 249, 232, 377, 233, 107, 106, 493, 366, 114, 371, 116, 121, 333]"
22.999999999999996,331.04,5.0,"[128, 129, 2, 5, 6, 7, 13, 14, 160, 952, 58, 62, 64, 65, 82, 211, 84, 86, 96, 121, 249, 107, 377]"
45.99999999999999,426.38,4.0,"[129, 5, 6, 11, 141, 14, 13, 142, 17, 21, 409, 282, 411, 412, 160, 801, 165, 549, 424, 41, 303, 434, 181, 183, 952, 57, 58, 61, 62, 63, 64, 65, 191, 321, 329, 82, 211, 84, 86, 87, 96, 249, 377, 107, 121, 451]"
20.999999999999996,322.72,5.0,"[5, 411, 412, 160, 801, 549, 434, 183, 62, 64, 65, 321, 82, 211, 84, 86, 96, 249, 377, 107, 121]"
61.0,465.37,5.0,"[128, 129, 5, 6, 7, 261, 13, 14, 142, 141, 17, 21, 282, 411, 412, 160, 801, 546, 165, 549, 40, 41, 424, 44, 303, 434, 181, 183, 952, 61, 62, 191, 64, 65, 321, 840, 329, 74, 458, 333, 206, 209, 82, 211, 84, 83, 86, 87, 210, 342, 340, 96, 249, 231, 232, 377, 106, 107, 105, 366, 121]"
38.0,399.06,5.0,"[128, 129, 2, 5, 6, 263, 13, 14, 142, 21, 409, 282, 411, 283, 160, 801, 165, 166, 434, 952, 58, 62, 191, 64, 65, 321, 329, 82, 211, 84, 86, 87, 96, 121, 249, 232, 107, 377]"
9.999999999999996,217.4,4.0,"[160, 96, 5, 377, 107, 211, 84, 86, 87, 121]"
53.0,444.4,5.0,"[2, 5, 6, 263, 7, 11, 13, 14, 17, 20, 21, 152, 533, 280, 409, 405, 793, 411, 157, 412, 160, 801, 290, 417, 420, 165, 166, 295, 424, 249, 434, 183, 952, 62, 191, 64, 65, 840, 329, 82, 211, 269, 494, 84, 86, 96, 371, 498, 377, 121, 106, 107, 114]"
2.000000000000001,85.38,4.0,"[160, 121]"
6.000000000000004,173.77,5.0,"[160, 5, 107, 13, 82, 86]"
59.00000000000001,455.57,4.0,"[129, 5, 6, 13, 163, 21, 409, 283, 160, 166, 62, 82, 211, 84, 86, 87, 96, 377, 113, 107, 141, 533, 121, 41, 157, 549, 165, 40, 169, 168, 132, 44, 173, 181, 440, 952, 58, 975, 180, 64, 65, 183, 321, 233, 191, 249, 263, 269, 793, 280, 282, 411, 412, 801, 295, 424, 434, 329, 114]"
54.0,447.18,5.0,"[5, 6, 263, 7, 11, 13, 17, 20, 21, 404, 533, 280, 409, 793, 405, 411, 157, 412, 160, 801, 290, 417, 420, 165, 166, 295, 424, 41, 434, 183, 952, 62, 191, 64, 65, 840, 329, 82, 211, 83, 212, 86, 84, 96, 121, 231, 232, 377, 106, 107, 366, 114, 249, 252]"
24.0,339.77,5.0,"[4, 5, 6, 13, 21, 409, 411, 283, 544, 160, 801, 434, 183, 62, 64, 65, 82, 211, 84, 86, 96, 121, 107, 377]"
29.000000000000004,355.93,4.0,"[129, 2, 4, 5, 6, 13, 142, 21, 283, 160, 801, 549, 652, 434, 183, 184, 62, 64, 65, 82, 211, 84, 86, 87, 96, 121, 377, 107, 493]"
31.000000000000004,364.61,4.0,"[129, 4, 5, 6, 7, 493, 269, 13, 282, 142, 21, 113, 160, 959, 549, 434, 183, 62, 64, 65, 82, 211, 84, 86, 87, 96, 377, 107, 121, 114, 168]"
29.000000000000004,362.8,5.0,"[129, 4, 5, 6, 7, 263, 141, 13, 14, 142, 17, 21, 405, 160, 801, 434, 183, 62, 64, 65, 82, 211, 84, 86, 96, 249, 377, 107, 121]"
15.000000000000002,271.93,5.0,"[129, 5, 6, 13, 412, 160, 96, 377, 107, 82, 837, 211, 84, 86, 121]"
48.0,427.39,4.0,"[4, 5, 6, 7, 263, 13, 14, 142, 269, 17, 20, 21, 533, 280, 409, 793, 411, 28, 282, 283, 412, 160, 801, 166, 295, 40, 41, 424, 434, 183, 952, 62, 64, 65, 321, 329, 82, 211, 84, 86, 87, 96, 121, 249, 233, 107, 114, 377]"
8.999999999999996,211.44,5.0,"[160, 129, 121, 5, 107, 211, 84, 86, 377]"
19.999999999999993,317.37,5.0,"[87, 129, 2, 5, 6, 160, 96, 13, 121, 166, 21, 107, 82, 114, 84, 86, 952, 377, 58, 62]"
30.000000000000004,368.98,5.0,"[4, 5, 6, 13, 21, 409, 411, 283, 544, 160, 249, 434, 183, 62, 64, 65, 82, 211, 84, 86, 96, 121, 107, 377, 166, 952, 58, 191, 329, 232]"
32.00000000000001,371.8,5.0,"[129, 5, 6, 7, 13, 14, 142, 141, 21, 409, 282, 283, 160, 801, 165, 166, 434, 952, 58, 62, 191, 64, 65, 329, 82, 211, 86, 96, 121, 232, 107, 377]"
17.000000000000004,283.09,4.0,"[128, 58, 160, 65, 458, 96, 249, 377, 107, 21, 82, 211, 84, 86, 952, 121, 62]"
40.0,406.55,4.0,"[128, 129, 2, 5, 6, 7, 263, 13, 14, 142, 21, 409, 282, 283, 411, 160, 801, 165, 166, 549, 434, 183, 952, 58, 62, 64, 65, 321, 329, 82, 211, 84, 86, 87, 96, 121, 107, 114, 377, 419]"
22.999999999999996,329.67,4.0,"[129, 852, 4, 5, 6, 13, 58, 160, 801, 64, 65, 96, 249, 434, 183, 377, 62, 107, 82, 211, 84, 86, 121]"
80.0,502.23,4.0,"[5, 6, 7, 13, 14, 17, 20, 21, 533, 546, 549, 40, 44, 61, 62, 65, 82, 84, 86, 87, 96, 106, 107, 114, 121, 128, 129, 132, 133, 141, 142, 145, 155, 157, 160, 165, 166, 168, 173, 180, 181, 183, 191, 211, 233, 249, 263, 269, 280, 793, 282, 283, 801, 290, 295, 301, 303, 817, 321, 329, 366, 377, 379, 913, 404, 405, 409, 411, 412, 419, 420, 424, 434, 438, 952, 440, 474, 493, 494, 498]"
19.000000000000004,306.27,5.0,"[160, 65, 121, 5, 6, 7, 263, 107, 13, 82, 211, 84, 21, 86, 952, 377, 58, 62, 48]"
88.0,514.03,4.0,"[129, 4, 5, 6, 7, 493, 269, 13, 282, 17, 142, 21, 160, 262, 549, 28, 183, 62, 64, 65, 82, 211, 84, 86, 87, 96, 377, 107, 121, 40, 114, 41, 44, 58, 61, 68, 105, 106, 128, 132, 133, 157, 165, 166, 168, 169, 173, 174, 180, 181, 191, 201, 206, 209, 210, 212, 231, 232, 233, 249, 252, 263, 280, 793, 283, 801, 290, 295, 301, 303, 321, 837, 329, 333, 342, 371, 404, 405, 409, 412, 420, 424, 438, 440, 952, 474, 494, 498]"
51.0,438.37,4.0,"[128, 5, 6, 7, 263, 13, 141, 14, 142, 21, 409, 282, 283, 411, 160, 801, 417, 420, 165, 166, 295, 424, 41, 434, 183, 952, 58, 62, 191, 64, 65, 840, 329, 82, 211, 84, 83, 86, 212, 96, 121, 249, 231, 232, 106, 107, 366, 114, 377, 252, 529]"
81.0,505.75,4.0,"[128, 5, 6, 263, 7, 13, 141, 14, 142, 21, 409, 282, 411, 283, 160, 801, 165, 166, 434, 952, 58, 62, 191, 17, 65, 329, 82, 211, 84, 86, 20, 377, 107, 121, 533, 549, 40, 44, 61, 87, 96, 106, 114, 132, 145, 155, 168, 173, 366, 379, 392, 913, 419, 405, 420, 424, 438, 494, 129, 133, 249, 157, 233, 174, 180, 181, 183, 269, 404, 280, 793, 412, 321, 290, 295, 301, 493, 498, 303, 440, 474]"
37.0,394.26,5.0,"[128, 375, 2, 5, 6, 7, 409, 96, 13, 232, 14, 263, 142, 21, 283, 282, 58, 411, 160, 801, 482, 166, 434, 952, 62, 191, 64, 65, 329, 82, 211, 84, 86, 377, 107, 121, 87]"
17.000000000000004,292.23,5.0,"[160, 5, 107, 21, 65, 86, 82, 321, 96, 249, 377, 211, 84, 62, 952, 121, 58]"
9.999999999999996,226.69,5.0,"[160, 5, 107, 13, 82, 211, 86, 377, 58, 62, 107]"
21.999999999999996,326.06,5.0,"[129, 2, 5, 6, 13, 21, 160, 166, 952, 58, 62, 82, 211, 84, 86, 87, 96, 121, 107, 114, 377, 886]"
