seed_set,spread,seed,communities,fairness,budget,time
"[659, 396]",5.01,2.000000000000001,0.9140766673370616,0.7153311143577145,59.00000000000051,5.0
"[952, 913, 801, 793, 549, 533, 498, 493, 474, 440, 434, 419, 412, 411, 409, 404, 393, 379, 377, 366, 329, 321, 303, 301, 295, 290, 283, 282, 280, 269, 263, 249, 233, 211, 191, 183, 181, 180, 174, 173, 168, 166, 165, 160, 157, 155, 145, 142, 141, 133, 132, 129, 128, 121, 114, 107, 106, 96, 87, 86, 84, 82, 65, 62, 61, 44, 40, 21, 20, 17, 14, 13, 7, 6, 5, 3]",494.75999999999993,76.0,0.06616742176461687,0.0854366990188179,14007.0,0.9999999999999998
"[700, 17]",15.07,2.000000000000001,0.6633478740505739,0.7214678355305973,171.00000000000006,3.0
"[935, 868, 817, 789, 747]",6.34,5.0000000000000036,0.922150041187482,0.6202364787993133,33.99999999999965,5.0
[160],59.41,1.0,0.3356179605333739,0.8325546111576978,546.0000000000003,0.9999999999999998
"[952, 801, 549, 546, 533, 494, 473, 434, 419, 411, 409, 404, 377, 375, 366, 342, 332, 321, 295, 282, 280, 263, 249, 232, 231, 215, 212, 211, 206, 191, 184, 183, 181, 169, 166, 165, 160, 155, 129, 128, 121, 114, 113, 107, 106, 105, 96, 87, 86, 84, 83, 82, 81, 65, 63, 62, 61, 58, 57, 42, 41, 21, 17, 13, 7, 6, 5, 3]",476.48,68.0,0.06963546574342205,0.18770655213827703,13216.0,0.9999999999999998
"[935, 659, 396, 263]",18.25,4.000000000000003,0.6768617769445813,0.5224198054042257,171.99999999999955,3.0
"[975, 952, 801, 793, 549, 533, 440, 434, 424, 412, 411, 377, 329, 321, 295, 283, 282, 280, 269, 263, 258, 249, 233, 211, 191, 183, 181, 180, 173, 169, 168, 166, 165, 160, 157, 142, 132, 129, 128, 121, 114, 107, 96, 87, 86, 84, 82, 65, 64, 62, 58, 44, 41, 40, 28, 21, 20, 17, 14, 13, 7, 6, 5, 4]",470.87,64.0,0.06828976061983127,0.17768449167268185,12457.000000000002,0.9999999999999998
[494],14.36,1.0,0.6534510609145692,0.8325546111576978,175.00000000000028,2.0
"[952, 840, 801, 793, 549, 473, 434, 424, 412, 411, 409, 377, 329, 321, 295, 283, 282, 280, 269, 263, 249, 233, 211, 191, 183, 160, 142, 141, 129, 128, 121, 114, 107, 97, 96, 87, 86, 84, 82, 65, 64, 62, 21, 17, 14, 13, 7, 6, 5, 4]",434.71,50.0,0.06929821072114051,0.11484382008968053,10325.0,0.9999999999999998
"[817, 68]",10.41,2.000000000000001,0.8082052279918481,0.7214678355305973,86.00000000000034,4.0
[68],8.39,1.0,0.8293759162573988,0.8325546111576978,79.00000000000051,4.0
"[377, 310, 295, 211, 160, 129, 121, 107, 86, 82, 62, 14, 13, 11, 5, 4]",270.28,16.0,0.1219997260546889,0.3073289105853333,4246.0,0.9999999999999998
"[409, 377, 310, 283, 282, 211, 160, 142, 129, 121, 107, 87, 86, 62, 21, 17, 13, 6, 5]",286.71,19.000000000000004,0.12971670128252422,0.4226773416333707,4977.0,0.9999999999999998
