n_nodes,influence,communities,nodes
2.000000000000001,980.66,0.5486278506758525,"[369, 2134]"
1.0,535.97,0.6677428262615842,[545]
60.00000000000001,2115.41,0.2250035507079714,"[0, 3591, 1800, 2450, 2582, 3222, 1821, 799, 800, 1827, 1203, 1831, 2858, 2348, 804, 1839, 677, 4018, 1965, 1970, 4024, 3903, 1975, 322, 1343, 444, 1984, 334, 1859, 4035, 3398, 1879, 604, 349, 3014, 351, 2400, 2889, 1484, 1573, 2896, 2406, 721, 3946, 107, 2000, 1445, 1347, 2901, 3926, 982, 252, 1369, 2523, 3036, 3045, 1989, 2533, 1782, 1813]"
13.0,1994.82,0.2894433519692192,"[0, 3564, 1800, 1813, 3222, 3101, 1821, 1573, 1831, 352, 107, 1841, 351]"
77.0,2185.97,0.23544519357000915,"[0, 3591, 1573, 3629, 2101, 1625, 604, 107, 1644, 2185, 2188, 2706, 2780, 3817, 3310, 2801, 2293, 252, 3836, 1791, 1800, 1813, 1821, 799, 800, 1827, 804, 2855, 1831, 2858, 2348, 1839, 3903, 1343, 322, 2889, 1869, 334, 2896, 852, 3926, 1879, 349, 863, 2400, 351, 352, 1381, 2406, 3946, 1899, 2924, 3949, 3439, 3954, 885, 1911, 2937, 378, 381, 2435, 3980, 1428, 1445, 1965, 4018, 1970, 4024, 1989, 467, 2517, 3036, 989, 3038, 3045, 2533, 1018]"
73.0,2141.63,0.22361795460562084,"[0, 3591, 1800, 1813, 3222, 1821, 3101, 799, 1573, 800, 4002, 1827, 804, 3080, 677, 1445, 1831, 2704, 2348, 1965, 1839, 4018, 1970, 1975, 4024, 444, 3903, 1343, 1984, 322, 1859, 4035, 1989, 325, 3398, 3014, 2889, 1484, 334, 2896, 721, 2000, 467, 2901, 3926, 1879, 982, 1369, 2523, 3036, 349, 989, 351, 1950, 1885, 2400, 2786, 604, 996, 2533, 2150, 2406, 3946, 107, 1132, 2539, 2542, 1008, 252, 2940, 3957, 1782, 1983]"
73.0,2163.38,0.22613615558760625,"[0, 2689, 3591, 2824, 2188, 1813, 1821, 3489, 1827, 1955, 1573, 1445, 1788, 2858, 3754, 1965, 2224, 1841, 4018, 1970, 4024, 2685, 1222, 1989, 2940, 3914, 2889, 2508, 3020, 3793, 2001, 1874, 213, 467, 852, 1625, 1879, 2517, 3926, 2780, 2273, 604, 349, 351, 352, 3038, 867, 1381, 3817, 3310, 989, 3946, 107, 3439, 3438, 2523, 3036, 1950, 1885, 1782, 2400, 2786, 2290, 252, 2533, 2150, 2406, 1132, 2539, 2542, 1008, 3957, 1983]"
64.0,2167.32,0.23044514259515203,"[0, 1800, 2191, 2450, 1813, 2582, 3222, 1821, 799, 800, 1827, 1573, 2858, 1842, 4018, 4024, 3014, 3285, 213, 1879, 1625, 349, 366, 351, 352, 2273, 3946, 107, 1899, 604, 2780, 3563, 3566, 2293, 3190, 1909, 3958, 378, 3904, 252, 1989, 1864, 2889, 1655, 2508, 3020, 2001, 1874, 467, 852, 3926, 2517, 3038, 3036, 867, 989, 1381, 2533, 3045, 3817, 1644, 3235, 1911, 2940]"
51.0,2139.61,0.23465132050080628,"[0, 3591, 1800, 1813, 2516, 1821, 3101, 799, 1573, 800, 1860, 1864, 1480, 2259, 1827, 1625, 1445, 1116, 1831, 366, 352, 1970, 1965, 1006, 4015, 313, 3111, 4024, 2940, 2629, 1979, 2508, 3020, 2001, 252, 1874, 982, 852, 1956, 2889, 1484, 467, 2517, 3926, 2780, 604, 349, 351, 3036, 3946, 107]"
68.0,2182.67,0.22846270163184834,"[0, 3591, 1800, 1934, 2450, 1813, 1821, 799, 800, 1827, 804, 1573, 1831, 2855, 3881, 3754, 2858, 3884, 1965, 1839, 1841, 1970, 4018, 4024, 2107, 3903, 3904, 2113, 1343, 322, 1860, 325, 2889, 334, 2896, 852, 3926, 1879, 604, 349, 351, 352, 863, 2400, 867, 3836, 1381, 3045, 3817, 3946, 107, 2924, 3949, 3310, 366, 2801, 3954, 252, 2293, 885, 1911, 2422, 2937, 378, 2171, 1788, 381, 1791]"
11.999999999999998,1993.94,0.2852277773728873,"[0, 3591, 1800, 1969, 2450, 1813, 352, 1573, 1831, 1821, 107, 351]"
16.0,2027.53,0.27161897254801803,"[0, 906, 3591, 1800, 1821, 1827, 1445, 1573, 1831, 352, 107, 1841, 366, 2171, 349, 351]"
57.00000000000001,2139.37,0.22672107928602026,"[0, 1800, 3980, 1934, 2706, 1428, 1813, 1821, 799, 800, 1827, 804, 1573, 2855, 1831, 2858, 3884, 3629, 2348, 1839, 1965, 4018, 1970, 2101, 4024, 2622, 3903, 1343, 322, 1989, 2889, 334, 2896, 852, 2517, 3926, 1879, 1625, 604, 349, 2780, 863, 352, 3036, 351, 867, 3836, 1381, 2533, 3045, 2406, 3817, 2665, 3946, 107, 1782, 252]"
6.000000000000004,1730.1,0.36061351961592014,"[0, 351, 366, 1556, 1821, 352]"
28.0,2069.21,0.2524182598097747,"[0, 3591, 1800, 2450, 1813, 1821, 1827, 1573, 1831, 1841, 1210, 325, 334, 2259, 3928, 1625, 604, 349, 351, 352, 3946, 107, 1006, 366, 3439, 2546, 2171, 252]"
13.0,1994.71,0.28216423889751185,"[0, 352, 1827, 1573, 1831, 1800, 107, 3629, 1965, 1561, 1821, 351, 667]"
31.000000000000004,2075.95,0.24314062678617654,"[0, 1800, 3338, 2450, 1813, 1561, 1821, 1950, 799, 800, 4002, 1827, 1955, 1841, 4024, 4031, 831, 604, 2652, 1116, 351, 2400, 352, 3045, 3946, 107, 1782, 1911, 379, 252, 1964]"
10.999999999999998,1997.0,0.31054267947346226,"[0, 351, 366, 107, 1998, 1821, 1841, 352, 349, 1172, 3610]"
57.00000000000001,2158.88,0.23890200152975016,"[0, 2689, 3591, 1800, 2188, 1911, 1813, 1821, 800, 1827, 3235, 1573, 1831, 2858, 1841, 1842, 4018, 4024, 3904, 1989, 3014, 1864, 2889, 2508, 3020, 2001, 1874, 467, 852, 3285, 213, 1879, 3926, 1625, 3038, 2780, 2273, 349, 351, 352, 2517, 938, 867, 989, 1381, 2533, 3045, 3036, 3817, 3946, 107, 1899, 3563, 366, 3566, 1644, 252]"
58.00000000000001,2150.41,0.23031377761527783,"[0, 3591, 1800, 1655, 2450, 1813, 3222, 1821, 799, 800, 1827, 804, 1573, 3235, 2858, 3036, 1842, 3904, 4018, 4024, 3014, 1989, 1864, 2508, 2889, 3020, 2001, 349, 2101, 2622, 852, 3903, 1343, 1879, 322, 1625, 2517, 2780, 351, 352, 334, 604, 867, 3926, 1381, 2800, 2896, 3817, 3946, 3045, 863, 107, 366, 3836, 2406, 252, 2665, 1782]"
55.0,2067.18,0.22738210478014698,"[0, 2824, 3591, 3338, 1800, 1813, 1821, 1950, 799, 800, 1841, 1573, 1831, 4002, 334, 1827, 1955, 604, 351, 1445, 2469, 3747, 349, 2858, 932, 2348, 3946, 4013, 1454, 1264, 1969, 252, 2994, 4018, 945, 4024, 3903, 1343, 322, 1347, 1989, 3398, 3014, 2889, 1484, 2400, 3045, 2406, 2533, 3958, 1782, 378, 1788, 1534, 2687]"
